収穫日,記録ID,農場ID,農場名,作物名,収穫量(kg),A等級数量,不合格数量,検査員ID
2024/01/14,REC-0066,FARM-B,農場B,キュウリ,411.8,286.6,19.1,INS-05
2024/01/08,REC-0067,FARM-A,農場A,レタス,110.0,51.1,5.8,INS-05
2024/01/20,REC-0068,FARM-C,農場C,レタス,325.7,234.3,16.4,INS-05
2024/01/15,REC-0069,FARM-B,農場B,レタス,252.5,189.8,21.2,INS-03
2024/01/17,REC-0070,FARM-D,農場D,キュウリ,173.6,13.5,5.0,INS-03
2024/01/11,REC-0071,FARM-C,農場C,ほうれん草,86.3,13.0,3.3,INS-02
2024/01/07,REC-0072,FARM-A,農場A,レタス,233.4,126.6,9.7,INS-02
2024/01/14,REC-0073,FARM-D,農場D,ほうれん草,475.7,9.3,41.9,INS-05
2024/01/13,REC-0074,FARM-D,農場D,トマト,474.2,141.6,18.5,INS-04
2024/01/18,REC-0075,FARM-B,農場B,レタス,148.7,64.8,0.4,INS-03
2024/01/13,REC-0076,FARM-B,農場B,レタス,463.8,454.9,24.8,INS-04
2024/01/19,REC-0077,FARM-A,農場A,トマト,339.2,46.0,15.7,INS-01
2024/01/09,REC-0078,FARM-D,農場D,ピーマン,145.2,47.5,11.1,INS-04
2024/01/09,REC-0079,FARM-D,農場D,ピーマン,425.7,200.2,31.9,INS-01
2024/01/12,REC-0080,FARM-B,農場B,トマト,401.6,261.7,30.3,INS-02
2024/01/07,REC-0081,FARM-A,農場A,ほうれん草,118.6,15.0,7.9,INS-05
2024/01/07,REC-0082,FARM-D,農場D,ピーマン,395.1,66.3,24.0,INS-01
2024/01/06,REC-0083,FARM-C,農場C,トマト,310.4,288.3,17.9,INS-04
2024/01/13,REC-0084,FARM-B,農場B,トマト,316.4,262.8,7.7,INS-03
2024/01/20,REC-0085,FARM-A,農場A,ほうれん草,402.2,139.6,17.2,INS-03
2024/01/03,REC-0086,FARM-C,農場C,トマト,432.3,355.5,4.6,INS-03
2024/01/15,REC-0087,FARM-B,農場B,レタス,129.3,67.5,8.4,INS-05
2024/01/18,REC-0088,FARM-D,農場D,レタス,246.0,179.8,6.6,INS-02
2024/01/03,REC-0089,FARM-C,農場C,レタス,159.7,74.2,9.7,INS-04
2024/01/11,REC-0090,FARM-A,農場A,レタス,432.9,78.7,9.2,INS-03
2024/01/11,REC-0091,FARM-C,農場C,ほうれん草,365.5,101.0,0.4,INS-02
2024/01/03,REC-0092,FARM-B,農場B,レタス,269.9,204.6,18.6,INS-04
2024/01/15,REC-0093,FARM-A,農場A,トマト,182.4,73.8,4.4,INS-05
2024/01/12,REC-0094,FARM-D,農場D,ほうれん草,288.9,122.9,21.6,INS-03
2024/01/12,REC-0095,FARM-D,農場D,ピーマン,188.0,43.3,13.6,INS-03
2024/01/04,REC-0096,FARM-B,農場B,キュウリ,147.4,71.4,10.7,INS-05
2024/01/20,REC-0097,FARM-C,農場C,トマト,424.7,125.8,15.3,INS-03
2024/01/01,REC-0098,FARM-B,農場B,ピーマン,70.5,3.8,2.1,INS-02
2024/01/16,REC-0099,FARM-A,農場A,トマト,308.3,144.7,13.6,INS-02
2024/01/02,REC-0100,FARM-C,農場C,レタス,101.3,6.6,5.0,INS-05
2024/01/02,REC-0101,FARM-B,農場B,キュウリ,415.0,393.9,3.5,INS-02
2024/01/04,REC-0102,FARM-D,農場D,ほうれん草,318.3,196.8,24.7,INS-04
2024/01/15,REC-0103,FARM-D,農場D,ピーマン,437.1,432.7,13.3,INS-05
2024/01/02,REC-0104,FARM-A,農場A,キュウリ,331.5,87.7,2.7,INS-02
2024/01/06,REC-0105,FARM-A,農場A,キュウリ,51.2,23.1,3.0,INS-03
2024/01/02,REC-0106,FARM-B,農場B,ピーマン,368.1,258.8,16.7,INS-02
2024/01/09,REC-0107,FARM-B,農場B,レタス,101.6,22.8,1.5,INS-03
2024/01/05,REC-0108,FARM-A,農場A,トマト,124.7,38.4,9.3,INS-05
2024/01/10,REC-0109,FARM-D,農場D,トマト,260.9,79.3,10.5,INS-03
2024/01/17,REC-0110,FARM-D,農場D,レタス,86.2,3.4,3.7,INS-03
2024/01/20,REC-0111,FARM-C,農場C,トマト,91.1,87.6,7.6,INS-05
2024/01/19,REC-0112,FARM-A,農場A,ピーマン,309.3,236.0,5.4,INS-05
2024/01/15,REC-0113,FARM-C,農場C,キュウリ,498.6,217.3,40.6,INS-01
2024/01/16,REC-0114,FARM-C,農場C,レタス,200.0,134.0,17.2,INS-03
2024/01/14,REC-0115,FARM-D,農場D,ピーマン,348.2,139.4,26.5,INS-01
2024/01/15,REC-0116,FARM-A,農場A,ピーマン,163.6,19.0,12.6,INS-05
2024/01/01,REC-0117,FARM-D,農場D,レタス,74.4,38.6,4.6,INS-04
2024/01/15,REC-0118,FARM-A,農場A,キュウリ,170.2,22.3,4.9,INS-04
2024/01/04,REC-0119,FARM-A,農場A,ほうれん草,409.7,290.8,12.7,INS-01
2024/01/18,REC-0120,FARM-D,農場D,トマト,151.1,127.1,1.7,INS-01
2024/01/05,REC-0121,FARM-D,農場D,ピーマン,279.0,76.3,23.3,INS-04
2024/01/08,REC-0122,FARM-D,農場D,ほうれん草,115.1,21.9,6.9,INS-02
2024/01/03,REC-0123,FARM-C,農場C,レタス,202.9,159.8,5.4,INS-01
2024/01/10,REC-0124,FARM-C,農場C,ほうれん草,311.0,205.2,26.9,INS-04
2024/01/18,REC-0125,FARM-D,農場D,ピーマン,199.6,152.3,7.5,INS-03
2024/01/07,REC-0126,FARM-B,農場B,ほうれん草,222.3,190.3,9.1,INS-03
2024/01/16,REC-0127,FARM-D,農場D,レタス,494.8,392.1,32.3,INS-02
2024/01/16,REC-0128,FARM-A,農場A,キュウリ,276.0,162.9,24.0,INS-04
2024/01/04,REC-0129,FARM-D,農場D,トマト,375.1,153.8,24.6,INS-02
2024/01/03,REC-0130,FARM-D,農場D,ピーマン,202.4,140.2,13.2,INS-03
2024/01/18,REC-0131,FARM-D,農場D,ピーマン,332.1,294.7,16.2,INS-05
2024/01/02,REC-0132,FARM-A,農場A,キュウリ,334.0,307.6,33.3,INS-01
2024/01/14,REC-0133,FARM-A,農場A,トマト,249.7,173.3,22.6,INS-01
2024/01/11,REC-0134,FARM-A,農場A,ピーマン,211.3,91.0,5.2,INS-04
2024/01/19,REC-0135,FARM-B,農場B,キュウリ,128.8,78.5,4.9,INS-02
2024/01/16,REC-0136,FARM-B,農場B,キュウリ,257.5,65.4,6.6,INS-01
2024/01/15,REC-0137,FARM-C,農場C,ほうれん草,121.1,53.5,4.2,INS-05
2024/01/10,REC-0138,FARM-D,農場D,ピーマン,255.6,77.2,25.5,INS-04
2024/01/04,REC-0139,FARM-B,農場B,レタス,307.4,176.7,30.5,INS-03
2024/01/01,REC-0140,FARM-D,農場D,ピーマン,53.6,46.4,4.2,INS-01
2024/01/20,REC-0141,FARM-D,農場D,ピーマン,399.1,91.8,32.0,INS-02
2024/01/07,REC-0142,FARM-C,農場C,キュウリ,332.7,300.6,21.5,INS-03
2024/01/15,REC-0143,FARM-A,農場A,ほうれん草,214.2,28.1,19.5,INS-03
2024/01/14,REC-0144,FARM-B,農場B,キュウリ,109.5,59.1,10.6,INS-05
2024/01/17,REC-0145,FARM-C,農場C,キュウリ,165.6,136.6,8.0,INS-03
2024/01/11,REC-0146,FARM-A,農場A,レタス,483.3,68.0,46.7,INS-04
2024/01/18,REC-0147,FARM-C,農場C,トマト,405.8,5.6,21.8,INS-04
2024/01/12,REC-0148,FARM-C,農場C,ほうれん草,221.5,141.4,8.2,INS-02
2024/01/16,REC-0149,FARM-A,農場A,ほうれん草,447.9,251.5,41.0,INS-02
2024/01/03,REC-0150,FARM-D,農場D,ピーマン,342.2,39.9,1.6,INS-01
2024/01/10,REC-0151,FARM-D,農場D,トマト,93.7,83.1,1.3,INS-04
2024/01/12,REC-0152,FARM-D,農場D,ほうれん草,384.0,59.3,15.9,INS-01
2024/01/16,REC-0153,FARM-D,農場D,ピーマン,64.7,24.0,2.9,INS-02
2024/01/12,REC-0154,FARM-A,農場A,ピーマン,295.0,288.5,10.6,INS-04
2024/01/09,REC-0155,FARM-B,農場B,トマト,477.1,393.2,4.4,INS-02
2024/01/20,REC-0156,FARM-A,農場A,トマト,404.1,98.4,5.1,INS-05
2024/01/07,REC-0157,FARM-A,農場A,ほうれん草,143.2,30.9,12.5,INS-03
2024/01/05,REC-0158,FARM-A,農場A,ピーマン,436.3,63.1,5.7,INS-03
2024/01/06,REC-0159,FARM-A,農場A,トマト,109.3,39.2,8.6,INS-05
2024/01/11,REC-0160,FARM-A,農場A,キュウリ,169.4,21.5,7.1,INS-01
