出荷日,レコード番号,圃場ID,圃場名,品目,収量kg,A品数量,不良数量,担当検査員
2024/01/18,REC-0359,FARM-A,農場A,ピーマン,365.7,297.1,21.7,INS-01
2024/01/04,REC-0360,FARM-B,農場B,ピーマン,124.9,76.5,7.0,INS-04
2024/01/11,REC-0361,FARM-D,農場D,トマト,54.7,14.2,2.8,INS-05
2024/01/18,REC-0362,FARM-B,農場B,レタス,218.4,101.1,14.8,INS-05
2024/01/05,REC-0363,FARM-C,農場C,トマト,267.2,78.9,24.6,INS-01
2024/01/04,REC-0364,FARM-B,農場B,ピーマン,190.4,86.7,3.9,INS-04
2024/01/12,REC-0365,FARM-D,農場D,トマト,247.2,172.2,7.9,INS-03
2024/01/02,REC-0366,FARM-A,農場A,トマト,432.1,280.0,29.3,INS-02
2024/01/08,REC-0367,FARM-B,農場B,ほうれん草,122.1,68.4,11.7,INS-02
2024/01/13,REC-0368,FARM-B,農場B,キュウリ,338.2,146.1,1.0,INS-05
2024/01/07,REC-0369,FARM-D,農場D,ほうれん草,243.3,1.1,5.2,INS-03
2024/01/03,REC-0370,FARM-A,農場A,ほうれん草,134.1,43.7,6.1,INS-03
2024/01/16,REC-0371,FARM-C,農場C,ほうれん草,224.9,88.3,2.6,INS-03
2024/01/15,REC-0372,FARM-B,農場B,ピーマン,463.4,273.5,31.1,INS-03
2024/01/04,REC-0373,FARM-B,農場B,ピーマン,102.6,38.3,1.5,INS-04
2024/01/14,REC-0374,FARM-B,農場B,ほうれん草,222.7,41.4,14.2,INS-02
2024/01/18,REC-0375,FARM-B,農場B,レタス,180.0,33.7,15.2,INS-05
2024/01/02,REC-0376,FARM-C,農場C,トマト,268.1,52.3,10.3,INS-05
2024/01/17,REC-0377,FARM-D,農場D,レタス,358.1,148.8,30.1,INS-04
2024/01/06,REC-0378,FARM-A,農場A,ほうれん草,63.9,48.6,1.9,INS-03
2024/01/08,REC-0379,FARM-C,農場C,キュウリ,401.3,227.0,31.0,INS-04
2024/01/18,REC-0380,FARM-A,農場A,ほうれん草,101.4,78.6,8.3,INS-03
2024/01/18,REC-0381,FARM-A,農場A,レタス,295.9,292.9,3.0,INS-02
2024/01/10,REC-0382,FARM-A,農場A,レタス,168.3,145.1,1.5,INS-01
2024/01/08,REC-0383,FARM-B,農場B,ほうれん草,360.1,310.1,22.0,INS-04
2024/01/06,REC-0384,FARM-B,農場B,キュウリ,416.1,335.1,23.7,INS-05
2024/01/09,REC-0385,FARM-B,農場B,ピーマン,490.6,143.6,28.1,INS-05
2024/01/04,REC-0386,FARM-B,農場B,レタス,463.4,459.9,40.2,INS-02
2024/01/05,REC-0387,FARM-B,農場B,キュウリ,370.1,306.6,28.2,INS-04
2024/01/16,REC-0388,FARM-B,農場B,ほうれん草,334.6,210.1,12.6,INS-01
2024/01/03,REC-0389,FARM-D,農場D,ほうれん草,387.4,269.1,34.0,INS-04
2024/01/16,REC-0390,FARM-C,農場C,ほうれん草,51.1,39.6,3.7,INS-04
2024/01/12,REC-0391,FARM-A,農場A,ほうれん草,229.0,221.7,18.9,INS-04
2024/01/09,REC-0392,FARM-C,農場C,ピーマン,202.0,116.7,11.4,INS-04
2024/01/11,REC-0393,FARM-A,農場A,トマト,94.8,74.3,4.4,INS-01
2024/01/06,REC-0394,FARM-D,農場D,レタス,50.3,48.2,1.0,INS-02
2024/01/10,REC-0395,FARM-B,農場B,ピーマン,92.0,33.2,0.8,INS-02
2024/01/02,REC-0396,FARM-D,農場D,ピーマン,376.7,284.5,16.2,INS-01
2024/01/04,REC-0397,FARM-A,農場A,キュウリ,264.6,35.1,6.0,INS-04
2024/01/01,REC-0398,FARM-A,農場A,ピーマン,417.7,412.8,17.6,INS-02
2024/01/16,REC-0399,FARM-A,農場A,キュウリ,222.4,162.5,2.3,INS-03
2024/01/12,REC-0400,FARM-C,農場C,キュウリ,222.2,180.7,19.4,INS-02
2024/01/03,REC-0401,FARM-A,農場A,ほうれん草,342.5,150.7,24.7,INS-02
2024/01/14,REC-0402,FARM-D,農場D,キュウリ,89.0,8.9,6.7,INS-05
2024/01/13,REC-0403,FARM-C,農場C,レタス,191.5,26.8,5.3,INS-01
2024/01/08,REC-0404,FARM-C,農場C,トマト,431.6,284.2,13.0,INS-05
2024/01/20,REC-0405,FARM-B,農場B,レタス,183.0,10.0,16.4,INS-02
2024/01/16,REC-0406,FARM-D,農場D,トマト,158.5,101.1,1.1,INS-01
2024/01/12,REC-0407,FARM-C,農場C,キュウリ,224.1,188.0,9.4,INS-05
2024/01/06,REC-0408,FARM-D,農場D,トマト,57.5,3.9,1.5,INS-01
2024/01/02,REC-0409,FARM-D,農場D,ほうれん草,178.9,127.5,13.7,INS-04
2024/01/13,REC-0410,FARM-A,農場A,ほうれん草,291.9,44.6,2.4,INS-01
2024/01/17,REC-0411,FARM-B,農場B,キュウリ,291.4,113.9,18.5,INS-01
2024/01/10,REC-0412,FARM-D,農場D,キュウリ,76.1,6.6,3.3,INS-04
2024/01/20,REC-0413,FARM-A,農場A,ピーマン,349.7,230.1,6.1,INS-01
2024/01/05,REC-0414,FARM-A,農場A,キュウリ,273.4,94.8,14.1,INS-03
2024/01/06,REC-0415,FARM-C,農場C,キュウリ,387.4,338.4,28.4,INS-01
2024/01/01,REC-0416,FARM-C,農場C,レタス,172.4,11.0,12.3,INS-05
2024/01/03,REC-0417,FARM-D,農場D,レタス,279.9,15.5,24.1,INS-02
2024/01/12,REC-0418,FARM-B,農場B,ピーマン,398.0,355.9,26.8,INS-01
2024/01/08,REC-0419,FARM-A,農場A,トマト,436.4,5.4,2.0,INS-03
2024/01/13,REC-0420,FARM-B,農場B,キュウリ,469.0,402.2,25.9,INS-04
2024/01/08,REC-0421,FARM-C,農場C,キュウリ,237.3,170.9,6.4,INS-01
2024/01/19,REC-0422,FARM-C,農場C,トマト,275.9,248.8,4.9,INS-05
2024/01/02,REC-0423,FARM-D,農場D,トマト,444.6,385.0,34.4,INS-03
2024/01/11,REC-0424,FARM-A,農場A,ほうれん草,255.5,94.3,7.5,INS-03
2024/01/20,REC-0425,FARM-B,農場B,レタス,215.7,209.6,21.5,INS-02
2024/01/18,REC-0426,FARM-B,農場B,キュウリ,52.9,21.7,1.2,INS-03
2024/01/01,REC-0427,FARM-C,農場C,トマト,391.5,147.3,28.9,INS-03
2024/01/04,REC-0428,FARM-B,農場B,ほうれん草,492.4,206.7,47.3,INS-02
2024/01/09,REC-0429,FARM-A,農場A,トマト,464.6,416.9,24.1,INS-03
2024/01/15,REC-0430,FARM-A,農場A,ほうれん草,93.0,12.4,7.6,INS-01
2024/01/19,REC-0431,FARM-A,農場A,レタス,348.1,45.5,10.2,INS-03
2024/01/13,REC-0432,FARM-C,農場C,ピーマン,253.7,59.3,23.9,INS-02
2024/01/19,REC-0433,FARM-A,農場A,キュウリ,97.5,43.8,3.1,INS-01
2024/01/18,REC-0434,FARM-C,農場C,キュウリ,253.4,117.4,21.6,INS-01
2024/01/06,REC-0435,FARM-C,農場C,ほうれん草,68.1,56.9,2.2,INS-01
2024/01/08,REC-0436,FARM-C,農場C,レタス,281.1,190.4,7.3,INS-02
2024/01/01,REC-0437,FARM-D,農場D,レタス,300.2,165.1,2.8,INS-01
2024/01/05,REC-0438,FARM-A,農場A,トマト,77.8,60.8,1.7,INS-02
2024/01/13,REC-0439,FARM-C,農場C,トマト,312.0,80.8,25.4,INS-01
2024/01/03,REC-0440,FARM-B,農場B,レタス,414.2,38.1,35.1,INS-03
2024/01/04,REC-0441,FARM-A,農場A,レタス,72.8,67.3,3.2,INS-04
2024/01/16,REC-0442,FARM-A,農場A,レタス,357.4,61.8,7.7,INS-02
2024/01/09,REC-0443,FARM-C,農場C,レタス,447.5,15.5,27.7,INS-02
2024/01/10,REC-0444,FARM-D,農場D,レタス,447.3,214.3,3.9,INS-04
2024/01/05,REC-0445,FARM-D,農場D,キュウリ,339.2,270.4,8.5,INS-05
2024/01/01,REC-0446,FARM-D,農場D,ピーマン,265.9,207.8,9.1,INS-05
2024/01/17,REC-0447,FARM-C,農場C,レタス,171.7,4.5,10.3,INS-01
2024/01/09,REC-0448,FARM-A,農場A,レタス,288.2,221.0,28.8,INS-02
2024/01/04,REC-0449,FARM-B,農場B,キュウリ,169.9,138.7,15.6,INS-01
2024/01/08,REC-0450,FARM-D,農場D,ピーマン,470.8,466.8,8.2,INS-02
2024/01/19,REC-0451,FARM-C,農場C,ピーマン,461.3,13.0,32.3,INS-05
2024/01/19,REC-0452,FARM-B,農場B,ほうれん草,476.8,398.9,38.6,INS-04
2024/01/18,REC-0453,FARM-C,農場C,キュウリ,270.7,24.4,6.3,INS-02
2024/01/01,REC-0454,FARM-D,農場D,トマト,199.3,122.4,16.1,INS-03
2024/01/06,REC-0455,FARM-C,農場C,トマト,59.9,35.1,5.5,INS-01
2024/01/17,REC-0456,FARM-C,農場C,トマト,218.1,205.4,8.6,INS-01
2024/01/11,REC-0457,FARM-C,農場C,ピーマン,111.4,17.5,10.6,INS-04
2024/01/11,REC-0458,FARM-B,農場B,ほうれん草,362.1,336.3,28.5,INS-02
2024/01/19,REC-0459,FARM-B,農場B,レタス,188.1,129.5,2.4,INS-01
2024/01/19,REC-0460,FARM-D,農場D,ほうれん草,64.6,38.9,5.9,INS-05
2024/01/08,REC-0461,FARM-A,農場A,レタス,113.3,84.4,2.7,INS-03
2024/01/06,REC-0462,FARM-A,農場A,ピーマン,251.0,66.6,6.3,INS-01
2024/01/12,REC-0463,FARM-C,農場C,トマト,374.2,18.0,16.4,INS-04
2024/01/06,REC-0464,FARM-D,農場D,レタス,446.8,156.9,16.8,INS-04
2024/01/19,REC-0465,FARM-B,農場B,キュウリ,253.1,202.3,0.8,INS-01
2024/01/11,REC-0466,FARM-C,農場C,トマト,83.4,14.2,3.1,INS-01
2024/01/18,REC-0467,FARM-A,農場A,ピーマン,317.3,194.7,15.3,INS-01
2024/01/14,REC-0468,FARM-B,農場B,ほうれん草,450.4,70.8,4.6,INS-02
2024/01/07,REC-0469,FARM-D,農場D,ほうれん草,374.9,273.7,9.9,INS-03
2024/01/10,REC-0470,FARM-B,農場B,トマト,72.3,41.3,6.1,INS-02
2024/01/02,REC-0471,FARM-C,農場C,トマト,242.4,71.4,16.0,INS-05
2024/01/16,REC-0472,FARM-B,農場B,トマト,61.6,10.5,1.8,INS-01
2024/01/16,REC-0473,FARM-A,農場A,ピーマン,403.2,189.9,36.1,INS-03
2024/01/03,REC-0474,FARM-D,農場D,キュウリ,217.0,82.8,4.0,INS-01
2024/01/09,REC-0475,FARM-D,農場D,レタス,168.5,141.0,9.5,INS-02
2024/01/04,REC-0476,FARM-A,農場A,ピーマン,413.7,171.3,31.3,INS-02
2024/01/18,REC-0477,FARM-A,農場A,レタス,418.3,175.1,22.4,INS-04
2024/01/19,REC-0478,FARM-B,農場B,レタス,184.5,72.8,15.8,INS-01
2024/01/17,REC-0479,FARM-B,農場B,トマト,477.2,214.3,45.3,INS-02
2024/01/07,REC-0480,FARM-B,農場B,キュウリ,69.2,5.4,4.7,INS-02
