HarvestDate,RecordID,FarmID,FarmName,Crop,HarvestQty,GradeAQty,DefectQty,InspectorID
2024-01-03,REC-0183,FARM-D,農場D,トマト,246.3,113.2,1.9,INS-03
2024-01-19,REC-0184,FARM-D,農場D,ほうれん草,232.0,148.5,6.7,INS-04
2024-01-01,REC-0185,FARM-C,農場C,キュウリ,410.6,253.8,34.2,INS-03
2024-01-03,REC-0186,FARM-D,農場D,トマト,159.5,93.9,8.4,INS-04
2024-01-10,REC-0187,FARM-C,農場C,キュウリ,199.9,33.6,10.2,INS-01
2024-01-17,REC-0188,FARM-B,農場B,ピーマン,208.0,199.3,13.4,INS-02
2024-01-08,REC-0189,FARM-A,農場A,キュウリ,165.2,28.7,2.5,INS-01
2024-01-06,REC-0190,FARM-D,農場D,レタス,389.5,296.0,17.5,INS-05
2024-01-20,REC-0191,FARM-C,農場C,ピーマン,117.9,8.1,5.2,INS-03
2024-01-09,REC-0192,FARM-A,農場A,ピーマン,278.3,86.4,12.6,INS-01
2024-01-12,REC-0193,FARM-C,農場C,トマト,340.1,332.4,3.1,INS-05
2024-01-17,REC-0194,FARM-D,農場D,レタス,311.1,296.9,23.0,INS-01
2024-01-15,REC-0195,FARM-B,農場B,ピーマン,322.3,161.6,30.9,INS-04
2024-01-04,REC-0196,FARM-C,農場C,トマト,277.0,47.8,6.9,INS-04
2024-01-15,REC-0197,FARM-B,農場B,ピーマン,217.8,61.6,8.9,INS-03
2024-01-20,REC-0198,FARM-A,農場A,ピーマン,79.7,7.5,5.4,INS-03
2024-01-09,REC-0199,FARM-B,農場B,ピーマン,86.7,57.5,7.9,INS-03
2024-01-13,REC-0200,FARM-B,農場B,ほうれん草,369.0,31.3,20.6,INS-03
2024-01-05,REC-0201,FARM-A,農場A,レタス,278.8,5.1,8.6,INS-02
2024-01-11,REC-0202,FARM-D,農場D,キュウリ,151.9,20.9,1.2,INS-01
2024-01-17,REC-0203,FARM-A,農場A,ピーマン,444.4,274.7,26.5,INS-02
2024-01-06,REC-0204,FARM-B,農場B,ほうれん草,414.1,68.5,18.1,INS-04
2024-01-12,REC-0205,FARM-B,農場B,レタス,324.8,244.4,25.5,INS-02
2024-01-18,REC-0206,FARM-B,農場B,ピーマン,484.5,380.0,43.8,INS-02
2024-01-12,REC-0207,FARM-D,農場D,レタス,396.2,308.3,19.9,INS-04
2024-01-06,REC-0208,FARM-B,農場B,ほうれん草,112.3,28.1,7.2,INS-03
2024-01-18,REC-0209,FARM-A,農場A,ほうれん草,433.0,123.4,33.0,INS-03
2024-01-15,REC-0210,FARM-B,農場B,レタス,91.3,83.1,7.5,INS-03
2024-01-01,REC-0211,FARM-D,農場D,トマト,228.4,85.4,8.8,INS-01
2024-01-12,REC-0212,FARM-B,農場B,トマト,193.4,19.2,13.8,INS-03
2024-01-05,REC-0213,FARM-B,農場B,トマト,179.1,148.6,12.5,INS-02
2024-01-16,REC-0214,FARM-D,農場D,ほうれん草,52.4,4.2,1.3,INS-02
2024-01-18,REC-0215,FARM-D,農場D,トマト,399.3,94.9,4.9,INS-02
2024-01-14,REC-0216,FARM-D,農場D,トマト,99.9,90.4,6.0,INS-01
2024-01-17,REC-0217,FARM-B,農場B,キュウリ,181.1,0.3,6.4,INS-05
2024-01-14,REC-0218,FARM-B,農場B,トマト,285.6,103.0,27.2,INS-05
2024-01-17,REC-0219,FARM-A,農場A,レタス,443.0,19.3,17.1,INS-03
2024-01-09,REC-0220,FARM-A,農場A,ピーマン,404.8,139.6,29.7,INS-01
2024-01-19,REC-0221,FARM-C,農場C,キュウリ,70.0,38.2,5.7,INS-02
2024-01-15,REC-0222,FARM-D,農場D,キュウリ,415.2,26.2,32.2,INS-04
2024-01-02,REC-0223,FARM-C,農場C,キュウリ,69.7,13.9,0.3,INS-03
2024-01-17,REC-0224,FARM-D,農場D,ほうれん草,263.0,9.6,17.0,INS-03
2024-01-12,REC-0225,FARM-A,農場A,ピーマン,172.9,138.2,7.6,INS-04
2024-01-15,REC-0226,FARM-D,農場D,ピーマン,488.2,242.2,24.3,INS-05
2024-01-09,REC-0227,FARM-A,農場A,レタス,85.5,51.5,7.0,INS-05
2024-01-10,REC-0228,FARM-C,農場C,トマト,86.0,56.8,2.6,INS-05
2024-01-14,REC-0229,FARM-B,農場B,レタス,208.2,8.8,18.1,INS-03
2024-01-20,REC-0230,FARM-D,農場D,ピーマン,337.8,267.4,1.9,INS-04
2024-01-12,REC-0231,FARM-B,農場B,トマト,114.3,69.4,8.9,INS-01
2024-01-05,REC-0232,FARM-A,農場A,キュウリ,400.3,146.6,15.3,INS-05
2024-01-02,REC-0233,FARM-B,農場B,レタス,477.0,177.5,36.4,INS-05
2024-01-05,REC-0234,FARM-C,農場C,レタス,191.5,53.4,18.4,INS-01
2024-01-06,REC-0235,FARM-D,農場D,ほうれん草,224.1,125.9,5.9,INS-03
2024-01-15,REC-0236,FARM-B,農場B,ほうれん草,178.5,163.6,8.8,INS-01
2024-01-05,REC-0237,FARM-A,農場A,レタス,127.7,91.1,12.7,INS-03
2024-01-12,REC-0238,FARM-A,農場A,ほうれん草,294.0,262.1,25.0,INS-02
2024-01-12,REC-0239,FARM-B,農場B,トマト,493.3,390.7,11.7,INS-04
2024-01-01,REC-0240,FARM-C,農場C,ほうれん草,307.5,143.7,30.2,INS-02
2024-01-20,REC-0241,FARM-A,農場A,トマト,189.2,189.1,13.6,INS-05
2024-01-14,REC-0242,FARM-D,農場D,ほうれん草,83.2,80.9,5.3,INS-04
2024-01-15,REC-0243,FARM-C,農場C,キュウリ,445.1,347.3,28.5,INS-02
2024-01-05,REC-0244,FARM-D,農場D,ほうれん草,459.8,25.5,5.7,INS-02
2024-01-10,REC-0245,FARM-B,農場B,キュウリ,195.2,138.5,6.8,INS-05
2024-01-10,REC-0246,FARM-A,農場A,ピーマン,138.3,132.3,3.8,INS-03
2024-01-20,REC-0247,FARM-A,農場A,ほうれん草,338.4,200.3,19.6,INS-02
2024-01-20,REC-0248,FARM-C,農場C,ほうれん草,68.5,59.2,0.6,INS-05
2024-01-09,REC-0249,FARM-B,農場B,ほうれん草,237.5,151.8,11.8,INS-05
2024-01-10,REC-0250,FARM-C,農場C,レタス,160.2,129.3,6.5,INS-04
2024-01-03,REC-0251,FARM-A,農場A,キュウリ,247.8,120.0,5.1,INS-05
2024-01-05,REC-0252,FARM-C,農場C,ピーマン,380.4,327.4,37.1,INS-02
2024-01-12,REC-0253,FARM-A,農場A,ピーマン,158.8,19.5,7.1,INS-02
2024-01-04,REC-0254,FARM-A,農場A,ピーマン,475.4,410.8,19.9,INS-02
2024-01-11,REC-0255,FARM-C,農場C,キュウリ,393.4,196.0,20.2,INS-04
2024-01-10,REC-0256,FARM-D,農場D,トマト,90.5,35.6,4.1,INS-02
2024-01-07,REC-0257,FARM-C,農場C,トマト,72.7,36.0,6.4,INS-04
2024-01-10,REC-0258,FARM-A,農場A,トマト,243.9,215.2,17.7,INS-04
2024-01-12,REC-0259,FARM-A,農場A,レタス,73.0,41.0,2.6,INS-03
2024-01-03,REC-0260,FARM-D,農場D,ほうれん草,252.7,138.9,20.9,INS-05
2024-01-20,REC-0261,FARM-A,農場A,キュウリ,488.8,192.5,38.9,INS-03
2024-01-18,REC-0262,FARM-C,農場C,キュウリ,139.6,71.1,7.0,INS-01
2024-01-02,REC-0263,FARM-B,農場B,ピーマン,411.8,213.9,6.1,INS-05
2024-01-05,REC-0264,FARM-C,農場C,ほうれん草,193.3,76.0,11.9,INS-03
2024-01-19,REC-0265,FARM-C,農場C,ほうれん草,422.7,225.0,30.0,INS-03
2024-01-16,REC-0266,FARM-A,農場A,ピーマン,199.1,21.8,8.3,INS-03
2024-01-01,REC-0267,FARM-D,農場D,ピーマン,485.2,379.9,37.7,INS-05
2024-01-08,REC-0268,FARM-A,農場A,ほうれん草,266.2,139.6,19.2,INS-04
2024-01-05,REC-0269,FARM-B,農場B,トマト,307.7,215.6,5.9,INS-04
2024-01-11,REC-0270,FARM-D,農場D,キュウリ,235.8,48.1,11.8,INS-05
2024-01-16,REC-0271,FARM-A,農場A,キュウリ,283.4,159.0,28.3,INS-04
2024-01-17,REC-0272,FARM-D,農場D,ピーマン,480.5,220.9,25.6,INS-05
2024-01-12,REC-0273,FARM-C,農場C,ほうれん草,267.9,256.5,7.5,INS-03
2024-01-08,REC-0274,FARM-C,農場C,ピーマン,367.2,253.5,18.0,INS-04
2024-01-12,REC-0275,FARM-C,農場C,ピーマン,104.8,70.9,4.0,INS-04
2024-01-12,REC-0276,FARM-B,農場B,ピーマン,68.9,65.8,0.5,INS-04
2024-01-09,REC-0277,FARM-D,農場D,キュウリ,140.9,75.9,13.1,INS-03
2024-01-05,REC-0278,FARM-A,農場A,ほうれん草,383.4,91.7,1.9,INS-05
2024-01-08,REC-0279,FARM-B,農場B,トマト,95.1,31.4,4.5,INS-02
2024-01-01,REC-0280,FARM-B,農場B,レタス,343.8,302.8,16.4,INS-02
2024-01-10,REC-0281,FARM-C,農場C,ピーマン,340.7,309.3,3.0,INS-05
2024-01-08,REC-0282,FARM-A,農場A,キュウリ,238.0,199.3,22.2,INS-01
2024-01-13,REC-0283,FARM-D,農場D,キュウリ,471.5,453.6,43.7,INS-01
2024-01-01,REC-0284,FARM-C,農場C,ほうれん草,321.3,298.3,10.8,INS-04
2024-01-18,REC-0285,FARM-D,農場D,キュウリ,433.0,202.7,8.3,INS-01
2024-01-11,REC-0286,FARM-B,農場B,レタス,341.7,245.5,0.5,INS-03
2024-01-10,REC-0287,FARM-B,農場B,キュウリ,324.9,207.5,13.2,INS-04
2024-01-17,REC-0288,FARM-C,農場C,トマト,230.4,22.0,22.6,INS-04
2024-01-11,REC-0289,FARM-B,農場B,トマト,167.4,39.4,12.6,INS-03
2024-01-10,REC-0290,FARM-A,農場A,ピーマン,344.2,238.5,2.1,INS-01
2024-01-15,REC-0291,FARM-C,農場C,キュウリ,232.4,116.8,20.8,INS-03
2024-01-04,REC-0292,FARM-C,農場C,ピーマン,326.6,71.6,4.4,INS-02
2024-01-15,REC-0293,FARM-C,農場C,レタス,365.9,334.0,27.7,INS-02
2024-01-08,REC-0294,FARM-A,農場A,ほうれん草,251.0,176.6,2.0,INS-05
2024-01-04,REC-0295,FARM-A,農場A,ほうれん草,456.3,92.2,24.5,INS-02
2024-01-11,REC-0296,FARM-D,農場D,トマト,356.1,255.3,17.4,INS-05
2024-01-15,REC-0297,FARM-A,農場A,レタス,109.4,45.4,6.2,INS-05
2024-01-15,REC-0298,FARM-C,農場C,トマト,228.2,186.3,17.0,INS-05
2024-01-03,REC-0299,FARM-A,農場A,レタス,205.0,13.1,20.4,INS-01
2024-01-16,REC-0300,FARM-A,農場A,ピーマン,234.0,179.9,17.9,INS-04
2024-01-12,REC-0301,FARM-D,農場D,レタス,441.3,400.2,16.6,INS-05
2024-01-05,REC-0302,FARM-C,農場C,トマト,130.3,70.0,6.9,INS-02
2024-01-01,REC-0303,FARM-A,農場A,ピーマン,258.4,185.8,11.0,INS-04
2024-01-08,REC-0304,FARM-B,農場B,レタス,205.8,56.7,19.3,INS-01
2024-01-02,REC-0305,FARM-D,農場D,ほうれん草,394.7,348.8,0.6,INS-02
2024-01-03,REC-0306,FARM-A,農場A,ほうれん草,65.1,38.9,4.6,INS-01
2024-01-08,REC-0307,FARM-A,農場A,レタス,247.5,133.6,18.7,INS-01
2024-01-05,REC-0308,FARM-C,農場C,キュウリ,417.1,305.1,13.3,INS-05
2024-01-11,REC-0309,FARM-B,農場B,ピーマン,444.3,437.9,23.2,INS-04
2024-01-10,REC-0310,FARM-C,農場C,トマト,300.5,177.8,22.1,INS-02
2024-01-14,REC-0311,FARM-D,農場D,トマト,487.5,459.0,32.7,INS-05
2024-01-11,REC-0312,FARM-D,農場D,レタス,117.1,44.1,8.8,INS-04
2024-01-08,REC-0313,FARM-B,農場B,ピーマン,435.9,62.9,20.2,INS-01
2024-01-18,REC-0314,FARM-D,農場D,レタス,300.8,40.3,7.3,INS-02
2024-01-11,REC-0315,FARM-A,農場A,レタス,431.2,39.9,31.2,INS-02
2024-01-02,REC-0316,FARM-C,農場C,レタス,353.2,213.0,30.9,INS-02
2024-01-19,REC-0317,FARM-B,農場B,レタス,144.0,130.6,4.4,INS-01
2024-01-07,REC-0318,FARM-B,農場B,トマト,386.1,291.2,35.3,INS-05
2024-01-07,REC-0319,FARM-D,農場D,キュウリ,298.4,231.4,11.4,INS-05
2024-01-12,REC-0320,FARM-C,農場C,ピーマン,211.8,187.0,9.9,INS-04
