ロットID,製品名,検査日,検査項目,判定
LOT-030,製品C,2024-01-07,寸法,合格
LOT-030,製品C,2024-01-07,外観,合格
LOT-030,製品C,2024-01-07,機能,合格
LOT-030,製品C,2024-01-07,強度,不合格
LOT-031,製品D,2024-01-07,寸法,合格
LOT-031,製品D,2024-01-07,外観,合格
LOT-031,製品D,2024-01-07,機能,合格
LOT-031,製品D,2024-01-07,強度,合格
LOT-032,製品E,2024-01-08,寸法,合格
LOT-032,製品E,2024-01-08,外観,合格
LOT-032,製品E,2024-01-08,機能,合格
LOT-032,製品E,2024-01-08,強度,合格
LOT-033,製品D,2024-01-08,寸法,合格
LOT-033,製品D,2024-01-08,外観,合格
LOT-033,製品D,2024-01-08,機能,合格
LOT-033,製品D,2024-01-08,強度,合格
LOT-034,製品E,2024-01-08,寸法,合格
LOT-034,製品E,2024-01-08,外観,合格
LOT-034,製品E,2024-01-08,機能,合格
LOT-034,製品E,2024-01-08,強度,合格
LOT-035,製品C,2024-01-08,寸法,合格
LOT-035,製品C,2024-01-08,外観,合格
LOT-035,製品C,2024-01-08,機能,合格
LOT-035,製品C,2024-01-08,強度,合格
LOT-036,製品C,2024-01-09,寸法,合格
LOT-036,製品C,2024-01-09,外観,合格
LOT-036,製品C,2024-01-09,機能,合格
LOT-036,製品C,2024-01-09,強度,合格
LOT-037,製品A,2024-01-09,寸法,不合格
LOT-037,製品A,2024-01-09,外観,合格
LOT-037,製品A,2024-01-09,機能,合格
LOT-037,製品A,2024-01-09,強度,合格
LOT-038,製品A,2024-01-09,寸法,不合格
LOT-038,製品A,2024-01-09,外観,合格
LOT-038,製品A,2024-01-09,機能,合格
LOT-038,製品A,2024-01-09,強度,合格
LOT-039,製品E,2024-01-09,寸法,合格
LOT-039,製品E,2024-01-09,外観,合格
LOT-039,製品E,2024-01-09,機能,合格
LOT-039,製品E,2024-01-09,強度,合格
LOT-040,製品A,2024-01-09,寸法,合格
LOT-040,製品A,2024-01-09,外観,合格
LOT-040,製品A,2024-01-09,機能,合格
LOT-040,製品A,2024-01-09,強度,合格
LOT-041,製品D,2024-01-10,寸法,合格
LOT-041,製品D,2024-01-10,外観,合格
LOT-041,製品D,2024-01-10,機能,合格
LOT-041,製品D,2024-01-10,強度,合格
LOT-042,製品B,2024-01-10,寸法,合格
LOT-042,製品B,2024-01-10,外観,合格
LOT-042,製品B,2024-01-10,機能,合格
LOT-042,製品B,2024-01-10,強度,合格
LOT-043,製品B,2024-01-10,寸法,合格
LOT-043,製品B,2024-01-10,外観,合格
LOT-043,製品B,2024-01-10,機能,合格
LOT-043,製品B,2024-01-10,強度,合格
LOT-044,製品B,2024-01-11,寸法,合格
LOT-044,製品B,2024-01-11,外観,合格
LOT-044,製品B,2024-01-11,機能,合格
LOT-044,製品B,2024-01-11,強度,合格
LOT-045,製品B,2024-01-11,寸法,合格
LOT-045,製品B,2024-01-11,外観,合格
LOT-045,製品B,2024-01-11,機能,合格
LOT-045,製品B,2024-01-11,強度,合格
LOT-046,製品E,2024-01-11,寸法,合格
LOT-046,製品E,2024-01-11,外観,合格
LOT-046,製品E,2024-01-11,機能,合格
LOT-046,製品E,2024-01-11,強度,合格
LOT-047,製品C,2024-01-11,寸法,合格
LOT-047,製品C,2024-01-11,外観,合格
LOT-047,製品C,2024-01-11,機能,合格
LOT-047,製品C,2024-01-11,強度,合格
LOT-048,製品C,2024-01-12,寸法,合格
LOT-048,製品C,2024-01-12,外観,合格
LOT-048,製品C,2024-01-12,機能,合格
LOT-048,製品C,2024-01-12,強度,合格
LOT-049,製品A,2024-01-12,寸法,合格
LOT-049,製品A,2024-01-12,外観,合格
LOT-049,製品A,2024-01-12,機能,不合格
LOT-049,製品A,2024-01-12,強度,合格
LOT-050,製品A,2024-01-12,寸法,合格
LOT-050,製品A,2024-01-12,外観,合格
LOT-050,製品A,2024-01-12,機能,合格
LOT-050,製品A,2024-01-12,強度,合格
LOT-051,製品A,2024-01-12,寸法,合格
LOT-051,製品A,2024-01-12,外観,不合格
LOT-051,製品A,2024-01-12,機能,合格
LOT-051,製品A,2024-01-12,強度,合格
LOT-052,製品C,2024-01-12,寸法,合格
LOT-052,製品C,2024-01-12,外観,合格
LOT-052,製品C,2024-01-12,機能,不合格
LOT-052,製品C,2024-01-12,強度,合格
LOT-053,製品D,2024-01-13,寸法,不合格
LOT-053,製品D,2024-01-13,外観,合格
LOT-053,製品D,2024-01-13,機能,合格
LOT-053,製品D,2024-01-13,強度,合格
LOT-054,製品E,2024-01-13,寸法,合格
LOT-054,製品E,2024-01-13,外観,合格
LOT-054,製品E,2024-01-13,機能,合格
LOT-054,製品E,2024-01-13,強度,合格
LOT-055,製品A,2024-01-13,寸法,合格
LOT-055,製品A,2024-01-13,外観,合格
LOT-055,製品A,2024-01-13,機能,合格
LOT-055,製品A,2024-01-13,強度,合格
LOT-056,製品C,2024-01-13,寸法,合格
LOT-056,製品C,2024-01-13,外観,合格
LOT-056,製品C,2024-01-13,機能,不合格
LOT-056,製品C,2024-01-13,強度,合格
LOT-057,製品C,2024-01-13,寸法,不合格
LOT-057,製品C,2024-01-13,外観,合格
LOT-057,製品C,2024-01-13,機能,合格
LOT-057,製品C,2024-01-13,強度,合格
LOT-058,製品D,2024-01-14,寸法,合格
LOT-058,製品D,2024-01-14,外観,合格
LOT-058,製品D,2024-01-14,機能,合格
LOT-058,製品D,2024-01-14,強度,合格
LOT-059,製品D,2024-01-14,寸法,合格
LOT-059,製品D,2024-01-14,外観,合格
LOT-059,製品D,2024-01-14,機能,不合格
LOT-059,製品D,2024-01-14,強度,合格
LOT-060,製品C,2024-01-14,寸法,合格
LOT-060,製品C,2024-01-14,外観,合格
LOT-060,製品C,2024-01-14,機能,合格
LOT-060,製品C,2024-01-14,強度,合格
LOT-061,製品C,2024-01-14,寸法,合格
LOT-061,製品C,2024-01-14,外観,合格
LOT-061,製品C,2024-01-14,機能,不合格
LOT-061,製品C,2024-01-14,強度,合格
LOT-062,製品C,2024-01-14,寸法,不合格
LOT-062,製品C,2024-01-14,外観,合格
LOT-062,製品C,2024-01-14,機能,合格
LOT-062,製品C,2024-01-14,強度,合格
LOT-063,製品B,2024-01-15,寸法,合格
LOT-063,製品B,2024-01-15,外観,合格
LOT-063,製品B,2024-01-15,機能,合格
LOT-063,製品B,2024-01-15,強度,合格
LOT-064,製品E,2024-01-15,寸法,合格
LOT-064,製品E,2024-01-15,外観,合格
LOT-064,製品E,2024-01-15,機能,合格
LOT-064,製品E,2024-01-15,強度,合格
LOT-065,製品D,2024-01-15,寸法,合格
LOT-065,製品D,2024-01-15,外観,合格
LOT-065,製品D,2024-01-15,機能,合格
LOT-065,製品D,2024-01-15,強度,合格
LOT-066,製品D,2024-01-15,寸法,合格
LOT-066,製品D,2024-01-15,外観,合格
LOT-066,製品D,2024-01-15,機能,合格
LOT-066,製品D,2024-01-15,強度,合格
LOT-067,製品A,2024-01-15,寸法,合格
LOT-067,製品A,2024-01-15,外観,合格
LOT-067,製品A,2024-01-15,機能,合格
LOT-067,製品A,2024-01-15,強度,合格
LOT-068,製品B,2024-01-15,寸法,合格
LOT-068,製品B,2024-01-15,外観,合格
LOT-068,製品B,2024-01-15,機能,合格
LOT-068,製品B,2024-01-15,強度,合格
LOT-069,製品E,2024-01-16,寸法,合格
LOT-069,製品E,2024-01-16,外観,合格
LOT-069,製品E,2024-01-16,機能,合格
LOT-069,製品E,2024-01-16,強度,合格
LOT-070,製品A,2024-01-16,寸法,合格
LOT-070,製品A,2024-01-16,外観,合格
LOT-070,製品A,2024-01-16,機能,合格
LOT-070,製品A,2024-01-16,強度,合格
LOT-071,製品D,2024-01-16,寸法,合格
LOT-071,製品D,2024-01-16,外観,合格
LOT-071,製品D,2024-01-16,機能,合格
LOT-071,製品D,2024-01-16,強度,合格
LOT-072,製品B,2024-01-17,寸法,合格
LOT-072,製品B,2024-01-17,外観,合格
LOT-072,製品B,2024-01-17,機能,合格
LOT-072,製品B,2024-01-17,強度,合格
LOT-073,製品A,2024-01-17,寸法,合格
LOT-073,製品A,2024-01-17,外観,合格
LOT-073,製品A,2024-01-17,機能,合格
LOT-073,製品A,2024-01-17,強度,合格
LOT-074,製品C,2024-01-17,寸法,合格
LOT-074,製品C,2024-01-17,外観,合格
LOT-074,製品C,2024-01-17,機能,合格
LOT-074,製品C,2024-01-17,強度,合格
LOT-075,製品A,2024-01-18,寸法,合格
LOT-075,製品A,2024-01-18,外観,合格
LOT-075,製品A,2024-01-18,機能,合格
LOT-075,製品A,2024-01-18,強度,合格
LOT-076,製品C,2024-01-18,寸法,合格
LOT-076,製品C,2024-01-18,外観,不合格
LOT-076,製品C,2024-01-18,機能,合格
LOT-076,製品C,2024-01-18,強度,合格
LOT-077,製品C,2024-01-18,寸法,合格
LOT-077,製品C,2024-01-18,外観,不合格
LOT-077,製品C,2024-01-18,機能,不合格
LOT-077,製品C,2024-01-18,強度,合格
LOT-078,製品C,2024-01-19,寸法,合格
LOT-078,製品C,2024-01-19,外観,合格
LOT-078,製品C,2024-01-19,機能,合格
LOT-078,製品C,2024-01-19,強度,合格
LOT-079,製品B,2024-01-19,寸法,不合格
LOT-079,製品B,2024-01-19,外観,合格
LOT-079,製品B,2024-01-19,機能,合格
LOT-079,製品B,2024-01-19,強度,合格
LOT-080,製品C,2024-01-19,寸法,不合格
LOT-080,製品C,2024-01-19,外観,合格
LOT-080,製品C,2024-01-19,機能,合格
LOT-080,製品C,2024-01-19,強度,不合格
LOT-081,製品E,2024-01-19,寸法,合格
LOT-081,製品E,2024-01-19,外観,合格
LOT-081,製品E,2024-01-19,機能,合格
LOT-081,製品E,2024-01-19,強度,合格
LOT-082,製品B,2024-01-20,寸法,合格
LOT-082,製品B,2024-01-20,外観,不合格
LOT-082,製品B,2024-01-20,機能,合格
LOT-082,製品B,2024-01-20,強度,合格
LOT-083,製品E,2024-01-20,寸法,合格
LOT-083,製品E,2024-01-20,外観,合格
LOT-083,製品E,2024-01-20,機能,合格
LOT-083,製品E,2024-01-20,強度,不合格
LOT-084,製品A,2024-01-20,寸法,合格
LOT-084,製品A,2024-01-20,外観,合格
LOT-084,製品A,2024-01-20,機能,合格
LOT-084,製品A,2024-01-20,強度,合格
LOT-085,製品C,2024-01-20,寸法,合格
LOT-085,製品C,2024-01-20,外観,合格
LOT-085,製品C,2024-01-20,機能,不合格
LOT-085,製品C,2024-01-20,強度,合格
LOT-086,製品E,2024-01-20,寸法,合格
LOT-086,製品E,2024-01-20,外観,合格
LOT-086,製品E,2024-01-20,機能,合格
LOT-086,製品E,2024-01-20,強度,合格
LOT-087,製品D,2024-01-21,寸法,合格
LOT-087,製品D,2024-01-21,外観,合格
LOT-087,製品D,2024-01-21,機能,合格
LOT-087,製品D,2024-01-21,強度,合格
LOT-088,製品C,2024-01-21,寸法,合格
LOT-088,製品C,2024-01-21,外観,合格
LOT-088,製品C,2024-01-21,機能,合格
LOT-088,製品C,2024-01-21,強度,合格
LOT-089,製品B,2024-01-21,寸法,合格
LOT-089,製品B,2024-01-21,外観,合格
LOT-089,製品B,2024-01-21,機能,合格
LOT-089,製品B,2024-01-21,強度,不合格
LOT-090,製品C,2024-01-21,寸法,合格
LOT-090,製品C,2024-01-21,外観,合格
LOT-090,製品C,2024-01-21,機能,合格
LOT-090,製品C,2024-01-21,強度,合格
LOT-091,製品D,2024-01-22,寸法,合格
LOT-091,製品D,2024-01-22,外観,合格
LOT-091,製品D,2024-01-22,機能,合格
LOT-091,製品D,2024-01-22,強度,合格
LOT-092,製品C,2024-01-22,寸法,合格
LOT-092,製品C,2024-01-22,外観,合格
LOT-092,製品C,2024-01-22,機能,合格
LOT-092,製品C,2024-01-22,強度,合格
LOT-093,製品C,2024-01-22,寸法,合格
LOT-093,製品C,2024-01-22,外観,合格
LOT-093,製品C,2024-01-22,機能,不合格
LOT-093,製品C,2024-01-22,強度,合格
LOT-094,製品C,2024-01-22,寸法,合格
LOT-094,製品C,2024-01-22,外観,合格
LOT-094,製品C,2024-01-22,機能,合格
LOT-094,製品C,2024-01-22,強度,合格
LOT-095,製品A,2024-01-22,寸法,合格
LOT-095,製品A,2024-01-22,外観,合格
LOT-095,製品A,2024-01-22,機能,合格
LOT-095,製品A,2024-01-22,強度,合格
LOT-096,製品E,2024-01-23,寸法,合格
LOT-096,製品E,2024-01-23,外観,合格
LOT-096,製品E,2024-01-23,機能,合格
LOT-096,製品E,2024-01-23,強度,合格
LOT-097,製品D,2024-01-23,寸法,合格
LOT-097,製品D,2024-01-23,外観,不合格
LOT-097,製品D,2024-01-23,機能,合格
LOT-097,製品D,2024-01-23,強度,合格
LOT-098,製品A,2024-01-23,寸法,不合格
LOT-098,製品A,2024-01-23,外観,合格
LOT-098,製品A,2024-01-23,機能,合格
LOT-098,製品A,2024-01-23,強度,合格
LOT-099,製品E,2024-01-23,寸法,合格
LOT-099,製品E,2024-01-23,外観,合格
LOT-099,製品E,2024-01-23,機能,合格
LOT-099,製品E,2024-01-23,強度,合格
LOT-100,製品A,2024-01-23,寸法,合格
LOT-100,製品A,2024-01-23,外観,合格
LOT-100,製品A,2024-01-23,機能,合格
LOT-100,製品A,2024-01-23,強度,不合格
LOT-101,製品B,2024-01-24,寸法,合格
LOT-101,製品B,2024-01-24,外観,合格
LOT-101,製品B,2024-01-24,機能,合格
LOT-101,製品B,2024-01-24,強度,合格
LOT-102,製品D,2024-01-24,寸法,合格
LOT-102,製品D,2024-01-24,外観,合格
LOT-102,製品D,2024-01-24,機能,合格
LOT-102,製品D,2024-01-24,強度,合格
LOT-103,製品C,2024-01-24,寸法,合格
LOT-103,製品C,2024-01-24,外観,合格
LOT-103,製品C,2024-01-24,機能,合格
LOT-103,製品C,2024-01-24,強度,合格
LOT-104,製品B,2024-01-25,寸法,合格
LOT-104,製品B,2024-01-25,外観,合格
LOT-104,製品B,2024-01-25,機能,合格
LOT-104,製品B,2024-01-25,強度,合格
LOT-105,製品A,2024-01-25,寸法,合格
LOT-105,製品A,2024-01-25,外観,不合格
LOT-105,製品A,2024-01-25,機能,合格
LOT-105,製品A,2024-01-25,強度,合格
LOT-106,製品A,2024-01-25,寸法,合格
LOT-106,製品A,2024-01-25,外観,合格
LOT-106,製品A,2024-01-25,機能,合格
LOT-106,製品A,2024-01-25,強度,合格
LOT-107,製品E,2024-01-25,寸法,不合格
LOT-107,製品E,2024-01-25,外観,合格
LOT-107,製品E,2024-01-25,機能,合格
LOT-107,製品E,2024-01-25,強度,合格
LOT-108,製品C,2024-01-25,寸法,合格
LOT-108,製品C,2024-01-25,外観,合格
LOT-108,製品C,2024-01-25,機能,合格
LOT-108,製品C,2024-01-25,強度,合格
LOT-109,製品E,2024-01-25,寸法,合格
LOT-109,製品E,2024-01-25,外観,合格
LOT-109,製品E,2024-01-25,機能,合格
LOT-109,製品E,2024-01-25,強度,合格
LOT-110,製品B,2024-01-26,寸法,合格
LOT-110,製品B,2024-01-26,外観,合格
LOT-110,製品B,2024-01-26,機能,合格
LOT-110,製品B,2024-01-26,強度,合格
LOT-111,製品C,2024-01-26,寸法,合格
LOT-111,製品C,2024-01-26,外観,合格
LOT-111,製品C,2024-01-26,機能,合格
LOT-111,製品C,2024-01-26,強度,合格
LOT-112,製品C,2024-01-26,寸法,合格
LOT-112,製品C,2024-01-26,外観,合格
LOT-112,製品C,2024-01-26,機能,合格
LOT-112,製品C,2024-01-26,強度,合格
LOT-113,製品E,2024-01-26,寸法,合格
LOT-113,製品E,2024-01-26,外観,合格
LOT-113,製品E,2024-01-26,機能,合格
LOT-113,製品E,2024-01-26,強度,合格
LOT-114,製品A,2024-01-27,寸法,合格
LOT-114,製品A,2024-01-27,外観,合格
LOT-114,製品A,2024-01-27,機能,合格
LOT-114,製品A,2024-01-27,強度,合格
LOT-115,製品A,2024-01-27,寸法,合格
LOT-115,製品A,2024-01-27,外観,合格
LOT-115,製品A,2024-01-27,機能,合格
LOT-115,製品A,2024-01-27,強度,合格
LOT-116,製品E,2024-01-27,寸法,合格
LOT-116,製品E,2024-01-27,外観,合格
LOT-116,製品E,2024-01-27,機能,合格
LOT-116,製品E,2024-01-27,強度,合格
LOT-117,製品B,2024-01-27,寸法,合格
LOT-117,製品B,2024-01-27,外観,合格
LOT-117,製品B,2024-01-27,機能,合格
LOT-117,製品B,2024-01-27,強度,合格
LOT-118,製品B,2024-01-27,寸法,合格
LOT-118,製品B,2024-01-27,外観,合格
LOT-118,製品B,2024-01-27,機能,合格
LOT-118,製品B,2024-01-27,強度,合格
LOT-119,製品B,2024-01-27,寸法,合格
LOT-119,製品B,2024-01-27,外観,合格
LOT-119,製品B,2024-01-27,機能,合格
LOT-119,製品B,2024-01-27,強度,合格
LOT-120,製品D,2024-01-28,寸法,合格
LOT-120,製品D,2024-01-28,外観,合格
LOT-120,製品D,2024-01-28,機能,合格
LOT-120,製品D,2024-01-28,強度,合格
LOT-121,製品E,2024-01-28,寸法,合格
LOT-121,製品E,2024-01-28,外観,合格
LOT-121,製品E,2024-01-28,機能,合格
LOT-121,製品E,2024-01-28,強度,合格
LOT-122,製品D,2024-01-28,寸法,不合格
LOT-122,製品D,2024-01-28,外観,合格
LOT-122,製品D,2024-01-28,機能,合格
LOT-122,製品D,2024-01-28,強度,合格
LOT-123,製品A,2024-01-28,寸法,合格
LOT-123,製品A,2024-01-28,外観,合格
LOT-123,製品A,2024-01-28,機能,合格
LOT-123,製品A,2024-01-28,強度,合格
LOT-124,製品A,2024-01-29,寸法,合格
LOT-124,製品A,2024-01-29,外観,合格
LOT-124,製品A,2024-01-29,機能,合格
LOT-124,製品A,2024-01-29,強度,合格
LOT-125,製品E,2024-01-29,寸法,合格
LOT-125,製品E,2024-01-29,外観,合格
LOT-125,製品E,2024-01-29,機能,合格
LOT-125,製品E,2024-01-29,強度,合格
LOT-126,製品A,2024-01-29,寸法,合格
LOT-126,製品A,2024-01-29,外観,合格
LOT-126,製品A,2024-01-29,機能,合格
LOT-126,製品A,2024-01-29,強度,合格
LOT-127,製品D,2024-01-29,寸法,合格
LOT-127,製品D,2024-01-29,外観,合格
LOT-127,製品D,2024-01-29,機能,合格
LOT-127,製品D,2024-01-29,強度,合格
LOT-128,製品B,2024-01-30,寸法,合格
LOT-128,製品B,2024-01-30,外観,合格
LOT-128,製品B,2024-01-30,機能,合格
LOT-128,製品B,2024-01-30,強度,合格
LOT-129,製品C,2024-01-30,寸法,合格
LOT-129,製品C,2024-01-30,外観,合格
LOT-129,製品C,2024-01-30,機能,合格
LOT-129,製品C,2024-01-30,強度,不合格
LOT-130,製品C,2024-01-30,寸法,合格
LOT-130,製品C,2024-01-30,外観,合格
LOT-130,製品C,2024-01-30,機能,合格
LOT-130,製品C,2024-01-30,強度,合格
LOT-131,製品C,2024-01-30,寸法,合格
LOT-131,製品C,2024-01-30,外観,合格
LOT-131,製品C,2024-01-30,機能,合格
LOT-131,製品C,2024-01-30,強度,合格
LOT-132,製品C,2024-01-30,寸法,合格
LOT-132,製品C,2024-01-30,外観,不合格
LOT-132,製品C,2024-01-30,機能,合格
LOT-132,製品C,2024-01-30,強度,合格
LOT-133,製品A,2024-01-31,寸法,合格
LOT-133,製品A,2024-01-31,外観,合格
LOT-133,製品A,2024-01-31,機能,合格
LOT-133,製品A,2024-01-31,強度,合格
LOT-134,製品E,2024-01-31,寸法,合格
LOT-134,製品E,2024-01-31,外観,合格
LOT-134,製品E,2024-01-31,機能,合格
LOT-134,製品E,2024-01-31,強度,合格
LOT-135,製品D,2024-01-31,寸法,合格
LOT-135,製品D,2024-01-31,外観,合格
LOT-135,製品D,2024-01-31,機能,合格
LOT-135,製品D,2024-01-31,強度,合格
LOT-136,製品D,2024-01-31,寸法,合格
LOT-136,製品D,2024-01-31,外観,合格
LOT-136,製品D,2024-01-31,機能,合格
LOT-136,製品D,2024-01-31,強度,不合格
LOT-137,製品A,2024-01-31,寸法,不合格
LOT-137,製品A,2024-01-31,外観,不合格
LOT-137,製品A,2024-01-31,機能,合格
LOT-137,製品A,2024-01-31,強度,合格
LOT-138,製品D,2024-01-31,寸法,合格
LOT-138,製品D,2024-01-31,外観,合格
LOT-138,製品D,2024-01-31,機能,合格
LOT-138,製品D,2024-01-31,強度,合格
