日付,ライン,製品名,検査数,不良数
2024-01-23,L5,製品A,93,1
2024-01-23,L5,製品B,109,4
2024-01-24,L1,製品D,97,4
2024-01-24,L1,製品A,113,2
2024-01-24,L2,製品A,104,1
2024-01-24,L2,製品C,100,4
2024-01-24,L3,製品B,97,4
2024-01-24,L3,製品A,110,7
2024-01-24,L4,製品A,95,3
2024-01-24,L4,製品C,93,1
2024-01-24,L5,製品A,98,1
2024-01-24,L5,製品D,86,3
2024-01-25,L1,製品C,102,4
2024-01-25,L1,製品D,112,1
2024-01-25,L2,製品D,113,0
2024-01-25,L2,製品C,95,3
2024-01-25,L3,製品B,98,3
2024-01-25,L3,製品A,92,6
2024-01-25,L4,製品D,105,1
2024-01-25,L4,製品A,89,2
2024-01-25,L5,製品C,99,0
2024-01-25,L5,製品D,90,3
2024-01-26,L1,製品A,102,3
2024-01-26,L1,製品D,105,4
2024-01-26,L2,製品B,94,2
2024-01-26,L2,製品A,115,4
2024-01-26,L3,製品D,101,7
2024-01-26,L3,製品B,110,6
2024-01-26,L4,製品D,103,4
2024-01-26,L4,製品B,95,2
2024-01-26,L5,製品B,100,2
2024-01-26,L5,製品D,84,3
2024-01-27,L1,製品C,87,1
2024-01-27,L1,製品B,92,0
2024-01-27,L2,製品A,107,2
2024-01-27,L2,製品C,97,3
2024-01-27,L3,製品A,91,5
2024-01-27,L3,製品B,101,7
2024-01-27,L4,製品B,115,4
2024-01-27,L4,製品D,99,4
2024-01-27,L5,製品C,118,4
2024-01-27,L5,製品B,98,0
2024-01-28,L1,製品C,112,3
2024-01-28,L1,製品D,97,3
2024-01-28,L2,製品D,119,2
2024-01-28,L2,製品B,112,4
2024-01-28,L3,製品D,80,2
2024-01-28,L3,製品C,84,5
2024-01-28,L4,製品C,119,3
2024-01-28,L4,製品B,93,2
2024-01-28,L5,製品C,105,3
2024-01-28,L5,製品A,83,3
2024-01-29,L1,製品D,112,0
2024-01-29,L1,製品A,82,0
2024-01-29,L2,製品D,117,4
2024-01-29,L2,製品B,107,4
2024-01-29,L3,製品A,109,7
2024-01-29,L3,製品D,95,3
2024-01-29,L4,製品A,89,0
2024-01-29,L4,製品D,114,3
2024-01-29,L5,製品A,81,1
2024-01-29,L5,製品C,107,3
2024-01-30,L1,製品B,96,1
2024-01-30,L1,製品C,114,4
2024-01-30,L2,製品C,103,2
2024-01-30,L2,製品B,84,3
2024-01-30,L3,製品D,107,5
2024-01-30,L3,製品A,83,5
2024-01-30,L4,製品B,119,2
2024-01-30,L4,製品D,111,1
2024-01-30,L5,製品B,87,3
2024-01-30,L5,製品A,119,3
2024-01-31,L1,製品B,116,3
2024-01-31,L1,製品A,93,1
2024-01-31,L2,製品D,94,0
2024-01-31,L2,製品A,88,2
2024-01-31,L3,製品C,93,4
2024-01-31,L3,製品D,115,7
2024-01-31,L4,製品C,119,5
2024-01-31,L4,製品D,91,1
2024-01-31,L5,製品B,116,3
2024-01-31,L5,製品D,119,3
