問い合わせID,受付日時,完了日時,担当者ID,担当者名,チャネル,問い合わせ内容,カテゴリ,解決状況,エスカレーション
INQ-00017,2024/01/30 12:09,2024/01/30 12:21,OP-04,高橋,チャット,支払い方法を変更したい,,対応中,0
INQ-00018,2024/01/26 09:18,2024/01/26 09:37,OP-07,山本,メール,到着予定日を確認したい,,解決済,0
INQ-00019,2024/01/14 16:50,2024/01/14 17:29,OP-01,田中,メール,使い方を教えてほしい,,対応中,0
INQ-00020,2024/01/13 11:40,2024/01/13 12:19,OP-02,鈴木,SNS,how to use,,解決済,0
INQ-00021,2024/01/26 10:48,2024/01/26 11:29,OP-01,田中,電話,チュートリアルが必要,,解決済,0
INQ-00022,2024/01/01 16:39,2024/01/01 16:49,OP-05,伊藤,チャット,配送業者に問い合わせたい,,対応中,0
INQ-00023,2024/01/09 16:33,2024/01/09 16:52,OP-03,佐藤,チャット,課金について質問,,解決済,0
INQ-00024,2024/01/15 09:08,2024/01/15 10:57,OP-02,鈴木,チャット,その他の問い合わせ,,対応中,0
INQ-00025,2024/01/14 15:39,2024/01/14 15:47,OP-04,高橋,メール,exchange request,,解決済,0
INQ-00026,2024/01/15 09:45,2024/01/15 10:22,OP-01,田中,SNS,チュートリアルが必要,,解決済,0
INQ-00027,2024/01/18 13:05,2024/01/18 14:07,OP-05,伊藤,メール,料金が間違っている,,解決済,0
INQ-00028,2024/01/18 14:01,2024/01/18 14:23,OP-02,鈴木,電話,返品したい,,対応中,0
INQ-00029,2024/01/31 10:16,2024/01/31 10:27,OP-03,佐藤,SNS,その他,,解決済,0
INQ-00030,2024/01/13 09:14,2024/01/13 09:29,OP-05,伊藤,SNS,その他の問い合わせ,,解決済,0
INQ-00031,2024/01/27 11:55,2024/01/27 12:52,OP-04,高橋,SNS,その他,,解決済,0
INQ-00032,2024/01/10 10:33,2024/01/10 11:10,OP-08,中村,SNS,詳細を確認したい,,対応中,0
INQ-00033,2024/01/31 14:24,2024/01/31 15:11,OP-02,鈴木,メール,支払い方法を変更したい,,解決済,0
INQ-00034,2024/01/13 11:10,2024/01/13 11:34,OP-02,鈴木,電話,使い方を教えてほしい,,解決済,0
INQ-00035,2024/01/04 09:46,2024/01/04 10:34,OP-06,渡辺,メール,製品が壊れた,,解決済,0
INQ-00036,2024/01/23 15:09,2024/01/23 15:42,OP-04,高橋,SNS,不具合が発生した,,対応中,0
INQ-00037,2024/01/30 10:29,2024/01/30 11:25,OP-07,山本,電話,不具合が発生した,,解決済,0
INQ-00038,2024/01/22 10:22,2024/01/22 10:45,OP-07,山本,電話,追跡番号を教えて,,解決済,0
INQ-00039,2024/01/22 14:36,2024/01/22 14:46,OP-01,田中,チャット,荷物が届かない,,解決済,0
INQ-00040,2024/01/12 12:07,2024/01/12 12:21,OP-04,高橋,SNS,返品したい,,解決済,0
INQ-00041,2024/01/12 17:29,2024/01/12 17:53,OP-05,伊藤,電話,支払い方法を変更したい,,解決済,0
INQ-00042,2024/01/22 15:58,2024/01/22 16:22,OP-02,鈴木,電話,バグがある,,解決済,0
INQ-00043,2024/01/09 15:47,2024/01/09 16:15,OP-03,佐藤,SNS,その他の問い合わせ,,解決済,0
INQ-00044,2024/01/14 09:05,2024/01/14 09:30,OP-01,田中,電話,不具合が発生した,,解決済,0
INQ-00045,2024/01/04 13:42,2024/01/04 14:28,OP-08,中村,SNS,詳細を確認したい,,解決済,0
INQ-00046,2024/01/07 16:34,2024/01/07 16:54,OP-04,高橋,電話,料金が間違っている,,エスカレ済,1
INQ-00047,2024/01/15 16:01,2024/01/15 16:22,OP-01,田中,メール,荷物が届かない,,解決済,0
INQ-00048,2024/01/24 14:25,2024/01/24 14:58,OP-02,鈴木,電話,二重請求があった,,未解決,0
INQ-00049,2024/01/05 14:05,2024/01/05 14:19,OP-07,山本,メール,操作方法がわからない,,解決済,0
INQ-00050,2024/01/21 15:24,2024/01/21 16:03,OP-02,鈴木,チャット,使い方を教えてほしい,,解決済,0
INQ-00051,2024/01/06 13:11,2024/01/06 13:55,OP-06,渡辺,SNS,その他の問い合わせ,,解決済,0
INQ-00052,2024/01/11 15:06,2024/01/11 15:18,OP-08,中村,電話,料金が間違っている,,解決済,0
INQ-00053,2024/01/25 10:17,2024/01/25 10:41,OP-02,鈴木,メール,二重請求があった,,解決済,0
INQ-00054,2024/01/29 13:20,2024/01/29 14:15,OP-06,渡辺,メール,操作方法がわからない,,対応中,0
INQ-00055,2024/01/10 09:09,2024/01/10 09:23,OP-08,中村,チャット,エラーが出て動かない,,エスカレ済,1
INQ-00056,2024/01/30 13:46,2024/01/30 14:50,OP-01,田中,チャット,チュートリアルが必要,,解決済,0
INQ-00057,2024/01/09 13:40,2024/01/09 14:26,OP-03,佐藤,電話,一般的な質問,,解決済,0
INQ-00058,2024/01/16 10:34,2024/01/16 10:40,OP-05,伊藤,メール,配送が遅延している,,解決済,0
INQ-00059,2024/01/26 11:57,2024/01/26 12:20,OP-05,伊藤,チャット,配送が遅延している,,解決済,0
INQ-00060,2024/01/11 16:26,2024/01/11 16:55,OP-02,鈴木,チャット,一般的な質問,,解決済,0
INQ-00061,2024/01/12 16:00,2024/01/12 16:29,OP-03,佐藤,チャット,料金が間違っている,,解決済,0
INQ-00062,2024/01/28 11:33,2024/01/28 11:41,OP-07,山本,電話,課金について質問,,解決済,0
INQ-00063,2024/01/21 15:07,2024/01/21 15:48,OP-01,田中,メール,支払い方法を変更したい,,対応中,0
INQ-00064,2024/01/09 15:43,2024/01/09 16:19,OP-05,伊藤,電話,製品が壊れた,,解決済,0
INQ-00065,2024/01/10 09:36,2024/01/10 09:48,OP-04,高橋,チャット,交換をお願いしたい,,対応中,0
INQ-00066,2024/01/29 11:02,2024/01/29 11:20,OP-03,佐藤,メール,返金してほしい,,エスカレ済,1
INQ-00067,2024/01/17 12:18,2024/01/17 13:22,OP-07,山本,チャット,交換をお願いしたい,,解決済,0
INQ-00068,2024/01/26 17:19,2024/01/26 18:28,OP-04,高橋,電話,返金してほしい,,解決済,0
INQ-00069,2024/01/20 11:37,2024/01/20 12:09,OP-08,中村,SNS,製品が壊れた,,解決済,0
INQ-00070,2024/01/16 17:56,2024/01/16 18:43,OP-04,高橋,メール,エラーが出て動かない,,解決済,0
INQ-00071,2024/01/17 09:17,2024/01/17 09:28,OP-02,鈴木,チャット,故障している,,エスカレ済,1
INQ-00072,2024/01/14 10:53,2024/01/14 12:50,OP-07,山本,チャット,バグがある,,対応中,0
INQ-00073,2024/01/27 17:13,2024/01/27 17:54,OP-05,伊藤,チャット,一般的な質問,,解決済,0
INQ-00074,2024/01/28 13:18,2024/01/28 13:57,OP-07,山本,チャット,二重請求があった,,解決済,0
INQ-00075,2024/01/11 14:24,2024/01/11 15:10,OP-02,鈴木,メール,バグがある,,解決済,0
INQ-00076,2024/01/12 15:44,2024/01/12 16:22,OP-01,田中,メール,不具合が発生した,,対応中,0
INQ-00077,2024/01/01 17:56,2024/01/01 20:00,OP-06,渡辺,電話,製品が壊れた,,対応中,0
INQ-00078,2024/01/08 09:49,2024/01/08 10:17,OP-05,伊藤,チャット,追跡番号を教えて,,対応中,0
INQ-00079,2024/01/24 10:22,2024/01/24 10:35,OP-03,佐藤,SNS,故障している,,解決済,0
INQ-00080,2024/01/19 11:18,2024/01/19 12:13,OP-05,伊藤,電話,配送が遅延している,,解決済,0
INQ-00081,2024/01/10 17:29,2024/01/10 17:58,OP-07,山本,チャット,エラーが出て動かない,,未解決,0
INQ-00082,2024/01/16 17:00,2024/01/16 18:42,OP-04,高橋,メール,how to use,,解決済,0
INQ-00083,2024/01/09 10:01,2024/01/09 10:07,OP-06,渡辺,メール,追跡番号を教えて,,解決済,0
INQ-00084,2024/01/22 11:30,2024/01/22 11:46,OP-04,高橋,電話,配送が遅延している,,解決済,0
INQ-00085,2024/01/24 14:25,2024/01/24 14:50,OP-02,鈴木,メール,不具合が発生した,,解決済,0
INQ-00086,2024/01/07 09:42,2024/01/07 09:53,OP-08,中村,メール,到着予定日を確認したい,,解決済,0
INQ-00087,2024/01/26 10:26,2024/01/26 11:14,OP-02,鈴木,メール,荷物が届かない,,対応中,0
INQ-00088,2024/01/04 09:23,2024/01/04 09:48,OP-08,中村,メール,二重請求があった,,解決済,0
INQ-00089,2024/01/05 13:30,2024/01/05 15:06,OP-08,中村,SNS,一般的な質問,,解決済,0
INQ-00090,2024/01/21 13:17,2024/01/21 13:35,OP-06,渡辺,SNS,配送業者に問い合わせたい,,エスカレ済,1
INQ-00091,2024/01/16 09:35,2024/01/16 10:13,OP-07,山本,SNS,チュートリアルが必要,,解決済,0
INQ-00092,2024/01/18 16:06,2024/01/18 16:41,OP-08,中村,メール,返金してほしい,,解決済,0
INQ-00093,2024/01/24 12:00,2024/01/24 14:28,OP-08,中村,チャット,キャンセルしたい,,対応中,0
INQ-00094,2024/01/30 10:55,2024/01/30 11:21,OP-04,高橋,チャット,故障している,,解決済,0
INQ-00095,2024/01/14 13:38,2024/01/14 14:20,OP-03,佐藤,SNS,返品したい,,解決済,0
INQ-00096,2024/01/25 14:06,2024/01/25 14:24,OP-02,鈴木,チャット,配送が遅延している,,解決済,0
INQ-00097,2024/01/08 16:27,2024/01/08 16:56,OP-01,田中,SNS,how to use,,解決済,0
INQ-00098,2024/01/08 15:36,2024/01/08 15:57,OP-01,田中,SNS,バグがある,,エスカレ済,1
INQ-00099,2024/01/04 12:55,2024/01/04 13:25,OP-05,伊藤,SNS,設定のやり方,,解決済,0
INQ-00100,2024/01/14 17:52,2024/01/14 18:02,OP-04,高橋,チャット,チュートリアルが必要,,解決済,0
INQ-00101,2024/01/17 11:16,2024/01/17 11:29,OP-07,山本,SNS,製品が壊れた,,解決済,0
INQ-00102,2024/01/08 16:48,2024/01/08 22:26,OP-03,佐藤,電話,到着予定日を確認したい,,エスカレ済,1
INQ-00103,2024/01/28 09:28,2024/01/28 10:11,OP-01,田中,SNS,その他,,解決済,0
INQ-00104,2024/01/19 10:49,2024/01/19 11:04,OP-03,佐藤,SNS,課金について質問,,解決済,0
INQ-00105,2024/01/29 10:54,2024/01/29 11:40,OP-06,渡辺,SNS,不具合が発生した,,解決済,0
INQ-00106,2024/01/29 10:17,2024/01/29 10:46,OP-05,伊藤,SNS,不具合が発生した,,エスカレ済,1
INQ-00107,2024/01/15 10:32,2024/01/15 10:58,OP-01,田中,チャット,二重請求があった,,エスカレ済,1
INQ-00108,2024/01/01 10:10,2024/01/01 10:31,OP-01,田中,メール,製品が壊れた,,未解決,0
INQ-00109,2024/01/14 14:30,2024/01/14 15:07,OP-03,佐藤,SNS,請求書の確認,,解決済,0
INQ-00110,2024/01/22 16:19,2024/01/22 16:53,OP-04,高橋,チャット,配送業者に問い合わせたい,,解決済,0
INQ-00111,2024/01/23 16:47,2024/01/23 17:29,OP-02,鈴木,メール,配送が遅延している,,対応中,0
INQ-00112,2024/01/27 13:10,2024/01/27 18:24,OP-01,田中,SNS,一般的な質問,,未解決,0
INQ-00113,2024/01/08 11:38,2024/01/08 12:23,OP-02,鈴木,メール,エラーが出て動かない,,対応中,0
INQ-00114,2024/01/18 11:02,2024/01/18 11:15,OP-02,鈴木,電話,料金が間違っている,,対応中,0
INQ-00115,2024/01/03 16:06,2024/01/03 16:54,OP-06,渡辺,チャット,不具合が発生した,,解決済,0
INQ-00116,2024/01/02 15:05,2024/01/02 16:14,OP-08,中村,チャット,課金について質問,,解決済,0
INQ-00117,2024/01/25 17:14,2024/01/25 17:36,OP-03,佐藤,チャット,到着予定日を確認したい,,解決済,0
INQ-00118,2024/01/31 14:46,2024/01/31 15:20,OP-08,中村,チャット,チュートリアルが必要,,解決済,0
INQ-00119,2024/01/20 16:44,2024/01/20 17:11,OP-02,鈴木,SNS,エラーが出て動かない,,解決済,0
INQ-00120,2024/01/05 11:30,2024/01/05 13:17,OP-07,山本,SNS,不具合が発生した,,解決済,0
INQ-00121,2024/01/26 13:47,2024/01/26 14:25,OP-08,中村,チャット,交換をお願いしたい,,解決済,0
INQ-00122,2024/01/12 11:15,2024/01/12 11:39,OP-05,伊藤,メール,バグがある,,対応中,0
INQ-00123,2024/01/14 13:09,2024/01/14 15:20,OP-08,中村,メール,課金について質問,,解決済,0
INQ-00124,2024/01/13 12:22,2024/01/13 13:28,OP-08,中村,電話,到着予定日を確認したい,,対応中,0
INQ-00125,2024/01/23 11:26,2024/01/23 11:40,OP-04,高橋,チャット,不具合が発生した,,解決済,0
INQ-00126,2024/01/12 11:17,2024/01/12 12:50,OP-06,渡辺,チャット,チュートリアルが必要,,解決済,0
INQ-00127,2024/01/21 17:51,2024/01/21 19:15,OP-05,伊藤,メール,不具合が発生した,,解決済,0
INQ-00128,2024/01/15 13:32,2024/01/15 15:45,OP-06,渡辺,メール,支払い方法を変更したい,,解決済,0
INQ-00129,2024/01/16 14:12,2024/01/16 14:38,OP-05,伊藤,チャット,課金について質問,,対応中,0
INQ-00130,2024/01/25 15:37,2024/01/25 15:55,OP-05,伊藤,メール,その他の問い合わせ,,解決済,0
INQ-00131,2024/01/06 15:02,2024/01/06 16:03,OP-03,佐藤,電話,バグがある,,解決済,0
INQ-00132,2024/01/07 13:51,2024/01/07 14:26,OP-08,中村,電話,操作方法がわからない,,解決済,0
INQ-00133,2024/01/30 14:38,2024/01/30 17:00,OP-08,中村,メール,how to use,,解決済,0
INQ-00134,2024/01/03 14:05,2024/01/03 14:14,OP-08,中村,電話,詳細を確認したい,,解決済,0
INQ-00135,2024/01/23 10:57,2024/01/23 11:18,OP-01,田中,チャット,製品が壊れた,,解決済,0
INQ-00136,2024/01/30 12:35,2024/01/30 13:30,OP-02,鈴木,SNS,支払い方法を変更したい,,解決済,0
INQ-00137,2024/01/31 16:55,2024/01/31 17:28,OP-04,高橋,SNS,チュートリアルが必要,,解決済,0
INQ-00138,2024/01/30 15:35,2024/01/30 15:54,OP-05,伊藤,SNS,how to use,,対応中,0
INQ-00139,2024/01/17 14:10,2024/01/17 15:33,OP-01,田中,電話,バグがある,,対応中,0
INQ-00140,2024/01/06 09:34,2024/01/06 09:39,OP-04,高橋,電話,その他の問い合わせ,,解決済,0
INQ-00141,2024/01/22 13:43,2024/01/22 14:29,OP-02,鈴木,SNS,支払い方法を変更したい,,解決済,0
INQ-00142,2024/01/24 13:29,2024/01/24 13:35,OP-08,中村,メール,チュートリアルが必要,,解決済,0
INQ-00143,2024/01/05 17:50,2024/01/05 17:59,OP-08,中村,メール,故障している,,解決済,0
INQ-00144,2024/01/04 15:05,2024/01/04 15:49,OP-04,高橋,メール,その他,,解決済,0
INQ-00145,2024/01/23 12:55,2024/01/23 13:58,OP-03,佐藤,メール,追跡番号を教えて,,解決済,0
INQ-00146,2024/01/25 15:20,2024/01/25 15:59,OP-05,伊藤,SNS,exchange request,,解決済,0
INQ-00147,2024/01/26 15:38,2024/01/26 15:54,OP-05,伊藤,SNS,到着予定日を確認したい,,解決済,0
INQ-00148,2024/01/09 13:18,2024/01/09 13:47,OP-01,田中,チャット,バグがある,,エスカレ済,1
INQ-00149,2024/01/30 10:05,2024/01/30 10:19,OP-02,鈴木,電話,使い方を教えてほしい,,解決済,0
INQ-00150,2024/01/30 15:22,2024/01/30 17:10,OP-01,田中,メール,詳細を確認したい,,対応中,0
INQ-00151,2024/01/06 13:56,2024/01/06 14:34,OP-05,伊藤,SNS,how to use,,解決済,0
INQ-00152,2024/01/30 14:28,2024/01/30 15:01,OP-02,鈴木,SNS,到着予定日を確認したい,,解決済,0
INQ-00153,2024/01/21 17:00,2024/01/21 18:04,OP-03,佐藤,SNS,製品が壊れた,,解決済,0
INQ-00154,2024/01/23 12:07,2024/01/23 15:40,OP-01,田中,チャット,不具合が発生した,,解決済,0
INQ-00155,2024/01/28 14:07,2024/01/28 16:06,OP-07,山本,電話,製品が壊れた,,エスカレ済,1
INQ-00156,2024/01/04 09:41,2024/01/04 10:17,OP-08,中村,メール,配送業者に問い合わせたい,,解決済,0
INQ-00157,2024/01/03 13:43,2024/01/03 13:55,OP-08,中村,電話,チュートリアルが必要,,解決済,0
INQ-00158,2024/01/26 17:27,2024/01/26 17:44,OP-03,佐藤,SNS,バグがある,,エスカレ済,1
INQ-00159,2024/01/01 11:30,2024/01/01 12:11,OP-02,鈴木,メール,返金してほしい,,解決済,0
INQ-00160,2024/01/29 13:06,2024/01/29 13:11,OP-01,田中,電話,追跡番号を教えて,,解決済,0
INQ-00161,2024/01/02 16:41,2024/01/02 17:28,OP-08,中村,メール,製品が壊れた,,エスカレ済,1
INQ-00162,2024/01/09 09:06,2024/01/09 09:42,OP-05,伊藤,SNS,設定のやり方,,解決済,0
INQ-00163,2024/01/20 09:40,2024/01/20 10:30,OP-08,中村,SNS,その他の問い合わせ,,解決済,0
INQ-00164,2024/01/28 11:14,2024/01/28 11:42,OP-03,佐藤,チャット,二重請求があった,,未解決,0
INQ-00165,2024/01/27 15:48,2024/01/27 16:12,OP-06,渡辺,チャット,到着予定日を確認したい,,エスカレ済,1
INQ-00166,2024/01/07 11:39,2024/01/07 12:05,OP-05,伊藤,SNS,キャンセルしたい,,対応中,0
INQ-00167,2024/01/01 09:09,2024/01/01 09:15,OP-08,中村,SNS,返金してほしい,,解決済,0
INQ-00168,2024/01/02 17:48,2024/01/02 17:58,OP-04,高橋,メール,設定のやり方,,エスカレ済,1
INQ-00169,2024/01/09 16:14,2024/01/09 17:14,OP-07,山本,SNS,操作方法がわからない,,解決済,0
INQ-00170,2024/01/02 17:55,2024/01/02 18:33,OP-07,山本,メール,到着予定日を確認したい,,エスカレ済,1
INQ-00171,2024/01/27 15:49,2024/01/27 16:20,OP-03,佐藤,チャット,使い方を教えてほしい,,解決済,0
INQ-00172,2024/01/26 10:07,2024/01/26 10:37,OP-02,鈴木,SNS,返金してほしい,,解決済,0
INQ-00173,2024/01/17 15:32,2024/01/17 15:48,OP-07,山本,メール,支払い方法を変更したい,,未解決,0
INQ-00174,2024/01/20 13:09,2024/01/20 13:19,OP-06,渡辺,SNS,料金が間違っている,,解決済,0
INQ-00175,2024/01/02 10:00,2024/01/02 11:02,OP-07,山本,SNS,追跡番号を教えて,,エスカレ済,1
INQ-00176,2024/01/09 13:58,2024/01/09 14:08,OP-02,鈴木,チャット,返品したい,,解決済,0
INQ-00177,2024/01/16 09:04,2024/01/16 09:52,OP-07,山本,電話,一般的な質問,,エスカレ済,1
INQ-00178,2024/01/20 10:53,2024/01/20 11:00,OP-01,田中,電話,故障している,,解決済,0
INQ-00179,2024/01/13 10:22,2024/01/13 10:43,OP-07,山本,SNS,故障している,,解決済,0
INQ-00180,2024/01/03 12:58,2024/01/03 13:17,OP-03,佐藤,SNS,操作方法がわからない,,解決済,0
INQ-00181,2024/01/17 16:15,2024/01/17 16:58,OP-08,中村,メール,操作方法がわからない,,対応中,0
INQ-00182,2024/01/20 13:08,2024/01/20 14:43,OP-08,中村,電話,故障している,,解決済,0
INQ-00183,2024/01/17 11:25,2024/01/17 12:42,OP-05,伊藤,メール,返金してほしい,,対応中,0
INQ-00184,2024/01/18 11:38,2024/01/18 12:58,OP-05,伊藤,SNS,料金が間違っている,,解決済,0
INQ-00185,2024/01/05 10:27,2024/01/05 11:10,OP-05,伊藤,SNS,到着予定日を確認したい,,解決済,0
INQ-00186,2024/01/16 17:28,2024/01/16 20:22,OP-04,高橋,チャット,返品したい,,解決済,0
INQ-00187,2024/01/31 10:56,2024/01/31 12:14,OP-01,田中,SNS,設定のやり方,,未解決,0
INQ-00188,2024/01/09 14:25,2024/01/09 15:08,OP-01,田中,SNS,バグがある,,エスカレ済,1
INQ-00189,2024/01/13 14:58,2024/01/13 15:15,OP-04,高橋,チャット,キャンセルしたい,,対応中,0
INQ-00190,2024/01/13 16:13,2024/01/13 16:19,OP-05,伊藤,メール,エラーが出て動かない,,対応中,0
INQ-00191,2024/01/19 11:55,2024/01/19 12:21,OP-05,伊藤,電話,使い方を教えてほしい,,解決済,0
INQ-00192,2024/01/02 13:28,2024/01/02 14:48,OP-02,鈴木,チャット,操作方法がわからない,,対応中,0
INQ-00193,2024/01/03 14:21,2024/01/03 14:44,OP-04,高橋,チャット,配送が遅延している,,解決済,0
INQ-00194,2024/01/18 13:38,2024/01/18 14:16,OP-03,佐藤,SNS,設定のやり方,,解決済,0
INQ-00195,2024/01/20 11:14,2024/01/20 12:31,OP-06,渡辺,SNS,詳細を確認したい,,対応中,0
INQ-00196,2024/01/25 10:25,2024/01/25 10:58,OP-04,高橋,SNS,その他の問い合わせ,,対応中,0
INQ-00197,2024/01/17 12:57,2024/01/17 14:41,OP-06,渡辺,SNS,その他,,解決済,0
INQ-00198,2024/01/16 14:53,2024/01/16 15:45,OP-02,鈴木,チャット,二重請求があった,,解決済,0
INQ-00199,2024/01/27 13:44,2024/01/27 14:01,OP-02,鈴木,SNS,設定のやり方,,解決済,0
INQ-00200,2024/01/17 11:18,2024/01/17 11:34,OP-06,渡辺,メール,二重請求があった,,エスカレ済,1
