WorkDate,WorkerID,Line,Process,ProductionQty,DefectQty,WorkHours,OvertimeHours
2024-01-09,WRK-014,LINE-C,組立,131,12,6.3,0.7
2024-01-09,WRK-015,LINE-A,検査,74,0,7.4,1.0
2024-01-09,WRK-016,LINE-B,梱包,162,5,9.2,0.2
2024-01-09,WRK-017,LINE-D,組立,115,3,6.2,0.6
2024-01-09,WRK-018,LINE-A,検査,119,8,7.6,2.4
2024-01-09,WRK-019,LINE-D,検査,49,1,7.1,2.6
2024-01-09,WRK-020,LINE-A,検査,109,1,9.2,1.3
2024-01-09,WRK-021,LINE-D,梱包,138,5,9.9,1.5
2024-01-09,WRK-022,LINE-D,検査,172,8,9.2,2.2
2024-01-09,WRK-023,LINE-A,梱包,194,5,8.2,1.0
2024-01-09,WRK-024,LINE-A,検査,115,4,7.8,2.2
2024-01-09,WRK-025,LINE-B,梱包,129,7,6.2,2.6
2024-01-09,WRK-026,LINE-C,梱包,110,10,9.9,2.8
2024-01-09,WRK-027,LINE-A,梱包,133,8,9.2,2.0
2024-01-09,WRK-028,LINE-A,溶接,195,14,6.1,0.2
2024-01-09,WRK-029,LINE-C,検査,138,9,6.1,0.5
2024-01-09,WRK-030,LINE-D,検査,135,7,9.1,1.7
2024-01-10,WRK-001,LINE-C,梱包,120,10,7.1,2.9
2024-01-10,WRK-002,LINE-A,溶接,167,16,7.5,1.7
2024-01-10,WRK-003,LINE-C,検査,154,6,10.0,0.9
2024-01-10,WRK-004,LINE-D,溶接,71,2,9.4,1.4
2024-01-10,WRK-005,LINE-D,組立,121,10,7.4,0.2
2024-01-10,WRK-006,LINE-C,検査,80,2,9.2,1.5
2024-01-10,WRK-007,LINE-A,溶接,75,3,9.2,0.1
2024-01-10,WRK-008,LINE-C,梱包,181,4,8.4,0.3
2024-01-10,WRK-009,LINE-C,梱包,162,16,7.6,1.2
2024-01-10,WRK-010,LINE-A,溶接,121,10,6.3,1.4
2024-01-10,WRK-011,LINE-C,溶接,181,18,6.7,2.9
2024-01-10,WRK-012,LINE-D,組立,71,2,7.2,0.5
2024-01-10,WRK-013,LINE-B,検査,172,9,9.4,0.8
2024-01-10,WRK-014,LINE-C,溶接,200,9,8.5,0.3
2024-01-10,WRK-015,LINE-B,溶接,83,5,9.4,1.7
2024-01-10,WRK-016,LINE-A,組立,51,5,9.1,0.8
2024-01-10,WRK-017,LINE-B,梱包,198,0,8.0,1.9
2024-01-10,WRK-018,LINE-C,検査,163,7,9.2,2.1
2024-01-10,WRK-019,LINE-C,梱包,58,5,6.2,1.3
2024-01-10,WRK-020,LINE-D,梱包,92,5,8.4,0.9
2024-01-10,WRK-021,LINE-C,検査,142,2,9.0,1.5
2024-01-10,WRK-022,LINE-A,検査,101,7,6.5,1.3
2024-01-10,WRK-023,LINE-B,組立,52,2,9.8,2.6
2024-01-10,WRK-024,LINE-D,溶接,80,5,9.7,2.2
2024-01-10,WRK-025,LINE-B,溶接,167,16,7.9,2.6
2024-01-10,WRK-026,LINE-D,組立,63,3,8.0,2.9
2024-01-10,WRK-027,LINE-B,検査,52,0,7.1,1.8
2024-01-10,WRK-028,LINE-D,検査,177,0,9.4,1.3
2024-01-10,WRK-029,LINE-C,検査,143,5,6.2,0.2
2024-01-10,WRK-030,LINE-B,検査,181,9,6.3,1.5
