日付,従業員番号,製造ライン,作業区分,生産実績,不良品数,稼働時間,残業
2024/01/12,WRK-010,LINE-A,梱包,175,11,6.3,1.7
2024/01/12,WRK-011,LINE-A,溶接,186,17,6.6,1.0
2024/01/12,WRK-012,LINE-D,組立,92,9,8.0,2.7
2024/01/12,WRK-013,LINE-D,組立,156,4,8.1,1.4
2024/01/12,WRK-014,LINE-A,梱包,118,11,6.1,0.8
2024/01/12,WRK-015,LINE-A,溶接,188,2,6.2,1.0
2024/01/12,WRK-016,LINE-A,組立,57,3,6.1,1.2
2024/01/12,WRK-017,LINE-B,梱包,135,6,7.8,2.8
2024/01/12,WRK-018,LINE-D,梱包,60,5,9.9,2.6
2024/01/12,WRK-019,LINE-B,検査,70,2,10.0,1.2
2024/01/12,WRK-020,LINE-B,溶接,40,0,9.9,1.4
2024/01/12,WRK-021,LINE-D,梱包,98,3,7.8,0.5
2024/01/12,WRK-022,LINE-B,組立,48,3,8.5,2.8
2024/01/12,WRK-023,LINE-A,溶接,92,1,6.4,0.1
2024/01/12,WRK-024,LINE-A,溶接,51,3,7.8,1.6
2024/01/12,WRK-025,LINE-A,溶接,168,9,6.9,2.7
2024/01/12,WRK-026,LINE-C,検査,100,4,9.5,3.0
2024/01/12,WRK-027,LINE-B,梱包,116,4,6.2,2.8
2024/01/12,WRK-028,LINE-B,梱包,182,15,6.2,1.0
2024/01/12,WRK-029,LINE-D,検査,146,6,6.6,1.1
2024/01/12,WRK-030,LINE-D,溶接,97,4,9.4,0.4
2024/01/13,WRK-001,LINE-D,組立,183,13,9.9,1.7
2024/01/13,WRK-002,LINE-B,梱包,102,4,6.8,1.9
2024/01/13,WRK-003,LINE-D,検査,63,4,8.9,0.6
2024/01/13,WRK-004,LINE-C,梱包,194,19,6.2,0.2
2024/01/13,WRK-005,LINE-B,梱包,93,5,7.2,2.7
2024/01/13,WRK-006,LINE-B,溶接,70,7,9.7,2.1
2024/01/13,WRK-007,LINE-B,梱包,101,8,7.3,0.8
2024/01/13,WRK-008,LINE-D,検査,118,4,7.4,2.6
2024/01/13,WRK-009,LINE-D,組立,160,10,9.7,1.1
2024/01/13,WRK-010,LINE-D,組立,184,7,9.0,0.0
2024/01/13,WRK-011,LINE-D,検査,79,3,7.3,1.1
2024/01/13,WRK-012,LINE-B,梱包,180,10,7.0,2.5
2024/01/13,WRK-013,LINE-D,梱包,83,5,6.7,2.2
2024/01/13,WRK-014,LINE-D,溶接,178,1,8.1,2.5
2024/01/13,WRK-015,LINE-A,組立,41,3,6.5,1.9
2024/01/13,WRK-016,LINE-A,溶接,42,1,8.0,1.1
2024/01/13,WRK-017,LINE-D,梱包,44,0,8.1,1.2
2024/01/13,WRK-018,LINE-A,検査,177,9,6.1,2.4
2024/01/13,WRK-019,LINE-D,溶接,67,0,8.1,0.7
2024/01/13,WRK-020,LINE-C,検査,108,6,6.3,2.9
2024/01/13,WRK-021,LINE-D,溶接,97,4,8.7,2.5
2024/01/13,WRK-022,LINE-A,組立,143,6,7.5,1.4
2024/01/13,WRK-023,LINE-A,溶接,61,3,9.4,1.9
2024/01/13,WRK-024,LINE-C,組立,175,1,6.9,2.7
2024/01/13,WRK-025,LINE-D,検査,51,0,8.7,0.8
2024/01/13,WRK-026,LINE-A,溶接,120,0,9.8,1.8
2024/01/13,WRK-027,LINE-D,組立,116,2,8.3,1.7
2024/01/13,WRK-028,LINE-D,検査,138,12,9.0,2.4
2024/01/13,WRK-029,LINE-A,検査,53,0,7.7,2.5
2024/01/13,WRK-030,LINE-C,梱包,123,0,8.5,2.4
2024/01/14,WRK-001,LINE-D,梱包,98,5,8.2,1.1
2024/01/14,WRK-002,LINE-B,梱包,61,6,8.5,2.4
2024/01/14,WRK-003,LINE-A,組立,108,2,7.5,2.4
2024/01/14,WRK-004,LINE-B,梱包,121,5,6.4,0.0
2024/01/14,WRK-005,LINE-C,梱包,132,12,7.1,0.4
2024/01/14,WRK-006,LINE-B,梱包,154,13,6.4,0.3
2024/01/14,WRK-007,LINE-A,検査,138,0,7.2,1.2
2024/01/14,WRK-008,LINE-A,溶接,186,16,6.7,1.1
2024/01/14,WRK-009,LINE-B,検査,117,4,8.0,0.2
2024/01/14,WRK-010,LINE-D,検査,147,4,7.9,0.2
2024/01/14,WRK-011,LINE-C,溶接,200,15,8.4,0.6
2024/01/14,WRK-012,LINE-A,溶接,117,0,9.8,1.0
2024/01/14,WRK-013,LINE-D,検査,152,10,7.7,2.5
2024/01/14,WRK-014,LINE-B,検査,122,9,9.8,0.6
2024/01/14,WRK-015,LINE-C,溶接,141,5,7.2,2.1
2024/01/14,WRK-016,LINE-D,溶接,123,6,7.1,2.4
2024/01/14,WRK-017,LINE-C,組立,184,6,8.4,1.6
2024/01/14,WRK-018,LINE-A,梱包,93,7,9.2,2.5
2024/01/14,WRK-019,LINE-A,梱包,167,4,8.5,0.7
2024/01/14,WRK-020,LINE-B,梱包,136,1,7.8,1.8
2024/01/14,WRK-021,LINE-D,梱包,179,1,9.2,1.1
2024/01/14,WRK-022,LINE-A,組立,103,10,8.7,0.5
2024/01/14,WRK-023,LINE-A,梱包,124,12,7.7,0.0
2024/01/14,WRK-024,LINE-C,溶接,170,16,8.2,2.1
2024/01/14,WRK-025,LINE-B,梱包,135,6,7.9,2.0
2024/01/14,WRK-026,LINE-B,検査,46,3,6.4,1.2
2024/01/14,WRK-027,LINE-A,組立,76,5,7.2,1.4
2024/01/14,WRK-028,LINE-B,梱包,129,7,6.4,2.2
2024/01/14,WRK-029,LINE-D,検査,57,2,6.2,2.1
2024/01/14,WRK-030,LINE-A,検査,67,5,9.2,2.8
2024/01/15,WRK-001,LINE-B,溶接,181,5,7.3,1.3
2024/01/15,WRK-002,LINE-D,溶接,143,10,6.7,1.9
2024/01/15,WRK-003,LINE-D,梱包,47,4,9.5,1.3
2024/01/15,WRK-004,LINE-D,梱包,41,1,6.8,2.3
2024/01/15,WRK-005,LINE-A,組立,177,5,7.5,0.6
2024/01/15,WRK-006,LINE-A,検査,165,16,9.9,0.9
2024/01/15,WRK-007,LINE-D,梱包,190,3,7.4,2.5
2024/01/15,WRK-008,LINE-B,検査,197,18,6.3,0.4
2024/01/15,WRK-009,LINE-A,溶接,118,1,6.7,2.1
2024/01/15,WRK-010,LINE-D,梱包,192,4,8.3,1.3
2024/01/15,WRK-011,LINE-D,溶接,182,5,8.0,0.4
2024/01/15,WRK-012,LINE-C,梱包,198,1,9.5,2.9
2024/01/15,WRK-013,LINE-D,溶接,89,6,9.9,1.5
2024/01/15,WRK-014,LINE-D,梱包,165,13,8.8,1.3
2024/01/15,WRK-015,LINE-B,組立,184,0,9.2,0.7
2024/01/15,WRK-016,LINE-A,検査,97,8,7.2,2.3
2024/01/15,WRK-017,LINE-D,組立,186,3,7.1,1.6
2024/01/15,WRK-018,LINE-C,組立,152,6,10.0,0.3
2024/01/15,WRK-019,LINE-B,検査,48,3,7.1,2.6
2024/01/15,WRK-020,LINE-A,梱包,70,3,6.8,2.2
2024/01/15,WRK-021,LINE-C,梱包,82,2,9.1,2.4
2024/01/15,WRK-022,LINE-A,検査,176,8,8.4,0.5
2024/01/15,WRK-023,LINE-C,検査,186,8,9.8,1.5
2024/01/15,WRK-024,LINE-A,溶接,145,14,6.2,0.8
2024/01/15,WRK-025,LINE-B,溶接,103,2,8.8,2.5
2024/01/15,WRK-026,LINE-D,梱包,76,4,8.5,1.1
2024/01/15,WRK-027,LINE-A,組立,143,8,9.0,2.1
2024/01/15,WRK-028,LINE-C,梱包,164,10,8.3,2.6
2024/01/15,WRK-029,LINE-A,梱包,131,13,6.3,1.6
2024/01/15,WRK-030,LINE-B,梱包,94,7,7.1,2.5
