計上日,記録ID,工事番号,工種,費目,予算額,実績額,予算超過
2024/01/15,CST-0050,PROJ-06,土工,材料費,1508636,1640340,1
2024/01/19,CST-0051,PROJ-02,土工,外注費,1061094,1138230,1
2024/01/05,CST-0052,PROJ-06,土工,材料費,547016,548947,1
2024/01/15,CST-0053,PROJ-05,土工,外注費,874954,762078,0
2024/01/04,CST-0054,PROJ-03,鉄筋工,材料費,1813591,1873006,1
2024/01/18,CST-0055,PROJ-03,鉄筋工,労務費,1965862,1502354,0
2024/01/11,CST-0056,PROJ-04,鉄筋工,外注費,1368420,1130831,0
2024/01/02,CST-0057,PROJ-02,仮設工,労務費,1124525,956602,0
2024/01/05,CST-0058,PROJ-05,コンクリート工,外注費,192456,135128,0
2024/01/14,CST-0059,PROJ-01,土工,材料費,1026596,1058428,1
2024/01/05,CST-0060,PROJ-01,鉄筋工,外注費,1952008,2175731,1
2024/01/05,CST-0061,PROJ-01,鉄筋工,労務費,1258729,992956,0
2024/01/02,CST-0062,PROJ-06,コンクリート工,外注費,1985300,2501185,1
2024/01/12,CST-0063,PROJ-07,コンクリート工,材料費,623301,685730,1
2024/01/06,CST-0064,PROJ-07,土工,材料費,1913209,1525786,0
2024/01/14,CST-0065,PROJ-04,鉄筋工,材料費,1644687,2063576,1
2024/01/13,CST-0066,PROJ-01,仮設工,材料費,1751244,1962736,1
2024/01/15,CST-0067,PROJ-06,鉄筋工,材料費,518534,617030,1
2024/01/07,CST-0068,PROJ-07,鉄筋工,労務費,567504,405310,0
2024/01/09,CST-0069,PROJ-06,仮設工,外注費,1912679,1418543,0
2024/01/01,CST-0070,PROJ-02,鉄筋工,材料費,1869285,1909903,1
2024/01/09,CST-0071,PROJ-01,土工,外注費,1317584,1683240,1
2024/01/11,CST-0072,PROJ-07,土工,労務費,1011346,917707,0
2024/01/09,CST-0073,PROJ-01,仮設工,材料費,1986398,2077678,1
2024/01/18,CST-0074,PROJ-04,鉄筋工,労務費,1190351,1494301,1
2024/01/11,CST-0075,PROJ-06,土工,外注費,246745,313199,1
2024/01/10,CST-0076,PROJ-07,鉄筋工,労務費,1987535,1749415,0
2024/01/05,CST-0077,PROJ-04,仮設工,外注費,1562152,1370621,0
2024/01/06,CST-0078,PROJ-05,仮設工,外注費,895125,990358,1
2024/01/10,CST-0079,PROJ-04,仮設工,外注費,1848448,1294363,0
2024/01/15,CST-0080,PROJ-08,仮設工,外注費,1372261,1499638,1
2024/01/06,CST-0081,PROJ-02,鉄筋工,外注費,548164,551839,1
2024/01/11,CST-0082,PROJ-02,コンクリート工,外注費,1492202,1611226,1
2024/01/07,CST-0083,PROJ-03,土工,材料費,750996,626919,0
2024/01/20,CST-0084,PROJ-02,仮設工,労務費,613472,791600,1
2024/01/07,CST-0085,PROJ-07,仮設工,労務費,1958363,2110839,1
2024/01/01,CST-0086,PROJ-02,仮設工,材料費,611672,482329,0
2024/01/17,CST-0087,PROJ-08,土工,外注費,468861,554412,1
2024/01/04,CST-0088,PROJ-08,コンクリート工,労務費,622606,778557,1
2024/01/18,CST-0089,PROJ-06,仮設工,外注費,1500011,1528029,1
2024/01/17,CST-0090,PROJ-07,仮設工,材料費,1809192,2047217,1
2024/01/15,CST-0091,PROJ-05,コンクリート工,外注費,1659558,2019511,1
2024/01/17,CST-0092,PROJ-08,コンクリート工,労務費,681564,790265,1
2024/01/10,CST-0093,PROJ-04,鉄筋工,労務費,1022479,763270,0
2024/01/03,CST-0094,PROJ-03,コンクリート工,材料費,770479,952170,1
2024/01/07,CST-0095,PROJ-02,仮設工,労務費,903283,1008397,1
2024/01/14,CST-0096,PROJ-01,コンクリート工,労務費,793908,814205,1
2024/01/19,CST-0097,PROJ-01,仮設工,労務費,916792,1139483,1
2024/01/10,CST-0098,PROJ-07,仮設工,外注費,112364,142212,1
2024/01/20,CST-0099,PROJ-04,仮設工,材料費,1667653,1902425,1
2024/01/01,CST-0100,PROJ-07,鉄筋工,外注費,672386,646500,0
2024/01/06,CST-0101,PROJ-08,コンクリート工,外注費,1524263,1796931,1
2024/01/13,CST-0102,PROJ-01,土工,外注費,1220138,873838,0
2024/01/15,CST-0103,PROJ-03,土工,労務費,998866,780533,0
2024/01/15,CST-0104,PROJ-06,鉄筋工,労務費,895038,802322,0
2024/01/14,CST-0105,PROJ-05,土工,労務費,683546,786902,1
2024/01/02,CST-0106,PROJ-06,コンクリート工,外注費,140649,161664,1
2024/01/02,CST-0107,PROJ-01,コンクリート工,材料費,243903,285059,1
2024/01/05,CST-0108,PROJ-04,コンクリート工,労務費,1859990,1324736,0
2024/01/07,CST-0109,PROJ-08,鉄筋工,労務費,1503956,1155991,0
2024/01/04,CST-0110,PROJ-03,鉄筋工,材料費,451879,480589,1
2024/01/10,CST-0111,PROJ-07,仮設工,外注費,1313589,939750,0
2024/01/08,CST-0112,PROJ-02,鉄筋工,外注費,515927,384674,0
2024/01/19,CST-0113,PROJ-01,鉄筋工,外注費,1359154,1608309,1
2024/01/03,CST-0114,PROJ-06,土工,労務費,998373,1095128,1
2024/01/14,CST-0115,PROJ-06,仮設工,外注費,1824552,1813825,0
2024/01/17,CST-0116,PROJ-05,仮設工,労務費,420845,404555,0
2024/01/19,CST-0117,PROJ-05,鉄筋工,材料費,1013465,1211537,1
2024/01/09,CST-0118,PROJ-08,コンクリート工,労務費,1842169,2322557,1
2024/01/13,CST-0119,PROJ-06,土工,労務費,1295061,1380792,1
2024/01/16,CST-0120,PROJ-04,鉄筋工,労務費,1884577,1686712,0
2024/01/20,CST-0121,PROJ-05,土工,外注費,813742,706161,0
2024/01/14,CST-0122,PROJ-08,コンクリート工,外注費,500674,376190,0
2024/01/16,CST-0123,PROJ-08,土工,材料費,1098439,1194598,1
2024/01/08,CST-0124,PROJ-05,鉄筋工,労務費,717056,597277,0
2024/01/14,CST-0125,PROJ-06,鉄筋工,外注費,1260716,1284106,1
2024/01/09,CST-0126,PROJ-04,土工,外注費,1051572,907033,0
2024/01/18,CST-0127,PROJ-03,コンクリート工,材料費,503878,448113,0
2024/01/19,CST-0128,PROJ-05,土工,材料費,1648966,1633332,0
2024/01/06,CST-0129,PROJ-05,土工,外注費,721273,603337,0
2024/01/02,CST-0130,PROJ-01,鉄筋工,外注費,1220162,946784,0
2024/01/16,CST-0131,PROJ-02,土工,外注費,364827,395006,1
2024/01/15,CST-0132,PROJ-06,コンクリート工,材料費,696302,683516,0
2024/01/16,CST-0133,PROJ-02,土工,労務費,629485,796070,1
2024/01/02,CST-0134,PROJ-03,コンクリート工,外注費,1131267,842170,0
2024/01/08,CST-0135,PROJ-02,仮設工,外注費,737189,553708,0
2024/01/08,CST-0136,PROJ-07,仮設工,労務費,1350168,1585697,1
2024/01/14,CST-0137,PROJ-05,土工,外注費,723594,879962,1
2024/01/07,CST-0138,PROJ-04,鉄筋工,外注費,1652079,1254820,0
2024/01/06,CST-0139,PROJ-02,コンクリート工,材料費,270262,214651,0
2024/01/20,CST-0140,PROJ-08,鉄筋工,材料費,956723,928310,0
2024/01/10,CST-0141,PROJ-08,土工,外注費,585440,511008,0
2024/01/19,CST-0142,PROJ-04,仮設工,材料費,589525,739468,1
2024/01/05,CST-0143,PROJ-05,コンクリート工,材料費,1242030,1036953,0
2024/01/10,CST-0144,PROJ-05,仮設工,材料費,225070,179955,0
2024/01/13,CST-0145,PROJ-05,仮設工,労務費,1082930,1205525,1
2024/01/14,CST-0146,PROJ-06,鉄筋工,材料費,268698,284503,1
2024/01/19,CST-0147,PROJ-01,鉄筋工,外注費,291526,244110,0
2024/01/06,CST-0148,PROJ-08,仮設工,労務費,184371,213476,1
2024/01/14,CST-0149,PROJ-08,土工,労務費,480610,623912,1
2024/01/11,CST-0150,PROJ-02,コンクリート工,労務費,829727,784099,0
2024/01/10,CST-0151,PROJ-07,土工,労務費,963282,1075219,1
2024/01/11,CST-0152,PROJ-02,仮設工,外注費,284674,252992,0
2024/01/18,CST-0153,PROJ-08,仮設工,材料費,1829997,2365951,1
2024/01/20,CST-0154,PROJ-08,仮設工,材料費,493389,498847,1
2024/01/05,CST-0155,PROJ-05,仮設工,外注費,526892,453250,0
2024/01/20,CST-0156,PROJ-04,コンクリート工,労務費,1116514,862904,0
2024/01/14,CST-0157,PROJ-02,コンクリート工,材料費,1255193,888933,0
2024/01/05,CST-0158,PROJ-08,鉄筋工,外注費,1067726,1354129,1
2024/01/16,CST-0159,PROJ-08,コンクリート工,労務費,1579355,1364649,0
2024/01/07,CST-0160,PROJ-03,土工,労務費,1256086,988269,0
