日付,管理番号,案件番号,作業区分,原価区分,予定金額,実際金額,オーバー
2024/01/16,CST-0419,PROJ-03,土工,外注費,393514,445531,1
2024/01/03,CST-0420,PROJ-01,土工,労務費,170933,205707,1
2024/01/08,CST-0421,PROJ-02,コンクリート工,材料費,388340,468154,1
2024/01/12,CST-0422,PROJ-01,仮設工,外注費,558688,560609,1
2024/01/18,CST-0423,PROJ-07,土工,材料費,1123104,796773,0
2024/01/18,CST-0424,PROJ-05,土工,外注費,1210269,1371616,1
2024/01/14,CST-0425,PROJ-03,土工,材料費,1805314,2019632,1
2024/01/07,CST-0426,PROJ-05,鉄筋工,労務費,1199715,946981,0
2024/01/12,CST-0427,PROJ-07,仮設工,外注費,1767102,1657785,0
2024/01/08,CST-0428,PROJ-05,土工,外注費,610043,789480,1
2024/01/02,CST-0429,PROJ-02,仮設工,労務費,1899816,2070679,1
2024/01/02,CST-0430,PROJ-01,コンクリート工,材料費,890981,919154,1
2024/01/11,CST-0431,PROJ-02,土工,材料費,1148279,1386199,1
2024/01/19,CST-0432,PROJ-08,鉄筋工,材料費,543373,674197,1
2024/01/09,CST-0433,PROJ-01,コンクリート工,労務費,255919,284238,1
2024/01/19,CST-0434,PROJ-03,仮設工,材料費,132837,169617,1
2024/01/08,CST-0435,PROJ-07,鉄筋工,労務費,727629,580262,0
2024/01/03,CST-0436,PROJ-06,土工,材料費,1684627,1926955,1
2024/01/03,CST-0437,PROJ-06,仮設工,労務費,1016640,853252,0
2024/01/15,CST-0438,PROJ-08,コンクリート工,労務費,162129,175176,1
2024/01/14,CST-0439,PROJ-03,仮設工,材料費,1259804,1593256,1
2024/01/08,CST-0440,PROJ-02,土工,労務費,1719352,1841717,1
2024/01/05,CST-0441,PROJ-07,鉄筋工,労務費,423424,392937,0
2024/01/10,CST-0442,PROJ-08,鉄筋工,労務費,323453,244178,0
2024/01/06,CST-0443,PROJ-07,仮設工,外注費,314394,245071,0
2024/01/04,CST-0444,PROJ-01,土工,労務費,1263374,1272804,1
2024/01/20,CST-0445,PROJ-06,仮設工,材料費,1262283,954082,0
2024/01/03,CST-0446,PROJ-04,コンクリート工,外注費,712048,675225,0
2024/01/09,CST-0447,PROJ-05,鉄筋工,労務費,898452,720289,0
2024/01/14,CST-0448,PROJ-05,仮設工,労務費,406047,299646,0
2024/01/12,CST-0449,PROJ-05,コンクリート工,外注費,1115506,1304695,1
2024/01/20,CST-0450,PROJ-04,仮設工,材料費,1410790,1407236,0
2024/01/13,CST-0451,PROJ-06,仮設工,労務費,384142,339118,0
2024/01/20,CST-0452,PROJ-03,鉄筋工,労務費,1023214,921753,0
2024/01/07,CST-0453,PROJ-08,鉄筋工,材料費,1365025,1731353,1
2024/01/10,CST-0454,PROJ-08,コンクリート工,労務費,935168,1198170,1
2024/01/13,CST-0455,PROJ-06,土工,外注費,888645,771503,0
2024/01/18,CST-0456,PROJ-03,土工,外注費,519011,547731,1
2024/01/07,CST-0457,PROJ-08,鉄筋工,外注費,1068091,1351973,1
2024/01/14,CST-0458,PROJ-08,コンクリート工,外注費,245036,291930,1
2024/01/05,CST-0459,PROJ-07,仮設工,材料費,735086,621304,0
2024/01/16,CST-0460,PROJ-07,仮設工,外注費,1041761,1348476,1
2024/01/12,CST-0461,PROJ-02,土工,材料費,177102,207994,1
2024/01/06,CST-0462,PROJ-01,仮設工,労務費,1479090,1625248,1
2024/01/01,CST-0463,PROJ-02,鉄筋工,材料費,1769817,1695968,0
2024/01/18,CST-0464,PROJ-04,仮設工,労務費,1170965,1344398,1
2024/01/19,CST-0465,PROJ-03,鉄筋工,材料費,920267,899871,0
2024/01/14,CST-0466,PROJ-02,土工,外注費,1112444,848493,0
2024/01/11,CST-0467,PROJ-08,コンクリート工,外注費,397114,360975,0
2024/01/04,CST-0468,PROJ-08,仮設工,労務費,1112769,1011484,0
2024/01/04,CST-0469,PROJ-01,鉄筋工,外注費,240874,212007,0
2024/01/06,CST-0470,PROJ-04,コンクリート工,外注費,329350,364354,1
2024/01/14,CST-0471,PROJ-08,コンクリート工,労務費,435828,391632,0
2024/01/14,CST-0472,PROJ-07,土工,外注費,1420703,1151722,0
2024/01/15,CST-0473,PROJ-07,仮設工,材料費,1387875,1706889,1
2024/01/09,CST-0474,PROJ-02,土工,外注費,1577937,1307916,0
2024/01/07,CST-0475,PROJ-08,土工,労務費,492083,452458,0
2024/01/17,CST-0476,PROJ-06,仮設工,外注費,1506562,1834362,1
2024/01/12,CST-0477,PROJ-06,仮設工,外注費,923224,971418,1
2024/01/10,CST-0478,PROJ-02,コンクリート工,労務費,461816,548749,1
2024/01/04,CST-0479,PROJ-03,鉄筋工,外注費,347173,292716,0
2024/01/14,CST-0480,PROJ-03,仮設工,労務費,396450,399024,1
