RecordDate,RecordID,ProjectNo,WorkType,CostCategory,BudgetAmount,ActualAmount,IsOverBudget
2024-01-05,CST-0244,PROJ-04,土工,材料費,836309,950404,1
2024-01-20,CST-0245,PROJ-03,土工,材料費,636804,521136,0
2024-01-15,CST-0246,PROJ-08,鉄筋工,外注費,1720779,1852881,1
2024-01-03,CST-0247,PROJ-08,仮設工,外注費,762991,603201,0
2024-01-19,CST-0248,PROJ-01,鉄筋工,外注費,735060,865752,1
2024-01-15,CST-0249,PROJ-01,土工,労務費,255589,226514,0
2024-01-03,CST-0250,PROJ-07,仮設工,外注費,1844194,1608591,0
2024-01-02,CST-0251,PROJ-08,コンクリート工,労務費,1262485,1606561,1
2024-01-05,CST-0252,PROJ-01,仮設工,材料費,1368789,1348773,0
2024-01-11,CST-0253,PROJ-02,コンクリート工,材料費,1800720,2231949,1
2024-01-15,CST-0254,PROJ-03,鉄筋工,労務費,619556,696735,1
2024-01-11,CST-0255,PROJ-01,鉄筋工,材料費,693270,646439,0
2024-01-13,CST-0256,PROJ-05,鉄筋工,外注費,791411,598863,0
2024-01-20,CST-0257,PROJ-03,鉄筋工,材料費,1885863,2063018,1
2024-01-12,CST-0258,PROJ-05,仮設工,材料費,1322093,1451879,1
2024-01-03,CST-0259,PROJ-05,仮設工,外注費,1347891,1516782,1
2024-01-05,CST-0260,PROJ-02,仮設工,外注費,1760235,1579082,0
2024-01-10,CST-0261,PROJ-03,コンクリート工,労務費,858808,610559,0
2024-01-08,CST-0262,PROJ-03,コンクリート工,材料費,1706746,1692686,0
2024-01-04,CST-0263,PROJ-01,鉄筋工,外注費,720320,869179,1
2024-01-05,CST-0264,PROJ-03,コンクリート工,外注費,374829,396699,1
2024-01-06,CST-0265,PROJ-08,土工,労務費,1717109,1845624,1
2024-01-08,CST-0266,PROJ-08,鉄筋工,外注費,863991,955416,1
2024-01-18,CST-0267,PROJ-04,鉄筋工,労務費,1743748,1690313,0
2024-01-12,CST-0268,PROJ-08,仮設工,労務費,1995771,2397056,1
2024-01-17,CST-0269,PROJ-07,コンクリート工,材料費,1731844,1609096,0
2024-01-09,CST-0270,PROJ-01,仮設工,労務費,1780362,1892165,1
2024-01-17,CST-0271,PROJ-02,鉄筋工,材料費,1262956,1592052,1
2024-01-15,CST-0272,PROJ-03,仮設工,材料費,1700371,1353813,0
2024-01-12,CST-0273,PROJ-01,仮設工,材料費,565647,673132,1
2024-01-08,CST-0274,PROJ-07,土工,労務費,931424,932545,1
2024-01-04,CST-0275,PROJ-06,コンクリート工,材料費,570891,409278,0
2024-01-16,CST-0276,PROJ-03,仮設工,労務費,180327,157268,0
2024-01-03,CST-0277,PROJ-01,鉄筋工,材料費,1390478,977715,0
2024-01-20,CST-0278,PROJ-07,土工,労務費,1851044,1461791,0
2024-01-02,CST-0279,PROJ-04,仮設工,外注費,598367,526976,0
2024-01-03,CST-0280,PROJ-02,仮設工,外注費,1764927,1894978,1
2024-01-17,CST-0281,PROJ-04,コンクリート工,労務費,1224186,869002,0
2024-01-12,CST-0282,PROJ-04,仮設工,材料費,1000179,701064,0
2024-01-17,CST-0283,PROJ-06,土工,外注費,1493287,1644002,1
2024-01-17,CST-0284,PROJ-01,仮設工,労務費,1241022,1246478,1
2024-01-12,CST-0285,PROJ-05,土工,労務費,191298,206870,1
2024-01-08,CST-0286,PROJ-02,鉄筋工,材料費,1753646,1298637,0
2024-01-11,CST-0287,PROJ-03,仮設工,外注費,192978,175876,0
2024-01-05,CST-0288,PROJ-02,仮設工,材料費,1103552,1190778,1
2024-01-07,CST-0289,PROJ-01,鉄筋工,労務費,715393,587305,0
2024-01-18,CST-0290,PROJ-08,鉄筋工,材料費,1180837,1108728,0
2024-01-10,CST-0291,PROJ-06,土工,外注費,1679765,1827819,1
2024-01-12,CST-0292,PROJ-07,仮設工,外注費,796096,687771,0
2024-01-13,CST-0293,PROJ-06,コンクリート工,労務費,1022194,1264231,1
2024-01-17,CST-0294,PROJ-05,土工,外注費,1551372,1549066,0
2024-01-20,CST-0295,PROJ-03,鉄筋工,労務費,990240,740062,0
2024-01-10,CST-0296,PROJ-05,仮設工,外注費,315163,235754,0
2024-01-15,CST-0297,PROJ-06,仮設工,材料費,1605048,1533895,0
2024-01-12,CST-0298,PROJ-07,鉄筋工,外注費,1624240,1984857,1
2024-01-03,CST-0299,PROJ-07,鉄筋工,外注費,1759849,2232795,1
2024-01-06,CST-0300,PROJ-01,コンクリート工,外注費,1780020,2046914,1
2024-01-02,CST-0301,PROJ-03,土工,材料費,1522055,1778958,1
2024-01-12,CST-0302,PROJ-07,土工,外注費,1732665,1883576,1
2024-01-12,CST-0303,PROJ-06,仮設工,材料費,421783,467098,1
2024-01-12,CST-0304,PROJ-07,鉄筋工,外注費,1303601,1020220,0
2024-01-04,CST-0305,PROJ-01,コンクリート工,労務費,684454,581626,0
2024-01-18,CST-0306,PROJ-02,鉄筋工,労務費,1185790,1105384,0
2024-01-20,CST-0307,PROJ-05,仮設工,材料費,1576474,1525654,0
2024-01-03,CST-0308,PROJ-08,コンクリート工,外注費,357189,279120,0
2024-01-11,CST-0309,PROJ-06,土工,外注費,1033465,1341806,1
2024-01-10,CST-0310,PROJ-03,コンクリート工,労務費,1237015,1081419,0
2024-01-07,CST-0311,PROJ-03,コンクリート工,労務費,1166938,973862,0
2024-01-19,CST-0312,PROJ-06,仮設工,外注費,155121,142174,0
2024-01-03,CST-0313,PROJ-02,鉄筋工,労務費,372149,397145,1
2024-01-17,CST-0314,PROJ-07,仮設工,外注費,1603518,1814094,1
2024-01-11,CST-0315,PROJ-02,仮設工,労務費,254666,197416,0
2024-01-05,CST-0316,PROJ-03,コンクリート工,労務費,1526291,1542188,1
2024-01-02,CST-0317,PROJ-02,コンクリート工,労務費,1154581,1439101,1
2024-01-08,CST-0318,PROJ-06,鉄筋工,材料費,445310,354992,0
2024-01-18,CST-0319,PROJ-05,コンクリート工,外注費,625557,511568,0
2024-01-03,CST-0320,PROJ-03,コンクリート工,材料費,735069,785536,1
