製品ID,製品名,製造日,ラインID,計画数量,実績数量,計画材料費,実績材料費,計画労務費,実績労務費,計画間接費,実績間接費
P004,部品D,2024-01-03,ライン1,105,113,112072.0,122365.0,69645.0,64423.0,25949.0,24003.0
P005,部品E,2024-01-03,ライン1,115,107,188448.0,157786.0,24028.0,20150.0,43271.0,47404.0
P006,ユニットX,2024-01-03,ライン1,83,84,134238.0,126377.0,39779.0,42410.0,14889.0,16380.0
P007,ユニットY,2024-01-03,ライン1,63,64,102747.0,109189.0,54675.0,48644.0,18510.0,15609.0
P008,ユニットZ,2024-01-03,ライン1,192,202,136115.0,161952.0,68433.0,77150.0,43806.0,45796.0
P009,製品P,2024-01-03,ライン1,192,178,174419.0,188561.0,36047.0,33293.0,17217.0,16114.0
P010,製品Q,2024-01-03,ライン1,51,47,148602.0,176646.0,24175.0,20227.0,39639.0,40122.0
P011,PartA,2024-01-03,ライン1,146,141,105508.0,108361.0,63296.0,52788.0,41073.0,33723.0
P012,PartB,2024-01-03,ライン1,90,81,62237.0,64903.0,46587.0,44988.0,26961.0,23893.0
P013,PartC,2024-01-03,ライン1,181,178,92487.0,98670.0,60709.0,49670.0,29465.0,28231.0
P014,SubAsmX,2024-01-03,ライン1,64,49,81685.0,76069.0,28234.0,22675.0,20221.0,22219.0
P015,SubAsmY,2024-01-03,ライン1,94,94,84517.0,79586.0,53523.0,51320.0,36722.0,40277.0
P016,FinGoodA,2024-01-03,ライン1,161,149,179317.0,194343.0,54546.0,52750.0,32936.0,27866.0
P017,FinGoodB,2024-01-03,ライン1,55,51,192142.0,181525.0,47606.0,46401.0,37584.0,31659.0
P018,FinGoodC,2024-01-03,ライン1,161,161,109365.0,102062.0,38616.0,33490.0,23581.0,23679.0
P019,FinGoodD,2024-01-03,ライン1,79,74,166434.0,176117.0,41066.0,35279.0,48329.0,40651.0
P020,FinGoodE,2024-01-03,ライン1,115,117,164032.0,181935.0,59331.0,59191.0,17086.0,18825.0
