product_id,product_name,production_date,line_id,planned_qty,actual_qty,planned_material,actual_material,planned_labor,actual_labor,planned_overhead,actual_overhead
P013,PartC,2024-01-03,ライン3,148,134,73016.0,71378.0,46995.0,39042.0,24839.0,21239.0
P014,SubAsmX,2024-01-03,ライン3,143,147,87442.0,87408.0,26807.0,25595.0,39427.0,40400.0
P015,SubAsmY,2024-01-03,ライン3,117,121,82186.0,98578.0,56713.0,49911.0,37759.0,32257.0
P016,FinGoodA,2024-01-03,ライン3,68,73,116767.0,132905.0,25267.0,23444.0,37277.0,35002.0
P017,FinGoodB,2024-01-03,ライン3,66,63,94994.0,102601.0,29450.0,25611.0,38383.0,36256.0
P018,FinGoodC,2024-01-03,ライン3,107,100,70832.0,72362.0,67422.0,63887.0,11051.0,12394.0
P019,FinGoodD,2024-01-03,ライン3,191,205,59862.0,59351.0,43890.0,42324.0,38677.0,37276.0
P020,FinGoodE,2024-01-03,ライン3,197,185,146351.0,137249.0,46998.0,54104.0,37204.0,41375.0
P001,部品A,2024-01-04,ライン1,200,218,114893.0,97620.0,74643.0,64283.0,12217.0,10578.0
P002,部品B,2024-01-04,ライン1,132,124,192122.0,159758.0,51134.0,44922.0,21362.0,25261.0
P003,部品C,2024-01-04,ライン1,120,115,130022.0,152989.0,50154.0,43217.0,16745.0,17809.0
P004,部品D,2024-01-04,ライン1,136,137,173785.0,183618.0,21702.0,22369.0,11818.0,12533.0
P005,部品E,2024-01-04,ライン1,196,201,124706.0,147484.0,57630.0,57237.0,21587.0,24218.0
P006,ユニットX,2024-01-04,ライン1,153,139,58987.0,52003.0,46376.0,48355.0,29370.0,27168.0
P007,ユニットY,2024-01-04,ライン1,131,140,196306.0,201147.0,27846.0,25831.0,24822.0,24489.0
P008,ユニットZ,2024-01-04,ライン1,118,109,57591.0,55705.0,76723.0,90923.0,44567.0,51738.0
P009,製品P,2024-01-04,ライン1,133,138,78475.0,77433.0,29561.0,34043.0,49839.0,49786.0
P010,製品Q,2024-01-04,ライン1,73,73,195003.0,159945.0,32909.0,32841.0,24116.0,27804.0
P011,PartA,2024-01-04,ライン1,170,153,66125.0,62574.0,28036.0,26951.0,20579.0,16836.0
P012,PartB,2024-01-04,ライン1,63,59,132983.0,147048.0,24412.0,22261.0,30170.0,36073.0
P013,PartC,2024-01-04,ライン1,80,73,105980.0,100283.0,79207.0,67937.0,32313.0,33638.0
P014,SubAsmX,2024-01-04,ライン1,152,138,70555.0,69342.0,39982.0,41682.0,28950.0,29129.0
P015,SubAsmY,2024-01-04,ライン1,133,128,108943.0,113027.0,56990.0,57157.0,43704.0,43874.0
P016,FinGoodA,2024-01-04,ライン1,175,167,172362.0,205449.0,42101.0,43511.0,36952.0,41339.0
P017,FinGoodB,2024-01-04,ライン1,56,53,148339.0,132172.0,78323.0,64268.0,33139.0,32880.0
P018,FinGoodC,2024-01-04,ライン1,184,188,176175.0,143165.0,28867.0,34042.0,37229.0,31420.0
P019,FinGoodD,2024-01-04,ライン1,54,53,111944.0,116936.0,32234.0,31867.0,30073.0,34263.0
P020,FinGoodE,2024-01-04,ライン1,65,65,134133.0,127524.0,79887.0,94481.0,29135.0,28665.0
P001,部品A,2024-01-04,ライン2,186,180,165798.0,178619.0,63255.0,66041.0,35732.0,31334.0
P002,部品B,2024-01-04,ライン2,113,108,191223.0,206896.0,78936.0,84942.0,40847.0,40667.0
P003,部品C,2024-01-04,ライン2,172,186,169311.0,181272.0,36407.0,34655.0,14875.0,17732.0
P004,部品D,2024-01-04,ライン2,138,146,93568.0,87818.0,37258.0,36399.0,38566.0,34808.0
P005,部品E,2024-01-04,ライン2,172,183,90670.0,76497.0,53721.0,58897.0,20865.0,18689.0
P006,ユニットX,2024-01-04,ライン2,62,62,145692.0,158359.0,23149.0,19451.0,26532.0,29406.0
P007,ユニットY,2024-01-04,ライン2,51,55,73691.0,72975.0,59174.0,62737.0,45226.0,49855.0
P008,ユニットZ,2024-01-04,ライン2,123,126,186191.0,188809.0,25368.0,27632.0,32965.0,38723.0
P009,製品P,2024-01-04,ライン2,94,100,190088.0,211984.0,22180.0,19397.0,43448.0,47776.0
P010,製品Q,2024-01-04,ライン2,124,111,135194.0,123544.0,26438.0,31610.0,49320.0,50174.0
P011,PartA,2024-01-04,ライン2,176,163,125632.0,117123.0,36370.0,39733.0,42353.0,44865.0
P012,PartB,2024-01-04,ライン2,97,76,94254.0,98437.0,60464.0,63819.0,17726.0,17056.0
P013,PartC,2024-01-04,ライン2,159,145,150388.0,139777.0,31087.0,27954.0,15624.0,14129.0
P014,SubAsmX,2024-01-04,ライン2,110,104,99444.0,89959.0,54948.0,51861.0,32915.0,29443.0
P015,SubAsmY,2024-01-04,ライン2,80,74,152911.0,169416.0,75386.0,81124.0,45512.0,48037.0
P016,FinGoodA,2024-01-04,ライン2,125,118,193604.0,231460.0,48691.0,46230.0,28199.0,30477.0
P017,FinGoodB,2024-01-04,ライン2,170,180,173841.0,180503.0,65712.0,73265.0,37214.0,37593.0
P018,FinGoodC,2024-01-04,ライン2,185,169,134625.0,134921.0,23705.0,24395.0,31906.0,27437.0
P019,FinGoodD,2024-01-04,ライン2,133,131,152044.0,176304.0,63015.0,61641.0,29553.0,24300.0
P020,FinGoodE,2024-01-04,ライン2,83,82,58661.0,63900.0,47743.0,45756.0,42277.0,47628.0
P001,部品A,2024-01-04,ライン3,105,95,101679.0,119355.0,23826.0,19718.0,49765.0,58400.0
P002,部品B,2024-01-04,ライン3,58,54,70314.0,83359.0,58492.0,55554.0,39172.0,45303.0
P003,部品C,2024-01-04,ライン3,164,177,106347.0,108019.0,60964.0,64708.0,36472.0,34251.0
P004,部品D,2024-01-04,ライン3,95,92,69102.0,76183.0,78723.0,93791.0,43393.0,42751.0
P005,部品E,2024-01-04,ライン3,189,184,84450.0,73927.0,47638.0,54787.0,16205.0,17926.0
P006,ユニットX,2024-01-04,ライン3,58,57,164908.0,145520.0,73025.0,61368.0,10626.0,8643.0
P007,ユニットY,2024-01-04,ライン3,62,56,115844.0,128637.0,52386.0,44845.0,40175.0,48106.0
P008,ユニットZ,2024-01-04,ライン3,109,114,97836.0,90817.0,55875.0,51444.0,36901.0,31636.0
P009,製品P,2024-01-04,ライン3,183,175,59144.0,68881.0,76911.0,80787.0,45189.0,43873.0
P010,製品Q,2024-01-04,ライン3,176,138,146497.0,158001.0,42869.0,41296.0,30979.0,28499.0
P011,PartA,2024-01-04,ライン3,97,96,177401.0,199099.0,38044.0,44356.0,38303.0,39259.0
P012,PartB,2024-01-04,ライン3,156,144,86429.0,101026.0,32200.0,36671.0,35868.0,30021.0
P013,PartC,2024-01-04,ライン3,98,77,140745.0,157897.0,22373.0,23157.0,12911.0,13797.0
P014,SubAsmX,2024-01-04,ライン3,105,112,99945.0,117421.0,77421.0,91731.0,10613.0,8989.0
P015,SubAsmY,2024-01-04,ライン3,172,178,155565.0,144465.0,43798.0,39997.0,19573.0,19309.0
P016,FinGoodA,2024-01-04,ライン3,141,137,182422.0,198651.0,47960.0,52979.0,42113.0,39084.0
P017,FinGoodB,2024-01-04,ライン3,102,100,134379.0,121520.0,33276.0,39063.0,15837.0,16338.0
P018,FinGoodC,2024-01-04,ライン3,156,146,84503.0,86215.0,54187.0,63799.0,19829.0,18541.0
P019,FinGoodD,2024-01-04,ライン3,175,179,123589.0,107239.0,30094.0,32746.0,41799.0,41604.0
P020,FinGoodE,2024-01-04,ライン3,188,205,128592.0,144948.0,70344.0,57640.0,12973.0,10412.0
P001,部品A,2024-01-05,ライン1,85,80,156075.0,148159.0,20548.0,21517.0,30229.0,32246.0
P002,部品B,2024-01-05,ライン1,173,156,129832.0,141371.0,44680.0,45319.0,10669.0,9759.0
P003,部品C,2024-01-05,ライン1,178,184,170925.0,143325.0,74586.0,64111.0,14281.0,12521.0
P004,部品D,2024-01-05,ライン1,184,178,169240.0,166465.0,24741.0,22200.0,48372.0,52188.0
P005,部品E,2024-01-05,ライン1,126,134,148060.0,123986.0,71493.0,68040.0,40383.0,41235.0
P006,ユニットX,2024-01-05,ライン1,64,66,62403.0,58191.0,70720.0,84222.0,35796.0,42581.0
P007,ユニットY,2024-01-05,ライン1,185,175,185191.0,168234.0,61537.0,71978.0,32671.0,35082.0
P008,ユニットZ,2024-01-05,ライン1,121,122,54935.0,65076.0,75726.0,78362.0,22579.0,24858.0
P009,製品P,2024-01-05,ライン1,151,144,134594.0,144125.0,54002.0,54878.0,43978.0,41934.0
P010,製品Q,2024-01-05,ライン1,85,88,61764.0,51825.0,64727.0,57792.0,23834.0,19792.0
P011,PartA,2024-01-05,ライン1,151,145,145118.0,129338.0,67013.0,68435.0,28022.0,26626.0
P012,PartB,2024-01-05,ライン1,97,100,62854.0,68212.0,57117.0,47568.0,41922.0,36124.0
P013,PartC,2024-01-05,ライン1,89,85,65983.0,62285.0,20312.0,18441.0,22331.0,19048.0
P014,SubAsmX,2024-01-05,ライン1,97,98,126866.0,129618.0,26198.0,27213.0,13585.0,15130.0
P015,SubAsmY,2024-01-05,ライン1,148,118,166875.0,199765.0,63491.0,56957.0,32381.0,32655.0
P016,FinGoodA,2024-01-05,ライン1,147,140,90261.0,82172.0,28756.0,26453.0,16688.0,18575.0
P017,FinGoodB,2024-01-05,ライン1,142,134,143755.0,121155.0,55628.0,51282.0,17822.0,21021.0
P018,FinGoodC,2024-01-05,ライン1,135,131,179330.0,202538.0,46413.0,49217.0,27225.0,28253.0
P019,FinGoodD,2024-01-05,ライン1,126,137,80128.0,95151.0,38851.0,35610.0,48583.0,52372.0
P020,FinGoodE,2024-01-05,ライン1,175,184,98883.0,93544.0,36818.0,43181.0,41435.0,36459.0
P001,部品A,2024-01-05,ライン2,189,199,54037.0,47761.0,63633.0,71210.0,47719.0,54042.0
P002,部品B,2024-01-05,ライン2,67,70,111371.0,99879.0,49958.0,53129.0,35333.0,38375.0
P003,部品C,2024-01-05,ライン2,146,138,121885.0,142381.0,44048.0,47426.0,30265.0,30793.0
P004,部品D,2024-01-05,ライン2,142,150,139073.0,125067.0,74864.0,79796.0,14375.0,12456.0
P005,部品E,2024-01-05,ライン2,61,62,147012.0,164431.0,78009.0,65713.0,23264.0,19529.0
P006,ユニットX,2024-01-05,ライン2,106,106,137078.0,131109.0,54514.0,60453.0,27831.0,28817.0
P007,ユニットY,2024-01-05,ライン2,178,195,122416.0,102137.0,37726.0,42726.0,46822.0,51132.0
P008,ユニットZ,2024-01-05,ライン2,139,137,81030.0,79026.0,48976.0,52830.0,29047.0,26942.0
P009,製品P,2024-01-05,ライン2,126,110,53388.0,59795.0,40585.0,47564.0,14375.0,15757.0
P010,製品Q,2024-01-05,ライン2,182,169,133977.0,128889.0,77508.0,67725.0,19274.0,20357.0
P011,PartA,2024-01-05,ライン2,160,167,182465.0,146296.0,46975.0,41616.0,27182.0,24772.0
P012,PartB,2024-01-05,ライン2,66,69,130533.0,110377.0,41948.0,44812.0,17883.0,17808.0
P013,PartC,2024-01-05,ライン2,130,132,138051.0,144532.0,40875.0,46005.0,43821.0,47431.0
P014,SubAsmX,2024-01-05,ライン2,126,128,150817.0,127708.0,38791.0,36825.0,19543.0,16739.0
P015,SubAsmY,2024-01-05,ライン2,149,138,107556.0,115878.0,31145.0,32955.0,35420.0,42503.0
P016,FinGoodA,2024-01-05,ライン2,192,183,78065.0,89479.0,70519.0,83265.0,34776.0,34562.0
P017,FinGoodB,2024-01-05,ライン2,99,108,125816.0,121570.0,49698.0,56455.0,37388.0,37219.0
P018,FinGoodC,2024-01-05,ライン2,71,75,83079.0,76057.0,21962.0,24428.0,18994.0,19493.0
P019,FinGoodD,2024-01-05,ライン2,176,162,67131.0,63556.0,66507.0,75089.0,42931.0,35060.0
P020,FinGoodE,2024-01-05,ライン2,162,177,65362.0,60074.0,69804.0,83746.0,40054.0,39248.0
