品番,品目,生産日,製造ライン,計画生産数,実績生産数,材料費予算,材料費実績,労務費予算,労務費実績,製造間接費予算,製造間接費実績
P001,部品A,2024-01-06,ライン2,181,140,173013.0,197554.0,30432.0,31113.0,48084.0,49048.0
P002,部品B,2024-01-06,ライン2,74,78,70969.0,84668.0,20717.0,17657.0,43215.0,48810.0
P003,部品C,2024-01-06,ライン2,145,157,62606.0,51963.0,55167.0,66138.0,46697.0,41051.0
P004,部品D,2024-01-06,ライン2,163,149,177091.0,208421.0,68533.0,56215.0,14901.0,17429.0
P005,部品E,2024-01-06,ライン2,160,156,54422.0,48212.0,60993.0,53360.0,16912.0,15423.0
P006,ユニットX,2024-01-06,ライン2,88,75,86868.0,88629.0,37706.0,31085.0,26480.0,24147.0
P007,ユニットY,2024-01-06,ライン2,85,87,169580.0,172541.0,34949.0,28232.0,49763.0,47425.0
P008,ユニットZ,2024-01-06,ライン2,141,148,101605.0,92275.0,53939.0,43714.0,22864.0,23752.0
P009,製品P,2024-01-06,ライン2,57,60,58789.0,65064.0,79492.0,95378.0,31177.0,37088.0
P010,製品Q,2024-01-06,ライン2,75,71,130053.0,143790.0,67474.0,79560.0,39482.0,40678.0
P011,PartA,2024-01-06,ライン2,149,159,176783.0,198436.0,30566.0,32982.0,33701.0,39281.0
P012,PartB,2024-01-06,ライン2,57,55,135148.0,153349.0,28526.0,32068.0,47935.0,56954.0
P013,PartC,2024-01-06,ライン2,188,187,63539.0,64211.0,33957.0,27175.0,18752.0,21887.0
P014,SubAsmX,2024-01-06,ライン2,101,97,76619.0,63120.0,68145.0,58543.0,44729.0,48391.0
P015,SubAsmY,2024-01-06,ライン2,86,91,179100.0,210760.0,77634.0,74391.0,24944.0,20963.0
P016,FinGoodA,2024-01-06,ライン2,127,139,159853.0,159034.0,46212.0,42835.0,35571.0,38518.0
P017,FinGoodB,2024-01-06,ライン2,193,209,168049.0,146226.0,33394.0,30814.0,33558.0,36088.0
P018,FinGoodC,2024-01-06,ライン2,82,73,155301.0,172125.0,54370.0,55838.0,44030.0,38431.0
P019,FinGoodD,2024-01-06,ライン2,131,143,83134.0,71184.0,53933.0,59226.0,47468.0,42493.0
P020,FinGoodE,2024-01-06,ライン2,131,141,63309.0,73100.0,62538.0,61203.0,35564.0,32224.0
P001,部品A,2024-01-06,ライン3,113,109,168053.0,163900.0,63225.0,61193.0,11926.0,10334.0
P002,部品B,2024-01-06,ライン3,155,151,131904.0,151111.0,26086.0,27661.0,29180.0,31364.0
P003,部品C,2024-01-06,ライン3,91,96,55012.0,46314.0,21205.0,19863.0,20445.0,23618.0
P004,部品D,2024-01-06,ライン3,91,91,184719.0,193116.0,25586.0,25410.0,33761.0,27428.0
P005,部品E,2024-01-06,ライン3,92,90,58033.0,55927.0,39866.0,40729.0,48976.0,57313.0
P006,ユニットX,2024-01-06,ライン3,188,179,85632.0,97273.0,22978.0,19794.0,32871.0,31041.0
P007,ユニットY,2024-01-06,ライン3,159,144,143764.0,126912.0,48820.0,51518.0,13879.0,16528.0
P008,ユニットZ,2024-01-06,ライン3,171,164,109620.0,91692.0,49346.0,50217.0,36442.0,31848.0
P009,製品P,2024-01-06,ライン3,147,145,89494.0,81209.0,47903.0,39504.0,19050.0,20972.0
P010,製品Q,2024-01-06,ライン3,74,58,131217.0,134031.0,78242.0,88908.0,33589.0,37867.0
P011,PartA,2024-01-06,ライン3,157,162,190454.0,175130.0,54363.0,52075.0,19426.0,22176.0
P012,PartB,2024-01-06,ライン3,58,62,170068.0,144236.0,60652.0,66892.0,34811.0,30256.0
P013,PartC,2024-01-06,ライン3,92,97,68928.0,67147.0,45402.0,54433.0,49531.0,52052.0
P014,SubAsmX,2024-01-06,ライン3,116,121,171102.0,174664.0,25222.0,28820.0,32255.0,32509.0
P015,SubAsmY,2024-01-06,ライン3,53,54,128384.0,110318.0,45176.0,46765.0,26578.0,29325.0
P016,FinGoodA,2024-01-06,ライン3,75,75,65149.0,61080.0,37166.0,35841.0,31425.0,29955.0
P017,FinGoodB,2024-01-06,ライン3,174,173,75830.0,81314.0,44178.0,42442.0,34730.0,33282.0
P018,FinGoodC,2024-01-06,ライン3,134,121,121283.0,113417.0,36115.0,40357.0,24898.0,23015.0
P019,FinGoodD,2024-01-06,ライン3,175,181,195874.0,214970.0,33677.0,37369.0,22019.0,20441.0
P020,FinGoodE,2024-01-06,ライン3,156,143,116257.0,115535.0,74806.0,75300.0,26287.0,24961.0
P001,部品A,2024-01-07,ライン1,64,59,96668.0,110252.0,50408.0,58056.0,15426.0,12519.0
P002,部品B,2024-01-07,ライン1,99,93,58644.0,55369.0,21984.0,19338.0,12022.0,11389.0
P003,部品C,2024-01-07,ライン1,168,172,68581.0,71161.0,21834.0,19018.0,24899.0,28588.0
P004,部品D,2024-01-07,ライン1,200,193,175648.0,146869.0,35520.0,28806.0,43235.0,35447.0
P005,部品E,2024-01-07,ライン1,196,184,83203.0,88248.0,33507.0,33685.0,18269.0,20934.0
P006,ユニットX,2024-01-07,ライン1,52,48,75980.0,79273.0,68052.0,80111.0,18951.0,20563.0
P007,ユニットY,2024-01-07,ライン1,120,117,102306.0,109558.0,35120.0,39676.0,28668.0,27489.0
P008,ユニットZ,2024-01-07,ライン1,76,72,194973.0,202286.0,70363.0,64246.0,32458.0,34853.0
P009,製品P,2024-01-07,ライン1,173,163,146089.0,158425.0,71689.0,82941.0,20446.0,18800.0
P010,製品Q,2024-01-07,ライン1,88,83,58516.0,56271.0,71439.0,66283.0,42401.0,36294.0
P011,PartA,2024-01-07,ライン1,56,61,88914.0,72387.0,45114.0,48869.0,25531.0,26267.0
P012,PartB,2024-01-07,ライン1,98,102,152948.0,179907.0,58299.0,54999.0,29029.0,26709.0
P013,PartC,2024-01-07,ライン1,93,100,77170.0,69720.0,25856.0,29045.0,15118.0,16708.0
P014,SubAsmX,2024-01-07,ライン1,96,103,148165.0,170179.0,33335.0,32275.0,18933.0,21863.0
P015,SubAsmY,2024-01-07,ライン1,145,139,177682.0,183622.0,48232.0,56804.0,44656.0,36997.0
P016,FinGoodA,2024-01-07,ライン1,99,106,107250.0,122447.0,37901.0,32404.0,12162.0,10704.0
P017,FinGoodB,2024-01-07,ライン1,154,166,197997.0,172682.0,28593.0,23799.0,44496.0,41517.0
P018,FinGoodC,2024-01-07,ライン1,95,86,117808.0,121402.0,32563.0,28114.0,40942.0,45612.0
P019,FinGoodD,2024-01-07,ライン1,72,71,114411.0,91743.0,45742.0,46360.0,29096.0,31781.0
P020,FinGoodE,2024-01-07,ライン1,53,55,129655.0,141770.0,21075.0,18767.0,10165.0,11698.0
P001,部品A,2024-01-07,ライン2,129,125,138301.0,127137.0,30021.0,27509.0,42954.0,46868.0
P002,部品B,2024-01-07,ライン2,184,198,199321.0,188099.0,40564.0,35508.0,46055.0,54310.0
P003,部品C,2024-01-07,ライン2,153,115,197732.0,198098.0,32671.0,27747.0,10877.0,11795.0
P004,部品D,2024-01-07,ライン2,59,60,165687.0,135729.0,57388.0,48392.0,33757.0,38296.0
P005,部品E,2024-01-07,ライン2,62,60,107038.0,92187.0,52837.0,56962.0,28976.0,30486.0
P006,ユニットX,2024-01-07,ライン2,127,116,128046.0,123889.0,57368.0,66515.0,38029.0,38205.0
P007,ユニットY,2024-01-07,ライン2,80,84,124661.0,141191.0,56540.0,67240.0,41118.0,38782.0
P008,ユニットZ,2024-01-07,ライン2,154,139,124453.0,116020.0,32462.0,26005.0,47325.0,50574.0
P009,製品P,2024-01-07,ライン2,78,80,72372.0,78844.0,25405.0,21353.0,30468.0,27493.0
P010,製品Q,2024-01-07,ライン2,109,119,89619.0,103031.0,23005.0,26246.0,42527.0,40149.0
P011,PartA,2024-01-07,ライン2,130,120,177687.0,151986.0,73418.0,77740.0,10387.0,9675.0
P012,PartB,2024-01-07,ライン2,162,154,159960.0,135252.0,42357.0,40667.0,23709.0,23297.0
P013,PartC,2024-01-07,ライン2,148,147,113261.0,96612.0,73167.0,79794.0,16671.0,19882.0
P014,SubAsmX,2024-01-07,ライン2,90,97,122401.0,127852.0,54137.0,60182.0,27527.0,28753.0
P015,SubAsmY,2024-01-07,ライン2,83,82,183139.0,194492.0,46441.0,37383.0,12533.0,14380.0
P016,FinGoodA,2024-01-07,ライン2,184,186,134752.0,126036.0,78674.0,79401.0,36794.0,39746.0
P017,FinGoodB,2024-01-07,ライン2,74,77,122289.0,105103.0,59823.0,67634.0,35656.0,41248.0
P018,FinGoodC,2024-01-07,ライン2,63,58,125835.0,108994.0,48157.0,53001.0,29833.0,27693.0
P019,FinGoodD,2024-01-07,ライン2,134,121,83406.0,74565.0,58599.0,57640.0,26131.0,29280.0
P020,FinGoodE,2024-01-07,ライン2,164,135,97409.0,78620.0,78840.0,75795.0,39810.0,32418.0
P001,部品A,2024-01-07,ライン3,190,137,140630.0,141100.0,57144.0,50443.0,22184.0,23706.0
P002,部品B,2024-01-07,ライン3,137,124,83438.0,87435.0,47268.0,46760.0,32406.0,34443.0
P003,部品C,2024-01-07,ライン3,165,173,83262.0,98730.0,40481.0,37113.0,43195.0,43575.0
P004,部品D,2024-01-07,ライン3,77,57,71067.0,59894.0,63011.0,65805.0,38862.0,34005.0
P005,部品E,2024-01-07,ライン3,150,159,78587.0,64331.0,40276.0,42423.0,40286.0,43060.0
P006,ユニットX,2024-01-07,ライン3,81,80,148769.0,148699.0,77371.0,78311.0,15385.0,12607.0
P007,ユニットY,2024-01-07,ライン3,160,159,126250.0,130217.0,75270.0,82209.0,17088.0,14548.0
P008,ユニットZ,2024-01-07,ライン3,149,152,98277.0,102561.0,72883.0,78496.0,26747.0,24053.0
P009,製品P,2024-01-07,ライン3,151,165,117927.0,127362.0,28002.0,30785.0,26510.0,24378.0
P010,製品Q,2024-01-07,ライン3,190,198,190327.0,199780.0,57955.0,53100.0,18036.0,16919.0
P011,PartA,2024-01-07,ライン3,83,85,193749.0,179984.0,50234.0,42506.0,37772.0,35540.0
P012,PartB,2024-01-07,ライン3,172,187,156519.0,158641.0,60455.0,69583.0,45755.0,44334.0
P013,PartC,2024-01-07,ライン3,53,47,71799.0,78984.0,60215.0,52049.0,17996.0,16460.0
P014,SubAsmX,2024-01-07,ライン3,114,104,167654.0,158177.0,32240.0,31629.0,31647.0,33117.0
P015,SubAsmY,2024-01-07,ライン3,193,202,134191.0,150230.0,34256.0,31346.0,41372.0,44094.0
P016,FinGoodA,2024-01-07,ライン3,147,160,196373.0,158117.0,38759.0,34904.0,32085.0,33632.0
P017,FinGoodB,2024-01-07,ライン3,163,176,155694.0,158597.0,58858.0,61292.0,40204.0,44645.0
P018,FinGoodC,2024-01-07,ライン3,99,92,152399.0,153243.0,31219.0,29685.0,16952.0,16467.0
P019,FinGoodD,2024-01-07,ライン3,192,178,176902.0,207860.0,20339.0,16596.0,28653.0,33566.0
P020,FinGoodE,2024-01-07,ライン3,63,64,176471.0,180012.0,38069.0,31565.0,41596.0,45052.0
