スタッフID,氏名,役職,日付,希望シフト,スキルレベル,雇用形態
S01003,スタッフS01003,看護補助,2024-01-04,日勤,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-05,休み,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-06,遅番,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-07,休み,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-08,休み,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-09,早番,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-10,夜勤,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-11,夜勤,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-12,遅番,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-13,日勤,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-14,遅番,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-15,早番,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-16,日勤,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-17,日勤,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-18,休み,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-19,休み,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-20,日勤,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-21,日勤,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-22,早番,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-23,休み,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-24,休み,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-25,日勤,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-26,遅番,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-27,遅番,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-28,早番,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-29,夜勤,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-30,遅番,初級,正社員
S01003,スタッフS01003,看護補助,2024-01-31,夜勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-01,遅番,初級,正社員
S01004,スタッフS01004,看護師,2024-01-02,早番,初級,正社員
S01004,スタッフS01004,看護師,2024-01-03,日勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-04,早番,初級,正社員
S01004,スタッフS01004,看護師,2024-01-05,休み,初級,正社員
S01004,スタッフS01004,看護師,2024-01-06,休み,初級,正社員
S01004,スタッフS01004,看護師,2024-01-07,休み,初級,正社員
S01004,スタッフS01004,看護師,2024-01-08,日勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-09,早番,初級,正社員
S01004,スタッフS01004,看護師,2024-01-10,休み,初級,正社員
S01004,スタッフS01004,看護師,2024-01-11,休み,初級,正社員
S01004,スタッフS01004,看護師,2024-01-12,早番,初級,正社員
S01004,スタッフS01004,看護師,2024-01-13,日勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-14,早番,初級,正社員
S01004,スタッフS01004,看護師,2024-01-15,夜勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-16,夜勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-17,早番,初級,正社員
S01004,スタッフS01004,看護師,2024-01-18,日勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-19,遅番,初級,正社員
S01004,スタッフS01004,看護師,2024-01-20,日勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-21,休み,初級,正社員
S01004,スタッフS01004,看護師,2024-01-22,日勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-23,日勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-24,遅番,初級,正社員
S01004,スタッフS01004,看護師,2024-01-25,夜勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-26,日勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-27,日勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-28,休み,初級,正社員
S01004,スタッフS01004,看護師,2024-01-29,遅番,初級,正社員
S01004,スタッフS01004,看護師,2024-01-30,日勤,初級,正社員
S01004,スタッフS01004,看護師,2024-01-31,遅番,初級,正社員
S01005,スタッフS01005,看護師,2024-01-01,早番,初級,パート
S01005,スタッフS01005,看護師,2024-01-02,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-03,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-04,遅番,初級,パート
S01005,スタッフS01005,看護師,2024-01-05,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-06,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-07,早番,初級,パート
S01005,スタッフS01005,看護師,2024-01-08,遅番,初級,パート
S01005,スタッフS01005,看護師,2024-01-09,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-10,休み,初級,パート
S01005,スタッフS01005,看護師,2024-01-11,休み,初級,パート
S01005,スタッフS01005,看護師,2024-01-12,早番,初級,パート
S01005,スタッフS01005,看護師,2024-01-13,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-14,遅番,初級,パート
S01005,スタッフS01005,看護師,2024-01-15,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-16,早番,初級,パート
S01005,スタッフS01005,看護師,2024-01-17,休み,初級,パート
S01005,スタッフS01005,看護師,2024-01-18,遅番,初級,パート
S01005,スタッフS01005,看護師,2024-01-19,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-20,夜勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-21,休み,初級,パート
S01005,スタッフS01005,看護師,2024-01-22,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-23,早番,初級,パート
S01005,スタッフS01005,看護師,2024-01-24,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-25,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-26,日勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-27,夜勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-28,夜勤,初級,パート
S01005,スタッフS01005,看護師,2024-01-29,休み,初級,パート
S01005,スタッフS01005,看護師,2024-01-30,早番,初級,パート
S01005,スタッフS01005,看護師,2024-01-31,日勤,初級,パート
S01006,スタッフS01006,介護士,2024-01-01,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-02,休み,初級,正社員
S01006,スタッフS01006,介護士,2024-01-03,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-04,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-05,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-06,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-07,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-08,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-09,休み,初級,正社員
S01006,スタッフS01006,介護士,2024-01-10,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-11,休み,初級,正社員
S01006,スタッフS01006,介護士,2024-01-12,遅番,初級,正社員
S01006,スタッフS01006,介護士,2024-01-13,早番,初級,正社員
S01006,スタッフS01006,介護士,2024-01-14,休み,初級,正社員
S01006,スタッフS01006,介護士,2024-01-15,休み,初級,正社員
S01006,スタッフS01006,介護士,2024-01-16,休み,初級,正社員
S01006,スタッフS01006,介護士,2024-01-17,休み,初級,正社員
S01006,スタッフS01006,介護士,2024-01-18,休み,初級,正社員
S01006,スタッフS01006,介護士,2024-01-19,早番,初級,正社員
S01006,スタッフS01006,介護士,2024-01-20,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-21,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-22,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-23,早番,初級,正社員
S01006,スタッフS01006,介護士,2024-01-24,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-25,休み,初級,正社員
S01006,スタッフS01006,介護士,2024-01-26,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-27,夜勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-28,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-29,日勤,初級,正社員
S01006,スタッフS01006,介護士,2024-01-30,休み,初級,正社員
S01006,スタッフS01006,介護士,2024-01-31,休み,初級,正社員
S01007,スタッフS01007,看護補助,2024-01-01,遅番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-02,夜勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-03,早番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-04,日勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-05,休み,初級,パート
S01007,スタッフS01007,看護補助,2024-01-06,遅番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-07,遅番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-08,夜勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-09,早番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-10,遅番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-11,日勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-12,休み,初級,パート
S01007,スタッフS01007,看護補助,2024-01-13,早番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-14,休み,初級,パート
S01007,スタッフS01007,看護補助,2024-01-15,早番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-16,日勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-17,遅番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-18,夜勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-19,日勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-20,早番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-21,休み,初級,パート
S01007,スタッフS01007,看護補助,2024-01-22,日勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-23,遅番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-24,遅番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-25,日勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-26,遅番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-27,遅番,初級,パート
S01007,スタッフS01007,看護補助,2024-01-28,休み,初級,パート
S01007,スタッフS01007,看護補助,2024-01-29,日勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-30,夜勤,初級,パート
S01007,スタッフS01007,看護補助,2024-01-31,日勤,初級,パート
S01008,スタッフS01008,介護士,2024-01-01,日勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-02,夜勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-03,日勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-04,日勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-05,夜勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-06,早番,中級,正社員
S01008,スタッフS01008,介護士,2024-01-07,日勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-08,休み,中級,正社員
S01008,スタッフS01008,介護士,2024-01-09,休み,中級,正社員
S01008,スタッフS01008,介護士,2024-01-10,早番,中級,正社員
S01008,スタッフS01008,介護士,2024-01-11,日勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-12,日勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-13,休み,中級,正社員
S01008,スタッフS01008,介護士,2024-01-14,休み,中級,正社員
S01008,スタッフS01008,介護士,2024-01-15,休み,中級,正社員
S01008,スタッフS01008,介護士,2024-01-16,日勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-17,早番,中級,正社員
S01008,スタッフS01008,介護士,2024-01-18,休み,中級,正社員
S01008,スタッフS01008,介護士,2024-01-19,夜勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-20,遅番,中級,正社員
S01008,スタッフS01008,介護士,2024-01-21,休み,中級,正社員
S01008,スタッフS01008,介護士,2024-01-22,遅番,中級,正社員
S01008,スタッフS01008,介護士,2024-01-23,早番,中級,正社員
S01008,スタッフS01008,介護士,2024-01-24,休み,中級,正社員
S01008,スタッフS01008,介護士,2024-01-25,日勤,中級,正社員
S01008,スタッフS01008,介護士,2024-01-26,遅番,中級,正社員
S01008,スタッフS01008,介護士,2024-01-27,休み,中級,正社員
S01008,スタッフS01008,介護士,2024-01-28,早番,中級,正社員
S01008,スタッフS01008,介護士,2024-01-29,早番,中級,正社員
S01008,スタッフS01008,介護士,2024-01-30,早番,中級,正社員
S01008,スタッフS01008,介護士,2024-01-31,遅番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-01,日勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-02,遅番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-03,夜勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-04,日勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-05,遅番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-06,日勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-07,日勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-08,休み,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-09,休み,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-10,早番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-11,日勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-12,日勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-13,早番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-14,夜勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-15,遅番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-16,日勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-17,夜勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-18,遅番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-19,日勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-20,早番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-21,早番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-22,休み,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-23,休み,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-24,遅番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-25,休み,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-26,遅番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-27,早番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-28,早番,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-29,日勤,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-30,休み,中級,正社員
S01009,スタッフS01009,リハビリ師,2024-01-31,夜勤,中級,正社員
S01010,スタッフS01010,看護師,2024-01-01,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-02,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-03,日勤,上級,パート
S01010,スタッフS01010,看護師,2024-01-04,日勤,上級,パート
S01010,スタッフS01010,看護師,2024-01-05,早番,上級,パート
S01010,スタッフS01010,看護師,2024-01-06,夜勤,上級,パート
S01010,スタッフS01010,看護師,2024-01-07,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-08,日勤,上級,パート
S01010,スタッフS01010,看護師,2024-01-09,遅番,上級,パート
S01010,スタッフS01010,看護師,2024-01-10,早番,上級,パート
S01010,スタッフS01010,看護師,2024-01-11,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-12,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-13,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-14,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-15,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-16,早番,上級,パート
S01010,スタッフS01010,看護師,2024-01-17,夜勤,上級,パート
S01010,スタッフS01010,看護師,2024-01-18,日勤,上級,パート
S01010,スタッフS01010,看護師,2024-01-19,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-20,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-21,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-22,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-23,日勤,上級,パート
S01010,スタッフS01010,看護師,2024-01-24,夜勤,上級,パート
S01010,スタッフS01010,看護師,2024-01-25,早番,上級,パート
S01010,スタッフS01010,看護師,2024-01-26,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-27,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-28,日勤,上級,パート
S01010,スタッフS01010,看護師,2024-01-29,休み,上級,パート
S01010,スタッフS01010,看護師,2024-01-30,日勤,上級,パート
S01010,スタッフS01010,看護師,2024-01-31,日勤,上級,パート
