社員番号,スタッフ名,職種,勤務日,シフト希望,技能区分,雇用区分
S03002,スタッフS03002,看護師,2024-01-03,夜勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-04,日勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-05,休み,初級,正社員
S03002,スタッフS03002,看護師,2024-01-06,休み,初級,正社員
S03002,スタッフS03002,看護師,2024-01-07,遅番,初級,正社員
S03002,スタッフS03002,看護師,2024-01-08,日勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-09,日勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-10,日勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-11,休み,初級,正社員
S03002,スタッフS03002,看護師,2024-01-12,日勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-13,遅番,初級,正社員
S03002,スタッフS03002,看護師,2024-01-14,休み,初級,正社員
S03002,スタッフS03002,看護師,2024-01-15,遅番,初級,正社員
S03002,スタッフS03002,看護師,2024-01-16,遅番,初級,正社員
S03002,スタッフS03002,看護師,2024-01-17,日勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-18,日勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-19,日勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-20,夜勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-21,遅番,初級,正社員
S03002,スタッフS03002,看護師,2024-01-22,夜勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-23,日勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-24,遅番,初級,正社員
S03002,スタッフS03002,看護師,2024-01-25,休み,初級,正社員
S03002,スタッフS03002,看護師,2024-01-26,日勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-27,夜勤,初級,正社員
S03002,スタッフS03002,看護師,2024-01-28,早番,初級,正社員
S03002,スタッフS03002,看護師,2024-01-29,休み,初級,正社員
S03002,スタッフS03002,看護師,2024-01-30,遅番,初級,正社員
S03002,スタッフS03002,看護師,2024-01-31,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-01,早番,初級,正社員
S03003,スタッフS03003,介護士,2024-01-02,遅番,初級,正社員
S03003,スタッフS03003,介護士,2024-01-03,遅番,初級,正社員
S03003,スタッフS03003,介護士,2024-01-04,早番,初級,正社員
S03003,スタッフS03003,介護士,2024-01-05,休み,初級,正社員
S03003,スタッフS03003,介護士,2024-01-06,休み,初級,正社員
S03003,スタッフS03003,介護士,2024-01-07,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-08,早番,初級,正社員
S03003,スタッフS03003,介護士,2024-01-09,休み,初級,正社員
S03003,スタッフS03003,介護士,2024-01-10,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-11,夜勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-12,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-13,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-14,休み,初級,正社員
S03003,スタッフS03003,介護士,2024-01-15,休み,初級,正社員
S03003,スタッフS03003,介護士,2024-01-16,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-17,遅番,初級,正社員
S03003,スタッフS03003,介護士,2024-01-18,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-19,休み,初級,正社員
S03003,スタッフS03003,介護士,2024-01-20,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-21,休み,初級,正社員
S03003,スタッフS03003,介護士,2024-01-22,休み,初級,正社員
S03003,スタッフS03003,介護士,2024-01-23,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-24,夜勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-25,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-26,休み,初級,正社員
S03003,スタッフS03003,介護士,2024-01-27,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-28,休み,初級,正社員
S03003,スタッフS03003,介護士,2024-01-29,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-30,日勤,初級,正社員
S03003,スタッフS03003,介護士,2024-01-31,遅番,初級,正社員
S03004,スタッフS03004,看護補助,2024-01-01,休み,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-02,日勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-03,早番,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-04,遅番,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-05,日勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-06,遅番,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-07,遅番,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-08,日勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-09,日勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-10,日勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-11,夜勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-12,遅番,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-13,日勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-14,夜勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-15,早番,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-16,夜勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-17,夜勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-18,休み,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-19,日勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-20,遅番,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-21,休み,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-22,休み,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-23,日勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-24,早番,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-25,日勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-26,遅番,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-27,休み,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-28,休み,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-29,日勤,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-30,遅番,中級,正社員
S03004,スタッフS03004,看護補助,2024-01-31,日勤,中級,正社員
S03005,スタッフS03005,介護士,2024-01-01,夜勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-02,日勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-03,遅番,上級,パート
S03005,スタッフS03005,介護士,2024-01-04,早番,上級,パート
S03005,スタッフS03005,介護士,2024-01-05,日勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-06,休み,上級,パート
S03005,スタッフS03005,介護士,2024-01-07,日勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-08,夜勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-09,遅番,上級,パート
S03005,スタッフS03005,介護士,2024-01-10,休み,上級,パート
S03005,スタッフS03005,介護士,2024-01-11,休み,上級,パート
S03005,スタッフS03005,介護士,2024-01-12,休み,上級,パート
S03005,スタッフS03005,介護士,2024-01-13,日勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-14,日勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-15,夜勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-16,夜勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-17,休み,上級,パート
S03005,スタッフS03005,介護士,2024-01-18,早番,上級,パート
S03005,スタッフS03005,介護士,2024-01-19,早番,上級,パート
S03005,スタッフS03005,介護士,2024-01-20,遅番,上級,パート
S03005,スタッフS03005,介護士,2024-01-21,休み,上級,パート
S03005,スタッフS03005,介護士,2024-01-22,休み,上級,パート
S03005,スタッフS03005,介護士,2024-01-23,夜勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-24,日勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-25,早番,上級,パート
S03005,スタッフS03005,介護士,2024-01-26,遅番,上級,パート
S03005,スタッフS03005,介護士,2024-01-27,休み,上級,パート
S03005,スタッフS03005,介護士,2024-01-28,日勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-29,夜勤,上級,パート
S03005,スタッフS03005,介護士,2024-01-30,休み,上級,パート
S03005,スタッフS03005,介護士,2024-01-31,早番,上級,パート
S03006,スタッフS03006,介護士,2024-01-01,夜勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-02,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-03,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-04,早番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-05,遅番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-06,遅番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-07,夜勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-08,早番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-09,早番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-10,休み,中級,派遣
S03006,スタッフS03006,介護士,2024-01-11,遅番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-12,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-13,休み,中級,派遣
S03006,スタッフS03006,介護士,2024-01-14,早番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-15,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-16,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-17,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-18,早番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-19,休み,中級,派遣
S03006,スタッフS03006,介護士,2024-01-20,休み,中級,派遣
S03006,スタッフS03006,介護士,2024-01-21,夜勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-22,早番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-23,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-24,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-25,遅番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-26,遅番,中級,派遣
S03006,スタッフS03006,介護士,2024-01-27,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-28,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-29,休み,中級,派遣
S03006,スタッフS03006,介護士,2024-01-30,日勤,中級,派遣
S03006,スタッフS03006,介護士,2024-01-31,日勤,中級,派遣
S03007,スタッフS03007,介護士,2024-01-01,日勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-02,日勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-03,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-04,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-05,休み,中級,パート
S03007,スタッフS03007,介護士,2024-01-06,日勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-07,休み,中級,パート
S03007,スタッフS03007,介護士,2024-01-08,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-09,日勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-10,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-11,夜勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-12,夜勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-13,早番,中級,パート
S03007,スタッフS03007,介護士,2024-01-14,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-15,日勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-16,休み,中級,パート
S03007,スタッフS03007,介護士,2024-01-17,日勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-18,夜勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-19,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-20,日勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-21,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-22,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-23,夜勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-24,夜勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-25,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-26,休み,中級,パート
S03007,スタッフS03007,介護士,2024-01-27,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-28,休み,中級,パート
S03007,スタッフS03007,介護士,2024-01-29,遅番,中級,パート
S03007,スタッフS03007,介護士,2024-01-30,日勤,中級,パート
S03007,スタッフS03007,介護士,2024-01-31,日勤,中級,パート
S03008,スタッフS03008,リハビリ師,2024-01-01,遅番,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-02,夜勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-03,早番,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-04,日勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-05,夜勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-06,日勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-07,早番,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-08,遅番,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-09,休み,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-10,遅番,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-11,休み,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-12,休み,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-13,日勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-14,休み,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-15,遅番,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-16,夜勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-17,夜勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-18,日勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-19,早番,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-20,休み,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-21,早番,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-22,休み,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-23,休み,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-24,夜勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-25,休み,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-26,休み,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-27,夜勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-28,日勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-29,夜勤,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-30,早番,上級,正社員
S03008,スタッフS03008,リハビリ師,2024-01-31,遅番,上級,正社員
S03009,スタッフS03009,看護師,2024-01-01,日勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-02,夜勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-03,夜勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-04,遅番,中級,パート
S03009,スタッフS03009,看護師,2024-01-05,休み,中級,パート
S03009,スタッフS03009,看護師,2024-01-06,休み,中級,パート
S03009,スタッフS03009,看護師,2024-01-07,早番,中級,パート
S03009,スタッフS03009,看護師,2024-01-08,日勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-09,早番,中級,パート
S03009,スタッフS03009,看護師,2024-01-10,休み,中級,パート
S03009,スタッフS03009,看護師,2024-01-11,遅番,中級,パート
S03009,スタッフS03009,看護師,2024-01-12,休み,中級,パート
S03009,スタッフS03009,看護師,2024-01-13,日勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-14,早番,中級,パート
S03009,スタッフS03009,看護師,2024-01-15,休み,中級,パート
S03009,スタッフS03009,看護師,2024-01-16,休み,中級,パート
S03009,スタッフS03009,看護師,2024-01-17,日勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-18,日勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-19,早番,中級,パート
S03009,スタッフS03009,看護師,2024-01-20,休み,中級,パート
S03009,スタッフS03009,看護師,2024-01-21,日勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-22,日勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-23,早番,中級,パート
S03009,スタッフS03009,看護師,2024-01-24,休み,中級,パート
S03009,スタッフS03009,看護師,2024-01-25,早番,中級,パート
S03009,スタッフS03009,看護師,2024-01-26,日勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-27,夜勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-28,夜勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-29,休み,中級,パート
S03009,スタッフS03009,看護師,2024-01-30,日勤,中級,パート
S03009,スタッフS03009,看護師,2024-01-31,夜勤,中級,パート
S03010,スタッフS03010,介護士,2024-01-01,早番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-02,日勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-03,早番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-04,日勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-05,日勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-06,休み,初級,正社員
S03010,スタッフS03010,介護士,2024-01-07,早番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-08,日勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-09,日勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-10,休み,初級,正社員
S03010,スタッフS03010,介護士,2024-01-11,休み,初級,正社員
S03010,スタッフS03010,介護士,2024-01-12,早番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-13,夜勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-14,遅番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-15,休み,初級,正社員
S03010,スタッフS03010,介護士,2024-01-16,日勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-17,日勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-18,日勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-19,早番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-20,休み,初級,正社員
S03010,スタッフS03010,介護士,2024-01-21,日勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-22,遅番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-23,遅番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-24,遅番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-25,早番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-26,夜勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-27,日勤,初級,正社員
S03010,スタッフS03010,介護士,2024-01-28,早番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-29,遅番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-30,早番,初級,正社員
S03010,スタッフS03010,介護士,2024-01-31,夜勤,初級,正社員
