StudentID,StudentName,Subject,AttendanceRate,MidtermScore,FinalScore,AssignmentRate,EngagementScore,EnrollmentMonth,Course
SID-125,受講生125,国語,67.4,56.1,53.2,78.3,3,7,基礎コース
SID-125,受講生125,情報,68.7,54.1,46.1,81.8,2,7,基礎コース
SID-126,受講生126,数学,65.8,50.7,59.0,67.1,3,7,基礎コース
SID-126,受講生126,英語,76.9,60.9,68.1,67.2,3,7,基礎コース
SID-126,受講生126,物理,66.1,73.9,69.5,78.5,3,7,基礎コース
SID-126,受講生126,国語,74.3,55.5,65.3,78.4,2,7,基礎コース
SID-126,受講生126,情報,74.0,61.6,65.7,77.1,2,7,基礎コース
SID-127,受講生127,数学,77.9,66.2,51.8,69.3,3,9,応用コース
SID-127,受講生127,英語,80.7,60.8,56.0,66.1,2,9,応用コース
SID-127,受講生127,物理,69.2,64.7,50.8,61.6,2,9,応用コース
SID-127,受講生127,国語,72.5,59.5,55.8,80.4,3,9,応用コース
SID-127,受講生127,情報,71.4,69.0,68.5,76.5,3,9,応用コース
SID-128,受講生128,数学,95.0,81.0,76.6,88.1,4,5,応用コース
SID-128,受講生128,英語,86.4,68.6,76.6,78.1,5,5,応用コース
SID-128,受講生128,物理,91.1,97.6,61.4,90.5,4,5,応用コース
SID-128,受講生128,国語,89.2,65.7,70.0,78.0,5,5,応用コース
SID-128,受講生128,情報,85.5,79.0,81.2,75.0,3,5,応用コース
SID-129,受講生129,数学,83.2,68.3,82.0,83.2,4,9,応用コース
SID-129,受講生129,英語,84.4,65.8,97.7,77.7,4,9,応用コース
SID-129,受講生129,物理,82.5,70.1,99.3,90.4,4,9,応用コース
SID-129,受講生129,国語,99.7,68.1,99.0,80.1,4,9,応用コース
SID-129,受講生129,情報,92.5,79.7,75.4,98.3,3,9,応用コース
SID-130,受講生130,数学,84.9,59.5,61.2,84.2,2,12,上級コース
SID-130,受講生130,英語,66.2,73.1,59.2,77.6,3,12,上級コース
SID-130,受講生130,物理,75.7,66.8,56.4,63.9,2,12,上級コース
SID-130,受講生130,国語,69.9,71.4,45.9,77.7,3,12,上級コース
SID-130,受講生130,情報,65.1,54.0,61.9,61.5,3,12,上級コース
SID-131,受講生131,数学,76.8,67.1,59.7,69.1,2,12,応用コース
SID-131,受講生131,英語,76.9,55.2,59.1,82.0,3,12,応用コース
SID-131,受講生131,物理,78.3,61.8,53.0,62.1,3,12,応用コース
SID-131,受講生131,国語,65.2,74.7,50.6,80.4,2,12,応用コース
SID-131,受講生131,情報,68.4,57.1,55.5,68.1,3,12,応用コース
SID-132,受講生132,数学,99.2,95.6,66.1,94.4,5,4,応用コース
SID-132,受講生132,英語,83.0,97.0,80.7,83.4,5,4,応用コース
SID-132,受講生132,物理,80.2,73.7,96.6,94.9,3,4,応用コース
SID-132,受講生132,国語,99.4,68.5,83.7,81.4,5,4,応用コース
SID-132,受講生132,情報,86.4,74.9,83.0,79.6,4,4,応用コース
SID-133,受講生133,数学,74.4,66.3,48.2,83.3,3,8,基礎コース
SID-133,受講生133,英語,81.4,66.3,62.8,77.9,3,8,基礎コース
SID-133,受講生133,物理,82.5,65.3,52.0,62.5,3,8,基礎コース
SID-133,受講生133,国語,66.3,56.0,46.5,73.7,3,8,基礎コース
SID-133,受講生133,情報,68.2,65.3,64.8,80.5,2,8,基礎コース
SID-134,受講生134,数学,76.0,64.1,56.8,76.4,2,8,基礎コース
SID-134,受講生134,英語,69.2,74.5,47.5,80.7,3,8,基礎コース
SID-134,受講生134,物理,69.9,68.6,47.1,79.4,3,8,基礎コース
SID-134,受講生134,国語,76.8,52.8,47.0,78.8,2,8,基礎コース
SID-134,受講生134,情報,82.8,69.1,62.5,67.0,2,8,基礎コース
SID-135,受講生135,数学,61.3,53.2,22.7,41.4,1,5,基礎コース
SID-135,受講生135,英語,51.8,46.0,34.2,50.0,1,5,基礎コース
SID-135,受講生135,物理,49.4,24.9,28.0,60.1,1,5,基礎コース
SID-135,受講生135,国語,51.3,47.6,21.9,38.9,2,5,基礎コース
SID-135,受講生135,情報,46.9,54.5,41.2,51.6,2,5,基礎コース
SID-136,受講生136,数学,68.7,65.9,54.5,83.1,2,10,上級コース
SID-136,受講生136,英語,80.3,61.2,63.7,84.4,2,10,上級コース
SID-136,受講生136,物理,77.9,73.0,51.2,82.2,2,10,上級コース
SID-136,受講生136,国語,67.0,66.2,64.6,75.4,3,10,上級コース
SID-136,受講生136,情報,77.3,53.8,50.4,66.7,2,10,上級コース
SID-137,受講生137,数学,92.0,80.5,69.8,97.1,3,9,応用コース
SID-137,受講生137,英語,88.9,79.3,67.3,93.3,4,9,応用コース
SID-137,受講生137,物理,89.0,65.6,98.6,95.4,4,9,応用コース
SID-137,受講生137,国語,97.4,96.7,73.5,90.3,5,9,応用コース
SID-137,受講生137,情報,92.2,74.4,68.9,77.8,3,9,応用コース
SID-138,受講生138,数学,63.4,46.6,29.5,37.2,2,12,応用コース
SID-138,受講生138,英語,53.6,39.1,47.6,60.6,1,12,応用コース
SID-138,受講生138,物理,65.5,53.8,34.0,31.7,2,12,応用コース
SID-138,受講生138,国語,42.5,33.7,27.7,35.9,2,12,応用コース
SID-138,受講生138,情報,45.9,53.6,42.8,52.4,2,12,応用コース
SID-139,受講生139,数学,78.5,58.3,61.2,64.7,2,10,基礎コース
SID-139,受講生139,英語,71.0,56.4,62.8,76.4,3,10,基礎コース
SID-139,受講生139,物理,74.0,65.8,49.0,76.8,3,10,基礎コース
SID-139,受講生139,国語,70.5,54.1,53.3,68.3,2,10,基礎コース
SID-139,受講生139,情報,74.1,54.8,49.8,73.5,2,10,基礎コース
SID-140,受講生140,数学,93.8,98.0,77.1,97.5,3,7,上級コース
SID-140,受講生140,英語,82.0,66.5,88.9,94.0,4,7,上級コース
SID-140,受講生140,物理,81.1,92.2,75.1,82.6,5,7,上級コース
SID-140,受講生140,国語,83.5,99.9,62.5,95.7,4,7,上級コース
SID-140,受講生140,情報,94.7,89.9,94.3,79.6,4,7,上級コース
