証券番号,顧客ID,商品区分,開始日,満期日,年払保険料,担当営業
POL-2024000364,CUST-024,損害,2020/06/15,2023/06/15,613004,田中
POL-2024000365,CUST-011,生命,2019/02/21,2024/02/20,1737474,佐藤
POL-2024000366,CUST-056,年金,2019/04/20,2024/04/18,1873418,佐藤
POL-2024000367,CUST-055,損害,2024/03/08,2025/03/08,1616319,田中
POL-2024000368,CUST-053,年金,2023/09/05,2025/09/04,1207794,佐藤
POL-2024000369,CUST-120,医療,2020/02/11,2024/02/10,598534,鈴木
POL-2024000370,CUST-120,生命,2020/03/01,2024/02/29,1647251,高橋
POL-2024000371,CUST-081,年金,2021/11/27,2024/11/26,1229699,田中
POL-2024000372,CUST-067,年金,2023/09/29,2024/09/28,369629,鈴木
POL-2024000373,CUST-146,損害,2019/10/07,2023/10/06,1204781,高橋
POL-2024000374,CUST-066,年金,2021/04/16,2024/04/15,1016428,高橋
POL-2024000375,CUST-036,年金,2021/08/04,2023/08/04,1972877,佐藤
POL-2024000376,CUST-009,生命,2019/07/03,2024/07/01,1652934,田中
POL-2024000377,CUST-018,損害,2021/11/22,2023/11/22,508688,田中
POL-2024000378,CUST-124,年金,2023/02/12,2024/02/12,63867,田中
POL-2024000379,CUST-005,医療,2023/02/14,2024/02/14,651229,伊藤
POL-2024000380,CUST-046,生命,2019/02/09,2023/02/08,1149715,田中
POL-2024000381,CUST-135,医療,2018/10/26,2023/10/25,610620,鈴木
POL-2024000382,CUST-104,年金,2021/03/09,2024/03/08,560043,伊藤
POL-2024000383,CUST-021,生命,2021/12/20,2024/12/19,899930,田中
POL-2024000384,CUST-015,生命,2020/02/19,2024/02/18,223405,佐藤
POL-2024000385,CUST-145,生命,2021/02/14,2024/02/14,1977601,伊藤
POL-2024000386,CUST-122,医療,2018/10/16,2023/10/15,1988102,田中
POL-2024000387,CUST-145,生命,2018/09/11,2023/09/10,1997764,佐藤
POL-2024000388,CUST-037,年金,2022/05/19,2024/05/18,677629,田中
POL-2024000389,CUST-100,医療,2018/10/01,2023/09/30,1634627,高橋
POL-2024000390,CUST-129,医療,2023/04/23,2024/04/22,254861,田中
POL-2024000391,CUST-088,年金,2023/02/27,2024/02/27,112129,鈴木
POL-2024000392,CUST-126,損害,2020/04/23,2024/04/22,1209804,鈴木
POL-2024000393,CUST-150,年金,2023/07/19,2025/07/18,1669352,田中
POL-2024000394,CUST-019,生命,2022/04/24,2024/04/23,373424,鈴木
POL-2024000395,CUST-100,医療,2022/02/26,2024/02/26,273453,鈴木
POL-2024000396,CUST-093,医療,2019/08/28,2023/08/27,327887,田中
POL-2024000397,CUST-143,年金,2019/06/26,2023/06/25,105075,田中
POL-2024000398,CUST-084,年金,2022/04/23,2023/04/23,662048,田中
POL-2024000399,CUST-144,損害,2023/02/25,2024/02/25,1142835,伊藤
POL-2024000400,CUST-036,医療,2021/07/21,2023/07/21,612889,鈴木
POL-2024000401,CUST-112,医療,2022/02/03,2024/02/03,678626,高橋
POL-2024000402,CUST-065,損害,2021/02/03,2024/02/03,1295302,高橋
POL-2024000403,CUST-035,医療,2023/04/02,2024/04/01,879826,田中
POL-2024000404,CUST-085,年金,2020/02/21,2024/02/20,953067,鈴木
POL-2024000405,CUST-077,医療,2024/01/01,2025/12/31,1508133,伊藤
POL-2024000406,CUST-102,医療,2021/08/24,2023/08/24,1591143,鈴木
POL-2024000407,CUST-063,医療,2019/04/05,2024/04/03,637832,高橋
POL-2024000408,CUST-030,損害,2022/06/09,2025/06/08,1194267,伊藤
POL-2024000409,CUST-119,損害,2022/04/25,2023/04/25,1722867,高橋
POL-2024000410,CUST-105,年金,2022/02/11,2023/02/11,1378201,佐藤
POL-2024000411,CUST-109,年金,2022/02/09,2024/02/09,991761,田中
POL-2024000412,CUST-103,年金,2020/09/05,2025/09/04,127102,伊藤
POL-2024000413,CUST-022,生命,2019/03/28,2024/03/26,1429090,佐藤
POL-2024000414,CUST-012,年金,2019/03/15,2024/03/13,1719817,鈴木
POL-2024000415,CUST-067,損害,2023/02/01,2024/02/01,1616264,伊藤
POL-2024000416,CUST-057,年金,2019/02/20,2024/02/19,870267,鈴木
POL-2024000417,CUST-129,損害,2019/02/23,2024/02/22,101511,鈴木
POL-2024000418,CUST-022,生命,2020/02/11,2024/02/10,780498,佐藤
POL-2024000419,CUST-134,年金,2022/02/15,2024/02/15,1048585,鈴木
POL-2024000420,CUST-082,生命,2019/02/10,2023/02/09,143707,鈴木
