契約番号,顧客コード,保険種別,契約開始日,契約終了日,年間保険料,担当者
CN-2024000070,CUST-146,医療保険,2019/10/29,2024/10/27,1199107,高橋
CN-2024000071,CUST-054,年金保険,2022/03/10,2025/03/09,1322261,伊藤
CN-2024000072,CUST-114,損害保険,2020/04/02,2024/04/01,1042343,伊藤
CN-2024000073,CUST-022,医療保険,2022/04/23,2024/04/22,1442202,伊藤
CN-2024000074,CUST-061,医療保険,2023/03/25,2024/03/24,1741484,佐藤
CN-2024000075,CUST-063,年金保険,2023/01/19,2024/01/19,1832029,伊藤
CN-2024000076,CUST-148,損害保険,2020/04/02,2024/04/01,1086784,高橋
CN-2024000077,CUST-028,年金保険,2023/02/05,2024/02/05,418861,佐藤
CN-2024000078,CUST-013,損害保険,2021/10/15,2025/10/14,1007269,田中
CN-2024000079,CUST-144,医療保険,2018/06/09,2023/06/08,1334825,高橋
CN-2024000080,CUST-141,年金保険,2021/10/01,2025/09/30,1609558,佐藤
CN-2024000081,CUST-064,医療保険,2022/08/06,2025/08/05,1066273,伊藤
CN-2024000082,CUST-020,医療保険,2020/03/21,2024/03/20,619827,佐藤
CN-2024000083,CUST-021,損害保険,2019/03/02,2024/02/29,534990,佐藤
CN-2024000084,CUST-017,年金保険,2022/02/05,2024/02/05,743908,高橋
CN-2024000085,CUST-053,年金保険,2023/02/14,2024/02/14,1947583,高橋
CN-2024000086,CUST-148,年金保険,2023/04/17,2024/04/16,62364,高橋
CN-2024000087,CUST-108,損害保険,2021/03/04,2025/03/03,510160,高橋
CN-2024000088,CUST-100,医療保険,2022/05/28,2023/05/28,1568718,高橋
CN-2024000089,CUST-137,生命保険,2021/06/06,2023/06/06,1291289,高橋
CN-2024000090,CUST-110,損害保険,2023/03/05,2024/03/04,431113,高橋
CN-2024000091,CUST-055,年金保険,2020/07/21,2023/07/21,757789,鈴木
CN-2024000092,CUST-108,医療保険,2021/03/28,2024/03/27,1036304,田中
CN-2024000093,CUST-090,損害保険,2022/04/30,2023/04/30,1688364,田中
CN-2024000094,CUST-064,損害保険,2023/06/13,2024/06/12,1353035,田中
CN-2024000095,CUST-030,損害保険,2019/11/29,2023/11/28,1516884,高橋
CN-2024000096,CUST-030,損害保険,2021/07/27,2023/07/27,276699,鈴木
CN-2024000097,CUST-148,年金保険,2021/05/02,2024/05/01,1549494,高橋
CN-2024000098,CUST-027,医療保険,2021/04/03,2023/04/03,1739314,伊藤
CN-2024000099,CUST-089,年金保険,2022/04/17,2023/04/17,194612,鈴木
CN-2024000100,CUST-108,年金保険,2023/02/11,2024/02/11,959164,田中
CN-2024000101,CUST-112,損害保険,2023/08/16,2025/08/15,1414108,伊藤
CN-2024000102,CUST-120,年金保険,2019/05/02,2023/05/01,612866,伊藤
CN-2024000103,CUST-072,年金保険,2023/02/08,2024/02/08,1623862,佐藤
CN-2024000104,CUST-087,生命保険,2020/02/21,2024/02/20,1834577,高橋
CN-2024000105,CUST-091,医療保険,2022/02/16,2024/02/16,636486,鈴木
CN-2024000106,CUST-003,損害保険,2020/02/10,2025/02/08,556160,田中
CN-2024000107,CUST-062,年金保険,2019/04/05,2024/04/03,989890,高橋
CN-2024000108,CUST-057,年金保険,2021/03/09,2024/03/08,692160,佐藤
CN-2024000109,CUST-142,医療保険,2020/03/27,2024/03/26,1614339,高橋
CN-2024000110,CUST-070,医療保険,2020/03/26,2024/03/25,533473,鈴木
CN-2024000111,CUST-031,損害保険,2020/10/25,2023/10/25,503791,佐藤
CN-2024000112,CUST-135,医療保険,2019/03/22,2024/03/20,1796148,田中
CN-2024000113,CUST-046,医療保険,2020/10/07,2023/10/07,1534822,田中
CN-2024000114,CUST-014,医療保険,2023/02/09,2024/02/09,1387709,佐藤
CN-2024000115,CUST-004,医療保険,2024/09/16,2025/09/16,1053936,高橋
CN-2024000116,CUST-065,年金保険,2023/02/06,2024/02/06,1774101,田中
CN-2024000117,CUST-148,生命保険,2022/05/25,2023/05/25,362890,佐藤
CN-2024000118,CUST-064,生命保険,2024/03/09,2025/03/09,1653154,伊藤
CN-2024000119,CUST-058,年金保険,2019/02/21,2024/02/20,1955271,高橋
CN-2024000120,CUST-110,医療保険,2019/03/01,2024/02/28,1352388,伊藤
CN-2024000121,CUST-055,医療保険,2021/12/12,2023/12/12,379372,田中
CN-2024000122,CUST-041,生命保険,2022/04/24,2023/04/24,994774,高橋
CN-2024000123,CUST-009,損害保険,2021/04/03,2024/04/02,1532593,鈴木
CN-2024000124,CUST-060,医療保険,2022/06/13,2023/06/13,1436601,伊藤
CN-2024000125,CUST-030,損害保険,2020/11/21,2024/11/20,1955076,佐藤
CN-2024000126,CUST-016,損害保険,2022/11/20,2023/11/20,1297897,鈴木
CN-2024000127,CUST-113,生命保険,2021/04/09,2024/04/08,1494262,高橋
CN-2024000128,CUST-129,年金保険,2021/02/13,2024/02/13,218698,高橋
CN-2024000129,CUST-083,医療保険,2020/04/29,2024/04/28,241526,田中
CN-2024000130,CUST-006,医療保険,2018/02/21,2023/02/20,134371,伊藤
CN-2024000131,CUST-133,年金保険,2020/03/15,2024/03/14,430610,鈴木
CN-2024000132,CUST-024,年金保険,2021/07/23,2025/07/22,906368,鈴木
CN-2024000133,CUST-042,医療保険,2023/02/22,2024/02/22,1504739,高橋
CN-2024000134,CUST-141,生命保険,2020/02/23,2024/02/22,234674,高橋
CN-2024000135,CUST-104,生命保険,2023/02/11,2024/02/11,1018834,伊藤
CN-2024000136,CUST-093,年金保険,2019/02/08,2024/02/07,1643815,高橋
CN-2024000137,CUST-034,医療保険,2018/09/18,2023/09/17,1897269,高橋
CN-2024000138,CUST-062,損害保険,2023/03/11,2024/03/10,1205193,鈴木
CN-2024000139,CUST-058,生命保険,2022/07/07,2023/07/07,296344,高橋
CN-2024000140,CUST-075,医療保険,2020/03/13,2024/03/12,1800542,高橋
CN-2024000141,CUST-117,損害保険,2022/02/16,2024/02/16,449738,高橋
CN-2024000142,CUST-018,医療保険,2023/10/05,2025/10/04,762770,高橋
CN-2024000143,CUST-001,医療保険,2022/10/04,2025/10/03,1806314,鈴木
CN-2024000144,CUST-039,年金保険,2020/04/15,2024/04/14,1065737,伊藤
CN-2024000145,CUST-097,年金保険,2019/02/19,2024/02/18,1873686,鈴木
CN-2024000146,CUST-147,年金保険,2021/02/08,2023/02/08,1845189,佐藤
CN-2024000147,CUST-122,年金保険,2021/03/06,2024/03/05,1441856,高橋
CN-2024000148,CUST-127,生命保険,2022/04/14,2024/04/13,1103380,佐藤
CN-2024000149,CUST-113,生命保険,2024/04/06,2025/04/06,1959334,伊藤
CN-2024000150,CUST-105,損害保険,2022/02/24,2024/02/24,1034593,田中
CN-2024000151,CUST-102,生命保険,2021/03/20,2024/03/19,1837489,鈴木
CN-2024000152,CUST-082,年金保険,2020/04/07,2024/04/06,125285,伊藤
CN-2024000153,CUST-059,生命保険,2021/03/19,2024/03/18,256450,高橋
CN-2024000154,CUST-114,損害保険,2023/04/18,2024/04/17,1944617,鈴木
CN-2024000155,CUST-076,医療保険,2022/08/18,2023/08/18,953215,鈴木
CN-2024000156,CUST-145,損害保険,2019/05/06,2023/05/05,417147,佐藤
CN-2024000157,CUST-062,年金保険,2018/07/21,2023/07/20,350139,伊藤
CN-2024000158,CUST-118,医療保険,2020/03/11,2023/03/11,1935147,田中
CN-2024000159,CUST-041,生命保険,2020/02/22,2025/02/20,774703,高橋
CN-2024000160,CUST-065,年金保険,2021/03/05,2025/03/04,467788,鈴木
