受付日,チケットID,カテゴリ,優先度,担当者ID,解決時間(h),エスカレーション,エスカレーション理由,満足度,解決済み
2024/01/12,TKT-0039,請求問い合わせ,高,AGT-08,70,0,,5,0
2024/01/17,TKT-0040,ログイン障害,低,AGT-05,14,0,,2,1
2024/01/04,TKT-0041,データ移行,高,AGT-05,37,0,,3,1
2024/01/09,TKT-0042,データ移行,中,AGT-05,7,1,顧客クレーム,3,1
2024/01/11,TKT-0043,機能不具合,低,AGT-05,21,0,,5,1
2024/01/18,TKT-0044,ログイン障害,高,AGT-02,20,0,,3,1
2024/01/05,TKT-0045,使い方質問,高,AGT-01,40,0,,1,1
2024/01/07,TKT-0046,機能不具合,低,AGT-02,46,0,,4,0
2024/01/05,TKT-0047,機能不具合,高,AGT-03,53,1,権限不足,3,1
2024/01/14,TKT-0048,機能不具合,中,AGT-03,14,0,,1,1
2024/01/08,TKT-0049,機能不具合,中,AGT-06,40,0,,2,1
2024/01/07,TKT-0050,使い方質問,中,AGT-05,9,0,,3,1
2024/01/17,TKT-0051,使い方質問,低,AGT-06,4,1,顧客クレーム,2,1
2024/01/09,TKT-0052,ログイン障害,高,AGT-07,45,0,,3,1
2024/01/17,TKT-0053,ログイン障害,中,AGT-04,33,1,顧客クレーム,1,1
2024/01/18,TKT-0054,機能不具合,中,AGT-07,9,0,,3,1
2024/01/04,TKT-0055,請求問い合わせ,低,AGT-05,53,0,,3,1
2024/01/07,TKT-0056,使い方質問,低,AGT-07,23,0,,3,1
2024/01/01,TKT-0057,請求問い合わせ,中,AGT-04,56,0,,5,1
2024/01/15,TKT-0058,使い方質問,中,AGT-04,66,0,,2,1
2024/01/10,TKT-0059,データ移行,低,AGT-06,12,0,,2,1
2024/01/08,TKT-0060,機能不具合,高,AGT-01,6,0,,4,1
2024/01/03,TKT-0061,使い方質問,中,AGT-04,50,0,,2,1
2024/01/01,TKT-0062,ログイン障害,中,AGT-04,23,0,,5,1
2024/01/18,TKT-0063,機能不具合,高,AGT-08,18,0,,5,0
2024/01/20,TKT-0064,請求問い合わせ,中,AGT-07,71,0,,2,1
2024/01/16,TKT-0065,使い方質問,中,AGT-04,36,0,,5,1
2024/01/08,TKT-0066,請求問い合わせ,中,AGT-02,37,0,,3,1
2024/01/18,TKT-0067,ログイン障害,高,AGT-03,30,0,,2,1
2024/01/03,TKT-0068,使い方質問,中,AGT-06,70,0,,1,1
2024/01/14,TKT-0069,使い方質問,低,AGT-01,49,0,,3,1
2024/01/13,TKT-0070,使い方質問,低,AGT-04,63,0,,4,1
2024/01/13,TKT-0071,請求問い合わせ,低,AGT-07,22,0,,2,0
2024/01/18,TKT-0072,ログイン障害,中,AGT-01,11,0,,2,1
2024/01/06,TKT-0073,ログイン障害,中,AGT-07,42,0,,3,1
2024/01/13,TKT-0074,請求問い合わせ,中,AGT-05,11,0,,5,1
2024/01/12,TKT-0075,機能不具合,低,AGT-02,6,0,,2,1
2024/01/01,TKT-0076,データ移行,高,AGT-04,17,0,,1,1
2024/01/07,TKT-0077,使い方質問,低,AGT-05,48,0,,5,0
2024/01/04,TKT-0078,機能不具合,中,AGT-02,4,0,,5,1
2024/01/13,TKT-0079,使い方質問,低,AGT-04,10,0,,2,1
2024/01/10,TKT-0080,データ移行,高,AGT-01,45,0,,3,1
2024/01/11,TKT-0081,ログイン障害,中,AGT-08,14,0,,3,1
2024/01/15,TKT-0082,機能不具合,中,AGT-03,67,0,,3,1
2024/01/18,TKT-0083,使い方質問,中,AGT-07,35,0,,2,1
2024/01/03,TKT-0084,請求問い合わせ,中,AGT-04,60,0,,4,1
2024/01/16,TKT-0085,請求問い合わせ,高,AGT-08,28,0,,3,1
2024/01/20,TKT-0086,請求問い合わせ,低,AGT-01,67,0,,1,1
2024/01/14,TKT-0087,使い方質問,低,AGT-04,61,0,,4,1
2024/01/01,TKT-0088,ログイン障害,中,AGT-04,52,0,,3,1
2024/01/12,TKT-0089,使い方質問,低,AGT-06,55,0,,5,1
2024/01/15,TKT-0090,請求問い合わせ,中,AGT-05,30,1,技術的複雑性,3,1
2024/01/18,TKT-0091,機能不具合,高,AGT-04,62,0,,5,0
2024/01/17,TKT-0092,データ移行,中,AGT-02,25,0,,3,1
2024/01/01,TKT-0093,データ移行,高,AGT-05,6,0,,5,1
2024/01/05,TKT-0094,使い方質問,高,AGT-01,37,0,,4,1
2024/01/02,TKT-0095,請求問い合わせ,中,AGT-02,9,0,,1,1
2024/01/02,TKT-0096,機能不具合,高,AGT-05,11,0,,1,1
2024/01/14,TKT-0097,データ移行,低,AGT-04,67,0,,4,1
2024/01/19,TKT-0098,使い方質問,中,AGT-01,13,0,,2,1
2024/01/09,TKT-0099,ログイン障害,高,AGT-04,23,0,,2,1
2024/01/15,TKT-0100,データ移行,中,AGT-05,5,0,,3,1
2024/01/15,TKT-0101,ログイン障害,低,AGT-04,34,0,,5,1
2024/01/07,TKT-0102,使い方質問,高,AGT-04,20,0,,2,1
2024/01/06,TKT-0103,請求問い合わせ,低,AGT-05,57,1,権限不足,3,1
2024/01/09,TKT-0104,データ移行,低,AGT-08,57,1,技術的複雑性,4,1
2024/01/20,TKT-0105,請求問い合わせ,高,AGT-02,30,0,,5,1
2024/01/01,TKT-0106,請求問い合わせ,低,AGT-01,23,0,,4,0
2024/01/06,TKT-0107,データ移行,中,AGT-08,12,0,,4,1
2024/01/04,TKT-0108,機能不具合,中,AGT-07,64,0,,4,1
2024/01/18,TKT-0109,ログイン障害,中,AGT-02,41,0,,1,0
2024/01/13,TKT-0110,データ移行,高,AGT-08,53,1,権限不足,3,1
2024/01/16,TKT-0111,使い方質問,高,AGT-04,35,0,,3,1
2024/01/16,TKT-0112,ログイン障害,高,AGT-04,21,0,,1,1
2024/01/03,TKT-0113,機能不具合,高,AGT-08,16,0,,2,1
2024/01/10,TKT-0114,データ移行,低,AGT-05,54,0,,4,1
2024/01/18,TKT-0115,機能不具合,中,AGT-04,66,0,,2,1
2024/01/09,TKT-0116,使い方質問,中,AGT-05,1,0,,3,1
2024/01/19,TKT-0117,使い方質問,高,AGT-08,69,0,,3,1
2024/01/18,TKT-0118,使い方質問,中,AGT-06,25,0,,2,1
2024/01/08,TKT-0119,使い方質問,高,AGT-06,61,0,,4,1
2024/01/05,TKT-0120,使い方質問,高,AGT-03,65,0,,3,1
2024/01/15,TKT-0121,ログイン障害,低,AGT-08,2,0,,4,1
2024/01/05,TKT-0122,ログイン障害,中,AGT-05,44,0,,4,1
2024/01/11,TKT-0123,データ移行,中,AGT-06,63,0,,1,1
2024/01/08,TKT-0124,請求問い合わせ,高,AGT-02,56,0,,1,1
2024/01/10,TKT-0125,ログイン障害,高,AGT-06,8,0,,3,1
2024/01/08,TKT-0126,データ移行,中,AGT-03,22,0,,5,1
2024/01/20,TKT-0127,機能不具合,中,AGT-03,30,0,,3,1
2024/01/01,TKT-0128,使い方質問,中,AGT-03,10,0,,3,0
2024/01/10,TKT-0129,使い方質問,低,AGT-05,59,0,,2,0
2024/01/16,TKT-0130,ログイン障害,高,AGT-07,46,0,,3,1
2024/01/13,TKT-0131,請求問い合わせ,高,AGT-01,64,0,,3,1
2024/01/08,TKT-0132,データ移行,中,AGT-04,25,0,,2,1
2024/01/02,TKT-0133,請求問い合わせ,中,AGT-01,47,0,,1,0
2024/01/11,TKT-0134,使い方質問,高,AGT-04,17,0,,3,1
2024/01/09,TKT-0135,機能不具合,中,AGT-08,38,0,,3,1
2024/01/15,TKT-0136,ログイン障害,高,AGT-04,51,0,,5,1
2024/01/13,TKT-0137,ログイン障害,中,AGT-02,59,0,,3,1
2024/01/12,TKT-0138,ログイン障害,低,AGT-04,61,1,権限不足,3,0
2024/01/08,TKT-0139,ログイン障害,低,AGT-08,39,0,,1,1
2024/01/02,TKT-0140,請求問い合わせ,中,AGT-02,13,0,,5,1
2024/01/15,TKT-0141,請求問い合わせ,低,AGT-07,20,0,,1,1
2024/01/20,TKT-0142,使い方質問,中,AGT-01,48,0,,4,0
2024/01/12,TKT-0143,ログイン障害,低,AGT-06,70,0,,3,1
2024/01/09,TKT-0144,機能不具合,高,AGT-08,12,0,,5,0
2024/01/02,TKT-0145,請求問い合わせ,高,AGT-03,27,1,権限不足,2,1
2024/01/08,TKT-0146,請求問い合わせ,高,AGT-01,36,0,,2,0
2024/01/18,TKT-0147,請求問い合わせ,高,AGT-02,4,1,顧客クレーム,2,1
2024/01/01,TKT-0148,機能不具合,中,AGT-01,17,0,,5,1
2024/01/03,TKT-0149,使い方質問,中,AGT-06,66,0,,4,1
2024/01/20,TKT-0150,ログイン障害,低,AGT-05,59,0,,1,1
2024/01/16,TKT-0151,使い方質問,中,AGT-02,63,0,,4,1
2024/01/03,TKT-0152,請求問い合わせ,低,AGT-03,9,1,権限不足,5,1
2024/01/11,TKT-0153,使い方質問,低,AGT-05,59,0,,4,1
2024/01/04,TKT-0154,データ移行,低,AGT-04,56,0,,2,1
2024/01/15,TKT-0155,使い方質問,中,AGT-02,41,0,,3,1
2024/01/05,TKT-0156,使い方質問,高,AGT-02,11,1,技術的複雑性,3,1
2024/01/18,TKT-0157,ログイン障害,低,AGT-06,16,0,,4,1
2024/01/02,TKT-0158,請求問い合わせ,低,AGT-05,46,1,権限不足,2,1
2024/01/16,TKT-0159,機能不具合,高,AGT-06,72,0,,3,1
2024/01/14,TKT-0160,データ移行,低,AGT-01,35,1,顧客クレーム,3,0
