起票日,案件番号,問い合わせ分類,緊急度,対応者ID,対応時間,上申,上申理由,CS満足度,完了
2024/01/13,TKT-0396,請求問い合わせ,中,AGT-08,35,0,,2,1
2024/01/19,TKT-0397,ログイン障害,高,AGT-02,22,0,,3,1
2024/01/18,TKT-0398,請求問い合わせ,高,AGT-08,40,0,,1,1
2024/01/10,TKT-0399,データ移行,高,AGT-04,42,1,権限不足,2,0
2024/01/13,TKT-0400,データ移行,高,AGT-05,34,0,,2,1
2024/01/13,TKT-0401,使い方質問,低,AGT-04,13,0,,2,1
2024/01/02,TKT-0402,機能不具合,高,AGT-04,52,0,,1,1
2024/01/09,TKT-0403,ログイン障害,高,AGT-02,26,0,,4,1
2024/01/03,TKT-0404,請求問い合わせ,高,AGT-01,60,1,権限不足,4,1
2024/01/13,TKT-0405,使い方質問,高,AGT-07,55,0,,2,0
2024/01/09,TKT-0406,請求問い合わせ,中,AGT-03,5,0,,5,1
2024/01/10,TKT-0407,使い方質問,中,AGT-08,8,1,顧客クレーム,2,1
2024/01/17,TKT-0408,機能不具合,低,AGT-01,49,0,,3,1
2024/01/16,TKT-0409,請求問い合わせ,低,AGT-06,50,0,,1,1
2024/01/08,TKT-0410,ログイン障害,中,AGT-01,61,0,,5,0
2024/01/06,TKT-0411,ログイン障害,高,AGT-04,35,0,,1,1
2024/01/08,TKT-0412,データ移行,中,AGT-06,23,0,,5,1
2024/01/12,TKT-0413,データ移行,高,AGT-06,19,0,,2,1
2024/01/16,TKT-0414,データ移行,中,AGT-03,63,1,技術的複雑性,2,1
2024/01/01,TKT-0415,データ移行,中,AGT-01,43,0,,2,1
2024/01/11,TKT-0416,機能不具合,中,AGT-01,3,1,権限不足,2,1
2024/01/17,TKT-0417,請求問い合わせ,高,AGT-06,51,0,,3,1
2024/01/05,TKT-0418,機能不具合,低,AGT-07,63,0,,2,1
2024/01/18,TKT-0419,データ移行,中,AGT-04,23,0,,3,1
2024/01/01,TKT-0420,データ移行,中,AGT-01,24,0,,5,1
2024/01/19,TKT-0421,ログイン障害,中,AGT-03,43,0,,2,1
2024/01/11,TKT-0422,機能不具合,低,AGT-02,43,0,,3,1
2024/01/03,TKT-0423,請求問い合わせ,中,AGT-02,1,1,顧客クレーム,4,0
2024/01/14,TKT-0424,使い方質問,中,AGT-06,70,0,,4,1
2024/01/19,TKT-0425,機能不具合,高,AGT-08,10,0,,1,1
2024/01/11,TKT-0426,請求問い合わせ,高,AGT-02,44,0,,4,1
2024/01/03,TKT-0427,データ移行,高,AGT-06,62,0,,4,0
2024/01/06,TKT-0428,データ移行,中,AGT-03,7,1,技術的複雑性,2,1
2024/01/18,TKT-0429,データ移行,中,AGT-05,39,0,,1,1
2024/01/18,TKT-0430,使い方質問,高,AGT-01,47,1,技術的複雑性,3,1
2024/01/20,TKT-0431,使い方質問,高,AGT-02,4,0,,3,0
2024/01/16,TKT-0432,ログイン障害,中,AGT-07,61,0,,3,1
2024/01/18,TKT-0433,使い方質問,高,AGT-06,49,0,,4,1
2024/01/15,TKT-0434,使い方質問,中,AGT-04,35,0,,2,1
2024/01/04,TKT-0435,ログイン障害,低,AGT-06,70,0,,5,1
2024/01/02,TKT-0436,使い方質問,低,AGT-07,69,0,,4,1
2024/01/08,TKT-0437,使い方質問,中,AGT-02,51,0,,1,1
2024/01/17,TKT-0438,データ移行,低,AGT-03,16,0,,4,1
2024/01/06,TKT-0439,機能不具合,高,AGT-03,6,0,,4,1
2024/01/05,TKT-0440,データ移行,中,AGT-06,9,1,権限不足,4,1
2024/01/09,TKT-0441,データ移行,中,AGT-01,67,0,,1,1
2024/01/05,TKT-0442,データ移行,低,AGT-02,14,0,,1,1
2024/01/18,TKT-0443,請求問い合わせ,中,AGT-05,50,0,,5,1
2024/01/02,TKT-0444,機能不具合,中,AGT-07,19,0,,4,1
2024/01/11,TKT-0445,機能不具合,高,AGT-08,35,0,,1,1
2024/01/10,TKT-0446,請求問い合わせ,中,AGT-08,13,0,,2,1
2024/01/15,TKT-0447,請求問い合わせ,中,AGT-07,12,0,,2,0
2024/01/14,TKT-0448,使い方質問,低,AGT-06,8,0,,2,1
2024/01/17,TKT-0449,使い方質問,高,AGT-01,23,0,,2,1
2024/01/08,TKT-0450,ログイン障害,中,AGT-01,47,0,,3,1
2024/01/15,TKT-0451,データ移行,中,AGT-02,4,0,,4,1
2024/01/06,TKT-0452,使い方質問,低,AGT-06,45,0,,3,1
2024/01/03,TKT-0453,請求問い合わせ,高,AGT-07,7,0,,5,1
2024/01/07,TKT-0454,機能不具合,低,AGT-04,27,0,,4,1
2024/01/01,TKT-0455,使い方質問,高,AGT-03,2,0,,5,1
2024/01/10,TKT-0456,請求問い合わせ,中,AGT-07,45,0,,2,1
2024/01/17,TKT-0457,データ移行,中,AGT-02,1,0,,3,1
2024/01/20,TKT-0458,データ移行,中,AGT-05,14,0,,3,0
2024/01/11,TKT-0459,請求問い合わせ,中,AGT-05,25,1,技術的複雑性,1,1
2024/01/20,TKT-0460,使い方質問,低,AGT-06,18,0,,4,0
2024/01/09,TKT-0461,使い方質問,中,AGT-07,5,0,,5,1
2024/01/11,TKT-0462,機能不具合,低,AGT-08,46,0,,2,1
2024/01/18,TKT-0463,機能不具合,中,AGT-02,61,1,顧客クレーム,5,1
2024/01/06,TKT-0464,請求問い合わせ,低,AGT-02,29,0,,3,1
2024/01/11,TKT-0465,請求問い合わせ,中,AGT-05,60,0,,4,1
2024/01/19,TKT-0466,データ移行,低,AGT-02,61,0,,5,1
2024/01/13,TKT-0467,データ移行,中,AGT-07,7,0,,2,1
2024/01/07,TKT-0468,請求問い合わせ,中,AGT-08,19,0,,2,1
2024/01/16,TKT-0469,請求問い合わせ,低,AGT-03,41,0,,1,1
2024/01/07,TKT-0470,機能不具合,低,AGT-03,63,0,,1,1
2024/01/14,TKT-0471,使い方質問,中,AGT-07,62,0,,1,1
2024/01/12,TKT-0472,ログイン障害,中,AGT-04,3,0,,2,1
2024/01/12,TKT-0473,請求問い合わせ,高,AGT-02,50,0,,3,1
2024/01/02,TKT-0474,請求問い合わせ,中,AGT-08,67,0,,3,1
2024/01/05,TKT-0475,請求問い合わせ,中,AGT-06,25,0,,4,1
2024/01/08,TKT-0476,機能不具合,高,AGT-01,65,0,,3,1
2024/01/02,TKT-0477,使い方質問,低,AGT-05,69,0,,5,0
2024/01/04,TKT-0478,ログイン障害,高,AGT-02,54,0,,1,1
2024/01/16,TKT-0479,機能不具合,高,AGT-01,39,0,,1,1
2024/01/09,TKT-0480,データ移行,低,AGT-03,54,0,,1,1
