勤務日,店舗ID,店舗,ポジション,必要スタッフ数,出勤スタッフ数,作業時間,賃金
2024/01/03,S003,池袋店,フロア,5,6,7,1259
2024/01/03,S004,銀座店,レジ,1,6,8,1259
2024/01/03,S004,銀座店,品出し,5,1,7,1191
2024/01/03,S004,銀座店,フロア,2,4,10,1000
2024/01/03,S005,品川店,レジ,5,2,9,1009
2024/01/03,S005,品川店,品出し,1,2,8,1122
2024/01/03,S005,品川店,フロア,1,1,10,1040
2024/01/04,S001,新宿店,レジ,1,5,9,1035
2024/01/04,S001,新宿店,品出し,5,6,7,1065
2024/01/04,S001,新宿店,フロア,4,4,7,1135
2024/01/04,S002,渋谷店,レジ,5,6,10,1216
2024/01/04,S002,渋谷店,品出し,2,4,7,1159
2024/01/04,S002,渋谷店,フロア,4,5,8,1224
2024/01/04,S003,池袋店,レジ,5,3,6,1126
2024/01/04,S003,池袋店,品出し,2,0,8,1010
2024/01/04,S003,池袋店,フロア,5,4,7,1112
2024/01/04,S004,銀座店,レジ,1,0,6,1117
2024/01/04,S004,銀座店,品出し,1,0,8,1036
2024/01/04,S004,銀座店,フロア,5,1,8,1248
2024/01/04,S005,品川店,レジ,2,4,7,1292
2024/01/04,S005,品川店,品出し,5,3,7,1242
2024/01/04,S005,品川店,フロア,4,1,6,1049
2024/01/05,S001,新宿店,レジ,4,2,9,1210
2024/01/05,S001,新宿店,品出し,4,6,6,1050
2024/01/05,S001,新宿店,フロア,1,3,8,1055
2024/01/05,S002,渋谷店,レジ,2,1,7,1274
2024/01/05,S002,渋谷店,品出し,4,1,9,1093
2024/01/05,S002,渋谷店,フロア,3,3,7,1038
2024/01/05,S003,池袋店,レジ,4,6,10,1050
2024/01/05,S003,池袋店,品出し,1,5,10,1007
2024/01/05,S003,池袋店,フロア,1,6,7,1085
2024/01/05,S004,銀座店,レジ,4,3,9,1109
2024/01/05,S004,銀座店,品出し,4,0,7,1194
2024/01/05,S004,銀座店,フロア,1,3,8,1232
2024/01/05,S005,品川店,レジ,3,3,10,1249
2024/01/05,S005,品川店,品出し,2,1,8,1111
2024/01/05,S005,品川店,フロア,1,4,10,1031
2024/01/06,S001,新宿店,レジ,3,0,6,1299
2024/01/06,S001,新宿店,品出し,4,4,10,1080
2024/01/06,S001,新宿店,フロア,1,4,6,1095
2024/01/06,S002,渋谷店,レジ,1,4,6,1120
2024/01/06,S002,渋谷店,品出し,4,0,10,1126
2024/01/06,S002,渋谷店,フロア,5,4,6,1041
2024/01/06,S003,池袋店,レジ,4,5,10,1289
2024/01/06,S003,池袋店,品出し,5,2,8,1104
2024/01/06,S003,池袋店,フロア,3,1,8,1202
2024/01/06,S004,銀座店,レジ,2,5,8,1234
2024/01/06,S004,銀座店,品出し,3,6,6,1004
2024/01/06,S004,銀座店,フロア,4,4,10,1051
2024/01/06,S005,品川店,レジ,1,4,7,1259
2024/01/06,S005,品川店,品出し,3,1,8,1035
2024/01/06,S005,品川店,フロア,2,2,8,1080
2024/01/07,S001,新宿店,レジ,4,6,10,1154
2024/01/07,S001,新宿店,品出し,5,6,10,1004
2024/01/07,S001,新宿店,フロア,5,2,6,1068
2024/01/07,S002,渋谷店,レジ,3,0,6,1283
2024/01/07,S002,渋谷店,品出し,2,2,8,1107
2024/01/07,S002,渋谷店,フロア,3,1,8,1258
2024/01/07,S003,池袋店,レジ,4,2,6,1047
2024/01/07,S003,池袋店,品出し,4,6,8,1022
2024/01/07,S003,池袋店,フロア,1,2,7,1134
2024/01/07,S004,銀座店,レジ,2,5,9,1282
2024/01/07,S004,銀座店,品出し,4,4,6,1057
2024/01/07,S004,銀座店,フロア,1,5,7,1279
2024/01/07,S005,品川店,レジ,1,6,8,1298
2024/01/07,S005,品川店,品出し,5,1,9,1065
2024/01/07,S005,品川店,フロア,1,2,8,1020
2024/01/08,S001,新宿店,レジ,3,1,7,1052
2024/01/08,S001,新宿店,品出し,3,6,10,1208
2024/01/08,S001,新宿店,フロア,5,5,7,1121
2024/01/08,S002,渋谷店,レジ,2,6,7,1211
2024/01/08,S002,渋谷店,品出し,1,1,8,1210
2024/01/08,S002,渋谷店,フロア,2,2,7,1055
2024/01/08,S003,池袋店,レジ,4,6,6,1240
2024/01/08,S003,池袋店,品出し,2,1,9,1179
2024/01/08,S003,池袋店,フロア,3,6,7,1114
2024/01/08,S004,銀座店,レジ,1,5,7,1204
2024/01/08,S004,銀座店,品出し,3,2,6,1142
2024/01/08,S004,銀座店,フロア,3,5,10,1204
2024/01/08,S005,品川店,レジ,5,2,6,1059
2024/01/08,S005,品川店,品出し,3,1,10,1135
2024/01/08,S005,品川店,フロア,1,0,10,1222
2024/01/09,S001,新宿店,レジ,3,5,8,1223
2024/01/09,S001,新宿店,品出し,5,4,6,1197
2024/01/09,S001,新宿店,フロア,5,1,8,1022
2024/01/09,S002,渋谷店,レジ,4,0,10,1275
2024/01/09,S002,渋谷店,品出し,2,2,9,1035
2024/01/09,S002,渋谷店,フロア,3,4,8,1063
2024/01/09,S003,池袋店,レジ,3,4,8,1209
2024/01/09,S003,池袋店,品出し,3,3,8,1283
2024/01/09,S003,池袋店,フロア,2,1,9,1194
2024/01/09,S004,銀座店,レジ,2,4,10,1154
2024/01/09,S004,銀座店,品出し,4,4,6,1155
2024/01/09,S004,銀座店,フロア,3,1,9,1296
2024/01/09,S005,品川店,レジ,5,5,8,1238
2024/01/09,S005,品川店,品出し,4,3,7,1261
2024/01/09,S005,品川店,フロア,4,6,7,1043
2024/01/10,S001,新宿店,レジ,3,4,10,1171
2024/01/10,S001,新宿店,品出し,1,6,7,1158
2024/01/10,S001,新宿店,フロア,2,6,7,1075
2024/01/10,S002,渋谷店,レジ,1,0,7,1243
2024/01/10,S002,渋谷店,品出し,5,6,6,1233
2024/01/10,S002,渋谷店,フロア,4,5,10,1099
2024/01/10,S003,池袋店,レジ,4,3,9,1124
2024/01/10,S003,池袋店,品出し,2,5,6,1054
2024/01/10,S003,池袋店,フロア,4,1,7,1265
2024/01/10,S004,銀座店,レジ,4,0,10,1127
2024/01/10,S004,銀座店,品出し,1,3,7,1237
2024/01/10,S004,銀座店,フロア,5,4,10,1162
2024/01/10,S005,品川店,レジ,4,4,10,1218
2024/01/10,S005,品川店,品出し,5,3,7,1243
2024/01/10,S005,品川店,フロア,4,2,7,1141
2024/01/11,S001,新宿店,レジ,5,3,7,1140
2024/01/11,S001,新宿店,品出し,4,0,8,1120
2024/01/11,S001,新宿店,フロア,3,2,8,1276
2024/01/11,S002,渋谷店,レジ,1,1,7,1118
2024/01/11,S002,渋谷店,品出し,4,5,7,1109
2024/01/11,S002,渋谷店,フロア,1,3,9,1169
2024/01/11,S003,池袋店,レジ,5,3,9,1031
2024/01/11,S003,池袋店,品出し,2,6,9,1199
2024/01/11,S003,池袋店,フロア,5,5,6,1294
2024/01/11,S004,銀座店,レジ,4,3,6,1180
2024/01/11,S004,銀座店,品出し,3,6,9,1214
2024/01/11,S004,銀座店,フロア,5,5,10,1112
2024/01/11,S005,品川店,レジ,4,1,8,1223
2024/01/11,S005,品川店,品出し,4,0,9,1172
2024/01/11,S005,品川店,フロア,4,5,7,1239
2024/01/12,S001,新宿店,レジ,2,4,10,1013
2024/01/12,S001,新宿店,品出し,4,4,10,1013
2024/01/12,S001,新宿店,フロア,1,5,9,1069
2024/01/12,S002,渋谷店,レジ,4,1,6,1133
2024/01/12,S002,渋谷店,品出し,4,2,7,1232
2024/01/12,S002,渋谷店,フロア,3,2,9,1142
2024/01/12,S003,池袋店,レジ,4,2,6,1240
2024/01/12,S003,池袋店,品出し,1,5,10,1026
2024/01/12,S003,池袋店,フロア,3,1,6,1020
2024/01/12,S004,銀座店,レジ,1,1,7,1010
2024/01/12,S004,銀座店,品出し,5,1,7,1064
2024/01/12,S004,銀座店,フロア,4,5,6,1288
2024/01/12,S005,品川店,レジ,2,3,8,1188
2024/01/12,S005,品川店,品出し,2,4,10,1058
2024/01/12,S005,品川店,フロア,2,2,6,1296
2024/01/13,S001,新宿店,レジ,1,2,10,1192
2024/01/13,S001,新宿店,品出し,4,5,7,1038
2024/01/13,S001,新宿店,フロア,5,5,7,1052
2024/01/13,S002,渋谷店,レジ,3,6,10,1061
2024/01/13,S002,渋谷店,品出し,5,6,6,1177
2024/01/13,S002,渋谷店,フロア,5,3,8,1035
2024/01/13,S003,池袋店,レジ,5,5,8,1006
2024/01/13,S003,池袋店,品出し,4,6,9,1054
2024/01/13,S003,池袋店,フロア,4,2,9,1078
2024/01/13,S004,銀座店,レジ,4,1,10,1138
2024/01/13,S004,銀座店,品出し,5,6,10,1247
2024/01/13,S004,銀座店,フロア,4,3,10,1137
2024/01/13,S005,品川店,レジ,3,6,7,1044
2024/01/13,S005,品川店,品出し,3,3,7,1237
2024/01/13,S005,品川店,フロア,5,4,9,1172
2024/01/14,S001,新宿店,レジ,1,3,8,1093
2024/01/14,S001,新宿店,品出し,4,1,8,1132
2024/01/14,S001,新宿店,フロア,3,2,10,1141
2024/01/14,S002,渋谷店,レジ,5,0,10,1097
2024/01/14,S002,渋谷店,品出し,1,1,9,1250
2024/01/14,S002,渋谷店,フロア,5,6,7,1243
2024/01/14,S003,池袋店,レジ,4,3,6,1047
2024/01/14,S003,池袋店,品出し,3,1,9,1124
2024/01/14,S003,池袋店,フロア,3,5,10,1188
2024/01/14,S004,銀座店,レジ,4,4,10,1176
2024/01/14,S004,銀座店,品出し,4,5,10,1169
2024/01/14,S004,銀座店,フロア,3,5,9,1138
2024/01/14,S005,品川店,レジ,3,2,7,1061
2024/01/14,S005,品川店,品出し,2,2,6,1274
2024/01/14,S005,品川店,フロア,2,1,7,1247
2024/01/15,S001,新宿店,レジ,3,5,10,1268
2024/01/15,S001,新宿店,品出し,5,2,6,1099
2024/01/15,S001,新宿店,フロア,3,1,8,1091
2024/01/15,S002,渋谷店,レジ,3,0,10,1064
2024/01/15,S002,渋谷店,品出し,3,0,6,1283
2024/01/15,S002,渋谷店,フロア,3,5,7,1251
2024/01/15,S003,池袋店,レジ,1,6,6,1293
2024/01/15,S003,池袋店,品出し,3,3,9,1225
2024/01/15,S003,池袋店,フロア,3,1,6,1129
2024/01/15,S004,銀座店,レジ,4,0,6,1205
2024/01/15,S004,銀座店,品出し,4,0,10,1027
2024/01/15,S004,銀座店,フロア,2,1,10,1155
2024/01/15,S005,品川店,レジ,1,1,6,1285
2024/01/15,S005,品川店,品出し,4,4,10,1115
2024/01/15,S005,品川店,フロア,5,3,9,1226
2024/01/16,S001,新宿店,レジ,3,6,10,1219
2024/01/16,S001,新宿店,品出し,3,4,10,1030
2024/01/16,S001,新宿店,フロア,5,5,6,1106
2024/01/16,S002,渋谷店,レジ,2,2,6,1080
2024/01/16,S002,渋谷店,品出し,2,1,10,1038
2024/01/16,S002,渋谷店,フロア,2,0,9,1230
2024/01/16,S003,池袋店,レジ,5,3,8,1016
2024/01/16,S003,池袋店,品出し,2,2,8,1232
2024/01/16,S003,池袋店,フロア,1,5,7,1135
2024/01/16,S004,銀座店,レジ,5,5,7,1217
2024/01/16,S004,銀座店,品出し,1,4,7,1076
2024/01/16,S004,銀座店,フロア,3,6,7,1036
2024/01/16,S005,品川店,レジ,1,1,8,1291
2024/01/16,S005,品川店,品出し,3,3,6,1239
2024/01/16,S005,品川店,フロア,3,5,9,1139
2024/01/17,S001,新宿店,レジ,5,4,9,1224
2024/01/17,S001,新宿店,品出し,1,4,6,1221
2024/01/17,S001,新宿店,フロア,3,4,8,1013
2024/01/17,S002,渋谷店,レジ,1,1,10,1300
2024/01/17,S002,渋谷店,品出し,1,6,8,1295
2024/01/17,S002,渋谷店,フロア,1,6,7,1240
2024/01/17,S003,池袋店,レジ,5,5,9,1142
2024/01/17,S003,池袋店,品出し,2,4,9,1251
2024/01/17,S003,池袋店,フロア,1,3,8,1209
2024/01/17,S004,銀座店,レジ,3,2,6,1082
2024/01/17,S004,銀座店,品出し,3,3,9,1147
2024/01/17,S004,銀座店,フロア,4,6,10,1018
2024/01/17,S005,品川店,レジ,4,0,8,1129
2024/01/17,S005,品川店,品出し,3,0,9,1263
2024/01/17,S005,品川店,フロア,1,5,10,1236
2024/01/18,S001,新宿店,レジ,4,0,7,1265
2024/01/18,S001,新宿店,品出し,3,4,9,1226
2024/01/18,S001,新宿店,フロア,1,1,8,1281
2024/01/18,S002,渋谷店,レジ,2,2,9,1248
2024/01/18,S002,渋谷店,品出し,1,0,10,1122
2024/01/18,S002,渋谷店,フロア,2,2,10,1007
2024/01/18,S003,池袋店,レジ,5,3,6,1115
2024/01/18,S003,池袋店,品出し,1,3,6,1078
2024/01/18,S003,池袋店,フロア,4,5,8,1260
2024/01/18,S004,銀座店,レジ,3,3,9,1241
2024/01/18,S004,銀座店,品出し,2,3,10,1074
2024/01/18,S004,銀座店,フロア,4,1,10,1260
2024/01/18,S005,品川店,レジ,2,6,6,1141
2024/01/18,S005,品川店,品出し,4,2,10,1136
2024/01/18,S005,品川店,フロア,1,2,8,1300
2024/01/19,S001,新宿店,レジ,5,5,9,1076
2024/01/19,S001,新宿店,品出し,4,4,9,1176
2024/01/19,S001,新宿店,フロア,3,4,10,1193
2024/01/19,S002,渋谷店,レジ,4,2,7,1122
2024/01/19,S002,渋谷店,品出し,5,3,7,1210
2024/01/19,S002,渋谷店,フロア,1,2,9,1195
2024/01/19,S003,池袋店,レジ,4,5,7,1253
2024/01/19,S003,池袋店,品出し,1,1,10,1169
2024/01/19,S003,池袋店,フロア,1,6,9,1051
2024/01/19,S004,銀座店,レジ,5,3,6,1073
2024/01/19,S004,銀座店,品出し,4,6,7,1038
2024/01/19,S004,銀座店,フロア,4,6,8,1173
2024/01/19,S005,品川店,レジ,5,5,9,1041
2024/01/19,S005,品川店,品出し,3,6,10,1194
2024/01/19,S005,品川店,フロア,3,5,9,1277
2024/01/20,S001,新宿店,レジ,1,4,6,1120
2024/01/20,S001,新宿店,品出し,3,1,6,1222
2024/01/20,S001,新宿店,フロア,1,6,6,1227
2024/01/20,S002,渋谷店,レジ,2,5,8,1014
2024/01/20,S002,渋谷店,品出し,1,2,6,1150
2024/01/20,S002,渋谷店,フロア,3,2,9,1074
2024/01/20,S003,池袋店,レジ,2,4,9,1289
2024/01/20,S003,池袋店,品出し,2,1,7,1040
2024/01/20,S003,池袋店,フロア,5,6,9,1123
2024/01/20,S004,銀座店,レジ,4,4,7,1118
2024/01/20,S004,銀座店,品出し,4,5,8,1235
2024/01/20,S004,銀座店,フロア,3,5,6,1238
2024/01/20,S005,品川店,レジ,3,5,10,1080
2024/01/20,S005,品川店,品出し,1,3,8,1300
2024/01/20,S005,品川店,フロア,3,5,9,1128
