property_id,property_name,area,property_type,rent,management_fee,occupancy_status,move_in_date,move_out_date,management_cost,repair_cost,is_vacant,monthly_revenue,total_cost,net_income,source_file
P-新0042,新宿-3LDK-042,新宿区,3LDK,300000,20500,入居中,2022/07/01,,11324,0,0,320500,11324,309176,02_shinjuku_properties_202401.csv
P-新0043,新宿-1LDK-043,新宿区,1LDK,151000,8000,入居中,2021/11/01,,12213,0,0,159000,12213,146787,02_shinjuku_properties_202401.csv
P-新0044,新宿-3LDK-044,新宿区,3LDK,330000,18000,入居中,2022/10/01,,15072,0,0,348000,15072,332928,02_shinjuku_properties_202401.csv
P-新0045,新宿-2LDK-045,新宿区,2LDK,194000,6500,空室,,2024/01/10,14882,177648,1,0,192530,-192530,02_shinjuku_properties_202401.csv
P-新0046,新宿-3LDK-046,新宿区,3LDK,329000,14000,入居中,2022/01/01,,16305,0,0,343000,16305,326695,02_shinjuku_properties_202401.csv
P-新0047,新宿-2LDK-047,新宿区,2LDK,226000,6500,入居中,2023/08/01,,13733,0,0,232500,13733,218767,02_shinjuku_properties_202401.csv
P-港0001,港区-1DK-001,港区,1DK,127000,7500,入居中,2021/01/01,,18369,0,0,134500,18369,116131,03_港区_物件_202401.csv
P-港0002,港区-1DK-002,港区,1DK,169000,11500,入居中,2021/09/01,,13489,0,0,180500,13489,167011,03_港区_物件_202401.csv
P-港0003,港区-3LDK-003,港区,3LDK,345000,21000,入居中,2021/06/01,,11672,0,0,366000,11672,354328,03_港区_物件_202401.csv
P-港0004,港区-2LDK-004,港区,2LDK,219000,8000,入居中,2023/03/01,,13355,0,0,227000,13355,213645,03_港区_物件_202401.csv
P-港0005,港区-1K-005,港区,1K,131000,10000,入居中,2021/04/01,,18018,0,0,141000,18018,122982,03_港区_物件_202401.csv
P-港0006,港区-1K-006,港区,1K,94000,6000,入居中,2022/04/01,,5824,0,0,100000,5824,94176,03_港区_物件_202401.csv
P-港0007,港区-1K-007,港区,1K,99000,7000,入居中,2021/03/01,,23814,0,0,106000,23814,82186,03_港区_物件_202401.csv
P-港0008,港区-1DK-008,港区,1DK,144000,8500,入居中,2023/10/01,,19464,113859,0,152500,133323,19177,03_港区_物件_202401.csv
P-港0009,港区-1DK-009,港区,1DK,162000,10000,入居中,2022/01/01,,17751,0,0,172000,17751,154249,03_港区_物件_202401.csv
P-港0010,港区-2LDK-010,港区,2LDK,286000,16000,入居中,2021/06/01,,12332,0,0,302000,12332,289668,03_港区_物件_202401.csv
P-港0011,港区-3LDK-011,港区,3LDK,370000,26500,入居中,2021/07/01,,20372,0,0,396500,20372,376128,03_港区_物件_202401.csv
P-港0012,港区-1K-012,港区,1K,96000,4500,入居中,2022/02/01,,22005,0,0,100500,22005,78495,03_港区_物件_202401.csv
P-港0013,港区-2LDK-013,港区,2LDK,202000,15000,入居中,2021/04/01,,12971,0,0,217000,12971,204029,03_港区_物件_202401.csv
P-港0014,港区-2LDK-014,港区,2LDK,237000,7000,入居中,2022/04/01,,8832,0,0,244000,8832,235168,03_港区_物件_202401.csv
P-港0015,港区-3LDK-015,港区,3LDK,304000,9000,入居中,2022/07/01,,16969,0,0,313000,16969,296031,03_港区_物件_202401.csv
P-港0016,港区-2LDK-016,港区,2LDK,285000,17000,入居中,2022/10/01,,24636,0,0,302000,24636,277364,03_港区_物件_202401.csv
P-港0017,港区-3LDK-017,港区,3LDK,367000,28500,入居中,2021/02/01,,19413,0,0,395500,19413,376087,03_港区_物件_202401.csv
P-港0018,港区-1LDK-018,港区,1LDK,190000,9500,入居中,2022/11/01,,19648,0,0,199500,19648,179852,03_港区_物件_202401.csv
P-港0019,港区-3LDK-019,港区,3LDK,298000,13000,入居中,2022/04/01,,24691,0,0,311000,24691,286309,03_港区_物件_202401.csv
P-港0020,港区-1K-020,港区,1K,90000,2500,入居中,2023/11/01,,7477,0,0,92500,7477,85023,03_港区_物件_202401.csv
P-港0021,港区-1K-021,港区,1K,132000,10000,入居中,2022/01/01,,14299,0,0,142000,14299,127701,03_港区_物件_202401.csv
P-港0022,港区-3LDK-022,港区,3LDK,317000,22000,入居中,2021/01/01,,16109,0,0,339000,16109,322891,03_港区_物件_202401.csv
P-港0023,港区-1LDK-023,港区,1LDK,154000,4500,入居中,2023/08/01,,12454,188365,0,158500,200819,-42319,03_港区_物件_202401.csv
P-港0024,港区-1LDK-024,港区,1LDK,211000,15000,空室,,2024/01/10,19797,0,1,0,19797,-19797,03_港区_物件_202401.csv
P-港0025,港区-1K-025,港区,1K,126000,5000,空室,,2024/01/10,7038,0,1,0,7038,-7038,03_港区_物件_202401.csv
P-港0026,港区-1LDK-026,港区,1LDK,199000,11000,入居中,2023/10/01,,10259,145138,0,210000,155397,54603,03_港区_物件_202401.csv
P-港0027,港区-2LDK-027,港区,2LDK,273000,11000,入居中,2023/10/01,,18432,0,0,284000,18432,265568,03_港区_物件_202401.csv
P-港0028,港区-1DK-028,港区,1DK,165000,9500,入居中,2022/10/01,,10978,0,0,174500,10978,163522,03_港区_物件_202401.csv
P-港0029,港区-2LDK-029,港区,2LDK,303000,10000,入居中,2022/09/01,,8751,0,0,313000,8751,304249,03_港区_物件_202401.csv
P-港0030,港区-1K-030,港区,1K,116000,5000,入居中,2021/07/01,,24974,0,0,121000,24974,96026,03_港区_物件_202401.csv
P-港0031,港区-1LDK-031,港区,1LDK,164000,10500,入居中,2022/11/01,,24951,0,0,174500,24951,149549,03_港区_物件_202401.csv
P-港0032,港区-3LDK-032,港区,3LDK,317000,11500,募集中,,2024/01/20,14938,0,1,0,14938,-14938,03_港区_物件_202401.csv
P-港0033,港区-1DK-033,港区,1DK,137000,4000,入居中,2023/04/01,,9039,0,0,141000,9039,131961,03_港区_物件_202401.csv
P-港0034,港区-3LDK-034,港区,3LDK,356000,27500,入居中,2023/04/01,,13407,0,0,383500,13407,370093,03_港区_物件_202401.csv
P-港0035,港区-1K-035,港区,1K,107000,4000,入居中,2021/06/01,,22939,0,0,111000,22939,88061,03_港区_物件_202401.csv
P-港0036,港区-1LDK-036,港区,1LDK,228000,13500,入居中,2023/03/01,,19846,0,0,241500,19846,221654,03_港区_物件_202401.csv
P-港0037,港区-3LDK-037,港区,3LDK,330000,12000,入居中,2021/07/01,,11449,0,0,342000,11449,330551,03_港区_物件_202401.csv
P-港0038,港区-3LDK-038,港区,3LDK,322000,22000,入居中,2023/11/01,,20839,0,0,344000,20839,323161,03_港区_物件_202401.csv
P-港0039,港区-1DK-039,港区,1DK,149000,10500,入居中,2022/03/01,,18491,0,0,159500,18491,141009,03_港区_物件_202401.csv
P-港0040,港区-1DK-040,港区,1DK,128000,4000,入居中,2023/06/01,,16243,0,0,132000,16243,115757,03_港区_物件_202401.csv
P-港0041,港区-1LDK-041,港区,1LDK,224000,7000,入居中,2021/01/01,,13659,0,0,231000,13659,217341,03_港区_物件_202401.csv
P-港0042,港区-1DK-042,港区,1DK,122000,4000,入居中,2023/04/01,,9921,0,0,126000,9921,116079,03_港区_物件_202401.csv
P-港0043,港区-3LDK-043,港区,3LDK,288000,10000,募集中,,2024/01/20,6019,0,1,0,6019,-6019,03_港区_物件_202401.csv
P-港0044,港区-3LDK-044,港区,3LDK,432000,17000,入居中,2021/05/01,,18963,0,0,449000,18963,430037,03_港区_物件_202401.csv
P-港0045,港区-1K-045,港区,1K,97000,3000,空室,,2024/01/10,5033,0,1,0,5033,-5033,03_港区_物件_202401.csv
P-港0046,港区-3LDK-046,港区,3LDK,298000,16000,入居中,2022/09/01,,15163,0,0,314000,15163,298837,03_港区_物件_202401.csv
P-港0047,港区-1LDK-047,港区,1LDK,187000,8000,入居中,2023/06/01,,21824,0,0,195000,21824,173176,03_港区_物件_202401.csv
P-港0048,港区-2LDK-048,港区,2LDK,303000,12500,入居中,2022/01/01,,18665,0,0,315500,18665,296835,03_港区_物件_202401.csv
P-港0049,港区-1K-049,港区,1K,114000,7000,空室,,2024/01/10,14215,0,1,0,14215,-14215,03_港区_物件_202401.csv
P-港0050,港区-1K-050,港区,1K,105000,7500,空室,,2024/01/10,7764,188591,1,0,196355,-196355,03_港区_物件_202401.csv
P-港0051,港区-1LDK-051,港区,1LDK,165000,5500,入居中,2022/03/01,,19125,0,0,170500,19125,151375,03_港区_物件_202401.csv
P-世0001,世田-1DK-001,世田谷区,1DK,103000,7000,入居中,2021/06/01,,14879,0,0,110000,14879,95121,04_世田谷区_物件_202401.csv
P-世0002,世田-1K-002,世田谷区,1K,70000,4500,入居中,2023/07/01,,24903,0,0,74500,24903,49597,04_世田谷区_物件_202401.csv
P-世0003,世田-1DK-003,世田谷区,1DK,98000,5500,入居中,2023/02/01,,23188,0,0,103500,23188,80312,04_世田谷区_物件_202401.csv
P-世0004,世田-3LDK-004,世田谷区,3LDK,218000,15000,入居中,2022/07/01,,7259,0,0,233000,7259,225741,04_世田谷区_物件_202401.csv
P-世0005,世田-1K-005,世田谷区,1K,76000,2500,空室,,2024/01/10,22237,0,1,0,22237,-22237,04_世田谷区_物件_202401.csv
P-世0006,世田-1K-006,世田谷区,1K,66000,2500,入居中,2023/10/01,,18183,0,0,68500,18183,50317,04_世田谷区_物件_202401.csv
P-世0007,世田-2LDK-007,世田谷区,2LDK,165000,12000,募集中,,2024/01/20,7958,130951,1,0,138909,-138909,04_世田谷区_物件_202401.csv
P-世0008,世田-1K-008,世田谷区,1K,88000,3000,入居中,2021/01/01,,18861,0,0,91000,18861,72139,04_世田谷区_物件_202401.csv
P-世0009,世田-3LDK-009,世田谷区,3LDK,290000,23000,募集中,,2024/01/20,5331,0,1,0,5331,-5331,04_世田谷区_物件_202401.csv
P-世0010,世田-1DK-010,世田谷区,1DK,102000,7500,入居中,2021/04/01,,22946,0,0,109500,22946,86554,04_世田谷区_物件_202401.csv
P-世0011,世田-1DK-011,世田谷区,1DK,108000,6000,入居中,2023/10/01,,6010,0,0,114000,6010,107990,04_世田谷区_物件_202401.csv
P-世0012,世田-2LDK-012,世田谷区,2LDK,155000,9000,入居中,2023/03/01,,5363,0,0,164000,5363,158637,04_世田谷区_物件_202401.csv
P-世0013,世田-3LDK-013,世田谷区,3LDK,254000,14500,入居中,2022/08/01,,17215,0,0,268500,17215,251285,04_世田谷区_物件_202401.csv
P-世0014,世田-1DK-014,世田谷区,1DK,110000,7000,入居中,2023/06/01,,16338,0,0,117000,16338,100662,04_世田谷区_物件_202401.csv
P-世0015,世田-1LDK-015,世田谷区,1LDK,156000,10500,入居中,2023/02/01,,5249,0,0,166500,5249,161251,04_世田谷区_物件_202401.csv
P-世0016,世田-3LDK-016,世田谷区,3LDK,272000,13500,募集中,,2024/01/20,22793,0,1,0,22793,-22793,04_世田谷区_物件_202401.csv
P-世0017,世田-3LDK-017,世田谷区,3LDK,223000,8500,入居中,2023/11/01,,24230,0,0,231500,24230,207270,04_世田谷区_物件_202401.csv
P-世0018,世田-2LDK-018,世田谷区,2LDK,159000,8500,入居中,2022/05/01,,9242,0,0,167500,9242,158258,04_世田谷区_物件_202401.csv
P-世0019,世田-1DK-019,世田谷区,1DK,96000,6000,入居中,2023/07/01,,15340,0,0,102000,15340,86660,04_世田谷区_物件_202401.csv
P-世0020,世田-3LDK-020,世田谷区,3LDK,233000,17500,入居中,2022/02/01,,7092,0,0,250500,7092,243408,04_世田谷区_物件_202401.csv
P-世0021,世田-1DK-021,世田谷区,1DK,80000,5000,入居中,2023/09/01,,9087,65758,0,85000,74845,10155,04_世田谷区_物件_202401.csv
P-世0022,世田-1LDK-022,世田谷区,1LDK,143000,10500,入居中,2022/07/01,,17574,0,0,153500,17574,135926,04_世田谷区_物件_202401.csv
P-世0023,世田-2LDK-023,世田谷区,2LDK,186000,9000,入居中,2022/01/01,,5203,0,0,195000,5203,189797,04_世田谷区_物件_202401.csv
