delivery_id,date,route_id,vehicle_type,distance_km,fuel_cost,toll_cost,driver_cost,cargo_weight_kg,delivery_count,status,total_cost,cost_per_km,cost_per_delivery,source_file
A-0017,2024-01-01,R03_大阪-神戸,軽バン,31.9,371,1062,12705,314.7,8,完了,14138,443.19749216300943,1767.25,delivery_202401_styleA.csv
A-0018,2024-01-18,R01_東京-横浜,2tトラック,50.6,1461,0,15709,857.0,22,完了,17170,339.3280632411067,780.4545454545455,delivery_202401_styleA.csv
A-0019,2024-01-15,R05_名古屋-豊田,4tトラック,103.4,2962,1518,19132,2976.9,12,完了,23612,228.35589941972918,1967.6666666666667,delivery_202401_styleA.csv
A-0020,2024-01-14,R01_東京-横浜,2tトラック,35.5,949,0,16093,787.4,18,完了,17042,480.056338028169,946.7777777777778,delivery_202401_styleA.csv
A-0021,2024-01-27,R03_大阪-神戸,4tトラック,90.9,3465,2520,28272,1293.7,21,キャンセル,34257,376.8646864686468,1631.2857142857142,delivery_202401_styleA.csv
A-0022,2024-01-01,R01_東京-横浜,2tトラック,113.4,3196,1714,17137,1101.6,2,完了,22047,194.41798941798942,11023.5,delivery_202401_styleA.csv
A-0023,2024-01-05,R03_大阪-神戸,軽バン,56.3,760,2241,15844,402.5,22,完了,18845,334.72468916518653,856.5909090909091,delivery_202401_styleA.csv
A-0024,2024-01-17,R03_大阪-神戸,4tトラック,63.9,1654,0,18731,1940.8,2,完了,20385,319.01408450704224,10192.5,delivery_202401_styleA.csv
A-0025,2024-01-19,R01_東京-横浜,4tトラック,145.7,3818,1988,26103,1705.6,4,遅延,31909,219.00480439258752,7977.25,delivery_202401_styleA.csv
A-0026,2024-01-11,R05_名古屋-豊田,4tトラック,105.4,3614,1959,24273,3804.1,7,完了,29846,283.16888045540793,4263.714285714285,delivery_202401_styleA.csv
A-0027,2024-01-19,R03_大阪-神戸,4tトラック,83.5,2929,1290,27022,1217.6,15,完了,31241,374.1437125748503,2082.733333333333,delivery_202401_styleA.csv
A-0028,2024-01-27,R01_東京-横浜,2tトラック,78.4,1887,1373,15688,866.4,10,完了,18948,241.68367346938774,1894.8,delivery_202401_styleA.csv
A-0029,2024-01-05,R05_名古屋-豊田,10tトラック,197.6,11891,2170,30874,9522.3,4,遅延,44935,227.40384615384616,11233.75,delivery_202401_styleA.csv
A-0030,2024-01-09,R01_東京-横浜,10tトラック,183.5,10746,1204,25370,5400.2,22,完了,37320,203.37874659400546,1696.3636363636363,delivery_202401_styleA.csv
A-0031,2024-01-09,R03_大阪-神戸,軽バン,55.3,770,1559,12213,51.6,25,完了,14542,262.96564195298373,581.68,delivery_202401_styleA.csv
A-0032,2024-01-12,R04_大阪-京都,4tトラック,100.7,3164,688,28597,3711.8,18,完了,32449,322.2343594836147,1802.7222222222222,delivery_202401_styleA.csv
A-0033,2024-01-22,R04_大阪-京都,4tトラック,54.0,1600,0,27553,3582.1,29,完了,29153,539.8703703703703,1005.2758620689655,delivery_202401_styleA.csv
A-0034,2024-01-28,R01_東京-横浜,4tトラック,78.9,2635,0,29686,3248.4,30,遅延,32321,409.6451204055767,1077.3666666666666,delivery_202401_styleA.csv
A-0035,2024-01-24,R02_東京-埼玉,4tトラック,137.0,3476,0,21986,3792.4,26,完了,25462,185.85401459854015,979.3076923076923,delivery_202401_styleA.csv
A-0036,2024-01-10,R03_大阪-神戸,4tトラック,57.5,2042,597,23648,1598.7,30,完了,26287,457.16521739130434,876.2333333333333,delivery_202401_styleA.csv
A-0037,2024-01-22,R02_東京-埼玉,4tトラック,42.6,1188,2661,29603,1837.4,21,完了,33452,785.2582159624413,1592.952380952381,delivery_202401_styleA.csv
A-0038,2024-01-26,R01_東京-横浜,10tトラック,67.3,4325,2906,26247,3758.8,14,完了,33478,497.44427934621103,2391.285714285714,delivery_202401_styleA.csv
A-0039,2024-01-26,R04_大阪-京都,10tトラック,140.9,7437,1941,26076,7961.5,1,完了,35454,251.62526614620296,35454.0,delivery_202401_styleA.csv
A-0040,2024-01-10,R03_大阪-神戸,4tトラック,87.4,3429,0,25478,2990.2,4,完了,28907,330.7437070938215,7226.75,delivery_202401_styleA.csv
A-0041,2024-01-20,R04_大阪-京都,10tトラック,98.9,5680,980,32639,5654.0,24,遅延,39299,397.360970677452,1637.4583333333333,delivery_202401_styleA.csv
A-0042,2024-01-22,R04_大阪-京都,10tトラック,132.2,5289,1575,31280,7582.9,15,完了,38144,288.53252647503786,2542.9333333333334,delivery_202401_styleA.csv
A-0043,2024-01-20,R05_名古屋-豊田,4tトラック,92.1,3547,0,20036,1254.4,17,完了,23583,256.05863192182414,1387.235294117647,delivery_202401_styleA.csv
A-0044,2024-01-20,R01_東京-横浜,10tトラック,172.8,10157,1062,25186,3171.0,8,キャンセル,36405,210.67708333333331,4550.625,delivery_202401_styleA.csv
A-0045,2024-01-29,R04_大阪-京都,2tトラック,67.3,1720,2241,19944,866.0,21,完了,23905,355.20059435364044,1138.3333333333333,delivery_202401_styleA.csv
A-0046,2024-01-26,R04_大阪-京都,2tトラック,49.7,1374,1661,20574,1876.2,4,完了,23609,475.03018108651906,5902.25,delivery_202401_styleA.csv
A-0047,2024-01-14,R05_名古屋-豊田,軽バン,59.4,723,0,17131,325.7,24,遅延,17854,300.5723905723906,743.9166666666666,delivery_202401_styleA.csv
A-0048,2024-01-08,R02_東京-埼玉,軽バン,47.2,534,1118,15101,394.6,17,完了,16753,354.93644067796606,985.4705882352941,delivery_202401_styleA.csv
A-0049,2024-01-05,R04_大阪-京都,10tトラック,61.6,2904,1299,30642,3968.6,8,完了,34845,565.6655844155844,4355.625,delivery_202401_styleA.csv
A-0050,2024-01-23,R01_東京-横浜,4tトラック,85.6,2565,656,27995,2168.4,25,完了,31216,364.6728971962617,1248.64,delivery_202401_styleA.csv
A-0051,2024-01-24,R05_名古屋-豊田,2tトラック,64.2,1160,2384,23534,1930.1,14,完了,27078,421.77570093457945,1934.142857142857,delivery_202401_styleA.csv
A-0052,2024-01-30,R04_大阪-京都,4tトラック,64.1,2022,1340,26150,2213.0,6,遅延,29512,460.405616224649,4918.666666666667,delivery_202401_styleA.csv
A-0053,2024-01-02,R05_名古屋-豊田,4tトラック,98.8,3814,2157,19007,2285.8,28,完了,24978,252.81376518218624,892.0714285714286,delivery_202401_styleA.csv
A-0054,2024-01-03,R04_大阪-京都,10tトラック,99.1,5091,2699,26452,9658.4,14,完了,34242,345.52976791120085,2445.8571428571427,delivery_202401_styleA.csv
A-0055,2024-01-01,R01_東京-横浜,軽バン,47.5,397,0,11794,80.9,21,完了,12191,256.65263157894736,580.5238095238095,delivery_202401_styleA.csv
A-0056,2024-01-25,R02_東京-埼玉,4tトラック,132.3,4541,1684,19373,3843.3,15,完了,25598,193.48450491307634,1706.5333333333333,delivery_202401_styleA.csv
A-0057,2024-01-01,R02_東京-埼玉,10tトラック,140.9,9031,0,34445,4146.4,10,完了,43476,308.5592618878637,4347.6,delivery_202401_styleA.csv
A-0058,2024-01-23,R05_名古屋-豊田,10tトラック,151.6,9695,2288,23216,7834.3,21,完了,35199,232.18337730870712,1676.142857142857,delivery_202401_styleA.csv
A-0059,2024-01-11,R05_名古屋-豊田,10tトラック,170.8,10232,603,30524,7630.6,3,完了,41359,242.1487119437939,13786.333333333334,delivery_202401_styleA.csv
A-0060,2024-01-06,R04_大阪-京都,2tトラック,104.0,2004,0,21356,1743.1,23,完了,23360,224.6153846153846,1015.6521739130435,delivery_202401_styleA.csv
A-0061,2024-01-30,R05_名古屋-豊田,10tトラック,171.2,9151,1589,33696,4878.8,28,完了,44436,259.55607476635515,1587.0,delivery_202401_styleA.csv
A-0062,2024-01-16,R03_大阪-神戸,2tトラック,109.3,2287,2026,18790,543.0,28,完了,23103,211.37236962488564,825.1071428571429,delivery_202401_styleA.csv
A-0063,2024-01-07,R03_大阪-神戸,4tトラック,127.8,3847,0,26414,1828.8,1,完了,30261,236.78403755868544,30261.0,delivery_202401_styleA.csv
A-0064,2024-01-01,R02_東京-埼玉,2tトラック,94.8,2262,0,21906,1468.9,16,完了,24168,254.9367088607595,1510.5,delivery_202401_styleA.csv
A-0065,2024-01-18,R03_大阪-神戸,2tトラック,49.9,1312,1954,19733,1296.4,14,キャンセル,22999,460.90180360721445,1642.7857142857142,delivery_202401_styleA.csv
A-0066,2024-01-23,R03_大阪-神戸,10tトラック,155.4,7269,802,25081,3836.9,18,キャンセル,33152,213.33333333333331,1841.7777777777778,delivery_202401_styleA.csv
A-0067,2024-01-27,R02_東京-埼玉,4tトラック,63.8,2058,0,29719,2573.9,10,キャンセル,31777,498.07210031347967,3177.7,delivery_202401_styleA.csv
A-0068,2024-01-31,R03_大阪-神戸,4tトラック,65.0,1800,1835,21292,3922.9,18,完了,24927,383.4923076923077,1384.8333333333333,delivery_202401_styleA.csv
A-0069,2024-01-16,R04_大阪-京都,4tトラック,51.3,1292,1697,22088,3896.5,9,遅延,25077,488.83040935672517,2786.3333333333335,delivery_202401_styleA.csv
A-0070,2024-01-08,R01_東京-横浜,2tトラック,66.1,1249,634,16492,1344.3,10,完了,18375,277.9878971255674,1837.5,delivery_202401_styleA.csv
A-0071,2024-01-10,R05_名古屋-豊田,2tトラック,98.8,2497,0,17257,1283.9,15,遅延,19754,199.93927125506073,1316.9333333333334,delivery_202401_styleA.csv
A-0072,2024-01-22,R03_大阪-神戸,軽バン,38.4,323,0,10794,393.2,21,完了,11117,289.50520833333337,529.3809523809524,delivery_202401_styleA.csv
A-0073,2024-01-23,R02_東京-埼玉,2tトラック,51.6,1271,1521,21894,1204.9,2,完了,24686,478.41085271317826,12343.0,delivery_202401_styleA.csv
A-0074,2024-01-18,R04_大阪-京都,10tトラック,60.7,2782,2478,31437,8627.3,7,完了,36697,604.5634266886326,5242.428571428572,delivery_202401_styleA.csv
A-0075,2024-01-15,R02_東京-埼玉,4tトラック,139.9,5232,915,21691,3246.9,19,遅延,27838,198.98498927805574,1465.157894736842,delivery_202401_styleA.csv
A-0076,2024-01-29,R04_大阪-京都,2tトラック,92.0,2429,0,20005,1240.7,3,完了,22434,243.84782608695653,7478.0,delivery_202401_styleA.csv
A-0077,2024-01-22,R03_大阪-神戸,軽バン,40.2,329,2186,16884,314.2,1,キャンセル,19399,482.56218905472633,19399.0,delivery_202401_styleA.csv
A-0078,2024-01-27,R05_名古屋-豊田,10tトラック,56.0,3299,2129,36657,4270.4,19,完了,42085,751.5178571428571,2215.0,delivery_202401_styleA.csv
A-0079,2024-01-31,R01_東京-横浜,軽バン,33.5,364,761,11287,235.2,16,完了,12412,370.5074626865672,775.75,delivery_202401_styleA.csv
A-0080,2024-01-22,R05_名古屋-豊田,軽バン,11.8,102,790,16180,439.2,27,キャンセル,17072,1446.7796610169491,632.2962962962963,delivery_202401_styleA.csv
A-0081,2024-01-30,R04_大阪-京都,軽バン,12.7,148,1746,13536,73.2,9,完了,15430,1214.9606299212599,1714.4444444444443,delivery_202401_styleA.csv
A-0082,2024-01-18,R04_大阪-京都,10tトラック,182.1,9491,2075,34789,7968.5,10,完了,46355,254.55793520043932,4635.5,delivery_202401_styleA.csv
A-0083,2024-01-17,R01_東京-横浜,軽バン,21.2,294,2868,15182,119.3,30,完了,18344,865.2830188679245,611.4666666666667,delivery_202401_styleA.csv
A-0084,2024-01-05,R04_大阪-京都,10tトラック,175.2,11301,1878,28137,9453.1,17,完了,41316,235.82191780821918,2430.3529411764707,delivery_202401_styleA.csv
A-0085,2024-01-19,R03_大阪-神戸,2tトラック,99.5,2811,2469,17672,503.8,24,完了,22952,230.67336683417085,956.3333333333334,delivery_202401_styleA.csv
A-0086,2024-01-23,R02_東京-埼玉,軽バン,32.3,368,2407,13018,469.8,28,完了,15793,488.94736842105266,564.0357142857143,delivery_202401_styleA.csv
A-0087,2024-01-22,R05_名古屋-豊田,4tトラック,82.1,3107,1295,23676,3740.3,13,完了,28078,341.99756394640684,2159.846153846154,delivery_202401_styleA.csv
A-0088,2024-01-17,R04_大阪-京都,4tトラック,146.1,3929,0,21984,1301.1,28,完了,25913,177.36481861738537,925.4642857142857,delivery_202401_styleA.csv
A-0089,2024-01-13,R01_東京-横浜,軽バン,46.1,501,886,13756,486.1,11,完了,15143,328.4815618221258,1376.6363636363637,delivery_202401_styleA.csv
A-0090,2024-01-20,R03_大阪-神戸,2tトラック,106.7,3021,1292,22187,1639.1,28,完了,26500,248.35988753514525,946.4285714285714,delivery_202401_styleA.csv
A-0091,2024-01-23,R02_東京-埼玉,2tトラック,86.8,2522,0,22468,1151.0,4,完了,24990,287.90322580645164,6247.5,delivery_202401_styleA.csv
A-0092,2024-01-17,R04_大阪-京都,2tトラック,45.0,972,1311,15561,1037.7,14,完了,17844,396.53333333333336,1274.5714285714287,delivery_202401_styleA.csv
A-0093,2024-01-05,R05_名古屋-豊田,軽バン,44.1,408,2024,13060,357.4,16,遅延,15492,351.2925170068027,968.25,delivery_202401_styleA.csv
A-0094,2024-01-15,R04_大阪-京都,4tトラック,110.2,3515,2747,23583,1862.9,18,完了,29845,270.82577132486387,1658.0555555555557,delivery_202401_styleA.csv
A-0095,2024-01-08,R05_名古屋-豊田,10tトラック,94.9,6078,1642,26834,9995.6,28,完了,34554,364.1095890410959,1234.0714285714287,delivery_202401_styleA.csv
A-0096,2024-01-22,R05_名古屋-豊田,軽バン,27.9,281,555,16640,228.1,1,完了,17476,626.3799283154123,17476.0,delivery_202401_styleA.csv
A-0097,2024-01-21,R05_名古屋-豊田,2tトラック,97.1,2718,0,22757,845.2,26,完了,25475,262.35839340885684,979.8076923076923,delivery_202401_styleA.csv
A-0098,2024-01-21,R05_名古屋-豊田,4tトラック,67.6,2456,0,26170,1410.3,4,遅延,28626,423.4615384615385,7156.5,delivery_202401_styleA.csv
A-0099,2024-01-05,R03_大阪-神戸,2tトラック,101.0,1858,829,24096,990.1,14,完了,26783,265.1782178217822,1913.0714285714287,delivery_202401_styleA.csv
A-0100,2024-01-11,R05_名古屋-豊田,10tトラック,125.3,5866,2785,37107,9771.7,10,完了,45758,365.1875498802873,4575.8,delivery_202401_styleA.csv
A-0101,2024-01-26,R04_大阪-京都,2tトラック,116.7,2298,0,23601,1586.3,13,キャンセル,25899,221.92802056555269,1992.2307692307693,delivery_202401_styleA.csv
A-0102,2024-01-21,R01_東京-横浜,10tトラック,168.6,6803,1637,32765,7706.4,19,完了,41205,244.39501779359432,2168.684210526316,delivery_202401_styleA.csv
A-0103,2024-01-27,R01_東京-横浜,10tトラック,151.2,7830,2858,27248,7270.6,21,完了,37936,250.8994708994709,1806.4761904761904,delivery_202401_styleA.csv
A-0104,2024-01-05,R03_大阪-神戸,軽バン,42.5,375,593,17967,102.3,8,遅延,18935,445.52941176470586,2366.875,delivery_202401_styleA.csv
A-0105,2024-01-04,R04_大阪-京都,軽バン,28.6,419,1850,14699,377.0,29,完了,16968,593.2867132867133,585.1034482758621,delivery_202401_styleA.csv
A-0106,2024-01-22,R05_名古屋-豊田,軽バン,30.4,446,1426,13547,477.7,28,完了,15419,507.2039473684211,550.6785714285714,delivery_202401_styleA.csv
A-0107,2024-01-22,R05_名古屋-豊田,10tトラック,185.3,10399,1190,37491,9643.1,27,完了,49080,264.8677819751754,1817.7777777777778,delivery_202401_styleA.csv
A-0108,2024-01-07,R05_名古屋-豊田,4tトラック,146.8,3781,2972,27444,1615.6,27,完了,34197,232.94959128065392,1266.5555555555557,delivery_202401_styleA.csv
A-0109,2024-01-18,R02_東京-埼玉,4tトラック,76.1,2071,0,18034,3575.2,5,キャンセル,20105,264.19185282523,4021.0,delivery_202401_styleA.csv
A-0110,2024-01-02,R02_東京-埼玉,10tトラック,66.5,4100,1396,34615,7122.0,1,完了,40111,603.172932330827,40111.0,delivery_202401_styleA.csv
A-0111,2024-01-20,R04_大阪-京都,4tトラック,97.9,3543,2445,24159,1327.2,17,完了,30147,307.9366700715015,1773.3529411764705,delivery_202401_styleA.csv
A-0112,2024-01-30,R05_名古屋-豊田,2tトラック,57.1,1469,2996,23473,1139.4,4,完了,27938,489.28196147110333,6984.5,delivery_202401_styleA.csv
A-0113,2024-01-20,R01_東京-横浜,軽バン,55.0,564,815,14995,313.4,23,完了,16374,297.7090909090909,711.9130434782609,delivery_202401_styleA.csv
A-0114,2024-01-24,R04_大阪-京都,10tトラック,125.8,6385,0,23831,7583.0,29,完了,30216,240.19077901430842,1041.9310344827586,delivery_202401_styleA.csv
A-0115,2024-01-09,R04_大阪-京都,4tトラック,89.7,2550,1634,22992,1285.3,14,完了,27176,302.9654403567447,1941.142857142857,delivery_202401_styleA.csv
A-0116,2024-01-18,R02_東京-埼玉,10tトラック,153.0,7934,713,28910,8212.1,12,遅延,37557,245.47058823529412,3129.75,delivery_202401_styleA.csv
A-0117,2024-01-24,R05_名古屋-豊田,2tトラック,116.1,2872,1527,23736,1911.7,14,遅延,28135,242.33419465977607,2009.642857142857,delivery_202401_styleA.csv
A-0118,2024-01-18,R03_大阪-神戸,2tトラック,84.0,1866,1032,21567,836.4,4,完了,24465,291.25,6116.25,delivery_202401_styleA.csv
A-0119,2024-01-22,R01_東京-横浜,10tトラック,164.4,8936,0,35522,9821.8,27,完了,44458,270.4257907542579,1646.5925925925926,delivery_202401_styleA.csv
A-0120,2024-01-06,R05_名古屋-豊田,2tトラック,113.6,3176,951,22027,963.5,11,完了,26154,230.22887323943664,2377.6363636363635,delivery_202401_styleA.csv
A-0121,2024-01-14,R05_名古屋-豊田,4tトラック,112.3,2925,0,29662,1275.3,17,完了,32587,290.17809439002673,1916.8823529411766,delivery_202401_styleA.csv
A-0122,2024-01-20,R03_大阪-神戸,軽バン,17.9,182,2854,14770,447.5,5,完了,17806,994.7486033519554,3561.2,delivery_202401_styleA.csv
A-0123,2024-01-04,R01_東京-横浜,2tトラック,54.5,1414,1605,17732,1632.4,4,完了,20751,380.7522935779817,5187.75,delivery_202401_styleA.csv
A-0124,2024-01-25,R05_名古屋-豊田,10tトラック,123.0,6971,1488,31589,3053.8,10,遅延,40048,325.5934959349593,4004.8,delivery_202401_styleA.csv
A-0125,2024-01-27,R03_大阪-神戸,4tトラック,71.8,1924,1577,19550,2597.7,8,完了,23051,321.04456824512533,2881.375,delivery_202401_styleA.csv
A-0126,2024-01-23,R01_東京-横浜,10tトラック,109.6,6417,1649,23246,5191.4,14,完了,31312,285.6934306569343,2236.5714285714284,delivery_202401_styleA.csv
A-0127,2024-01-14,R03_大阪-神戸,軽バン,15.8,129,2503,14945,424.4,30,完了,17577,1112.4683544303798,585.9,delivery_202401_styleA.csv
A-0128,2024-01-17,R02_東京-埼玉,2tトラック,69.2,1578,2676,22458,832.4,25,完了,26712,386.0115606936416,1068.48,delivery_202401_styleA.csv
A-0129,2024-01-09,R05_名古屋-豊田,2tトラック,75.9,2191,2318,23189,1722.6,8,完了,27698,364.927536231884,3462.25,delivery_202401_styleA.csv
A-0130,2024-01-19,R02_東京-埼玉,4tトラック,106.3,3870,943,27274,2482.4,25,完了,32087,301.8532455315146,1283.48,delivery_202401_styleA.csv
A-0131,2024-01-10,R05_名古屋-豊田,軽バン,42.1,628,2927,12529,247.9,16,完了,16084,382.042755344418,1005.25,delivery_202401_styleA.csv
A-0132,2024-01-28,R05_名古屋-豊田,10tトラック,58.4,3077,1630,22910,8821.9,3,完了,27617,472.89383561643837,9205.666666666666,delivery_202401_styleA.csv
A-0133,2024-01-21,R05_名古屋-豊田,2tトラック,83.5,1888,2886,22389,561.5,30,遅延,27163,325.3053892215569,905.4333333333333,delivery_202401_styleA.csv
A-0134,2024-01-23,R03_大阪-神戸,4tトラック,106.6,3467,0,23406,3432.9,27,完了,26873,252.09193245778613,995.2962962962963,delivery_202401_styleA.csv
A-0135,2024-01-12,R05_名古屋-豊田,2tトラック,88.2,1629,0,24910,1286.1,20,完了,26539,300.8956916099773,1326.95,delivery_202401_styleA.csv
A-0136,2024-01-13,R04_大阪-京都,10tトラック,111.3,5394,2473,32357,3461.4,4,完了,40224,361.40161725067384,10056.0,delivery_202401_styleA.csv
A-0137,2024-01-30,R03_大阪-神戸,10tトラック,158.6,8947,0,35972,5333.5,19,完了,44919,283.2219419924338,2364.157894736842,delivery_202401_styleA.csv
A-0138,2024-01-11,R03_大阪-神戸,10tトラック,195.2,11217,1988,37008,5167.1,13,完了,50213,257.23872950819674,3862.5384615384614,delivery_202401_styleA.csv
A-0139,2024-01-16,R05_名古屋-豊田,4tトラック,50.3,1763,546,21706,3853.5,11,遅延,24015,477.4353876739563,2183.181818181818,delivery_202401_styleA.csv
A-0140,2024-01-02,R02_東京-埼玉,4tトラック,150.0,4099,2470,24092,2619.3,24,遅延,30661,204.40666666666667,1277.5416666666667,delivery_202401_styleA.csv
A-0141,2024-01-02,R05_名古屋-豊田,10tトラック,69.7,3444,2578,34338,8663.3,6,完了,40360,579.0530846484935,6726.666666666667,delivery_202401_styleA.csv
A-0142,2024-01-31,R03_大阪-神戸,軽バン,43.8,423,1212,15988,252.0,18,完了,17623,402.351598173516,979.0555555555555,delivery_202401_styleA.csv
A-0143,2024-01-14,R02_東京-埼玉,軽バン,28.4,415,0,13693,176.8,13,完了,14108,496.7605633802817,1085.2307692307693,delivery_202401_styleA.csv
A-0144,2024-01-17,R02_東京-埼玉,4tトラック,128.1,3468,2103,28489,2663.6,4,完了,34060,265.88602654176424,8515.0,delivery_202401_styleA.csv
A-0145,2024-01-15,R03_大阪-神戸,2tトラック,37.5,747,1783,23310,637.6,30,完了,25840,689.0666666666667,861.3333333333334,delivery_202401_styleA.csv
A-0146,2024-01-27,R01_東京-横浜,10tトラック,112.2,5600,1465,23306,4571.8,11,遅延,30371,270.6862745098039,2761.0,delivery_202401_styleA.csv
A-0147,2024-01-20,R02_東京-埼玉,10tトラック,70.6,3330,0,33137,3971.5,23,完了,36467,516.529745042493,1585.5217391304348,delivery_202401_styleA.csv
A-0148,2024-01-10,R01_東京-横浜,2tトラック,31.7,653,2851,21089,1134.9,25,完了,24593,775.8044164037855,983.72,delivery_202401_styleA.csv
A-0149,2024-01-17,R01_東京-横浜,2tトラック,51.5,1322,657,23367,1249.7,18,完了,25346,492.15533980582524,1408.111111111111,delivery_202401_styleA.csv
A-0150,2024-01-03,R02_東京-埼玉,4tトラック,72.0,1802,1927,20248,3004.6,17,キャンセル,23977,333.0138888888889,1410.4117647058824,delivery_202401_styleA.csv
A-0151,2024-01-24,R04_大阪-京都,2tトラック,108.6,2012,1433,22473,1035.6,3,完了,25918,238.65561694290977,8639.333333333334,delivery_202401_styleA.csv
A-0152,2024-01-23,R05_名古屋-豊田,2tトラック,96.2,2115,1865,23135,762.6,25,完了,27115,281.86070686070684,1084.6,delivery_202401_styleA.csv
A-0153,2024-01-29,R02_東京-埼玉,軽バン,50.6,427,0,13661,182.0,2,完了,14088,278.4189723320158,7044.0,delivery_202401_styleA.csv
A-0154,2024-01-10,R03_大阪-神戸,2tトラック,114.0,2757,0,20430,880.0,25,完了,23187,203.39473684210526,927.48,delivery_202401_styleA.csv
A-0155,2024-01-11,R01_東京-横浜,10tトラック,179.9,8689,1420,36232,8203.2,29,キャンセル,46341,257.5931072818232,1597.9655172413793,delivery_202401_styleA.csv
A-0156,2024-01-20,R04_大阪-京都,4tトラック,116.1,3542,0,21201,1247.8,14,完了,24743,213.1180017226529,1767.357142857143,delivery_202401_styleA.csv
A-0157,2024-01-12,R05_名古屋-豊田,4tトラック,72.3,1919,1239,23351,3153.0,6,完了,26509,366.65283540802216,4418.166666666667,delivery_202401_styleA.csv
A-0158,2024-01-21,R01_東京-横浜,軽バン,46.3,666,1587,15116,406.2,2,完了,17369,375.1403887688985,8684.5,delivery_202401_styleA.csv
A-0159,2024-01-03,R03_大阪-神戸,軽バン,35.7,473,578,16789,355.1,15,完了,17840,499.71988795518206,1189.3333333333333,delivery_202401_styleA.csv
A-0160,2024-01-19,R03_大阪-神戸,4tトラック,79.8,3132,884,23399,2112.9,15,完了,27415,343.546365914787,1827.6666666666667,delivery_202401_styleA.csv
A-0161,2024-01-18,R05_名古屋-豊田,4tトラック,80.4,2389,2901,18311,1558.1,17,完了,23601,293.54477611940297,1388.2941176470588,delivery_202401_styleA.csv
A-0162,2024-01-28,R03_大阪-神戸,2tトラック,99.7,2637,2030,21940,1997.9,7,完了,26607,266.8706118355065,3801.0,delivery_202401_styleA.csv
A-0163,2024-01-23,R04_大阪-京都,2tトラック,45.5,1208,0,23105,1951.3,11,完了,24313,534.3516483516484,2210.2727272727275,delivery_202401_styleA.csv
A-0164,2024-01-12,R05_名古屋-豊田,2tトラック,78.8,2261,0,22118,1891.0,21,完了,24379,309.3781725888325,1160.904761904762,delivery_202401_styleA.csv
A-0165,2024-01-18,R01_東京-横浜,4tトラック,148.4,5473,1735,22331,2716.8,15,遅延,29539,199.0498652291105,1969.2666666666667,delivery_202401_styleA.csv
A-0166,2024-01-03,R05_名古屋-豊田,4tトラック,137.3,3568,2292,23744,2232.4,14,遅延,29604,215.61544064093223,2114.5714285714284,delivery_202401_styleA.csv
