Date,Store,Item,Category,Qty,Price,Sales,WasteQty,WasteAmount
2024/01/28,新宿店,ウーロン茶,ドリンク,8,250,2000,0,0
2024/01/05,新宿店,ビール,ドリンク,3,550,1650,0,0
2024/01/26,新宿店,唐揚げ,副菜,7,550,3850,0,0
2024/01/28,新宿店,春巻き,副菜,7,400,2800,2,800
2024/01/21,新宿店,ビール,ドリンク,1,550,550,0,0
2024/01/08,新宿店,餃子,副菜,2,450,900,0,0
2024/01/04,新宿店,塩ラーメン,麺類,3,880,2640,0,0
2024/01/01,新宿店,担々麺,麺類,1,980,980,0,0
2024/01/12,新宿店,ウーロン茶,ドリンク,4,250,1000,0,0
2024/01/19,新宿店,チャーハン,ご飯もの,3,750,2250,0,0
2024/01/28,新宿店,ビール,ドリンク,4,550,2200,0,0
2024/01/19,新宿店,チャーハン,ご飯もの,8,750,6000,0,0
2024/01/15,新宿店,春巻き,副菜,1,400,400,1,400
2024/01/15,新宿店,春巻き,副菜,3,400,1200,0,0
2024/01/12,新宿店,アイスクリーム,デザート,7,400,2800,0,0
2024/01/15,新宿店,餃子,副菜,7,450,3150,1,450
2024/01/04,新宿店,カレーライス,ご飯もの,6,800,4800,0,0
2024/01/23,新宿店,餃子,副菜,7,450,3150,0,0
2024/01/19,新宿店,塩ラーメン,麺類,5,880,4400,1,880
2024/01/08,新宿店,アイスクリーム,デザート,4,400,1600,0,0
2024/01/20,新宿店,春巻き,副菜,3,400,1200,0,0
2024/01/21,新宿店,担々麺,麺類,8,980,7840,0,0
2024/01/12,新宿店,チャーハン,ご飯もの,5,750,3750,0,0
2024/01/14,新宿店,チャーハン,ご飯もの,3,750,2250,1,750
2024/01/12,新宿店,アイスクリーム,デザート,3,400,1200,0,0
2024/01/27,新宿店,コーラ,ドリンク,6,300,1800,1,300
2024/01/15,新宿店,つけ麺,麺類,4,1000,4000,1,1000
2024/01/24,新宿店,ビール,ドリンク,6,550,3300,0,0
2024/01/13,新宿店,担々麺,麺類,2,980,1960,0,0
2024/01/22,新宿店,春巻き,副菜,7,400,2800,1,400
2024/01/12,新宿店,つけ麺,麺類,8,1000,8000,0,0
2024/01/18,新宿店,春巻き,副菜,4,400,1600,0,0
2024/01/21,新宿店,ビール,ドリンク,5,550,2750,0,0
2024/01/04,新宿店,チャーハン,ご飯もの,1,750,750,0,0
2024/01/16,新宿店,ラーメン,麺類,4,900,3600,1,900
2024/01/05,新宿店,コーラ,ドリンク,6,300,1800,0,0
2024/01/24,新宿店,アイスクリーム,デザート,3,400,1200,1,400
2024/01/21,新宿店,塩ラーメン,麺類,7,880,6160,2,1760
2024/01/09,新宿店,担々麺,麺類,4,980,3920,0,0
2024/01/08,新宿店,餃子,副菜,6,450,2700,0,0
2024/01/21,新宿店,餃子,副菜,7,450,3150,0,0
2024/01/04,新宿店,ウーロン茶,ドリンク,4,250,1000,0,0
2024/01/20,新宿店,ラーメン,麺類,6,900,5400,0,0
2024/01/05,新宿店,杏仁豆腐,デザート,2,380,760,1,380
2024/01/18,新宿店,天丼,ご飯もの,4,950,3800,1,950
2024/01/08,新宿店,餃子,副菜,1,450,450,0,0
2024/01/05,新宿店,天丼,ご飯もの,5,950,4750,1,950
2024/01/04,新宿店,つけ麺,麺類,1,1000,1000,0,0
2024/01/26,新宿店,天丼,ご飯もの,6,950,5700,0,0
2024/01/09,新宿店,つけ麺,麺類,7,1000,7000,0,0
2024/01/24,新宿店,塩ラーメン,麺類,8,880,7040,1,880
2024/01/17,新宿店,杏仁豆腐,デザート,8,380,3040,0,0
2024/01/20,新宿店,担々麺,麺類,8,980,7840,0,0
2024/01/01,新宿店,塩ラーメン,麺類,7,880,6160,0,0
2024/01/04,新宿店,ビール,ドリンク,8,550,4400,0,0
2024/01/03,新宿店,春巻き,副菜,3,400,1200,0,0
2024/01/09,新宿店,アイスクリーム,デザート,7,400,2800,2,800
2024/01/17,新宿店,唐揚げ,副菜,7,550,3850,0,0
2024/01/23,新宿店,つけ麺,麺類,7,1000,7000,0,0
2024/01/08,新宿店,コーラ,ドリンク,8,300,2400,0,0
2024/01/24,新宿店,担々麺,麺類,7,980,6860,0,0
2024/01/09,新宿店,餃子,副菜,8,450,3600,0,0
2024/01/27,新宿店,ラーメン,麺類,7,900,6300,0,0
2024/01/24,新宿店,餃子,副菜,1,450,450,0,0
2024/01/18,新宿店,アイスクリーム,デザート,2,400,800,0,0
2024/01/28,新宿店,ビール,ドリンク,1,550,550,2,1100
2024/01/20,新宿店,唐揚げ,副菜,2,550,1100,0,0
2024/01/07,新宿店,天丼,ご飯もの,8,950,7600,0,0
2024/01/04,新宿店,春巻き,副菜,6,400,2400,0,0
2024/01/09,新宿店,杏仁豆腐,デザート,7,380,2660,1,380
2024/01/25,新宿店,杏仁豆腐,デザート,5,380,1900,0,0
2024/01/09,新宿店,唐揚げ,副菜,6,550,3300,0,0
2024/01/28,新宿店,天丼,ご飯もの,7,950,6650,0,0
2024/01/24,新宿店,ラーメン,麺類,4,900,3600,0,0
2024/01/15,新宿店,餃子,副菜,6,450,2700,0,0
2024/01/11,新宿店,杏仁豆腐,デザート,1,380,380,0,0
2024/01/25,新宿店,杏仁豆腐,デザート,2,380,760,0,0
2024/01/22,新宿店,コーラ,ドリンク,8,300,2400,0,0
2024/01/07,新宿店,杏仁豆腐,デザート,6,380,2280,0,0
2024/01/10,新宿店,アイスクリーム,デザート,5,400,2000,0,0
2024/01/13,新宿店,杏仁豆腐,デザート,1,380,380,0,0
2024/01/07,新宿店,カレーライス,ご飯もの,5,800,4000,0,0
2024/01/01,新宿店,ビール,ドリンク,7,550,3850,0,0
2024/01/13,新宿店,杏仁豆腐,デザート,6,380,2280,0,0
2024/01/28,新宿店,塩ラーメン,麺類,1,880,880,0,0
2024/01/03,新宿店,春巻き,副菜,7,400,2800,0,0
2024/01/23,新宿店,コーラ,ドリンク,2,300,600,0,0
2024/01/11,新宿店,天丼,ご飯もの,8,950,7600,1,950
2024/01/12,新宿店,塩ラーメン,麺類,2,880,1760,0,0
