日付,店舗名,商品名,カテゴリ,数量,単価,売上金額,廃棄数量,廃棄金額
2024/01/22,大阪店,餃子,副菜,4,450,1800,1,450
2024/01/10,大阪店,つけ麺,麺類,8,1000,8000,0,0
2024/01/08,大阪店,ビール,ドリンク,2,550,1100,0,0
2024/01/01,大阪店,唐揚げ,副菜,3,550,1650,0,0
2024/01/27,大阪店,アイスクリーム,デザート,6,400,2400,0,0
2024/01/06,大阪店,ウーロン茶,ドリンク,1,250,250,0,0
2024/01/01,大阪店,餃子,副菜,1,450,450,2,900
2024/01/26,大阪店,ビール,ドリンク,5,550,2750,0,0
2024/01/17,大阪店,コーラ,ドリンク,7,300,2100,0,0
2024/01/18,大阪店,杏仁豆腐,デザート,5,380,1900,0,0
2024/01/03,大阪店,杏仁豆腐,デザート,3,380,1140,0,0
2024/01/13,大阪店,杏仁豆腐,デザート,5,380,1900,0,0
2024/01/24,大阪店,チャーハン,ご飯もの,4,750,3000,0,0
2024/01/14,大阪店,塩ラーメン,麺類,1,880,880,0,0
2024/01/24,大阪店,チャーハン,ご飯もの,1,750,750,1,750
2024/01/23,大阪店,つけ麺,麺類,8,1000,8000,2,2000
2024/01/17,大阪店,アイスクリーム,デザート,3,400,1200,0,0
2024/01/24,大阪店,春巻き,副菜,2,400,800,1,400
2024/01/01,大阪店,唐揚げ,副菜,5,550,2750,0,0
2024/01/09,大阪店,杏仁豆腐,デザート,8,380,3040,0,0
2024/01/12,大阪店,塩ラーメン,麺類,3,880,2640,0,0
2024/01/09,大阪店,ラーメン,麺類,4,900,3600,1,900
2024/01/01,大阪店,ラーメン,麺類,4,900,3600,0,0
2024/01/12,大阪店,ウーロン茶,ドリンク,3,250,750,2,500
2024/01/28,大阪店,塩ラーメン,麺類,4,880,3520,0,0
2024/01/14,大阪店,唐揚げ,副菜,2,550,1100,0,0
2024/01/04,大阪店,杏仁豆腐,デザート,3,380,1140,0,0
2024/01/17,大阪店,塩ラーメン,麺類,2,880,1760,1,880
2024/01/28,大阪店,唐揚げ,副菜,6,550,3300,0,0
2024/01/15,大阪店,担々麺,麺類,4,980,3920,0,0
2024/01/26,大阪店,春巻き,副菜,4,400,1600,0,0
2024/01/19,大阪店,ウーロン茶,ドリンク,4,250,1000,0,0
2024/01/14,大阪店,つけ麺,麺類,6,1000,6000,0,0
2024/01/23,大阪店,担々麺,麺類,1,980,980,1,980
2024/01/13,大阪店,餃子,副菜,4,450,1800,0,0
2024/01/08,大阪店,コーラ,ドリンク,1,300,300,2,600
2024/01/05,大阪店,餃子,副菜,1,450,450,2,900
2024/01/28,大阪店,アイスクリーム,デザート,6,400,2400,0,0
2024/01/24,大阪店,ラーメン,麺類,3,900,2700,0,0
2024/01/13,大阪店,ラーメン,麺類,7,900,6300,0,0
2024/01/05,大阪店,カレーライス,ご飯もの,5,800,4000,1,800
2024/01/26,大阪店,ビール,ドリンク,6,550,3300,0,0
2024/01/09,大阪店,チャーハン,ご飯もの,4,750,3000,0,0
2024/01/25,大阪店,杏仁豆腐,デザート,3,380,1140,0,0
2024/01/15,大阪店,コーラ,ドリンク,7,300,2100,0,0
2024/01/12,大阪店,カレーライス,ご飯もの,5,800,4000,0,0
2024/01/28,大阪店,ラーメン,麺類,3,900,2700,1,900
2024/01/10,大阪店,杏仁豆腐,デザート,4,380,1520,1,380
2024/01/11,大阪店,チャーハン,ご飯もの,4,750,3000,2,1500
2024/01/13,大阪店,杏仁豆腐,デザート,5,380,1900,0,0
2024/01/06,大阪店,塩ラーメン,麺類,8,880,7040,0,0
2024/01/18,大阪店,チャーハン,ご飯もの,8,750,6000,0,0
2024/01/26,大阪店,チャーハン,ご飯もの,1,750,750,0,0
2024/01/25,大阪店,チャーハン,ご飯もの,4,750,3000,1,750
2024/01/12,大阪店,担々麺,麺類,2,980,1960,0,0
2024/01/03,大阪店,天丼,ご飯もの,8,950,7600,1,950
2024/01/03,大阪店,餃子,副菜,1,450,450,2,900
2024/01/02,大阪店,天丼,ご飯もの,7,950,6650,1,950
2024/01/13,大阪店,ウーロン茶,ドリンク,7,250,1750,0,0
2024/01/06,大阪店,餃子,副菜,3,450,1350,0,0
2024/01/15,大阪店,チャーハン,ご飯もの,4,750,3000,0,0
2024/01/16,大阪店,ビール,ドリンク,8,550,4400,0,0
2024/01/09,大阪店,ウーロン茶,ドリンク,7,250,1750,0,0
2024/01/26,大阪店,杏仁豆腐,デザート,1,380,380,2,760
2024/01/26,大阪店,唐揚げ,副菜,8,550,4400,0,0
2024/01/19,大阪店,アイスクリーム,デザート,7,400,2800,0,0
2024/01/01,大阪店,春巻き,副菜,4,400,1600,0,0
2024/01/26,大阪店,餃子,副菜,8,450,3600,0,0
2024/01/25,大阪店,杏仁豆腐,デザート,3,380,1140,0,0
2024/01/22,大阪店,カレーライス,ご飯もの,1,800,800,1,800
2024/01/08,大阪店,アイスクリーム,デザート,6,400,2400,2,800
2024/01/28,大阪店,チャーハン,ご飯もの,4,750,3000,0,0
2024/01/26,大阪店,春巻き,副菜,1,400,400,1,400
2024/01/12,大阪店,杏仁豆腐,デザート,4,380,1520,1,380
2024/01/26,大阪店,ビール,ドリンク,5,550,2750,0,0
2024/01/02,大阪店,ラーメン,麺類,4,900,3600,0,0
2024/01/01,大阪店,アイスクリーム,デザート,1,400,400,0,0
2024/01/20,大阪店,チャーハン,ご飯もの,6,750,4500,1,750
2024/01/26,大阪店,餃子,副菜,1,450,450,0,0
2024/01/23,大阪店,チャーハン,ご飯もの,6,750,4500,2,1500
