日付け,店舗,品名,分類,個数,単価,売上額,廃棄,廃棄金額
2024/01/04,池袋店,餃子,副菜,3,450,1350,0,0
2024/01/27,池袋店,ビール,ドリンク,3,550,1650,1,550
2024/01/16,池袋店,ビール,ドリンク,1,550,550,2,1100
2024/01/01,池袋店,餃子,副菜,3,450,1350,0,0
2024/01/24,池袋店,アイスクリーム,デザート,2,400,800,1,400
2024/01/08,池袋店,餃子,副菜,1,450,450,0,0
2024/01/21,池袋店,アイスクリーム,デザート,2,400,800,0,0
2024/01/16,池袋店,杏仁豆腐,デザート,4,380,1520,1,380
2024/01/10,池袋店,ウーロン茶,ドリンク,6,250,1500,0,0
2024/01/14,池袋店,天丼,ご飯もの,2,950,1900,0,0
2024/01/12,池袋店,ラーメン,麺類,7,900,6300,1,900
2024/01/02,池袋店,コーラ,ドリンク,5,300,1500,1,300
2024/01/12,池袋店,担々麺,麺類,4,980,3920,1,980
2024/01/21,池袋店,担々麺,麺類,3,980,2940,0,0
2024/01/18,池袋店,春巻き,副菜,3,400,1200,1,400
2024/01/22,池袋店,ビール,ドリンク,8,550,4400,0,0
2024/01/26,池袋店,チャーハン,ご飯もの,8,750,6000,0,0
2024/01/07,池袋店,つけ麺,麺類,1,1000,1000,0,0
2024/01/10,池袋店,アイスクリーム,デザート,8,400,3200,0,0
2024/01/25,池袋店,カレーライス,ご飯もの,6,800,4800,1,800
2024/01/02,池袋店,唐揚げ,副菜,2,550,1100,1,550
2024/01/14,池袋店,ビール,ドリンク,8,550,4400,1,550
2024/01/13,池袋店,餃子,副菜,8,450,3600,0,0
2024/01/12,池袋店,アイスクリーム,デザート,2,400,800,1,400
2024/01/03,池袋店,ビール,ドリンク,3,550,1650,0,0
2024/01/11,池袋店,ラーメン,麺類,6,900,5400,0,0
2024/01/10,池袋店,ビール,ドリンク,7,550,3850,0,0
2024/01/15,池袋店,唐揚げ,副菜,1,550,550,1,550
2024/01/12,池袋店,アイスクリーム,デザート,5,400,2000,0,0
2024/01/26,池袋店,ラーメン,麺類,7,900,6300,0,0
2024/01/26,池袋店,チャーハン,ご飯もの,3,750,2250,1,750
2024/01/22,池袋店,ウーロン茶,ドリンク,3,250,750,0,0
2024/01/25,池袋店,唐揚げ,副菜,7,550,3850,2,1100
2024/01/02,池袋店,杏仁豆腐,デザート,8,380,3040,2,760
2024/01/12,池袋店,ウーロン茶,ドリンク,3,250,750,0,0
2024/01/13,池袋店,春巻き,副菜,5,400,2000,0,0
2024/01/04,池袋店,つけ麺,麺類,8,1000,8000,0,0
2024/01/18,池袋店,担々麺,麺類,5,980,4900,1,980
2024/01/07,池袋店,アイスクリーム,デザート,8,400,3200,0,0
2024/01/05,池袋店,塩ラーメン,麺類,3,880,2640,1,880
2024/01/15,池袋店,担々麺,麺類,6,980,5880,1,980
2024/01/18,池袋店,アイスクリーム,デザート,5,400,2000,1,400
2024/01/23,池袋店,カレーライス,ご飯もの,4,800,3200,0,0
2024/01/07,池袋店,チャーハン,ご飯もの,8,750,6000,0,0
2024/01/18,池袋店,アイスクリーム,デザート,8,400,3200,1,400
2024/01/18,池袋店,天丼,ご飯もの,2,950,1900,0,0
2024/01/13,池袋店,ビール,ドリンク,7,550,3850,1,550
2024/01/27,池袋店,杏仁豆腐,デザート,3,380,1140,2,760
2024/01/21,池袋店,塩ラーメン,麺類,8,880,7040,0,0
2024/01/12,池袋店,天丼,ご飯もの,3,950,2850,1,950
2024/01/05,池袋店,ビール,ドリンク,1,550,550,1,550
2024/01/17,池袋店,カレーライス,ご飯もの,3,800,2400,0,0
2024/01/23,池袋店,カレーライス,ご飯もの,5,800,4000,1,800
2024/01/09,池袋店,天丼,ご飯もの,5,950,4750,0,0
2024/01/10,池袋店,杏仁豆腐,デザート,3,380,1140,0,0
2024/01/19,池袋店,チャーハン,ご飯もの,6,750,4500,1,750
2024/01/19,池袋店,ラーメン,麺類,2,900,1800,0,0
2024/01/21,池袋店,アイスクリーム,デザート,4,400,1600,1,400
2024/01/14,池袋店,杏仁豆腐,デザート,8,380,3040,1,380
2024/01/18,池袋店,春巻き,副菜,5,400,2000,0,0
2024/01/26,池袋店,コーラ,ドリンク,8,300,2400,0,0
2024/01/02,池袋店,カレーライス,ご飯もの,7,800,5600,0,0
2024/01/07,池袋店,春巻き,副菜,3,400,1200,0,0
2024/01/23,池袋店,春巻き,副菜,6,400,2400,2,800
2024/01/05,池袋店,春巻き,副菜,2,400,800,0,0
2024/01/15,池袋店,担々麺,麺類,8,980,7840,0,0
2024/01/04,池袋店,担々麺,麺類,7,980,6860,1,980
2024/01/14,池袋店,チャーハン,ご飯もの,6,750,4500,2,1500
2024/01/24,池袋店,餃子,副菜,3,450,1350,0,0
2024/01/17,池袋店,コーラ,ドリンク,5,300,1500,0,0
2024/01/03,池袋店,ビール,ドリンク,8,550,4400,2,1100
2024/01/07,池袋店,アイスクリーム,デザート,1,400,400,0,0
2024/01/16,池袋店,アイスクリーム,デザート,5,400,2000,0,0
2024/01/28,池袋店,塩ラーメン,麺類,3,880,2640,1,880
2024/01/24,池袋店,唐揚げ,副菜,6,550,3300,0,0
2024/01/02,池袋店,杏仁豆腐,デザート,6,380,2280,0,0
2024/01/03,池袋店,ビール,ドリンク,8,550,4400,1,550
2024/01/09,池袋店,杏仁豆腐,デザート,3,380,1140,2,760
2024/01/13,池袋店,唐揚げ,副菜,6,550,3300,1,550
2024/01/07,池袋店,アイスクリーム,デザート,1,400,400,0,0
2024/01/05,池袋店,唐揚げ,副菜,8,550,4400,0,0
2024/01/17,池袋店,カレーライス,ご飯もの,6,800,4800,0,0
2024/01/20,池袋店,春巻き,副菜,6,400,2400,0,0
2024/01/17,池袋店,アイスクリーム,デザート,5,400,2000,0,0
2024/01/01,池袋店,唐揚げ,副菜,2,550,1100,2,1100
2024/01/19,池袋店,春巻き,副菜,1,400,400,0,0
2024/01/09,池袋店,杏仁豆腐,デザート,1,380,380,0,0
2024/01/06,池袋店,アイスクリーム,デザート,3,400,1200,1,400
2024/01/08,池袋店,ラーメン,麺類,4,900,3600,0,0
2024/01/11,池袋店,ウーロン茶,ドリンク,7,250,1750,0,0
2024/01/14,池袋店,アイスクリーム,デザート,1,400,400,1,400
2024/01/17,池袋店,天丼,ご飯もの,6,950,5700,2,1900
2024/01/16,池袋店,アイスクリーム,デザート,6,400,2400,2,800
2024/01/15,池袋店,アイスクリーム,デザート,6,400,2400,0,0
2024/01/28,池袋店,春巻き,副菜,8,400,3200,0,0
2024/01/08,池袋店,春巻き,副菜,5,400,2000,0,0
2024/01/10,池袋店,春巻き,副菜,4,400,1600,0,0
2024/01/16,池袋店,唐揚げ,副菜,6,550,3300,0,0
2024/01/26,池袋店,唐揚げ,副菜,2,550,1100,0,0
2024/01/18,池袋店,コーラ,ドリンク,6,300,1800,2,600
2024/01/26,池袋店,カレーライス,ご飯もの,1,800,800,0,0
2024/01/23,池袋店,担々麺,麺類,8,980,7840,0,0
2024/01/24,池袋店,ウーロン茶,ドリンク,4,250,1000,1,250
2024/01/09,池袋店,アイスクリーム,デザート,3,400,1200,0,0
2024/01/24,池袋店,杏仁豆腐,デザート,4,380,1520,0,0
