ReservDate,ReservNo,StoreName,Course,GuestCount,Amount,Status,CancelReason
2024-01-17,B00070,渋谷店,飲み放題,1,4000,来店済み,
2024-01-17,B00071,渋谷店,ランチ,8,24000,来店済み,
2024-01-20,B00072,銀座店,ランチ,8,32000,来店済み,
2024-01-28,B00073,渋谷店,飲み放題,8,24000,キャンセル,忘れ
2024-01-15,B00074,新宿店,個室コース,2,30000,来店済み,
2024-01-09,B00075,渋谷店,ランチ,6,24000,キャンセル,体調不良
2024-01-20,B00076,銀座店,飲み放題,7,35000,来店済み,
2024-01-25,B00077,新宿店,ランチ,2,8000,来店済み,
2024-01-14,B00078,銀座店,ディナー,7,84000,来店済み,
2024-01-11,B00079,新宿店,個室コース,7,98000,来店済み,
2024-01-22,B00080,新宿店,飲み放題,5,25000,予約済み,
2024-01-24,B00081,新宿店,ランチ,2,4000,キャンセル,急用
2024-01-18,B00082,銀座店,飲み放題,3,9000,来店済み,
2024-01-22,B00083,銀座店,飲み放題,2,12000,来店済み,
2024-01-04,B00084,新宿店,ランチ,5,20000,来店済み,
2024-01-04,B00085,銀座店,ディナー,3,36000,来店済み,
2024-01-26,B00086,新宿店,飲み放題,2,10000,来店済み,
2024-01-09,B00087,新宿店,ランチ,10,40000,来店済み,
2024-01-12,B00088,渋谷店,ディナー,5,45000,予約済み,
2024-01-03,B00089,渋谷店,ディナー,3,33000,キャンセル,急用
2024-01-06,B00090,銀座店,ディナー,7,77000,来店済み,
2024-01-05,B00091,新宿店,飲み放題,6,18000,来店済み,
2024-01-14,B00092,渋谷店,ランチ,2,6000,来店済み,
2024-01-17,B00093,新宿店,個室コース,7,84000,来店済み,
2024-01-22,B00094,渋谷店,飲み放題,7,21000,来店済み,
2024-01-08,B00095,銀座店,個室コース,9,162000,来店済み,
2024-01-07,B00096,新宿店,ランチ,1,2000,来店済み,
2024-01-24,B00097,渋谷店,飲み放題,5,25000,キャンセル,忘れ
2024-01-08,B00098,新宿店,ディナー,3,33000,来店済み,
2024-01-02,B00099,銀座店,飲み放題,2,12000,来店済み,
2024-01-19,B00100,新宿店,ランチ,8,16000,来店済み,
2024-01-11,B00101,新宿店,個室コース,7,84000,キャンセル,急用
2024-01-04,B00102,渋谷店,個室コース,6,54000,来店済み,
2024-01-13,B00103,渋谷店,個室コース,10,140000,来店済み,
2024-01-03,B00104,新宿店,飲み放題,4,20000,来店済み,
2024-01-12,B00105,銀座店,ランチ,9,36000,キャンセル,天候
2024-01-06,B00106,銀座店,ディナー,4,24000,キャンセル,体調不良
2024-01-21,B00107,銀座店,ディナー,2,14000,予約済み,
2024-01-22,B00108,新宿店,個室コース,10,200000,来店済み,
2024-01-16,B00109,銀座店,飲み放題,6,24000,来店済み,
2024-01-03,B00110,新宿店,飲み放題,5,15000,来店済み,
2024-01-03,B00111,新宿店,個室コース,8,64000,キャンセル,天候
2024-01-15,B00112,銀座店,ランチ,10,40000,来店済み,
2024-01-11,B00113,銀座店,ランチ,8,32000,来店済み,
2024-01-15,B00114,銀座店,個室コース,9,90000,予約済み,
2024-01-15,B00115,渋谷店,飲み放題,2,8000,キャンセル,忘れ
2024-01-13,B00116,銀座店,ディナー,6,60000,予約済み,
2024-01-21,B00117,新宿店,飲み放題,10,30000,来店済み,
2024-01-13,B00118,新宿店,ランチ,6,12000,来店済み,
2024-01-19,B00119,新宿店,飲み放題,10,40000,来店済み,
2024-01-23,B00120,銀座店,ディナー,6,54000,予約済み,
2024-01-03,B00121,銀座店,個室コース,3,51000,来店済み,
2024-01-27,B00122,新宿店,個室コース,6,60000,来店済み,
2024-01-12,B00123,銀座店,ランチ,7,28000,来店済み,
2024-01-16,B00124,新宿店,ディナー,4,40000,予約済み,
2024-01-17,B00125,渋谷店,ディナー,3,21000,キャンセル,急用
2024-01-05,B00126,銀座店,ランチ,6,24000,キャンセル,忘れ
2024-01-02,B00127,渋谷店,ディナー,10,70000,来店済み,
2024-01-25,B00128,新宿店,飲み放題,4,24000,来店済み,
2024-01-26,B00129,銀座店,個室コース,4,64000,来店済み,
2024-01-10,B00130,新宿店,ディナー,6,72000,来店済み,
2024-01-05,B00131,新宿店,個室コース,3,33000,来店済み,
2024-01-04,B00132,新宿店,ランチ,8,24000,来店済み,
2024-01-09,B00133,銀座店,ランチ,5,10000,来店済み,
2024-01-08,B00134,新宿店,ディナー,7,42000,予約済み,
2024-01-12,B00135,新宿店,飲み放題,1,6000,キャンセル,その他
2024-01-11,B00136,渋谷店,個室コース,2,26000,来店済み,
2024-01-23,B00137,渋谷店,飲み放題,3,12000,キャンセル,忘れ
2024-01-01,B00138,渋谷店,個室コース,8,136000,キャンセル,急用
2024-01-08,B00139,新宿店,ディナー,3,33000,キャンセル,天候
2024-01-26,B00140,新宿店,ランチ,1,2000,来店済み,
