予約日,予約番号,店舗名,コース,予約人数,予約金額,ステータス,キャンセル理由
2024/01/23,A00030,銀座店,個室コース,4,64000,来店済み,
2024/01/17,A00031,渋谷店,飲み放題,7,35000,来店済み,
2024/01/19,A00032,新宿店,ランチ,4,8000,キャンセル,急用
2024/01/08,A00033,銀座店,ディナー,10,80000,キャンセル,急用
2024/01/09,A00034,渋谷店,ランチ,6,12000,来店済み,
2024/01/19,A00035,銀座店,個室コース,4,64000,キャンセル,その他
2024/01/22,A00036,新宿店,ディナー,8,88000,キャンセル,急用
2024/01/24,A00037,新宿店,飲み放題,7,42000,来店済み,
2024/01/26,A00038,渋谷店,ランチ,1,3000,来店済み,
2024/01/05,A00039,渋谷店,ディナー,4,32000,来店済み,
2024/01/03,A00040,新宿店,ディナー,5,60000,来店済み,
2024/01/27,A00041,新宿店,ランチ,1,4000,予約済み,
2024/01/16,A00042,渋谷店,ランチ,4,8000,来店済み,
2024/01/13,A00043,渋谷店,個室コース,1,10000,来店済み,
2024/01/24,A00044,新宿店,個室コース,5,70000,来店済み,
2024/01/02,A00045,銀座店,個室コース,3,33000,来店済み,
2024/01/17,A00046,銀座店,ランチ,6,12000,キャンセル,忘れ
2024/01/03,A00047,銀座店,ディナー,1,6000,来店済み,
2024/01/08,A00048,銀座店,ランチ,4,12000,キャンセル,その他
2024/01/19,A00049,銀座店,ランチ,10,20000,来店済み,
2024/01/11,A00050,銀座店,飲み放題,5,20000,来店済み,
2024/01/10,A00051,渋谷店,飲み放題,7,28000,来店済み,
2024/01/19,A00052,新宿店,飲み放題,2,6000,来店済み,
2024/01/05,A00053,渋谷店,ランチ,9,18000,来店済み,
2024/01/15,A00054,新宿店,ランチ,4,12000,来店済み,
2024/01/18,A00055,銀座店,飲み放題,10,30000,来店済み,
2024/01/24,A00056,新宿店,ランチ,3,9000,キャンセル,急用
2024/01/23,A00057,銀座店,ディナー,5,45000,来店済み,
2024/01/28,A00058,新宿店,ディナー,5,60000,来店済み,
2024/01/25,A00059,渋谷店,ランチ,7,21000,キャンセル,天候
2024/01/14,A00060,渋谷店,飲み放題,3,18000,来店済み,
2024/01/23,A00061,銀座店,ランチ,2,4000,予約済み,
2024/01/14,A00062,渋谷店,ランチ,6,24000,来店済み,
2024/01/26,A00063,渋谷店,ランチ,5,15000,来店済み,
2024/01/12,A00064,渋谷店,飲み放題,4,16000,来店済み,
2024/01/28,A00065,銀座店,個室コース,10,190000,キャンセル,体調不良
2024/01/26,A00066,渋谷店,ディナー,7,35000,キャンセル,天候
2024/01/04,A00067,新宿店,ディナー,5,35000,来店済み,
2024/01/12,A00068,新宿店,ランチ,8,16000,キャンセル,忘れ
2024/01/13,A00069,新宿店,ディナー,4,20000,来店済み,
2024/01/17,A00070,新宿店,飲み放題,2,10000,来店済み,
2024/01/09,A00071,新宿店,飲み放題,1,3000,来店済み,
2024/01/12,A00072,渋谷店,飲み放題,1,3000,来店済み,
2024/01/19,A00073,銀座店,飲み放題,7,21000,来店済み,
2024/01/22,A00074,渋谷店,飲み放題,1,6000,キャンセル,その他
2024/01/20,A00075,銀座店,ディナー,6,66000,キャンセル,天候
2024/01/14,A00076,新宿店,ランチ,5,20000,来店済み,
2024/01/22,A00077,新宿店,個室コース,5,80000,キャンセル,忘れ
2024/01/27,A00078,新宿店,ディナー,10,90000,来店済み,
2024/01/19,A00079,渋谷店,飲み放題,5,20000,来店済み,
2024/01/07,A00080,銀座店,飲み放題,8,48000,来店済み,
2024/01/22,A00081,銀座店,個室コース,3,54000,キャンセル,その他
2024/01/08,A00082,銀座店,飲み放題,2,8000,来店済み,
2024/01/16,A00083,渋谷店,ディナー,1,5000,来店済み,
2024/01/19,A00084,銀座店,ランチ,8,24000,来店済み,
2024/01/21,A00085,渋谷店,個室コース,8,112000,来店済み,
2024/01/26,A00086,銀座店,ランチ,2,6000,来店済み,
2024/01/28,A00087,銀座店,個室コース,1,16000,来店済み,
2024/01/17,A00088,渋谷店,個室コース,3,60000,来店済み,
2024/01/18,A00089,銀座店,飲み放題,8,48000,来店済み,
2024/01/08,A00090,新宿店,ディナー,8,96000,来店済み,
2024/01/09,A00091,銀座店,飲み放題,9,54000,来店済み,
2024/01/11,A00092,新宿店,ランチ,5,10000,来店済み,
2024/01/23,A00093,銀座店,ランチ,3,6000,来店済み,
2024/01/18,A00094,渋谷店,ディナー,2,22000,来店済み,
2024/01/13,A00095,新宿店,個室コース,1,11000,来店済み,
2024/01/12,A00096,銀座店,ランチ,10,30000,来店済み,
2024/01/18,A00097,新宿店,個室コース,7,112000,来店済み,
2024/01/16,A00098,銀座店,ディナー,8,64000,来店済み,
2024/01/13,A00099,渋谷店,個室コース,6,108000,来店済み,
2024/01/18,A00100,銀座店,ディナー,8,56000,予約済み,
2024/01/03,A00101,渋谷店,個室コース,10,170000,来店済み,
2024/01/13,A00102,銀座店,個室コース,3,45000,キャンセル,天候
2024/01/13,A00103,新宿店,ディナー,8,80000,来店済み,
2024/01/24,A00104,新宿店,個室コース,5,45000,来店済み,
2024/01/25,A00105,銀座店,ランチ,6,12000,来店済み,
2024/01/20,A00106,銀座店,ランチ,1,2000,キャンセル,急用
2024/01/19,A00107,渋谷店,ディナー,3,36000,来店済み,
2024/01/20,A00108,渋谷店,個室コース,5,100000,来店済み,
2024/01/10,A00109,銀座店,ランチ,3,9000,キャンセル,急用
2024/01/23,A00110,銀座店,個室コース,7,133000,キャンセル,その他
2024/01/20,A00111,銀座店,ディナー,2,18000,来店済み,
2024/01/12,A00112,渋谷店,ランチ,6,24000,来店済み,
2024/01/04,A00113,渋谷店,飲み放題,1,6000,来店済み,
2024/01/24,A00114,新宿店,飲み放題,8,32000,来店済み,
2024/01/27,A00115,銀座店,飲み放題,10,60000,来店済み,
2024/01/03,A00116,銀座店,飲み放題,6,24000,来店済み,
2024/01/20,A00117,新宿店,個室コース,4,80000,来店済み,
2024/01/11,A00118,銀座店,個室コース,6,48000,来店済み,
2024/01/11,A00119,渋谷店,個室コース,4,52000,来店済み,
2024/01/07,A00120,新宿店,飲み放題,9,27000,来店済み,
2024/01/08,A00121,渋谷店,ディナー,7,84000,来店済み,
2024/01/03,A00122,銀座店,個室コース,8,120000,来店済み,
2024/01/19,A00123,新宿店,ディナー,7,56000,来店済み,
2024/01/24,A00124,新宿店,個室コース,9,144000,来店済み,
2024/01/09,A00125,銀座店,飲み放題,6,36000,来店済み,
2024/01/25,A00126,渋谷店,ランチ,4,12000,キャンセル,その他
2024/01/09,A00127,銀座店,ディナー,4,32000,来店済み,
2024/01/12,A00128,銀座店,飲み放題,2,8000,来店済み,
2024/01/02,A00129,渋谷店,飲み放題,1,4000,来店済み,
2024/01/19,A00130,銀座店,飲み放題,3,18000,キャンセル,急用
2024/01/02,A00131,新宿店,個室コース,8,120000,来店済み,
2024/01/03,A00132,新宿店,個室コース,2,18000,来店済み,
2024/01/10,A00133,銀座店,ランチ,3,6000,来店済み,
2024/01/26,A00134,渋谷店,ディナー,2,22000,来店済み,
2024/01/15,A00135,銀座店,ディナー,9,99000,来店済み,
2024/01/20,A00136,新宿店,個室コース,5,85000,来店済み,
2024/01/22,A00137,銀座店,ランチ,4,16000,来店済み,
2024/01/06,A00138,渋谷店,ディナー,4,28000,来店済み,
2024/01/10,A00139,渋谷店,個室コース,8,152000,来店済み,
2024/01/15,A00140,渋谷店,ディナー,5,45000,来店済み,
