日付,拠点,品番,品目,分類,発注量,原価,使用数,ロス数
2024/01/17,池袋店,FS-004,アジ,魚介類,6.6,800,4.7,1.9
2024/01/17,池袋店,FS-001,鮭,魚介類,18.5,1500,14.4,4.1
2024/01/17,池袋店,DY-003,卵(10個),乳製品・卵,10.4,250,8.3,2.1
2024/01/17,池袋店,VG-004,トマト,野菜・果物,5.4,300,5.1,0.3
2024/01/18,池袋店,SE-001,醤油(L),調味料・油,15.3,400,12.5,2.8
2024/01/18,池袋店,SE-003,みりん(L),調味料・油,18.6,600,14.9,3.7
2024/01/18,池袋店,SE-002,サラダ油(L),調味料・油,16.3,350,13.9,2.4
2024/01/18,池袋店,SE-002,サラダ油(L),調味料・油,16.3,350,12.3,4.0
2024/01/18,池袋店,DY-003,卵(10個),乳製品・卵,9.9,250,6.9,3.0
2024/01/19,池袋店,DY-004,チーズ(kg),乳製品・卵,7.1,1800,5.1,2.0
2024/01/19,池袋店,SE-004,塩(kg),調味料・油,4.3,200,3.2,1.1
2024/01/19,池袋店,DY-003,卵(10個),乳製品・卵,9.1,250,8.5,0.6
2024/01/19,池袋店,FS-002,エビ,魚介類,15.1,2500,12.3,2.8
2024/01/19,池袋店,VG-003,玉ねぎ,野菜・果物,12.8,150,10.5,2.3
2024/01/22,池袋店,SE-002,サラダ油(L),調味料・油,8.2,350,6.1,2.1
2024/01/22,池袋店,SE-004,塩(kg),調味料・油,17.2,200,12.2,5.0
2024/01/22,池袋店,FS-001,鮭,魚介類,18.1,1500,16.1,2.0
2024/01/22,池袋店,SE-003,みりん(L),調味料・油,11.6,600,10.0,1.6
2024/01/22,池袋店,MT-004,鶏むね肉,肉類,19.1,600,15.1,4.0
2024/01/23,池袋店,MT-003,牛切り落とし,肉類,9.3,2000,7.8,1.5
2024/01/23,池袋店,FS-003,イカ,魚介類,11.2,1200,10.4,0.8
2024/01/23,池袋店,FS-003,イカ,魚介類,13.6,1200,10.7,2.9
2024/01/23,池袋店,DY-001,牛乳(L),乳製品・卵,9.9,200,7.4,2.5
2024/01/23,池袋店,DY-002,バター(250g),乳製品・卵,13.8,450,11.1,2.7
2024/01/24,池袋店,VG-002,にんじん,野菜・果物,5.6,180,5.0,0.6
2024/01/24,池袋店,SE-004,塩(kg),調味料・油,6.4,200,5.5,0.9
2024/01/24,池袋店,DY-002,バター(250g),乳製品・卵,7.0,450,5.1,1.9
2024/01/24,池袋店,SE-004,塩(kg),調味料・油,14.1,200,13.1,1.0
2024/01/24,池袋店,SE-001,醤油(L),調味料・油,11.8,400,10.3,1.5
2024/01/25,池袋店,VG-003,玉ねぎ,野菜・果物,13.0,150,9.9,3.1
2024/01/25,池袋店,MT-004,鶏むね肉,肉類,7.8,600,7.4,0.4
2024/01/25,池袋店,MT-003,牛切り落とし,肉類,14.3,2000,10.1,4.2
2024/01/25,池袋店,DY-003,卵(10個),乳製品・卵,17.8,250,15.2,2.6
2024/01/25,池袋店,SE-003,みりん(L),調味料・油,18.8,600,17.2,1.6
2024/01/26,池袋店,SE-003,みりん(L),調味料・油,11.8,600,9.7,2.1
2024/01/26,池袋店,FS-004,アジ,魚介類,8.0,800,6.1,1.9
2024/01/26,池袋店,FS-003,イカ,魚介類,18.6,1200,16.9,1.7
2024/01/26,池袋店,FS-002,エビ,魚介類,15.4,2500,13.7,1.7
2024/01/26,池袋店,VG-002,にんじん,野菜・果物,10.7,180,8.7,2.0
2024/01/29,池袋店,FS-001,鮭,魚介類,13.6,1500,10.5,3.1
2024/01/29,池袋店,DY-002,バター(250g),乳製品・卵,12.5,450,10.0,2.5
2024/01/29,池袋店,MT-002,豚バラ,肉類,16.7,1200,15.3,1.4
2024/01/29,池袋店,SE-003,みりん(L),調味料・油,2.1,600,1.6,0.5
2024/01/29,池袋店,DY-003,卵(10個),乳製品・卵,17.1,250,12.6,4.5
2024/01/30,池袋店,VG-002,にんじん,野菜・果物,4.1,180,3.3,0.8
2024/01/30,池袋店,FS-002,エビ,魚介類,5.5,2500,4.1,1.4
2024/01/30,池袋店,FS-002,エビ,魚介類,13.2,2500,12.3,0.9
2024/01/30,池袋店,FS-001,鮭,魚介類,3.3,1500,2.4,0.9
2024/01/30,池袋店,DY-002,バター(250g),乳製品・卵,6.9,450,6.4,0.5
2024/01/31,池袋店,FS-001,鮭,魚介類,4.0,1500,3.6,0.4
2024/01/31,池袋店,VG-005,レタス,野菜・果物,9.6,200,8.0,1.6
2024/01/31,池袋店,FS-002,エビ,魚介類,14.4,2500,12.4,2.0
2024/01/31,池袋店,SE-001,醤油(L),調味料・油,20.0,400,14.8,5.2
2024/01/31,池袋店,VG-005,レタス,野菜・果物,19.6,200,15.3,4.3
