日付,店舗,食材コード,食材名,カテゴリ,仕入量(kg),仕入単価(円),使用量(kg),廃棄量(kg)
2024/01/12,渋谷店,VG-002,にんじん,野菜・果物,6.6,180,6.2,0.4
2024/01/12,渋谷店,MT-004,鶏むね肉,肉類,2.8,600,2.3,0.5
2024/01/12,渋谷店,DY-001,牛乳(L),乳製品・卵,18.1,200,16.1,2.0
2024/01/12,渋谷店,SE-004,塩(kg),調味料・油,18.1,200,15.0,3.1
2024/01/12,渋谷店,DY-004,チーズ(kg),乳製品・卵,15.9,1800,13.8,2.1
2024/01/15,渋谷店,DY-003,卵(10個),乳製品・卵,3.7,250,3.3,0.4
2024/01/15,渋谷店,DY-001,牛乳(L),乳製品・卵,18.9,200,14.4,4.5
2024/01/15,渋谷店,VG-005,レタス,野菜・果物,17.0,200,12.6,4.4
2024/01/15,渋谷店,FS-003,イカ,魚介類,12.8,1200,11.8,1.0
2024/01/15,渋谷店,VG-003,玉ねぎ,野菜・果物,7.6,150,6.8,0.8
2024/01/15,渋谷店,SE-002,サラダ油(L),調味料・油,11.0,350,9.0,2.0
2024/01/16,渋谷店,SE-001,醤油(L),調味料・油,4.4,400,3.8,0.6
2024/01/16,渋谷店,FS-002,エビ,魚介類,11.1,2500,9.7,1.4
2024/01/16,渋谷店,DY-001,牛乳(L),乳製品・卵,5.6,200,5.0,0.6
2024/01/16,渋谷店,FS-002,エビ,魚介類,15.3,2500,11.2,4.1
2024/01/16,渋谷店,MT-003,牛切り落とし,肉類,18.7,2000,14.9,3.8
2024/01/16,渋谷店,MT-001,鶏もも肉,肉類,10.8,800,9.3,1.5
2024/01/17,渋谷店,DY-003,卵(10個),乳製品・卵,7.2,250,5.5,1.7
2024/01/17,渋谷店,SE-001,醤油(L),調味料・油,13.4,400,9.7,3.7
2024/01/17,渋谷店,VG-003,玉ねぎ,野菜・果物,9.5,150,8.9,0.6
2024/01/17,渋谷店,FS-002,エビ,魚介類,18.8,2500,16.9,1.9
2024/01/17,渋谷店,VG-002,にんじん,野菜・果物,16.1,180,11.3,4.8
2024/01/17,渋谷店,DY-001,牛乳(L),乳製品・卵,16.9,200,15.2,1.7
2024/01/18,渋谷店,VG-004,トマト,野菜・果物,11.6,300,9.9,1.7
2024/01/18,渋谷店,VG-005,レタス,野菜・果物,12.9,200,10.4,2.5
2024/01/18,渋谷店,MT-002,豚バラ,肉類,9.7,1200,8.4,1.3
2024/01/18,渋谷店,SE-002,サラダ油(L),調味料・油,10.2,350,7.8,2.4
2024/01/18,渋谷店,FS-004,アジ,魚介類,15.4,800,13.9,1.5
2024/01/18,渋谷店,MT-002,豚バラ,肉類,3.2,1200,2.7,0.5
2024/01/19,渋谷店,FS-004,アジ,魚介類,16.8,800,13.1,3.7
2024/01/19,渋谷店,FS-004,アジ,魚介類,18.6,800,13.8,4.8
2024/01/19,渋谷店,DY-004,チーズ(kg),乳製品・卵,4.8,1800,4.0,0.8
2024/01/19,渋谷店,VG-002,にんじん,野菜・果物,5.1,180,3.6,1.5
2024/01/19,渋谷店,MT-001,鶏もも肉,肉類,14.3,800,11.4,2.9
2024/01/19,渋谷店,FS-001,鮭,魚介類,11.1,1500,10.2,0.9
2024/01/22,渋谷店,DY-002,バター(250g),乳製品・卵,2.8,450,2.1,0.7
2024/01/22,渋谷店,DY-002,バター(250g),乳製品・卵,6.5,450,5.5,1.0
2024/01/22,渋谷店,VG-001,キャベツ,野菜・果物,2.9,120,2.3,0.6
2024/01/22,渋谷店,VG-002,にんじん,野菜・果物,3.8,180,2.7,1.1
2024/01/22,渋谷店,VG-001,キャベツ,野菜・果物,3.8,120,3.5,0.3
2024/01/22,渋谷店,FS-001,鮭,魚介類,19.6,1500,17.6,2.0
2024/01/23,渋谷店,DY-002,バター(250g),乳製品・卵,13.6,450,12.2,1.4
2024/01/23,渋谷店,FS-004,アジ,魚介類,11.6,800,9.6,2.0
2024/01/23,渋谷店,MT-002,豚バラ,肉類,10.3,1200,8.2,2.1
2024/01/23,渋谷店,DY-004,チーズ(kg),乳製品・卵,6.8,1800,5.0,1.8
2024/01/23,渋谷店,MT-004,鶏むね肉,肉類,9.5,600,7.2,2.3
2024/01/23,渋谷店,SE-002,サラダ油(L),調味料・油,8.6,350,6.7,1.9
2024/01/24,渋谷店,VG-001,キャベツ,野菜・果物,14.3,120,11.1,3.2
2024/01/24,渋谷店,SE-003,みりん(L),調味料・油,18.5,600,15.2,3.3
2024/01/24,渋谷店,SE-004,塩(kg),調味料・油,11.6,200,10.6,1.0
2024/01/24,渋谷店,SE-001,醤油(L),調味料・油,16.5,400,13.7,2.8
2024/01/24,渋谷店,VG-001,キャベツ,野菜・果物,7.2,120,6.4,0.8
2024/01/24,渋谷店,SE-003,みりん(L),調味料・油,14.5,600,13.3,1.2
2024/01/25,渋谷店,VG-002,にんじん,野菜・果物,13.1,180,9.5,3.6
2024/01/25,渋谷店,MT-002,豚バラ,肉類,3.5,1200,3.3,0.2
2024/01/25,渋谷店,DY-004,チーズ(kg),乳製品・卵,19.3,1800,17.4,1.9
2024/01/25,渋谷店,MT-004,鶏むね肉,肉類,16.1,600,14.5,1.6
2024/01/25,渋谷店,MT-003,牛切り落とし,肉類,6.6,2000,5.0,1.6
2024/01/25,渋谷店,SE-002,サラダ油(L),調味料・油,5.1,350,4.3,0.8
2024/01/26,渋谷店,VG-004,トマト,野菜・果物,10.4,300,8.6,1.8
2024/01/26,渋谷店,DY-001,牛乳(L),乳製品・卵,16.4,200,13.5,2.9
2024/01/26,渋谷店,VG-005,レタス,野菜・果物,18.8,200,13.7,5.1
2024/01/26,渋谷店,VG-001,キャベツ,野菜・果物,3.6,120,3.1,0.5
2024/01/26,渋谷店,MT-002,豚バラ,肉類,15.9,1200,13.8,2.1
2024/01/26,渋谷店,SE-004,塩(kg),調味料・油,18.2,200,16.2,2.0
2024/01/29,渋谷店,SE-002,サラダ油(L),調味料・油,8.6,350,6.7,1.9
2024/01/29,渋谷店,SE-001,醤油(L),調味料・油,4.7,400,4.4,0.3
2024/01/29,渋谷店,MT-004,鶏むね肉,肉類,8.9,600,7.9,1.0
2024/01/29,渋谷店,VG-004,トマト,野菜・果物,18.9,300,16.9,2.0
2024/01/29,渋谷店,FS-004,アジ,魚介類,8.8,800,8.3,0.5
2024/01/29,渋谷店,FS-004,アジ,魚介類,19.1,800,13.9,5.2
2024/01/30,渋谷店,DY-004,チーズ(kg),乳製品・卵,13.5,1800,9.9,3.6
2024/01/30,渋谷店,MT-002,豚バラ,肉類,14.3,1200,10.1,4.2
2024/01/30,渋谷店,FS-002,エビ,魚介類,16.9,2500,13.1,3.8
2024/01/30,渋谷店,VG-005,レタス,野菜・果物,10.0,200,7.8,2.2
2024/01/30,渋谷店,DY-001,牛乳(L),乳製品・卵,16.1,200,11.7,4.4
2024/01/30,渋谷店,FS-001,鮭,魚介類,17.8,1500,13.7,4.1
2024/01/31,渋谷店,VG-005,レタス,野菜・果物,3.9,200,3.7,0.2
2024/01/31,渋谷店,SE-002,サラダ油(L),調味料・油,13.7,350,9.9,3.8
2024/01/31,渋谷店,VG-005,レタス,野菜・果物,2.5,200,1.9,0.6
2024/01/31,渋谷店,VG-002,にんじん,野菜・果物,16.0,180,12.0,4.0
2024/01/31,渋谷店,VG-005,レタス,野菜・果物,13.8,200,11.6,2.2
2024/01/31,渋谷店,VG-002,にんじん,野菜・果物,12.9,180,11.6,1.3
