社員番号,スタッフ名,店番,雇用形態,賃金,日付,開始時刻,終了時刻,休憩時間,勤務時間,深夜勤務
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月03日,15:30,22:06,45,6.6,True
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月03日,16:30,23:54,45,7.4,True
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月03日,15:30,20:36,0,5.1,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月03日,20:30,04:12,45,7.7,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月03日,09:00,12:48,0,3.8,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月03日,18:00,21:06,0,3.1,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月04日,11:00,15:18,0,4.3,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月04日,16:30,20:35,0,4.1,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月04日,17:00,20:42,0,3.7,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月04日,10:00,16:18,45,6.3,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月04日,15:30,20:48,0,5.3,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月04日,14:30,18:12,0,3.7,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月04日,11:00,17:00,45,6.0,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月04日,21:30,03:06,0,5.6,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月04日,14:30,19:54,0,5.4,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月04日,11:30,16:00,0,4.5,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月04日,12:30,15:36,0,3.1,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月04日,12:30,16:54,0,4.4,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月04日,21:30,05:12,45,7.7,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月04日,10:30,17:30,45,7.0,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月04日,10:30,14:24,0,3.9,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月04日,10:30,14:42,0,4.2,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月04日,20:30,03:36,45,7.1,True
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月04日,11:30,17:36,45,6.1,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月04日,19:30,23:54,0,4.4,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月05日,14:30,18:24,0,3.9,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月05日,17:30,00:00,45,6.5,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月05日,15:00,18:48,0,3.8,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月05日,10:00,17:54,45,7.9,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月05日,09:30,16:06,45,6.6,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月05日,12:00,17:30,0,5.5,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月05日,14:30,22:30,60,8.0,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月05日,10:30,13:54,0,3.4,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月05日,12:00,16:18,0,4.3,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月05日,18:30,22:24,0,3.9,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月05日,14:30,21:36,45,7.1,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月05日,13:30,20:24,45,6.9,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月05日,11:00,15:00,0,4.0,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月05日,11:00,16:24,0,5.4,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月05日,14:30,18:18,0,3.8,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月05日,21:00,01:18,0,4.3,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月06日,13:30,20:54,45,7.4,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月06日,13:00,17:12,0,4.2,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月06日,10:00,17:00,45,7.0,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月06日,16:00,19:00,0,3.0,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月06日,17:00,21:54,0,4.9,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月06日,09:30,17:12,45,7.7,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月06日,20:00,23:18,0,3.3,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月06日,21:00,00:36,0,3.6,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月06日,18:30,01:30,45,7.0,True
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月06日,13:00,19:24,45,6.4,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月06日,12:30,20:00,45,7.5,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月06日,17:30,23:12,0,5.7,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月06日,19:00,00:42,0,5.7,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月06日,17:30,00:48,45,7.3,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月06日,11:00,14:18,0,3.3,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月06日,14:30,19:48,0,5.3,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月06日,18:30,01:12,45,6.7,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月07日,19:30,02:24,45,6.9,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月07日,21:00,03:18,45,6.3,True
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月07日,16:00,21:36,0,5.6,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月07日,18:00,00:06,45,6.1,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月07日,20:30,00:06,0,3.6,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月07日,11:00,18:12,45,7.2,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月07日,09:00,14:24,0,5.4,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月07日,16:30,22:06,0,5.6,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月07日,14:00,18:48,0,4.8,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月07日,11:00,18:42,45,7.7,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月07日,17:00,22:18,0,5.3,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月07日,15:30,22:36,45,7.1,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月07日,10:30,16:06,0,5.6,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月07日,14:00,21:42,45,7.7,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月07日,09:00,15:36,45,6.6,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月07日,13:00,18:36,0,5.6,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月07日,20:00,01:48,0,5.8,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月07日,21:00,03:48,45,6.8,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月08日,20:30,03:00,45,6.5,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月08日,11:00,18:00,45,7.0,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月08日,18:30,00:48,45,6.3,True
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月08日,19:30,03:12,45,7.7,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月08日,18:30,01:42,45,7.2,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月08日,20:30,03:36,45,7.1,True
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月08日,13:00,17:54,0,4.9,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月08日,11:30,16:18,0,4.8,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月08日,16:00,22:36,45,6.6,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月08日,19:00,00:36,0,5.6,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月08日,14:00,18:30,0,4.5,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月08日,15:00,21:54,45,6.9,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月08日,14:00,17:30,0,3.5,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月08日,12:00,16:18,0,4.3,False
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月08日,13:00,17:18,0,4.3,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月08日,19:30,01:18,0,5.8,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月08日,09:30,16:30,45,7.0,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月08日,21:00,03:00,45,6.0,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月08日,21:30,00:54,0,3.4,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月09日,15:30,20:36,0,5.1,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月09日,13:00,19:12,45,6.2,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月09日,10:30,16:06,0,5.6,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月09日,19:00,23:36,0,4.6,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月09日,12:00,18:24,45,6.4,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月09日,17:00,21:05,0,4.1,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月09日,10:00,13:42,0,3.7,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月09日,10:30,14:48,0,4.3,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月09日,16:00,22:48,45,6.8,True
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月09日,13:30,18:30,0,5.0,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月09日,18:00,22:12,0,4.2,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月09日,16:30,22:54,45,6.4,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月09日,11:30,16:36,0,5.1,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月09日,15:30,21:30,45,6.0,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月09日,15:30,21:36,45,6.1,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月09日,13:00,19:24,45,6.4,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月10日,11:00,17:42,45,6.7,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月10日,19:00,02:18,45,7.3,True
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月10日,10:30,17:00,45,6.5,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月10日,10:30,14:30,0,4.0,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月10日,13:30,19:12,0,5.7,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月10日,12:00,16:54,0,4.9,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月10日,11:00,15:18,0,4.3,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月10日,21:30,00:48,0,3.3,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月10日,10:00,14:54,0,4.9,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月10日,20:30,03:48,45,7.3,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月10日,20:30,00:42,0,4.2,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月10日,21:00,04:30,45,7.5,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月10日,19:00,22:54,0,3.9,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月10日,10:00,13:12,0,3.2,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月10日,14:30,19:54,0,5.4,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月10日,10:30,16:54,45,6.4,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月10日,14:00,22:00,60,8.0,True
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月11日,14:00,20:06,45,6.1,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月11日,10:30,14:35,0,4.1,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月11日,16:00,19:24,0,3.4,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月11日,20:00,01:06,0,5.1,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月11日,16:30,00:00,45,7.5,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月11日,18:00,22:00,0,4.0,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月11日,09:00,13:30,0,4.5,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月11日,18:00,23:12,0,5.2,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月11日,12:00,16:36,0,4.6,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月11日,21:00,00:54,0,3.9,True
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月11日,12:00,18:48,45,6.8,False
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月11日,16:30,21:00,0,4.5,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月11日,20:30,00:18,0,3.8,True
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月11日,19:30,01:30,45,6.0,True
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月11日,19:00,23:12,0,4.2,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月12日,12:30,19:06,45,6.6,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月12日,16:30,21:54,0,5.4,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月12日,16:00,23:36,45,7.6,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月12日,13:00,19:48,45,6.8,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月12日,10:30,16:54,45,6.4,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月12日,13:30,18:30,0,5.0,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月12日,16:30,21:30,0,5.0,False
R003-S12,スタッフR00312,R003_池袋店,アルバイト,1094,2024年01月12日,19:00,00:36,0,5.6,True
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月12日,10:00,15:36,0,5.6,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月12日,21:00,02:48,0,5.8,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月12日,20:00,23:54,0,3.9,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月12日,14:30,19:48,0,5.3,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月12日,11:00,17:24,45,6.4,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月12日,17:30,21:00,0,3.5,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月12日,12:00,17:00,0,5.0,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月12日,10:00,15:18,0,5.3,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月13日,13:30,17:00,0,3.5,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月13日,20:00,02:36,45,6.6,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月13日,15:00,20:36,0,5.6,False
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月13日,18:00,22:54,0,4.9,True
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月13日,12:30,18:18,0,5.8,False
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月13日,09:00,16:18,45,7.3,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月13日,16:30,21:00,0,4.5,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月13日,17:30,23:36,45,6.1,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月13日,19:30,22:36,0,3.1,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月13日,17:00,23:00,45,6.0,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月13日,13:30,18:48,0,5.3,False
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月13日,11:00,15:12,0,4.2,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月13日,19:00,22:12,0,3.2,True
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月13日,10:00,17:18,45,7.3,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月14日,19:30,00:12,0,4.7,True
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月14日,12:30,18:36,45,6.1,False
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月14日,19:00,02:48,45,7.8,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月14日,15:00,18:30,0,3.5,False
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月14日,15:30,22:36,45,7.1,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月14日,11:00,15:30,0,4.5,False
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月14日,14:30,20:06,0,5.6,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月14日,21:00,03:06,45,6.1,True
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月14日,20:00,01:24,0,5.4,True
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月14日,21:30,02:36,0,5.1,True
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月14日,14:30,22:06,45,7.6,True
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月14日,17:30,23:00,0,5.5,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月14日,11:00,17:30,45,6.5,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月14日,10:00,13:06,0,3.1,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月14日,11:00,18:00,45,7.0,False
R003-S20,スタッフR00320,R003_池袋店,アルバイト,1137,2024年01月14日,16:00,20:42,0,4.7,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月15日,20:00,23:06,0,3.1,True
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月15日,14:30,21:30,45,7.0,False
R003-S03,スタッフR00303,R003_池袋店,アルバイト,1138,2024年01月15日,18:30,01:18,45,6.8,True
R003-S05,スタッフR00305,R003_池袋店,アルバイト,1107,2024年01月15日,16:00,23:12,45,7.2,True
R003-S07,スタッフR00307,R003_池袋店,アルバイト,1166,2024年01月15日,20:30,04:06,45,7.6,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月15日,11:00,16:24,0,5.4,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月15日,18:30,23:48,0,5.3,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月15日,21:00,04:12,45,7.2,True
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月15日,21:30,03:18,0,5.8,True
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月15日,15:30,18:48,0,3.3,False
R003-S15,スタッフR00315,R003_池袋店,アルバイト,1077,2024年01月15日,15:30,21:36,45,6.1,False
R003-S16,スタッフR00316,R003_池袋店,パート,1243,2024年01月15日,19:30,23:24,0,3.9,True
R003-S17,スタッフR00317,R003_池袋店,社員,1837,2024年01月15日,10:30,17:00,45,6.5,False
R003-S18,スタッフR00318,R003_池袋店,アルバイト,1178,2024年01月15日,11:30,18:54,45,7.4,False
R003-S19,スタッフR00319,R003_池袋店,パート,1175,2024年01月15日,14:00,19:36,0,5.6,False
R003-S01,スタッフR00301,R003_池袋店,パート,1249,2024年01月16日,10:00,17:36,45,7.6,False
R003-S02,スタッフR00302,R003_池袋店,アルバイト,1139,2024年01月16日,10:30,18:00,45,7.5,False
R003-S04,スタッフR00304,R003_池袋店,アルバイト,1120,2024年01月16日,17:30,00:24,45,6.9,True
R003-S06,スタッフR00306,R003_池袋店,アルバイト,1099,2024年01月16日,18:00,22:00,0,4.0,True
R003-S08,スタッフR00308,R003_池袋店,社員,2006,2024年01月16日,11:00,14:00,0,3.0,False
R003-S09,スタッフR00309,R003_池袋店,アルバイト,1197,2024年01月16日,20:00,00:42,0,4.7,True
R003-S10,スタッフR00310,R003_池袋店,アルバイト,1051,2024年01月16日,11:30,14:36,0,3.1,False
R003-S11,スタッフR00311,R003_池袋店,アルバイト,1116,2024年01月16日,20:00,00:36,0,4.6,True
R003-S13,スタッフR00313,R003_池袋店,アルバイト,1154,2024年01月16日,15:30,21:54,45,6.4,False
R003-S14,スタッフR00314,R003_池袋店,アルバイト,1179,2024年01月16日,12:30,16:06,0,3.6,False
