checkin_date,reserv_no,room_type,guest_count,nights,room_rate,status,cancel_reason,total_revenue,is_cancel,loss_revenue,revenue_per_guest,source_file
2024-01-02,RES-0069,ツイン,1,3,26000,宿泊済み,,78000,0,0,78000.0,styleA
2024-01-04,RES-0070,ダブル,2,2,39000,ノーショウ,料金が高い,0,1,78000,0.0,styleA
2024-01-06,RES-0071,スイート,2,2,50000,キャンセル,他のホテルに変更,0,1,100000,0.0,styleA
2024-01-14,RES-0072,シングル,2,3,20000,宿泊済み,,60000,0,0,30000.0,styleA
2024-01-13,RES-0073,ツイン,3,2,18000,宿泊済み,,36000,0,0,12000.0,styleA
2024-01-15,RES-0074,シングル,4,2,11000,キャンセル,料金が高い,0,1,22000,0.0,styleA
2024-01-07,RES-0075,ダブル,2,2,18000,宿泊済み,,36000,0,0,18000.0,styleA
2024-01-09,RES-0076,スイート,3,3,44000,宿泊済み,,132000,0,0,44000.0,styleA
2024-01-01,RES-0077,ダブル,4,5,28000,キャンセル,予定変更,0,1,140000,0.0,styleA
2024-01-02,RES-0078,ダブル,2,5,26000,宿泊済み,,130000,0,0,65000.0,styleA
2024-01-11,RES-0079,シングル,4,3,19000,宿泊済み,,57000,0,0,14250.0,styleA
2024-01-07,RES-0080,スイート,1,4,76000,宿泊済み,,304000,0,0,304000.0,styleA
2024-01-17,RES-0081,ダブル,1,4,18000,キャンセル,天候不良,0,1,72000,0.0,styleA
2024-01-11,RES-0082,ツイン,3,4,17000,宿泊済み,,68000,0,0,22666.666666666668,styleA
2024-01-10,RES-0083,ダブル,1,3,34000,宿泊済み,,102000,0,0,102000.0,styleA
2024-01-18,RES-0084,スイート,3,4,58000,宿泊済み,,232000,0,0,77333.33333333333,styleA
2024-01-06,RES-0085,ツイン,2,4,27000,宿泊済み,,108000,0,0,54000.0,styleA
2024-01-10,RES-0086,ダブル,4,5,18000,宿泊済み,,90000,0,0,22500.0,styleA
2024-01-20,RES-0087,ダブル,2,4,36000,宿泊済み,,144000,0,0,72000.0,styleA
2024-01-07,RES-0088,ダブル,4,4,32000,宿泊済み,,128000,0,0,32000.0,styleA
2024-01-17,RES-0089,スイート,2,1,58000,キャンセル,天候不良,0,1,58000,0.0,styleA
2024-01-10,RES-0090,ダブル,1,2,39000,宿泊済み,,78000,0,0,78000.0,styleA
2024-01-02,RES-0091,ツイン,2,2,15000,宿泊済み,,30000,0,0,15000.0,styleA
2024-01-15,RES-0092,ツイン,4,5,17000,宿泊済み,,85000,0,0,21250.0,styleA
2024-01-13,RES-0093,スイート,2,4,71000,キャンセル,体調不良,0,1,284000,0.0,styleA
2024-01-08,RES-0094,ツイン,1,1,28000,宿泊済み,,28000,0,0,28000.0,styleA
2024-01-08,RES-0095,ツイン,4,1,32000,キャンセル,予定変更,0,1,32000,0.0,styleA
2024-01-18,RES-0096,スイート,2,4,73000,宿泊済み,,292000,0,0,146000.0,styleA
2024-01-14,RES-0097,ダブル,4,5,34000,宿泊済み,,170000,0,0,42500.0,styleA
2024-01-09,RES-0098,スイート,2,4,68000,宿泊済み,,272000,0,0,136000.0,styleA
2024-01-08,RES-0099,ツイン,3,5,30000,宿泊済み,,150000,0,0,50000.0,styleA
2024-01-10,RES-0100,ダブル,4,1,40000,宿泊済み,,40000,0,0,10000.0,styleA
2024-01-18,RES-0101,ツイン,3,3,25000,宿泊済み,,75000,0,0,25000.0,styleA
2024-01-13,RES-0102,シングル,2,2,11000,宿泊済み,,22000,0,0,11000.0,styleA
2024-01-14,RES-0103,ツイン,2,1,28000,宿泊済み,,28000,0,0,14000.0,styleA
2024-01-07,RES-0104,ダブル,4,4,19000,宿泊済み,,76000,0,0,19000.0,styleA
2024-01-19,RES-0105,スイート,4,5,41000,キャンセル,他のホテルに変更,0,1,205000,0.0,styleA
2024-01-13,RES-0106,スイート,1,3,59000,宿泊済み,,177000,0,0,177000.0,styleA
2024-01-09,RES-0107,スイート,2,4,54000,宿泊済み,,216000,0,0,108000.0,styleA
2024-01-11,RES-0108,スイート,4,1,64000,キャンセル,他のホテルに変更,0,1,64000,0.0,styleA
2024-01-18,RES-0109,ツイン,4,2,34000,宿泊済み,,68000,0,0,17000.0,styleA
2024-01-01,RES-0110,シングル,4,5,17000,宿泊済み,,85000,0,0,21250.0,styleA
2024-01-06,RES-0111,シングル,4,2,15000,宿泊済み,,30000,0,0,7500.0,styleA
2024-01-07,RES-0112,シングル,3,4,13000,宿泊済み,,52000,0,0,17333.333333333332,styleA
2024-01-09,RES-0113,スイート,3,3,64000,キャンセル,他のホテルに変更,0,1,192000,0.0,styleA
2024-01-18,RES-0114,ダブル,1,4,18000,キャンセル,予定変更,0,1,72000,0.0,styleA
2024-01-02,RES-0115,ダブル,2,1,38000,宿泊済み,,38000,0,0,19000.0,styleA
2024-01-20,RES-0116,シングル,2,2,8000,キャンセル,体調不良,0,1,16000,0.0,styleA
2024-01-19,RES-0117,ツイン,2,4,18000,キャンセル,体調不良,0,1,72000,0.0,styleA
2024-01-20,RES-0118,スイート,3,3,50000,宿泊済み,,150000,0,0,50000.0,styleA
2024-01-19,RES-0119,シングル,2,3,9000,キャンセル,予定変更,0,1,27000,0.0,styleA
2024-01-07,RES-0120,ダブル,4,4,40000,宿泊済み,,160000,0,0,40000.0,styleA
2024-01-10,RES-0121,シングル,2,1,19000,キャンセル,天候不良,0,1,19000,0.0,styleA
2024-01-14,RES-0122,シングル,1,3,16000,キャンセル,料金が高い,0,1,48000,0.0,styleA
2024-01-16,RES-0123,シングル,3,1,14000,宿泊済み,,14000,0,0,4666.666666666667,styleA
2024-01-15,RES-0124,シングル,4,3,18000,宿泊済み,,54000,0,0,13500.0,styleA
2024-01-09,RES-0125,ツイン,4,2,31000,宿泊済み,,62000,0,0,15500.0,styleA
2024-01-09,RES-0126,スイート,4,4,77000,宿泊済み,,308000,0,0,77000.0,styleA
2024-01-15,RES-0127,ダブル,2,1,26000,キャンセル,体調不良,0,1,26000,0.0,styleA
2024-01-16,RES-0128,スイート,4,3,41000,キャンセル,料金が高い,0,1,123000,0.0,styleA
2024-01-09,RES-0129,ツイン,4,2,26000,宿泊済み,,52000,0,0,13000.0,styleA
2024-01-09,RES-0130,ダブル,3,5,40000,宿泊済み,,200000,0,0,66666.66666666667,styleA
2024-01-14,RES-0131,シングル,2,1,11000,宿泊済み,,11000,0,0,5500.0,styleA
2024-01-15,RES-0132,スイート,2,4,71000,宿泊済み,,284000,0,0,142000.0,styleA
2024-01-13,RES-0133,シングル,1,3,11000,宿泊済み,,33000,0,0,33000.0,styleA
2024-01-16,RES-0134,ツイン,3,5,26000,宿泊済み,,130000,0,0,43333.333333333336,styleA
2024-01-12,RES-0135,ダブル,4,5,28000,キャンセル,他のホテルに変更,0,1,140000,0.0,styleA
2024-01-04,RES-0136,ダブル,3,3,25000,宿泊済み,,75000,0,0,25000.0,styleA
2024-01-06,RES-0137,ツイン,3,1,32000,宿泊済み,,32000,0,0,10666.666666666666,styleA
2024-01-19,RES-0138,ツイン,2,4,23000,宿泊済み,,92000,0,0,46000.0,styleA
2024-01-08,RES-0139,ダブル,1,2,27000,宿泊済み,,54000,0,0,54000.0,styleA
2024-01-18,RES-0140,ダブル,2,3,18000,ノーショウ,体調不良,0,1,54000,0.0,styleA
2024-01-10,RES-0141,ダブル,1,1,35000,ノーショウ,体調不良,0,1,35000,0.0,styleA
2024-01-10,RES-0142,スイート,1,1,76000,宿泊済み,,76000,0,0,76000.0,styleA
2024-01-06,RES-0143,スイート,4,4,61000,宿泊済み,,244000,0,0,61000.0,styleA
2024-01-03,RES-0144,シングル,3,4,9000,宿泊済み,,36000,0,0,12000.0,styleA
2024-01-02,RES-0145,スイート,4,1,76000,宿泊済み,,76000,0,0,19000.0,styleA
2024-01-03,RES-0146,ツイン,2,5,24000,宿泊済み,,120000,0,0,60000.0,styleA
2024-01-20,RES-0147,ツイン,1,5,28000,宿泊済み,,140000,0,0,140000.0,styleA
2024-01-10,RES-0148,ツイン,4,4,29000,宿泊済み,,116000,0,0,29000.0,styleA
2024-01-02,RES-0149,スイート,3,5,79000,宿泊済み,,395000,0,0,131666.66666666666,styleA
2024-01-03,RES-0150,シングル,2,2,12000,宿泊済み,,24000,0,0,12000.0,styleA
2024-01-03,RES-0151,ツイン,2,2,32000,キャンセル,体調不良,0,1,64000,0.0,styleA
2024-01-20,RES-0152,シングル,4,4,19000,宿泊済み,,76000,0,0,19000.0,styleA
2024-01-10,RES-0153,スイート,3,1,54000,宿泊済み,,54000,0,0,18000.0,styleA
2024-01-08,RES-0154,ダブル,4,1,39000,宿泊済み,,39000,0,0,9750.0,styleA
2024-01-18,RES-0155,ダブル,2,4,21000,ノーショウ,体調不良,0,1,84000,0.0,styleA
2024-01-02,RES-0156,ツイン,3,2,17000,宿泊済み,,34000,0,0,11333.333333333334,styleA
2024-01-10,RES-0157,ツイン,3,5,33000,宿泊済み,,165000,0,0,55000.0,styleA
2024-01-13,RES-0158,スイート,1,4,59000,キャンセル,料金が高い,0,1,236000,0.0,styleA
2024-01-02,RES-0159,スイート,4,1,78000,宿泊済み,,78000,0,0,19500.0,styleA
2024-01-01,RES-0160,スイート,3,5,56000,宿泊済み,,280000,0,0,93333.33333333333,styleA
2024-01-01,RES-0161,シングル,2,5,17000,宿泊済み,,85000,0,0,42500.0,styleB
2024-01-17,RES-0162,ダブル,1,2,33000,宿泊済み,,66000,0,0,66000.0,styleB
2024-01-14,RES-0163,スイート,3,2,77000,宿泊済み,,154000,0,0,51333.333333333336,styleB
2024-01-14,RES-0164,スイート,1,4,62000,宿泊済み,,248000,0,0,248000.0,styleB
2024-01-11,RES-0165,ダブル,3,1,23000,宿泊済み,,23000,0,0,7666.666666666667,styleB
2024-01-18,RES-0166,スイート,4,3,65000,キャンセル,Schedule change,0,1,195000,0.0,styleB
2024-01-11,RES-0167,スイート,1,3,56000,宿泊済み,,168000,0,0,168000.0,styleB
2024-01-18,RES-0168,シングル,4,5,8000,宿泊済み,,40000,0,0,10000.0,styleB
2024-01-17,RES-0169,スイート,4,1,52000,宿泊済み,,52000,0,0,13000.0,styleB
2024-01-07,RES-0170,ダブル,4,4,19000,宿泊済み,,76000,0,0,19000.0,styleB
2024-01-16,RES-0171,ダブル,2,3,32000,宿泊済み,,96000,0,0,48000.0,styleB
2024-01-08,RES-0172,シングル,1,5,20000,宿泊済み,,100000,0,0,100000.0,styleB
2024-01-18,RES-0173,ツイン,3,5,15000,宿泊済み,,75000,0,0,25000.0,styleB
2024-01-15,RES-0174,スイート,1,2,47000,宿泊済み,,94000,0,0,94000.0,styleB
2024-01-10,RES-0175,シングル,2,4,19000,宿泊済み,,76000,0,0,38000.0,styleB
2024-01-08,RES-0176,ダブル,4,4,33000,宿泊済み,,132000,0,0,33000.0,styleB
2024-01-20,RES-0177,スイート,2,4,52000,宿泊済み,,208000,0,0,104000.0,styleB
2024-01-11,RES-0178,ツイン,1,3,28000,宿泊済み,,84000,0,0,84000.0,styleB
2024-01-19,RES-0179,ダブル,1,3,27000,キャンセル,Bad weather,0,1,81000,0.0,styleB
2024-01-16,RES-0180,スイート,2,4,74000,宿泊済み,,296000,0,0,148000.0,styleB
2024-01-13,RES-0181,ダブル,3,5,35000,宿泊済み,,175000,0,0,58333.333333333336,styleB
2024-01-19,RES-0182,スイート,3,2,55000,宿泊済み,,110000,0,0,36666.666666666664,styleB
2024-01-11,RES-0183,スイート,2,4,42000,キャンセル,Changed hotel,0,1,168000,0.0,styleB
2024-01-02,RES-0184,スイート,4,2,71000,キャンセル,Illness,0,1,142000,0.0,styleB
2024-01-17,RES-0185,ダブル,1,4,21000,宿泊済み,,84000,0,0,84000.0,styleB
2024-01-05,RES-0186,スイート,1,2,66000,宿泊済み,,132000,0,0,132000.0,styleB
2024-01-20,RES-0187,シングル,4,3,13000,キャンセル,Changed hotel,0,1,39000,0.0,styleB
2024-01-11,RES-0188,シングル,3,5,14000,宿泊済み,,70000,0,0,23333.333333333332,styleB
2024-01-08,RES-0189,スイート,1,5,44000,宿泊済み,,220000,0,0,220000.0,styleB
2024-01-04,RES-0190,ダブル,2,1,31000,宿泊済み,,31000,0,0,15500.0,styleB
2024-01-10,RES-0191,シングル,4,2,19000,宿泊済み,,38000,0,0,9500.0,styleB
2024-01-02,RES-0192,シングル,1,3,20000,キャンセル,Price too high,0,1,60000,0.0,styleB
2024-01-08,RES-0193,ダブル,3,4,22000,キャンセル,Bad weather,0,1,88000,0.0,styleB
2024-01-03,RES-0194,スイート,2,2,51000,宿泊済み,,102000,0,0,51000.0,styleB
2024-01-05,RES-0195,スイート,2,4,77000,宿泊済み,,308000,0,0,154000.0,styleB
2024-01-09,RES-0196,ツイン,4,3,29000,宿泊済み,,87000,0,0,21750.0,styleB
2024-01-18,RES-0197,シングル,4,3,18000,宿泊済み,,54000,0,0,13500.0,styleB
2024-01-19,RES-0198,ツイン,1,4,26000,キャンセル,Price too high,0,1,104000,0.0,styleB
2024-01-07,RES-0199,スイート,3,4,59000,キャンセル,Changed hotel,0,1,236000,0.0,styleB
2024-01-19,RES-0200,スイート,1,2,64000,キャンセル,Price too high,0,1,128000,0.0,styleB
2024-01-13,RES-0201,ダブル,3,1,39000,宿泊済み,,39000,0,0,13000.0,styleB
2024-01-02,RES-0202,ダブル,1,5,39000,宿泊済み,,195000,0,0,195000.0,styleB
2024-01-12,RES-0203,スイート,3,2,78000,宿泊済み,,156000,0,0,52000.0,styleB
2024-01-05,RES-0204,ツイン,2,5,23000,キャンセル,Schedule change,0,1,115000,0.0,styleB
2024-01-19,RES-0205,シングル,3,4,8000,宿泊済み,,32000,0,0,10666.666666666666,styleB
2024-01-11,RES-0206,ダブル,2,1,27000,宿泊済み,,27000,0,0,13500.0,styleB
2024-01-18,RES-0207,スイート,2,2,48000,宿泊済み,,96000,0,0,48000.0,styleB
2024-01-16,RES-0208,ダブル,3,2,26000,宿泊済み,,52000,0,0,17333.333333333332,styleB
2024-01-03,RES-0209,ダブル,3,1,32000,宿泊済み,,32000,0,0,10666.666666666666,styleB
2024-01-12,RES-0210,ツイン,2,4,32000,宿泊済み,,128000,0,0,64000.0,styleB
2024-01-18,RES-0211,シングル,4,1,12000,宿泊済み,,12000,0,0,3000.0,styleB
2024-01-09,RES-0212,シングル,4,3,18000,宿泊済み,,54000,0,0,13500.0,styleB
2024-01-16,RES-0213,スイート,3,1,54000,宿泊済み,,54000,0,0,18000.0,styleB
2024-01-03,RES-0214,シングル,3,5,11000,宿泊済み,,55000,0,0,18333.333333333332,styleB
2024-01-05,RES-0215,スイート,3,4,47000,宿泊済み,,188000,0,0,62666.666666666664,styleB
2024-01-04,RES-0216,シングル,1,3,15000,宿泊済み,,45000,0,0,45000.0,styleB
2024-01-13,RES-0217,シングル,2,5,10000,宿泊済み,,50000,0,0,25000.0,styleB
2024-01-19,RES-0218,スイート,3,5,66000,宿泊済み,,330000,0,0,110000.0,styleB
2024-01-20,RES-0219,ツイン,4,1,30000,宿泊済み,,30000,0,0,7500.0,styleB
2024-01-07,RES-0220,スイート,3,1,63000,キャンセル,Changed hotel,0,1,63000,0.0,styleB
2024-01-12,RES-0221,スイート,2,3,46000,宿泊済み,,138000,0,0,69000.0,styleB
2024-01-07,RES-0222,ダブル,1,4,26000,宿泊済み,,104000,0,0,104000.0,styleB
2024-01-07,RES-0223,シングル,4,1,18000,宿泊済み,,18000,0,0,4500.0,styleB
2024-01-05,RES-0224,シングル,1,3,11000,宿泊済み,,33000,0,0,33000.0,styleB
2024-01-19,RES-0225,ツイン,1,5,21000,宿泊済み,,105000,0,0,105000.0,styleB
2024-01-20,RES-0226,ツイン,2,3,19000,宿泊済み,,57000,0,0,28500.0,styleB
2024-01-18,RES-0227,シングル,3,2,10000,ノーショウ,Price too high,0,1,20000,0.0,styleB
2024-01-01,RES-0228,ツイン,1,1,19000,宿泊済み,,19000,0,0,19000.0,styleB
2024-01-01,RES-0229,ダブル,2,5,28000,キャンセル,Illness,0,1,140000,0.0,styleB
2024-01-17,RES-0230,ダブル,1,2,31000,宿泊済み,,62000,0,0,62000.0,styleB
2024-01-12,RES-0231,シングル,1,4,15000,キャンセル,Bad weather,0,1,60000,0.0,styleB
2024-01-20,RES-0232,シングル,4,5,11000,宿泊済み,,55000,0,0,13750.0,styleB
2024-01-01,RES-0233,シングル,3,4,18000,宿泊済み,,72000,0,0,24000.0,styleB
2024-01-04,RES-0234,シングル,4,4,14000,宿泊済み,,56000,0,0,14000.0,styleB
2024-01-11,RES-0235,スイート,4,1,45000,宿泊済み,,45000,0,0,11250.0,styleB
2024-01-20,RES-0236,ツイン,1,2,23000,宿泊済み,,46000,0,0,46000.0,styleB
2024-01-10,RES-0237,ダブル,4,5,34000,宿泊済み,,170000,0,0,42500.0,styleB
2024-01-18,RES-0238,スイート,4,1,47000,宿泊済み,,47000,0,0,11750.0,styleB
2024-01-14,RES-0239,ツイン,4,4,22000,宿泊済み,,88000,0,0,22000.0,styleB
2024-01-04,RES-0240,ダブル,4,4,31000,宿泊済み,,124000,0,0,31000.0,styleB
2024-01-09,RES-0241,ダブル,4,3,39000,キャンセル,Price too high,0,1,117000,0.0,styleB
2024-01-03,RES-0242,ツイン,4,1,17000,ノーショウ,Schedule change,0,1,17000,0.0,styleB
2024-01-18,RES-0243,スイート,1,3,48000,キャンセル,Schedule change,0,1,144000,0.0,styleB
2024-01-14,RES-0244,ダブル,1,4,29000,宿泊済み,,116000,0,0,116000.0,styleB
2024-01-12,RES-0245,シングル,3,5,12000,宿泊済み,,60000,0,0,20000.0,styleB
2024-01-16,RES-0246,シングル,2,2,18000,キャンセル,Illness,0,1,36000,0.0,styleB
2024-01-04,RES-0247,シングル,3,5,13000,宿泊済み,,65000,0,0,21666.666666666668,styleB
2024-01-20,RES-0248,ダブル,2,4,35000,ノーショウ,Bad weather,0,1,140000,0.0,styleB
2024-01-09,RES-0249,シングル,3,1,10000,ノーショウ,Price too high,0,1,10000,0.0,styleB
2024-01-05,RES-0250,ダブル,3,1,23000,キャンセル,Bad weather,0,1,23000,0.0,styleB
2024-01-01,RES-0251,スイート,1,2,80000,宿泊済み,,160000,0,0,160000.0,styleB
2024-01-15,RES-0252,シングル,2,4,14000,宿泊済み,,56000,0,0,28000.0,styleB
2024-01-11,RES-0253,ダブル,2,3,27000,キャンセル,Bad weather,0,1,81000,0.0,styleB
2024-01-20,RES-0254,シングル,1,2,10000,宿泊済み,,20000,0,0,20000.0,styleB
2024-01-14,RES-0255,シングル,1,3,15000,宿泊済み,,45000,0,0,45000.0,styleB
2024-01-07,RES-0256,スイート,4,4,57000,宿泊済み,,228000,0,0,57000.0,styleB
2024-01-10,RES-0257,シングル,3,4,9000,キャンセル,Bad weather,0,1,36000,0.0,styleB
2024-01-13,RES-0258,スイート,3,1,54000,宿泊済み,,54000,0,0,18000.0,styleB
2024-01-07,RES-0259,シングル,1,2,12000,宿泊済み,,24000,0,0,24000.0,styleB
2024-01-04,RES-0260,ツイン,3,3,25000,宿泊済み,,75000,0,0,25000.0,styleB
2024-01-05,RES-0261,シングル,4,4,10000,宿泊済み,,40000,0,0,10000.0,styleB
2024-01-12,RES-0262,スイート,2,5,75000,ノーショウ,Schedule change,0,1,375000,0.0,styleB
2024-01-15,RES-0263,スイート,1,4,41000,宿泊済み,,164000,0,0,164000.0,styleB
2024-01-19,RES-0264,シングル,3,5,14000,宿泊済み,,70000,0,0,23333.333333333332,styleB
2024-01-13,RES-0265,スイート,4,3,47000,キャンセル,Schedule change,0,1,141000,0.0,styleB
2024-01-12,RES-0266,ダブル,2,5,32000,宿泊済み,,160000,0,0,80000.0,styleB
2024-01-14,RES-0267,シングル,4,1,11000,宿泊済み,,11000,0,0,2750.0,styleB
2024-01-11,RES-0268,スイート,1,4,59000,宿泊済み,,236000,0,0,236000.0,styleB
2024-01-17,RES-0269,ツイン,3,2,17000,宿泊済み,,34000,0,0,11333.333333333334,styleB
2024-01-05,RES-0270,シングル,2,3,13000,宿泊済み,,39000,0,0,19500.0,styleB
2024-01-07,RES-0271,ツイン,1,2,23000,キャンセル,Illness,0,1,46000,0.0,styleB
2024-01-16,RES-0272,ツイン,1,2,35000,キャンセル,Changed hotel,0,1,70000,0.0,styleB
2024-01-15,RES-0273,スイート,3,3,49000,キャンセル,Schedule change,0,1,147000,0.0,styleB
2024-01-19,RES-0274,スイート,4,3,57000,キャンセル,Schedule change,0,1,171000,0.0,styleB
2024-01-15,RES-0275,ダブル,1,3,32000,宿泊済み,,96000,0,0,96000.0,styleB
2024-01-03,RES-0276,シングル,1,3,12000,宿泊済み,,36000,0,0,36000.0,styleB
2024-01-18,RES-0277,シングル,4,4,17000,キャンセル,Schedule change,0,1,68000,0.0,styleB
2024-01-16,RES-0278,スイート,2,3,78000,宿泊済み,,234000,0,0,117000.0,styleB
2024-01-11,RES-0279,ツイン,1,4,18000,宿泊済み,,72000,0,0,72000.0,styleB
