記録日,品目コード,品目名,薬品区分,使用病棟,現在庫,安全在庫,日次使用量,薬価
2024/01/16,MED-004,試薬04号,検査薬,外来,106,26,4.7,36199
2024/01/08,MED-005,材料05号,医療材料,内科病棟,50,29,12.7,6222
2024/01/26,MED-006,錠剤06号,内服薬,外科病棟,206,47,18.9,10205
2024/01/16,MED-007,軟膏07号,外用薬,ICU,1,48,7.4,37037
2024/01/26,MED-008,注射液08号,注射薬,外来,31,15,1.9,42138
2024/01/14,MED-009,試薬09号,検査薬,内科病棟,26,23,15.6,27401
2024/01/07,MED-010,材料10号,医療材料,外科病棟,118,41,17.9,35854
2024/01/04,MED-011,錠剤11号,内服薬,ICU,156,40,5.7,44991
2024/01/04,MED-012,軟膏12号,外用薬,外来,44,14,14.1,10459
2024/01/22,MED-013,注射液13号,注射薬,内科病棟,20,39,4.9,39858
2024/01/14,MED-014,試薬14号,検査薬,外科病棟,59,32,19.5,8669
2024/01/12,MED-015,材料15号,医療材料,ICU,61,30,5.6,8129
2024/01/14,MED-016,錠剤16号,内服薬,外来,72,19,2.8,19119
2024/01/14,MED-017,軟膏17号,外用薬,内科病棟,98,25,19.3,10566
2024/01/15,MED-018,注射液18号,注射薬,外科病棟,95,30,4.6,10542
2024/01/28,MED-019,試薬19号,検査薬,ICU,62,39,10.5,20320
2024/01/24,MED-020,材料20号,医療材料,外来,125,35,10.6,15876
2024/01/02,MED-021,錠剤21号,内服薬,内科病棟,54,13,2.0,32533
2024/01/22,MED-022,軟膏22号,外用薬,外科病棟,150,40,6.4,635
2024/01/21,MED-023,注射液23号,注射薬,ICU,69,18,17.8,47777
2024/01/21,MED-024,試薬24号,検査薬,外来,82,33,1.9,3452
2024/01/04,MED-025,材料25号,医療材料,内科病棟,148,33,11.5,4918
2024/01/02,MED-026,錠剤26号,内服薬,外科病棟,75,45,6.3,40944
2024/01/13,MED-027,軟膏27号,外用薬,ICU,61,18,19.5,25914
2024/01/24,MED-028,注射液28号,注射薬,外来,38,45,18.8,49577
2024/01/11,MED-029,試薬29号,検査薬,内科病棟,8,42,8.6,2738
2024/01/26,MED-030,材料30号,医療材料,外科病棟,108,31,16.3,34134
2024/01/28,MED-031,錠剤31号,内服薬,ICU,142,42,3.7,40278
2024/01/04,MED-032,軟膏32号,外用薬,外来,178,49,15.0,19710
2024/01/08,MED-033,注射液33号,注射薬,内科病棟,163,42,11.1,46547
2024/01/07,MED-034,試薬34号,検査薬,外科病棟,6,11,8.0,44258
2024/01/07,MED-035,材料35号,医療材料,ICU,208,47,6.8,47634
2024/01/18,MED-036,錠剤36号,内服薬,外来,48,11,12.3,17501
2024/01/15,MED-037,軟膏37号,外用薬,内科病棟,89,46,5.3,3465
2024/01/05,MED-038,注射液38号,注射薬,外科病棟,140,43,13.0,40715
2024/01/14,MED-039,試薬39号,検査薬,ICU,3,19,16.6,15972
2024/01/06,MED-040,材料40号,医療材料,外来,74,22,1.4,20658
2024/01/09,MED-041,錠剤41号,内服薬,内科病棟,30,23,8.8,40173
2024/01/15,MED-042,軟膏42号,外用薬,外科病棟,79,18,10.9,36858
2024/01/08,MED-043,注射液43号,注射薬,ICU,179,43,8.2,11449
2024/01/28,MED-044,試薬44号,検査薬,外来,123,31,11.4,44393
2024/01/30,MED-045,材料45号,医療材料,内科病棟,61,26,12.6,12700
2024/01/03,MED-046,錠剤46号,内服薬,外科病棟,225,45,6.7,19604
2024/01/15,MED-047,軟膏47号,外用薬,ICU,67,23,14.1,32147
2024/01/26,MED-048,注射液48号,注射薬,外来,76,45,18.7,47394
2024/01/28,MED-049,試薬49号,検査薬,内科病棟,147,46,13.9,24983
2024/01/28,MED-050,材料50号,医療材料,外科病棟,105,32,19.1,9699
2024/01/18,MED-001,錠剤01号,内服薬,ICU,62,15,7.6,29091
2024/01/04,MED-002,軟膏02号,外用薬,外来,183,40,5.1,35396
2024/01/02,MED-003,注射液03号,注射薬,内科病棟,57,27,3.6,40449
2024/01/21,MED-004,試薬04号,検査薬,外科病棟,54,25,2.0,34902
2024/01/18,MED-005,材料05号,医療材料,ICU,19,13,2.9,21746
2024/01/27,MED-006,錠剤06号,内服薬,外来,38,18,1.1,36167
2024/01/01,MED-007,軟膏07号,外用薬,内科病棟,87,36,13.4,31275
2024/01/03,MED-008,注射液08号,注射薬,外科病棟,24,28,7.1,42429
2024/01/30,MED-009,試薬09号,検査薬,ICU,61,15,13.4,15318
2024/01/25,MED-010,材料10号,医療材料,外来,23,12,18.4,11573
2024/01/28,MED-011,錠剤11号,内服薬,内科病棟,23,12,19.9,26117
2024/01/08,MED-012,軟膏12号,外用薬,外科病棟,105,28,17.7,707
2024/01/06,MED-013,注射液13号,注射薬,ICU,79,16,18.6,22057
2024/01/14,MED-014,試薬14号,検査薬,外来,32,18,17.2,30772
2024/01/16,MED-015,材料15号,医療材料,内科病棟,122,31,4.1,30175
2024/01/16,MED-016,錠剤16号,内服薬,外科病棟,93,21,1.3,22192
2024/01/07,MED-017,軟膏17号,外用薬,ICU,76,22,4.3,41959
2024/01/28,MED-018,注射液18号,注射薬,外来,89,42,7.2,26369
2024/01/13,MED-019,試薬19号,検査薬,内科病棟,12,18,10.1,16356
2024/01/29,MED-020,材料20号,医療材料,外科病棟,63,25,9.5,17597
