集計日,薬品コード,薬品名,カテゴリ,病棟,在庫数量,最低在庫数,1日平均使用量,単価
2024/01/22,MED-033,注射液33号,注射薬,ICU,215,46,15.9,22854
2024/01/08,MED-034,試薬34号,検査薬,外来,140,33,2.3,42537
2024/01/25,MED-035,材料35号,医療材料,内科病棟,158,41,3.0,23836
2024/01/10,MED-036,錠剤36号,内服薬,外科病棟,53,19,9.3,48190
2024/01/03,MED-037,軟膏37号,外用薬,ICU,168,49,16.4,35369
2024/01/28,MED-038,注射液38号,注射薬,外来,99,37,16.7,38928
2024/01/08,MED-039,試薬39号,検査薬,内科病棟,44,15,6.3,29643
2024/01/28,MED-040,材料40号,医療材料,外科病棟,172,46,12.6,24937
2024/01/04,MED-041,錠剤41号,内服薬,ICU,63,30,4.5,14001
2024/01/13,MED-042,軟膏42号,外用薬,外来,66,31,6.3,39169
2024/01/09,MED-043,注射液43号,注射薬,内科病棟,26,45,1.2,12621
2024/01/15,MED-044,試薬44号,検査薬,外科病棟,166,41,11.5,15849
2024/01/21,MED-045,材料45号,医療材料,ICU,141,38,16.1,6198
2024/01/27,MED-046,錠剤46号,内服薬,外来,95,25,6.8,38212
2024/01/12,MED-047,軟膏47号,外用薬,内科病棟,133,43,7.5,48985
2024/01/06,MED-048,注射液48号,注射薬,外科病棟,88,39,6.1,16575
2024/01/12,MED-049,試薬49号,検査薬,ICU,118,30,3.3,35218
2024/01/12,MED-050,材料50号,医療材料,外来,96,21,4.6,48505
2024/01/07,MED-001,錠剤01号,内服薬,内科病棟,118,43,12.3,6688
2024/01/22,MED-002,軟膏02号,外用薬,外科病棟,17,24,7.9,19909
2024/01/09,MED-003,注射液03号,注射薬,ICU,34,18,6.2,3673
2024/01/23,MED-004,試薬04号,検査薬,外来,0,50,17.5,32270
2024/01/30,MED-005,材料05号,医療材料,内科病棟,93,46,6.4,31473
2024/01/22,MED-006,錠剤06号,内服薬,外科病棟,1,13,5.8,31408
2024/01/21,MED-007,軟膏07号,外用薬,ICU,48,35,10.3,37915
2024/01/03,MED-008,注射液08号,注射薬,外来,29,19,3.8,36986
2024/01/20,MED-009,試薬09号,検査薬,内科病棟,104,25,3.3,27374
2024/01/21,MED-010,材料10号,医療材料,外科病棟,80,24,15.7,25028
2024/01/06,MED-011,錠剤11号,内服薬,ICU,108,29,17.3,28203
2024/01/18,MED-012,軟膏12号,外用薬,外来,12,13,12.6,48602
2024/01/24,MED-013,注射液13号,注射薬,内科病棟,43,23,12.9,17443
2024/01/08,MED-014,試薬14号,検査薬,外科病棟,77,25,4.3,5019
2024/01/06,MED-015,材料15号,医療材料,ICU,97,38,14.1,30896
2024/01/15,MED-016,錠剤16号,内服薬,外来,37,28,14.4,46170
2024/01/13,MED-017,軟膏17号,外用薬,内科病棟,49,24,18.6,41063
2024/01/09,MED-018,注射液18号,注射薬,外科病棟,105,37,3.2,14833
2024/01/30,MED-019,試薬19号,検査薬,ICU,95,19,2.4,10973
2024/01/21,MED-020,材料20号,医療材料,外来,44,46,18.5,28880
2024/01/23,MED-021,錠剤21号,内服薬,内科病棟,92,29,14.3,17941
2024/01/18,MED-022,軟膏22号,外用薬,外科病棟,120,38,2.5,2712
2024/01/08,MED-023,注射液23号,注射薬,ICU,220,48,5.8,6085
2024/01/22,MED-024,試薬24号,検査薬,外来,218,46,12.2,1459
2024/01/11,MED-025,材料25号,医療材料,内科病棟,93,27,11.9,49662
2024/01/27,MED-026,錠剤26号,内服薬,外科病棟,149,38,18.4,11994
2024/01/25,MED-027,軟膏27号,外用薬,ICU,154,50,16.5,6079
2024/01/25,MED-028,注射液28号,注射薬,外来,73,31,7.1,6955
2024/01/02,MED-029,試薬29号,検査薬,内科病棟,138,36,14.2,18988
2024/01/08,MED-030,材料30号,医療材料,外科病棟,127,45,1.7,5871
2024/01/27,MED-031,錠剤31号,内服薬,ICU,17,17,19.4,26588
2024/01/02,MED-032,軟膏32号,外用薬,外来,136,44,9.8,3652
2024/01/26,MED-033,注射液33号,注射薬,内科病棟,62,49,15.4,41086
2024/01/11,MED-034,試薬34号,検査薬,外科病棟,79,23,6.1,8686
2024/01/13,MED-035,材料35号,医療材料,ICU,102,41,3.3,41389
2024/01/09,MED-036,錠剤36号,内服薬,外来,31,20,6.9,996
2024/01/03,MED-037,軟膏37号,外用薬,内科病棟,39,24,19.9,7535
2024/01/07,MED-038,注射液38号,注射薬,外科病棟,53,19,10.5,47063
2024/01/30,MED-039,試薬39号,検査薬,ICU,177,36,16.9,31047
2024/01/31,MED-040,材料40号,医療材料,外来,36,19,8.3,39380
2024/01/19,MED-041,錠剤41号,内服薬,内科病棟,64,14,6.2,27293
2024/01/29,MED-042,軟膏42号,外用薬,外科病棟,118,42,6.1,268
2024/01/23,MED-043,注射液43号,注射薬,ICU,85,47,12.0,43349
2024/01/11,MED-044,試薬44号,検査薬,外来,177,38,11.2,22718
2024/01/07,MED-045,材料45号,医療材料,内科病棟,95,34,9.7,21188
2024/01/21,MED-046,錠剤46号,内服薬,外科病棟,30,46,8.3,27020
2024/01/16,MED-047,軟膏47号,外用薬,ICU,72,34,8.3,43595
2024/01/13,MED-048,注射液48号,注射薬,外来,192,41,19.3,8373
2024/01/29,MED-049,試薬49号,検査薬,内科病棟,29,31,17.5,28955
2024/01/30,MED-050,材料50号,医療材料,外科病棟,78,39,1.3,9547
2024/01/21,MED-001,錠剤01号,内服薬,ICU,58,14,9.9,17468
2024/01/15,MED-002,軟膏02号,外用薬,外来,171,35,13.3,21632
2024/01/05,MED-003,注射液03号,注射薬,内科病棟,158,34,19.1,41177
2024/01/09,MED-004,試薬04号,検査薬,外科病棟,219,44,1.7,4584
2024/01/05,MED-005,材料05号,医療材料,ICU,3,28,20.0,49040
2024/01/08,MED-006,錠剤06号,内服薬,外来,227,50,14.4,6686
2024/01/24,MED-007,軟膏07号,外用薬,内科病棟,36,29,18.2,3114
2024/01/18,MED-008,注射液08号,注射薬,外科病棟,16,28,7.8,28325
2024/01/18,MED-009,試薬09号,検査薬,ICU,56,36,11.8,11900
2024/01/09,MED-010,材料10号,医療材料,外来,176,49,17.5,40713
