日時,設備ID,設備名,温度(°C),振動(mm/s),圧力(MPa),回転数(rpm),稼働状態
2024/01/13 20:00,E-001,旋盤機A,74.84,1.391,1.051,1527.3,1
2024/01/13 21:00,E-001,旋盤機A,70.16,1.584,1.101,1510.1,1
2024/01/13 22:00,E-001,旋盤機A,72.12,0.919,1.167,1470.5,1
2024/01/13 23:00,E-001,旋盤機A,62.79,1.482,1.108,1479.2,1
2024/01/14 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 06:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 07:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 08:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 09:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 10:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 11:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 12:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 13:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 14:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 15:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 16:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 17:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 18:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 19:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 20:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 21:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 22:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/14 23:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/15 00:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/15 01:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/15 02:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/15 03:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/15 04:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
2024/01/15 05:00,E-001,旋盤機A,0.0,0.0,0.0,0.0,0
