申込番号,年齢,職種,収入,勤務年数,負債額,延滞数,借入希望額,用途
APP-00410,67,非正規,297,10,89,0,836,医療費
APP-00411,22,個人事業,1130,1,548,0,2863,住宅購入
APP-00412,46,無職,16,0,4,1,63,事業資金
APP-00413,47,官公庁,673,26,25,0,712,その他
APP-00414,41,正社員,526,11,107,0,566,カーローン
APP-00415,54,個人事業,572,8,101,0,902,生活費
APP-00416,44,非正規,193,15,98,0,380,住宅購入
APP-00417,32,官公庁,412,10,28,0,1184,医療費
APP-00418,48,個人事業,323,26,120,0,423,カーローン
APP-00419,60,官公庁,671,37,81,0,1424,医療費
APP-00420,54,非正規,298,16,29,0,541,医療費
APP-00421,47,無職,44,0,0,1,154,住宅購入
APP-00422,23,官公庁,683,0,32,0,2824,医療費
APP-00423,38,正社員,475,4,53,0,498,住宅購入
APP-00424,38,無職,32,0,0,0,59,生活費
APP-00425,58,官公庁,579,37,107,0,2322,事業資金
APP-00426,66,個人事業,514,1,196,2,2000,医療費
APP-00427,58,正社員,671,30,62,1,3113,医療費
APP-00428,43,無職,9,0,5,0,50,医療費
APP-00429,58,非正規,247,30,89,1,941,教育資金
APP-00430,68,官公庁,524,34,46,0,159,教育資金
APP-00431,40,無職,4,0,0,2,50,カーローン
APP-00432,57,無職,41,0,9,1,168,事業資金
APP-00433,51,官公庁,569,17,93,0,1205,事業資金
APP-00434,68,非正規,101,31,58,1,471,教育資金
APP-00435,48,個人事業,369,6,107,0,1518,カーローン
APP-00436,66,正社員,773,4,130,0,1042,教育資金
APP-00437,38,正社員,619,3,12,0,2534,生活費
APP-00438,34,官公庁,420,9,9,0,585,カーローン
APP-00439,34,無職,32,0,16,1,101,事業資金
APP-00440,56,正社員,396,25,54,1,1979,事業資金
APP-00441,66,非正規,284,3,19,2,496,教育資金
APP-00442,54,官公庁,535,25,20,0,1142,生活費
APP-00443,34,無職,61,0,2,1,67,教育資金
APP-00444,53,個人事業,645,3,306,1,1599,その他
APP-00445,62,正社員,494,37,79,0,941,住宅購入
APP-00446,24,無職,54,0,18,0,106,住宅購入
APP-00447,34,非正規,161,8,37,0,573,生活費
APP-00448,69,個人事業,971,0,285,1,1870,医療費
APP-00449,65,正社員,760,31,13,0,3763,医療費
APP-00450,47,非正規,297,21,16,0,707,住宅購入
APP-00451,28,正社員,666,6,101,0,2785,住宅購入
APP-00452,50,無職,61,0,41,2,75,医療費
APP-00453,56,個人事業,416,5,134,0,1796,カーローン
APP-00454,31,正社員,753,3,158,0,2619,医療費
APP-00455,45,正社員,749,17,44,0,2873,教育資金
APP-00456,68,正社員,424,28,77,0,1305,カーローン
APP-00457,55,官公庁,411,2,3,0,1510,教育資金
APP-00458,57,無職,31,0,13,1,129,住宅購入
APP-00459,37,正社員,703,8,90,0,2243,カーローン
APP-00460,51,無職,7,0,2,0,50,教育資金
APP-00461,38,非正規,129,5,13,1,416,教育資金
APP-00462,62,無職,6,0,2,0,50,カーローン
APP-00463,34,官公庁,519,13,21,0,388,生活費
APP-00464,42,個人事業,697,18,131,1,2043,その他
APP-00465,42,非正規,119,15,61,0,352,医療費
APP-00466,53,個人事業,269,10,9,1,270,事業資金
APP-00467,56,正社員,350,2,90,0,178,教育資金
APP-00468,36,正社員,360,14,92,0,148,医療費
APP-00469,48,個人事業,967,11,384,0,184,その他
APP-00470,64,個人事業,1189,16,493,0,935,事業資金
APP-00471,44,官公庁,429,21,57,0,1648,医療費
APP-00472,61,官公庁,525,2,54,0,993,住宅購入
APP-00473,37,個人事業,896,5,112,0,230,事業資金
APP-00474,60,正社員,742,8,29,0,2253,その他
APP-00475,62,無職,43,0,0,0,74,医療費
APP-00476,58,官公庁,453,37,4,0,286,教育資金
APP-00477,62,正社員,616,13,66,0,2340,事業資金
APP-00478,50,官公庁,459,29,23,0,1181,住宅購入
APP-00479,40,正社員,599,12,142,0,1806,カーローン
APP-00480,64,個人事業,589,32,72,0,2210,教育資金
APP-00481,63,官公庁,498,21,67,1,2323,住宅購入
APP-00482,47,正社員,763,13,24,0,3727,住宅購入
APP-00483,28,個人事業,267,6,16,0,1246,事業資金
APP-00484,58,非正規,267,3,144,1,121,医療費
APP-00485,62,非正規,226,10,112,1,867,カーローン
APP-00486,37,個人事業,1121,11,536,0,1108,教育資金
APP-00487,41,非正規,187,14,111,0,719,教育資金
APP-00488,31,正社員,660,5,95,0,238,医療費
APP-00489,45,正社員,531,21,93,0,1568,カーローン
APP-00490,56,非正規,137,23,64,1,65,事業資金
APP-00491,59,非正規,120,4,37,2,200,教育資金
APP-00492,50,官公庁,454,6,66,0,893,カーローン
APP-00493,68,個人事業,791,11,176,1,1372,事業資金
APP-00494,46,官公庁,479,9,4,0,931,事業資金
APP-00495,29,正社員,518,8,78,0,2448,その他
APP-00496,27,無職,3,0,1,2,50,教育資金
APP-00497,66,無職,95,0,34,0,460,医療費
APP-00498,66,無職,52,0,25,0,206,生活費
APP-00499,54,無職,3,0,1,2,50,教育資金
APP-00500,24,無職,65,0,31,1,307,その他
