申込ID,年齢,職業,年収(万円),勤続年数(年),負債総額(万円),過去延滞回数,申込金額(万円),申込用途
APP-00185,27,会社員,733,2,161,0,2161,事業資金
APP-00186,39,無職,11,0,7,0,53,医療費
APP-00187,67,パート・アルバイト,181,4,97,0,379,その他
APP-00188,30,公務員,653,6,54,0,627,教育資金
APP-00189,33,会社員,745,9,190,1,2015,その他
APP-00190,56,自営業,448,11,36,2,586,事業資金
APP-00191,46,公務員,484,12,51,0,2006,教育資金
APP-00192,39,自営業,331,6,157,0,251,住宅購入
APP-00193,67,無職,37,0,6,0,124,教育資金
APP-00194,23,無職,15,0,4,1,72,生活費
APP-00195,41,無職,66,0,58,2,102,カーローン
APP-00196,29,無職,68,0,3,0,149,生活費
APP-00197,60,会社員,645,24,145,0,2676,住宅購入
APP-00198,32,公務員,677,6,86,0,1510,事業資金
APP-00199,69,自営業,480,11,14,0,1925,事業資金
APP-00200,42,会社員,418,17,49,1,1339,教育資金
