received_date,ticket_id,category,priority,agent_id,resolution_hours,is_escalated,escalation_reason,satisfaction,is_resolved,speed_grade,cs_level,source_file
2024-01-07,TKT-0077,使い方質問,低,AGT-05,48,0,,5,0,長時間,高満足,tickets_styleA_202401.csv
2024-01-04,TKT-0078,機能不具合,中,AGT-02,4,0,,5,1,迅速,高満足,tickets_styleA_202401.csv
2024-01-13,TKT-0079,使い方質問,低,AGT-04,10,0,,2,1,標準,低満足,tickets_styleA_202401.csv
2024-01-10,TKT-0080,データ移行,高,AGT-01,45,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-11,TKT-0081,ログイン障害,中,AGT-08,14,0,,3,1,標準,普通,tickets_styleA_202401.csv
2024-01-15,TKT-0082,機能不具合,中,AGT-03,67,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-18,TKT-0083,使い方質問,中,AGT-07,35,0,,2,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-03,TKT-0084,請求問い合わせ,中,AGT-04,60,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-16,TKT-0085,請求問い合わせ,高,AGT-08,28,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-20,TKT-0086,請求問い合わせ,低,AGT-01,67,0,,1,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-14,TKT-0087,使い方質問,低,AGT-04,61,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-01,TKT-0088,ログイン障害,中,AGT-04,52,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-12,TKT-0089,使い方質問,低,AGT-06,55,0,,5,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-15,TKT-0090,請求問い合わせ,中,AGT-05,30,1,技術的複雑性,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-18,TKT-0091,機能不具合,高,AGT-04,62,0,,5,0,長時間,高満足,tickets_styleA_202401.csv
2024-01-17,TKT-0092,データ移行,中,AGT-02,25,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-01,TKT-0093,データ移行,高,AGT-05,6,0,,5,1,標準,高満足,tickets_styleA_202401.csv
2024-01-05,TKT-0094,使い方質問,高,AGT-01,37,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-02,TKT-0095,請求問い合わせ,中,AGT-02,9,0,,1,1,標準,低満足,tickets_styleA_202401.csv
2024-01-02,TKT-0096,機能不具合,高,AGT-05,11,0,,1,1,標準,低満足,tickets_styleA_202401.csv
2024-01-14,TKT-0097,データ移行,低,AGT-04,67,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-19,TKT-0098,使い方質問,中,AGT-01,13,0,,2,1,標準,低満足,tickets_styleA_202401.csv
2024-01-09,TKT-0099,ログイン障害,高,AGT-04,23,0,,2,1,標準,低満足,tickets_styleA_202401.csv
2024-01-15,TKT-0100,データ移行,中,AGT-05,5,0,,3,1,標準,普通,tickets_styleA_202401.csv
2024-01-15,TKT-0101,ログイン障害,低,AGT-04,34,0,,5,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-07,TKT-0102,使い方質問,高,AGT-04,20,0,,2,1,標準,低満足,tickets_styleA_202401.csv
2024-01-06,TKT-0103,請求問い合わせ,低,AGT-05,57,1,権限不足,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-09,TKT-0104,データ移行,低,AGT-08,57,1,技術的複雑性,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-20,TKT-0105,請求問い合わせ,高,AGT-02,30,0,,5,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-01,TKT-0106,請求問い合わせ,低,AGT-01,23,0,,4,0,標準,高満足,tickets_styleA_202401.csv
2024-01-06,TKT-0107,データ移行,中,AGT-08,12,0,,4,1,標準,高満足,tickets_styleA_202401.csv
2024-01-04,TKT-0108,機能不具合,中,AGT-07,64,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-18,TKT-0109,ログイン障害,中,AGT-02,41,0,,1,0,長時間,低満足,tickets_styleA_202401.csv
2024-01-13,TKT-0110,データ移行,高,AGT-08,53,1,権限不足,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-16,TKT-0111,使い方質問,高,AGT-04,35,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-16,TKT-0112,ログイン障害,高,AGT-04,21,0,,1,1,標準,低満足,tickets_styleA_202401.csv
2024-01-03,TKT-0113,機能不具合,高,AGT-08,16,0,,2,1,標準,低満足,tickets_styleA_202401.csv
2024-01-10,TKT-0114,データ移行,低,AGT-05,54,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-18,TKT-0115,機能不具合,中,AGT-04,66,0,,2,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-09,TKT-0116,使い方質問,中,AGT-05,1,0,,3,1,迅速,普通,tickets_styleA_202401.csv
2024-01-19,TKT-0117,使い方質問,高,AGT-08,69,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-18,TKT-0118,使い方質問,中,AGT-06,25,0,,2,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-08,TKT-0119,使い方質問,高,AGT-06,61,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-05,TKT-0120,使い方質問,高,AGT-03,65,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-15,TKT-0121,ログイン障害,低,AGT-08,2,0,,4,1,迅速,高満足,tickets_styleA_202401.csv
2024-01-05,TKT-0122,ログイン障害,中,AGT-05,44,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-11,TKT-0123,データ移行,中,AGT-06,63,0,,1,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-08,TKT-0124,請求問い合わせ,高,AGT-02,56,0,,1,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-10,TKT-0125,ログイン障害,高,AGT-06,8,0,,3,1,標準,普通,tickets_styleA_202401.csv
2024-01-08,TKT-0126,データ移行,中,AGT-03,22,0,,5,1,標準,高満足,tickets_styleA_202401.csv
2024-01-20,TKT-0127,機能不具合,中,AGT-03,30,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-01,TKT-0128,使い方質問,中,AGT-03,10,0,,3,0,標準,普通,tickets_styleA_202401.csv
2024-01-10,TKT-0129,使い方質問,低,AGT-05,59,0,,2,0,長時間,低満足,tickets_styleA_202401.csv
2024-01-16,TKT-0130,ログイン障害,高,AGT-07,46,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-13,TKT-0131,請求問い合わせ,高,AGT-01,64,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-08,TKT-0132,データ移行,中,AGT-04,25,0,,2,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-02,TKT-0133,請求問い合わせ,中,AGT-01,47,0,,1,0,長時間,低満足,tickets_styleA_202401.csv
2024-01-11,TKT-0134,使い方質問,高,AGT-04,17,0,,3,1,標準,普通,tickets_styleA_202401.csv
2024-01-09,TKT-0135,機能不具合,中,AGT-08,38,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-15,TKT-0136,ログイン障害,高,AGT-04,51,0,,5,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-13,TKT-0137,ログイン障害,中,AGT-02,59,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-12,TKT-0138,ログイン障害,低,AGT-04,61,1,権限不足,3,0,長時間,普通,tickets_styleA_202401.csv
2024-01-08,TKT-0139,ログイン障害,低,AGT-08,39,0,,1,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-02,TKT-0140,請求問い合わせ,中,AGT-02,13,0,,5,1,標準,高満足,tickets_styleA_202401.csv
2024-01-15,TKT-0141,請求問い合わせ,低,AGT-07,20,0,,1,1,標準,低満足,tickets_styleA_202401.csv
2024-01-20,TKT-0142,使い方質問,中,AGT-01,48,0,,4,0,長時間,高満足,tickets_styleA_202401.csv
2024-01-12,TKT-0143,ログイン障害,低,AGT-06,70,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-09,TKT-0144,機能不具合,高,AGT-08,12,0,,5,0,標準,高満足,tickets_styleA_202401.csv
2024-01-02,TKT-0145,請求問い合わせ,高,AGT-03,27,1,権限不足,2,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-08,TKT-0146,請求問い合わせ,高,AGT-01,36,0,,2,0,長時間,低満足,tickets_styleA_202401.csv
2024-01-18,TKT-0147,請求問い合わせ,高,AGT-02,4,1,顧客クレーム,2,1,迅速,低満足,tickets_styleA_202401.csv
2024-01-01,TKT-0148,機能不具合,中,AGT-01,17,0,,5,1,標準,高満足,tickets_styleA_202401.csv
2024-01-03,TKT-0149,使い方質問,中,AGT-06,66,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-20,TKT-0150,ログイン障害,低,AGT-05,59,0,,1,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-16,TKT-0151,使い方質問,中,AGT-02,63,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-03,TKT-0152,請求問い合わせ,低,AGT-03,9,1,権限不足,5,1,標準,高満足,tickets_styleA_202401.csv
2024-01-11,TKT-0153,使い方質問,低,AGT-05,59,0,,4,1,長時間,高満足,tickets_styleA_202401.csv
2024-01-04,TKT-0154,データ移行,低,AGT-04,56,0,,2,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-15,TKT-0155,使い方質問,中,AGT-02,41,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-05,TKT-0156,使い方質問,高,AGT-02,11,1,技術的複雑性,3,1,標準,普通,tickets_styleA_202401.csv
2024-01-18,TKT-0157,ログイン障害,低,AGT-06,16,0,,4,1,標準,高満足,tickets_styleA_202401.csv
2024-01-02,TKT-0158,請求問い合わせ,低,AGT-05,46,1,権限不足,2,1,長時間,低満足,tickets_styleA_202401.csv
2024-01-16,TKT-0159,機能不具合,高,AGT-06,72,0,,3,1,長時間,普通,tickets_styleA_202401.csv
2024-01-14,TKT-0160,データ移行,低,AGT-01,35,1,顧客クレーム,3,0,長時間,普通,tickets_styleA_202401.csv
2024-01-12,TKT-0161,ログイン障害,高,AGT-03,52,1,権限不足,1,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-17,TKT-0162,機能不具合,中,AGT-07,59,0,,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-11,TKT-0163,データ移行,低,AGT-02,7,0,,5,1,標準,高満足,tickets_styleB_202401.csv
2024-01-03,TKT-0164,請求問い合わせ,中,AGT-07,63,0,,4,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-17,TKT-0165,ログイン障害,中,AGT-07,15,0,,5,1,標準,高満足,tickets_styleB_202401.csv
2024-01-10,TKT-0166,ログイン障害,高,AGT-07,8,1,顧客クレーム,2,1,標準,低満足,tickets_styleB_202401.csv
2024-01-09,TKT-0167,請求問い合わせ,中,AGT-02,1,0,,4,1,迅速,高満足,tickets_styleB_202401.csv
2024-01-13,TKT-0168,データ移行,低,AGT-04,65,0,,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-02,TKT-0169,使い方質問,高,AGT-08,10,0,,5,1,標準,高満足,tickets_styleB_202401.csv
2024-01-13,TKT-0170,使い方質問,中,AGT-02,52,1,顧客クレーム,2,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-20,TKT-0171,使い方質問,低,AGT-06,12,0,,1,1,標準,低満足,tickets_styleB_202401.csv
2024-01-19,TKT-0172,使い方質問,低,AGT-02,51,0,,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-06,TKT-0173,ログイン障害,低,AGT-02,68,0,,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-05,TKT-0174,機能不具合,高,AGT-03,33,0,,5,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-03,TKT-0175,機能不具合,低,AGT-08,60,0,,5,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-19,TKT-0176,データ移行,中,AGT-06,20,0,,4,1,標準,高満足,tickets_styleB_202401.csv
2024-01-10,TKT-0177,請求問い合わせ,低,AGT-01,46,0,,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-02,TKT-0178,ログイン障害,中,AGT-05,10,0,,1,1,標準,低満足,tickets_styleB_202401.csv
2024-01-17,TKT-0179,使い方質問,中,AGT-01,58,0,,5,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-11,TKT-0180,データ移行,中,AGT-03,8,0,,3,0,標準,普通,tickets_styleB_202401.csv
2024-01-03,TKT-0181,データ移行,低,AGT-03,6,0,,4,0,標準,高満足,tickets_styleB_202401.csv
2024-01-17,TKT-0182,データ移行,低,AGT-03,47,0,,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-11,TKT-0183,データ移行,高,AGT-06,9,0,,5,1,標準,高満足,tickets_styleB_202401.csv
2024-01-10,TKT-0184,請求問い合わせ,低,AGT-03,43,1,権限不足,2,0,長時間,低満足,tickets_styleB_202401.csv
2024-01-10,TKT-0185,使い方質問,高,AGT-02,40,0,,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-17,TKT-0186,ログイン障害,低,AGT-07,66,0,,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-07,TKT-0187,請求問い合わせ,中,AGT-04,29,0,,2,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-04,TKT-0188,データ移行,低,AGT-01,44,0,,5,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-13,TKT-0189,機能不具合,高,AGT-03,22,0,,1,1,標準,低満足,tickets_styleB_202401.csv
2024-01-08,TKT-0190,使い方質問,低,AGT-05,58,0,,2,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-16,TKT-0191,機能不具合,中,AGT-08,60,0,,4,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-14,TKT-0192,機能不具合,高,AGT-03,33,1,顧客クレーム,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-04,TKT-0193,データ移行,高,AGT-05,11,0,,3,1,標準,普通,tickets_styleB_202401.csv
2024-01-17,TKT-0194,機能不具合,中,AGT-02,29,0,,3,0,長時間,普通,tickets_styleB_202401.csv
2024-01-14,TKT-0195,ログイン障害,中,AGT-06,31,0,,1,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-01,TKT-0196,請求問い合わせ,高,AGT-06,19,1,顧客クレーム,4,1,標準,高満足,tickets_styleB_202401.csv
2024-01-05,TKT-0197,使い方質問,中,AGT-01,11,1,技術的複雑性,2,1,標準,低満足,tickets_styleB_202401.csv
2024-01-20,TKT-0198,データ移行,中,AGT-02,37,0,,1,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-14,TKT-0199,データ移行,中,AGT-02,15,0,,4,1,標準,高満足,tickets_styleB_202401.csv
2024-01-01,TKT-0200,データ移行,低,AGT-04,19,0,,1,1,標準,低満足,tickets_styleB_202401.csv
2024-01-08,TKT-0201,データ移行,中,AGT-03,11,0,,3,1,標準,普通,tickets_styleB_202401.csv
2024-01-17,TKT-0202,データ移行,低,AGT-01,50,0,,1,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-12,TKT-0203,請求問い合わせ,低,AGT-01,46,0,,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-04,TKT-0204,データ移行,低,AGT-06,18,1,権限不足,3,1,標準,普通,tickets_styleB_202401.csv
2024-01-06,TKT-0205,使い方質問,低,AGT-08,24,0,,1,1,標準,低満足,tickets_styleB_202401.csv
2024-01-15,TKT-0206,ログイン障害,中,AGT-04,6,0,,1,1,標準,低満足,tickets_styleB_202401.csv
2024-01-10,TKT-0207,データ移行,中,AGT-08,33,1,権限不足,2,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-02,TKT-0208,請求問い合わせ,中,AGT-02,48,0,,4,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-13,TKT-0209,請求問い合わせ,高,AGT-08,64,0,,5,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-03,TKT-0210,使い方質問,高,AGT-07,24,0,,3,1,標準,普通,tickets_styleB_202401.csv
2024-01-11,TKT-0211,請求問い合わせ,中,AGT-08,55,0,,4,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-02,TKT-0212,請求問い合わせ,低,AGT-07,36,0,,1,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-13,TKT-0213,請求問い合わせ,低,AGT-03,4,1,権限不足,4,1,迅速,高満足,tickets_styleB_202401.csv
2024-01-03,TKT-0214,機能不具合,低,AGT-06,47,0,,5,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-05,TKT-0215,使い方質問,中,AGT-06,57,0,,5,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-12,TKT-0216,使い方質問,中,AGT-05,32,0,,1,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-16,TKT-0217,データ移行,中,AGT-02,34,0,,4,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-20,TKT-0218,請求問い合わせ,低,AGT-08,26,1,技術的複雑性,4,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-15,TKT-0219,ログイン障害,低,AGT-06,45,0,,5,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-10,TKT-0220,機能不具合,低,AGT-03,47,0,,1,0,長時間,低満足,tickets_styleB_202401.csv
2024-01-05,TKT-0221,機能不具合,中,AGT-01,47,0,,3,1,長時間,普通,tickets_styleB_202401.csv
2024-01-18,TKT-0222,機能不具合,低,AGT-02,9,0,,4,1,標準,高満足,tickets_styleB_202401.csv
2024-01-14,TKT-0223,データ移行,高,AGT-03,41,0,,4,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-17,TKT-0224,請求問い合わせ,高,AGT-03,17,0,,1,1,標準,低満足,tickets_styleB_202401.csv
2024-01-17,TKT-0225,機能不具合,中,AGT-03,21,0,,2,1,標準,低満足,tickets_styleB_202401.csv
2024-01-17,TKT-0226,請求問い合わせ,高,AGT-05,26,0,,5,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-10,TKT-0227,データ移行,低,AGT-02,65,0,,5,0,長時間,高満足,tickets_styleB_202401.csv
2024-01-05,TKT-0228,機能不具合,低,AGT-06,6,0,,1,1,標準,低満足,tickets_styleB_202401.csv
2024-01-19,TKT-0229,請求問い合わせ,低,AGT-04,54,0,,1,1,長時間,低満足,tickets_styleB_202401.csv
2024-01-18,TKT-0230,請求問い合わせ,低,AGT-05,62,0,,4,1,長時間,高満足,tickets_styleB_202401.csv
2024-01-03,TKT-0231,ログイン障害,高,AGT-08,54,0,,2,1,長時間,低満足,tickets_styleB_202401.csv
