Date,RouteID,Area,VehicleType,DistanceKm,DurationMin,FuelCost,DeliveryCount,DelayFlag
2024-01-13,R09,札幌,4tトラック,186.0,191,6694.0,54,1
2024-01-02,R03,大阪,軽バン,69.9,152,2175.0,10,0
2024-01-08,R07,名古屋,4tトラック,166.4,470,8885.0,43,0
2024-01-25,R05,福岡,軽バン,42.1,173,2474.0,19,0
2024-01-09,R07,札幌,4tトラック,130.2,228,5598.0,53,1
2024-01-03,R01,福岡,2tトラック,105.5,144,5384.0,37,1
2024-01-27,R03,名古屋,2tトラック,140.5,155,3750.0,40,0
2024-01-12,R08,名古屋,軽バン,44.9,107,1436.0,17,0
2024-01-02,R04,東京,2tトラック,143.1,321,4600.0,35,1
2024-01-03,R05,福岡,4tトラック,179.7,407,7753.0,54,1
2024-01-10,R01,名古屋,軽バン,70.1,125,2036.0,18,1
2024-01-27,R04,名古屋,軽バン,22.9,110,2150.0,19,1
2024-01-01,R08,札幌,4tトラック,82.0,334,5936.0,24,0
2024-01-17,R10,名古屋,軽バン,54.2,82,1936.0,16,1
2024-01-12,R09,札幌,4tトラック,146.5,297,7761.0,55,0
2024-01-19,R05,東京,2tトラック,128.9,202,4932.0,30,1
2024-01-16,R06,大阪,軽バン,41.1,100,1893.0,19,0
2024-01-07,R03,大阪,軽バン,63.0,173,863.0,11,1
2024-01-21,R01,名古屋,2tトラック,101.5,357,4172.0,18,1
2024-01-12,R04,名古屋,2tトラック,136.2,131,4623.0,18,1
2024-01-16,R07,福岡,4tトラック,132.8,466,6712.0,26,0
2024-01-06,R06,札幌,2tトラック,130.1,294,2316.0,29,0
2024-01-14,R09,名古屋,2tトラック,60.3,198,3183.0,24,0
2024-01-09,R03,福岡,2tトラック,94.7,294,5646.0,29,0
2024-01-01,R01,東京,4tトラック,156.5,288,10409.0,58,1
2024-01-13,R03,札幌,4tトラック,173.8,190,4538.0,56,0
2024-01-19,R10,東京,4tトラック,98.4,314,6968.0,43,0
2024-01-06,R03,札幌,2tトラック,89.8,275,2998.0,13,1
2024-01-20,R08,札幌,2tトラック,141.4,148,5100.0,32,0
2024-01-26,R05,福岡,軽バン,27.4,162,1568.0,19,0
2024-01-30,R06,名古屋,4tトラック,87.8,342,11131.0,25,0
2024-01-01,R03,名古屋,4tトラック,106.9,475,10337.0,30,0
2024-01-03,R06,札幌,4tトラック,124.3,421,8413.0,54,0
2024-01-11,R05,福岡,4tトラック,166.3,337,10153.0,51,1
2024-01-19,R02,福岡,2tトラック,118.0,202,5512.0,34,0
2024-01-06,R03,大阪,2tトラック,100.3,328,5326.0,26,1
2024-01-09,R03,名古屋,4tトラック,107.1,464,8151.0,33,0
2024-01-19,R04,札幌,2tトラック,62.5,192,4134.0,26,0
2024-01-01,R10,大阪,軽バン,59.5,146,1829.0,6,0
2024-01-21,R02,東京,4tトラック,172.5,259,5686.0,51,0
2024-01-22,R01,福岡,4tトラック,145.5,372,6417.0,30,0
2024-01-11,R07,名古屋,2tトラック,57.3,134,3758.0,25,0
2024-01-05,R10,大阪,2tトラック,136.1,196,5952.0,21,0
2024-01-04,R06,札幌,4tトラック,92.7,252,4980.0,43,0
2024-01-11,R01,名古屋,2tトラック,136.4,220,5851.0,38,1
2024-01-16,R10,名古屋,軽バン,65.8,119,1675.0,20,0
2024-01-10,R01,東京,2tトラック,100.5,352,2861.0,21,1
2024-01-29,R08,札幌,4tトラック,160.7,265,4065.0,21,0
2024-01-10,R05,名古屋,2tトラック,86.6,216,4281.0,16,0
2024-01-04,R02,福岡,4tトラック,134.0,344,10602.0,54,0
2024-01-07,R03,東京,2tトラック,87.3,356,4231.0,21,0
2024-01-17,R10,札幌,2tトラック,100.0,130,2548.0,20,0
2024-01-20,R08,大阪,4tトラック,187.2,221,11451.0,35,1
2024-01-27,R05,札幌,2tトラック,100.7,242,3959.0,28,0
2024-01-28,R01,名古屋,2tトラック,117.4,355,4335.0,35,0
2024-01-24,R01,札幌,2tトラック,76.6,277,5888.0,28,0
2024-01-27,R01,札幌,2tトラック,67.1,270,4479.0,36,0
2024-01-14,R04,東京,4tトラック,193.8,212,4151.0,35,0
2024-01-17,R04,福岡,4tトラック,173.0,456,10983.0,18,0
2024-01-30,R04,札幌,2tトラック,149.8,234,3507.0,40,1
2024-01-09,R09,名古屋,4tトラック,122.5,411,9767.0,56,0
2024-01-23,R10,福岡,軽バン,77.4,93,1307.0,14,0
2024-01-04,R04,福岡,2tトラック,98.0,254,5738.0,33,0
2024-01-10,R10,札幌,2tトラック,139.6,214,3381.0,34,0
2024-01-27,R01,名古屋,4tトラック,89.5,457,9248.0,45,0
2024-01-02,R09,名古屋,4tトラック,163.5,221,8925.0,52,0
2024-01-25,R09,大阪,4tトラック,107.9,210,6642.0,45,1
2024-01-07,R03,東京,4tトラック,197.3,227,9223.0,45,0
2024-01-24,R05,名古屋,2tトラック,114.6,337,2358.0,28,0
2024-01-16,R01,大阪,2tトラック,138.2,162,5679.0,36,0
2024-01-21,R03,名古屋,軽バン,20.6,128,982.0,15,0
2024-01-04,R09,札幌,2tトラック,138.9,152,4017.0,18,1
2024-01-19,R06,大阪,4tトラック,135.1,257,5490.0,36,0
2024-01-13,R04,大阪,4tトラック,182.7,449,10616.0,47,0
2024-01-25,R02,大阪,軽バン,48.6,172,812.0,17,0
2024-01-02,R05,名古屋,2tトラック,108.2,257,3046.0,21,0
2024-01-10,R02,福岡,2tトラック,66.0,284,5692.0,38,0
2024-01-20,R02,名古屋,2tトラック,111.5,172,2534.0,14,0
2024-01-25,R06,福岡,4tトラック,145.9,321,8300.0,57,0
2024-01-18,R04,札幌,軽バン,51.5,123,1415.0,8,1
2024-01-07,R09,大阪,4tトラック,144.4,229,10836.0,43,1
2024-01-15,R10,福岡,軽バン,73.9,113,895.0,9,0
2024-01-01,R10,東京,4tトラック,135.5,422,9786.0,40,0
2024-01-03,R04,札幌,軽バン,22.7,101,908.0,6,0
2024-01-14,R08,東京,2tトラック,90.9,304,5063.0,33,0
2024-01-28,R06,福岡,2tトラック,137.0,337,3503.0,31,0
2024-01-24,R09,大阪,4tトラック,183.2,215,11943.0,40,0
2024-01-27,R04,東京,軽バン,78.7,115,2022.0,18,0
2024-01-02,R04,大阪,2tトラック,84.6,186,5750.0,33,0
2024-01-23,R07,札幌,軽バン,34.4,68,1810.0,19,0
2024-01-10,R01,大阪,4tトラック,85.3,311,8318.0,18,1
2024-01-05,R04,札幌,2tトラック,107.7,305,5274.0,17,0
2024-01-06,R09,大阪,2tトラック,80.1,134,5794.0,38,0
2024-01-11,R07,札幌,2tトラック,54.7,202,4573.0,22,0
2024-01-10,R07,福岡,軽バン,38.0,82,1714.0,12,0
2024-01-09,R03,福岡,軽バン,53.7,176,1747.0,9,0
2024-01-07,R04,名古屋,4tトラック,89.5,314,6969.0,49,0
2024-01-19,R01,名古屋,2tトラック,117.4,264,5494.0,16,0
2024-01-30,R09,大阪,2tトラック,70.9,337,3213.0,39,1
2024-01-13,R04,東京,4tトラック,199.9,323,5941.0,53,0
2024-01-12,R04,札幌,2tトラック,127.6,211,4135.0,21,0
2024-01-07,R09,福岡,2tトラック,59.9,355,3878.0,36,0
2024-01-30,R06,名古屋,2tトラック,54.6,327,4965.0,10,0
