日付,路線CD,担当エリア,車種,走行km,所要分,燃油費,件数,遅延
2024/01/08,R01,福岡,2tトラック,84.9,316,3756.0,13,0
2024/01/26,R04,札幌,4tトラック,122.1,393,9062.0,25,0
2024/01/23,R04,大阪,軽バン,54.2,123,1815.0,10,0
2024/01/05,R05,名古屋,4tトラック,112.1,437,11884.0,58,0
2024/01/11,R07,東京,2tトラック,136.7,150,5464.0,17,1
2024/01/21,R04,福岡,2tトラック,64.2,271,4511.0,22,0
2024/01/11,R02,福岡,4tトラック,170.0,388,11019.0,44,0
2024/01/03,R10,東京,4tトラック,91.2,471,9079.0,59,0
2024/01/11,R09,福岡,軽バン,78.1,158,1641.0,15,0
2024/01/21,R09,札幌,軽バン,54.0,118,1384.0,6,1
2024/01/23,R08,東京,軽バン,75.8,78,1576.0,18,0
2024/01/12,R03,名古屋,軽バン,72.5,165,959.0,16,0
2024/01/23,R03,東京,2tトラック,112.6,294,5021.0,23,0
2024/01/23,R02,東京,軽バン,48.6,75,1185.0,19,1
2024/01/04,R06,東京,2tトラック,119.4,234,2916.0,12,0
2024/01/21,R02,名古屋,2tトラック,138.1,152,5094.0,34,0
2024/01/21,R03,東京,4tトラック,147.6,363,5313.0,37,0
2024/01/04,R03,福岡,4tトラック,162.4,437,4694.0,21,1
2024/01/08,R10,福岡,2tトラック,146.3,195,2559.0,18,0
2024/01/22,R09,札幌,4tトラック,166.5,265,11530.0,16,0
2024/01/29,R05,大阪,4tトラック,152.8,236,7134.0,56,1
2024/01/01,R04,福岡,2tトラック,61.3,239,4376.0,26,0
2024/01/31,R06,名古屋,軽バン,43.2,160,1515.0,10,0
2024/01/13,R02,東京,4tトラック,88.1,258,4319.0,18,0
2024/01/18,R09,名古屋,4tトラック,165.5,410,7389.0,40,1
2024/01/05,R09,札幌,軽バン,36.6,97,1669.0,11,0
2024/01/23,R09,名古屋,2tトラック,108.6,303,4599.0,30,1
2024/01/24,R07,大阪,軽バン,34.7,170,997.0,6,0
2024/01/26,R03,東京,軽バン,62.5,144,1079.0,16,0
2024/01/29,R05,大阪,2tトラック,62.7,307,3075.0,38,1
2024/01/16,R01,名古屋,2tトラック,77.2,135,4849.0,28,0
2024/01/04,R08,札幌,2tトラック,55.5,326,2668.0,15,0
2024/01/16,R10,東京,軽バン,64.4,60,2260.0,5,0
2024/01/08,R06,福岡,軽バン,30.7,175,860.0,18,0
2024/01/06,R07,名古屋,2tトラック,132.6,257,2478.0,31,0
2024/01/10,R04,札幌,軽バン,77.2,68,1591.0,14,0
2024/01/08,R06,東京,4tトラック,134.8,290,6333.0,34,0
2024/01/08,R08,名古屋,4tトラック,196.6,479,10207.0,49,0
2024/01/31,R03,東京,2tトラック,52.4,249,4544.0,32,0
2024/01/08,R06,東京,4tトラック,125.2,401,6460.0,28,0
2024/01/29,R07,福岡,軽バン,78.4,77,1276.0,6,0
2024/01/05,R09,福岡,4tトラック,187.5,317,9983.0,52,1
2024/01/28,R07,東京,4tトラック,148.1,310,11714.0,30,0
2024/01/07,R06,福岡,4tトラック,179.8,277,7622.0,29,1
2024/01/12,R03,札幌,軽バン,29.3,79,1592.0,18,1
2024/01/27,R04,福岡,2tトラック,96.3,324,2362.0,35,0
2024/01/13,R10,東京,軽バン,70.2,99,955.0,12,0
2024/01/18,R09,東京,4tトラック,115.9,426,5391.0,40,0
2024/01/25,R09,大阪,軽バン,47.7,156,1038.0,5,1
2024/01/09,R04,大阪,軽バン,69.4,104,1872.0,7,0
2024/01/27,R02,東京,軽バン,31.9,137,2176.0,7,0
2024/01/13,R06,東京,軽バン,76.5,66,2371.0,18,0
2024/01/15,R08,東京,2tトラック,118.3,161,2859.0,15,0
2024/01/16,R03,東京,4tトラック,154.3,253,6361.0,41,0
2024/01/21,R01,東京,2tトラック,88.3,220,4571.0,35,0
2024/01/19,R09,東京,2tトラック,128.2,206,4178.0,25,0
2024/01/25,R09,名古屋,2tトラック,77.0,126,4388.0,10,0
2024/01/22,R05,東京,2tトラック,102.9,304,5998.0,15,1
2024/01/26,R04,名古屋,4tトラック,178.0,455,4447.0,29,0
2024/01/01,R07,名古屋,軽バン,30.6,131,2171.0,16,0
2024/01/06,R06,札幌,4tトラック,97.1,464,10694.0,46,0
2024/01/30,R08,東京,軽バン,23.4,132,834.0,20,1
2024/01/05,R10,大阪,軽バン,40.4,81,2164.0,15,1
2024/01/22,R10,大阪,軽バン,70.8,163,2433.0,16,0
2024/01/31,R07,札幌,軽バン,40.2,98,2459.0,18,0
2024/01/19,R08,名古屋,軽バン,62.4,127,2312.0,16,0
2024/01/31,R03,福岡,2tトラック,123.4,190,2711.0,10,0
2024/01/19,R10,福岡,4tトラック,83.9,360,11368.0,54,0
2024/01/29,R02,福岡,軽バン,39.9,69,1390.0,15,1
2024/01/04,R02,名古屋,2tトラック,51.1,170,4773.0,21,0
2024/01/13,R01,東京,2tトラック,93.8,220,2665.0,23,0
2024/01/08,R06,札幌,2tトラック,60.1,235,5456.0,30,0
2024/01/03,R03,福岡,軽バン,68.0,64,834.0,13,0
2024/01/20,R06,大阪,2tトラック,66.1,138,5767.0,12,0
2024/01/11,R08,東京,2tトラック,144.2,159,5559.0,15,1
2024/01/10,R04,大阪,2tトラック,119.7,293,4920.0,18,0
2024/01/14,R04,東京,軽バン,43.6,125,1635.0,6,0
2024/01/10,R02,名古屋,4tトラック,155.0,324,4776.0,28,1
2024/01/18,R02,福岡,軽バン,38.5,107,1631.0,13,1
2024/01/09,R07,大阪,2tトラック,138.5,208,3783.0,18,0
2024/01/26,R04,名古屋,4tトラック,87.4,405,9340.0,20,0
2024/01/18,R09,福岡,4tトラック,107.3,198,7097.0,48,0
2024/01/29,R08,札幌,軽バン,48.6,69,2335.0,6,0
2024/01/06,R09,札幌,4tトラック,197.9,224,11594.0,43,1
2024/01/21,R04,大阪,軽バン,22.6,69,1961.0,11,0
2024/01/13,R03,札幌,2tトラック,82.0,294,5229.0,12,0
2024/01/17,R09,名古屋,2tトラック,102.0,340,2049.0,32,0
2024/01/30,R07,東京,2tトラック,65.0,255,4331.0,40,0
