project_id,client_name,service_type,department,contract_month,revenue,direct_cost,allocated_overhead,hours_spent,is_completed,source_file,total_cost,gross_profit,operating_profit,gross_margin_ratio,operating_margin_ratio,revenue_per_hour,profit_flag
A-0016,株式会社山田商事,研修・教育,CS部,2024-02,567115,154593,50707,423,False,revenue_cost_styleA_202401.csv,205300,412522,361815,0.7274044946792096,0.6379922943318375,1340.6973995271867,良好
A-0017,山口イノベ,受託開発,開発部,2024-01,1218513,726698,137254,399,True,revenue_cost_styleA_202401.csv,863952,491815,354561,0.403619001192437,0.290978430267055,3053.9172932330825,良好
A-0018,中村サービス,受託開発,コンサル部,2024-03,4926448,3076500,477498,118,True,revenue_cost_styleA_202401.csv,3553998,1849948,1372450,0.3755135545934921,0.2785881430190677,41749.5593220339,良好
A-0019,佐々木HD,保守サポート,コンサル部,2024-03,642717,218714,44936,42,False,revenue_cost_styleA_202401.csv,263650,424003,379067,0.6597040377024413,0.5897883516384349,15302.785714285714,良好
A-0020,加藤工業,SaaS利用料,営業部,2024-03,87220,21069,2821,44,True,revenue_cost_styleA_202401.csv,23890,66151,63330,0.7584384315523962,0.7260949323549645,1982.2727272727273,良好
A-0021,加藤工業,保守サポート,開発部,2024-03,608993,178341,39762,488,False,revenue_cost_styleA_202401.csv,218103,430652,390890,0.7071542694251002,0.6418628785552544,1247.936475409836,良好
A-0022,小林商会,受託開発,コンサル部,2024-02,1313114,763965,123658,220,False,revenue_cost_styleA_202401.csv,887623,549149,425491,0.4182035984689829,0.32403203377619916,5968.7,良好
A-0023,井上コーポ,SaaS利用料,開発部,2024-01,469741,127926,18764,107,False,revenue_cost_styleA_202401.csv,146690,341815,323051,0.7276669483821936,0.687721531652549,4390.102803738318,良好
A-0024,吉田産業,受託開発,コンサル部,2024-01,2595528,1621938,215468,423,True,revenue_cost_styleA_202401.csv,1837406,973590,758122,0.3751028692427899,0.29208777558939836,6136.0,良好
A-0025,加藤工業,SaaS利用料,開発部,2024-01,263078,51860,10141,215,True,revenue_cost_styleA_202401.csv,62001,211218,201077,0.8028721519853428,0.7643246489634253,1223.6186046511627,良好
A-0026,井上コーポ,受託開発,コンサル部,2024-01,4316886,2188876,465635,384,False,revenue_cost_styleA_202401.csv,2654511,2128010,1662375,0.49295024237378515,0.3850866110432381,11241.890625,良好
A-0027,小林商会,受託開発,営業部,2024-02,1011349,606399,83220,309,False,revenue_cost_styleA_202401.csv,689619,404950,321730,0.4004057946366685,0.31811965997889946,3272.9741100323627,良好
A-0028,池田ネットワーク,研修・教育,営業部,2024-01,526348,124831,38845,355,True,revenue_cost_styleA_202401.csv,163676,401517,362672,0.762835614460395,0.6890346310805778,1482.6704225352112,良好
A-0029,加藤工業,コンサルティング,開発部,2024-03,1446797,445538,149424,346,False,revenue_cost_styleA_202401.csv,594962,1001259,851835,0.6920521676503338,0.5887729930321945,4181.494219653179,良好
A-0030,松本グループ,保守サポート,営業部,2024-03,378517,124591,32880,163,False,revenue_cost_styleA_202401.csv,157471,253926,221046,0.6708443742288985,0.5839790551018844,2322.1901840490796,良好
A-0031,林テクノ,保守サポート,開発部,2024-01,690341,310114,43443,119,False,revenue_cost_styleA_202401.csv,353557,380227,336784,0.5507814254114995,0.48785165592076957,5801.18487394958,良好
A-0032,加藤工業,受託開発,CS部,2024-01,2890647,1391989,327654,370,False,revenue_cost_styleA_202401.csv,1719643,1498658,1171004,0.5184507136291633,0.4051010033393908,7812.5594594594595,良好
A-0033,橋本デジタル,研修・教育,開発部,2024-03,568508,189129,49776,78,False,revenue_cost_styleA_202401.csv,238905,379379,329603,0.6673239426709915,0.579768446530216,7288.5641025641025,良好
A-0034,橋本デジタル,SaaS利用料,開発部,2024-03,192788,30142,7407,185,True,revenue_cost_styleA_202401.csv,37549,162646,155239,0.8436520945287052,0.8052316534224122,1042.0972972972972,良好
A-0035,田中製造,保守サポート,コンサル部,2024-02,765095,256088,54373,11,False,revenue_cost_styleA_202401.csv,310461,509007,454634,0.6652860102340232,0.5942190185532515,69554.09090909091,良好
A-0036,林テクノ,受託開発,CS部,2024-01,4087697,2298027,345308,493,True,revenue_cost_styleA_202401.csv,2643335,1789670,1444362,0.4378186543669944,0.35334370429119377,8291.474645030426,良好
A-0037,山口イノベ,研修・教育,開発部,2024-02,157643,45079,8145,196,True,revenue_cost_styleA_202401.csv,53224,112564,104419,0.7140437570967312,0.6623763820784938,804.3010204081633,良好
A-0038,加藤工業,保守サポート,営業部,2024-03,470858,191179,44903,218,True,revenue_cost_styleA_202401.csv,236082,279679,234776,0.5939773774683662,0.4986131700002973,2159.8990825688074,良好
A-0039,木村システム,受託開発,営業部,2024-01,2004586,1197365,187002,486,False,revenue_cost_styleA_202401.csv,1384367,807221,620219,0.4026871383916679,0.30940004569522084,4124.6625514403295,良好
A-0040,伊藤通信,受託開発,CS部,2024-01,824845,512821,73326,428,False,revenue_cost_styleA_202401.csv,586147,312024,238698,0.378281980250835,0.28938527844625356,1927.2079439252336,良好
A-0041,加藤工業,保守サポート,CS部,2024-01,792094,228618,57926,452,True,revenue_cost_styleA_202401.csv,286544,563476,505550,0.7113751650687924,0.6382449557754509,1752.4203539823009,良好
A-0042,池田ネットワーク,保守サポート,CS部,2024-03,662262,209427,40466,459,False,revenue_cost_styleA_202401.csv,249893,452835,412369,0.6837701695099523,0.6226674639342133,1442.8366013071895,良好
A-0043,伊藤通信,受託開発,CS部,2024-01,4145385,2152024,462032,233,True,revenue_cost_styleA_202401.csv,2614056,1993361,1531329,0.48086269429739337,0.3694057367409782,17791.35193133047,良好
A-0044,田中製造,コンサルティング,営業部,2024-02,203546,82229,26921,361,True,revenue_cost_styleA_202401.csv,109150,121317,94396,0.5960176078134672,0.4637575781395852,563.8393351800554,良好
A-0045,松本グループ,保守サポート,コンサル部,2024-01,429164,164231,27889,470,False,revenue_cost_styleA_202401.csv,192120,264933,237044,0.6173234474466638,0.5523389659896916,913.1148936170213,良好
A-0046,木村システム,研修・教育,CS部,2024-03,290973,98768,21001,108,False,revenue_cost_styleA_202401.csv,119769,192205,171204,0.6605595708192856,0.5883844892825107,2694.1944444444443,良好
A-0047,山口イノベ,コンサルティング,営業部,2024-03,1051601,430722,105177,156,True,revenue_cost_styleA_202401.csv,535899,620879,515702,0.5904130939396216,0.49039702320556944,6741.032051282052,良好
A-0048,林テクノ,コンサルティング,CS部,2024-02,1616893,554174,192292,471,True,revenue_cost_styleA_202401.csv,746466,1062719,870427,0.6572599423709546,0.5383330869760707,3432.8938428874735,良好
A-0049,石川メディア,SaaS利用料,CS部,2024-03,98961,26094,5942,354,False,revenue_cost_styleA_202401.csv,32036,72867,66925,0.7363203686300663,0.6762765129697558,279.5508474576271,良好
A-0050,株式会社山田商事,受託開発,営業部,2024-01,2553888,1651822,266756,403,True,revenue_cost_styleA_202401.csv,1918578,902066,635310,0.35321282687416206,0.24876188775701988,6337.191066997519,良好
A-0051,山口イノベ,コンサルティング,コンサル部,2024-03,1706480,749606,204393,134,True,revenue_cost_styleA_202401.csv,953999,956874,752481,0.5607296891847546,0.4409550653977779,12734.925373134329,良好
A-0052,加藤工業,SaaS利用料,開発部,2024-02,471585,137510,23917,35,True,revenue_cost_styleA_202401.csv,161427,334075,310158,0.7084088764485724,0.6576926747033939,13473.857142857143,良好
A-0053,林テクノ,SaaS利用料,コンサル部,2024-01,343037,75156,23327,466,False,revenue_cost_styleA_202401.csv,98483,267881,244554,0.780909930998697,0.7129085200721788,736.1309012875537,良好
A-0054,林テクノ,研修・教育,コンサル部,2024-03,469889,174939,31953,394,True,revenue_cost_styleA_202401.csv,206892,294950,262997,0.6277014358710249,0.5597002696381486,1192.6116751269035,良好
A-0055,加藤工業,保守サポート,コンサル部,2024-03,561239,149007,40088,149,False,revenue_cost_styleA_202401.csv,189095,412232,372144,0.7345034824735986,0.6630758019310846,3766.7046979865772,良好
A-0056,渡辺フード,保守サポート,開発部,2024-01,501641,195032,44273,42,False,revenue_cost_styleA_202401.csv,239305,306609,262336,0.6112120022087508,0.5229556595254375,11943.833333333334,良好
A-0057,林テクノ,コンサルティング,CS部,2024-03,330580,112849,38613,473,True,revenue_cost_styleA_202401.csv,151462,217731,179118,0.6586333111500998,0.5418295117671971,698.9006342494714,良好
A-0058,株式会社山田商事,研修・教育,コンサル部,2024-02,236559,82960,19903,498,False,revenue_cost_styleA_202401.csv,102863,153599,133696,0.649305247316737,0.5651697885094205,475.01807228915663,良好
A-0059,加藤工業,研修・教育,営業部,2024-02,308503,91665,20223,352,False,revenue_cost_styleA_202401.csv,111888,216838,196615,0.7028716090281132,0.6373195722569959,876.4289772727273,良好
A-0060,石川メディア,受託開発,コンサル部,2024-01,726210,458518,75290,349,True,revenue_cost_styleA_202401.csv,533808,267692,192402,0.36861513887167624,0.2649398934192589,2080.830945558739,良好
A-0061,林テクノ,SaaS利用料,コンサル部,2024-01,76363,11609,3290,242,False,revenue_cost_styleA_202401.csv,14899,64754,61464,0.847976114086665,0.8048924217225619,315.5495867768595,良好
A-0062,木村システム,保守サポート,コンサル部,2024-02,185884,63955,16722,36,False,revenue_cost_styleA_202401.csv,80677,121929,105207,0.6559413397602806,0.5659820102859848,5163.444444444444,良好
A-0063,田中製造,受託開発,開発部,2024-03,2574362,1261108,208047,88,True,revenue_cost_styleA_202401.csv,1469155,1313254,1105207,0.5101279462639675,0.42931297152459524,29254.113636363636,良好
A-0064,伊藤通信,受託開発,コンサル部,2024-03,2328419,1264347,210139,198,True,revenue_cost_styleA_202401.csv,1474486,1064072,853933,0.4569933504236136,0.36674370033915715,11759.691919191919,良好
A-0065,山本企業,研修・教育,開発部,2024-01,383397,78648,23953,356,False,revenue_cost_styleA_202401.csv,102601,304749,280796,0.7948653745334471,0.7323896639775481,1076.9578651685392,良好
A-0066,山口イノベ,コンサルティング,営業部,2024-01,413702,181796,46360,360,True,revenue_cost_styleA_202401.csv,228156,231906,185546,0.560562917268952,0.4485015784308512,1149.1722222222222,良好
A-0067,橋本デジタル,研修・教育,開発部,2024-02,426827,116999,29979,184,True,revenue_cost_styleA_202401.csv,146978,309828,279849,0.7258866004259337,0.6556497128813313,2319.711956521739,良好
A-0068,木村システム,コンサルティング,コンサル部,2024-01,1532918,733217,181481,88,False,revenue_cost_styleA_202401.csv,914698,799701,618220,0.5216854391428635,0.40329619718732507,17419.522727272728,良好
A-0069,橋本デジタル,受託開発,CS部,2024-03,4399643,2363113,480621,147,False,revenue_cost_styleA_202401.csv,2843734,2036530,1555909,0.46288528410146007,0.35364437523680897,29929.544217687075,良好
A-0070,林テクノ,受託開発,開発部,2024-02,4398257,2480484,469415,182,True,revenue_cost_styleA_202401.csv,2949899,1917773,1448358,0.43603022742872916,0.3293027215099072,24166.247252747253,良好
A-0071,清水ソリューション,コンサルティング,CS部,2024-01,944121,433886,107264,460,False,revenue_cost_styleA_202401.csv,541150,510235,402971,0.5404339062471866,0.4268213502294727,2052.436956521739,良好
A-0072,小林商会,研修・教育,開発部,2024-03,206540,71052,14363,398,True,revenue_cost_styleA_202401.csv,85415,135488,121125,0.6559891546431684,0.5864481456376489,518.9447236180905,良好
A-0073,株式会社山田商事,コンサルティング,コンサル部,2024-02,817056,281328,104314,166,False,revenue_cost_styleA_202401.csv,385642,535728,431414,0.6556808835624486,0.5280103199780676,4922.024096385542,良好
A-0074,橋本デジタル,コンサルティング,CS部,2024-02,937800,413167,103942,138,True,revenue_cost_styleA_202401.csv,517109,524633,420691,0.5594295158882491,0.44859351674130943,6795.652173913043,良好
A-0075,伊藤通信,SaaS利用料,営業部,2024-02,449606,107020,16932,388,False,revenue_cost_styleA_202401.csv,123952,342586,325654,0.7619693687361824,0.7243097289626917,1158.778350515464,良好
A-0076,小林商会,保守サポート,CS部,2024-01,338533,109067,24405,372,True,revenue_cost_styleA_202401.csv,133472,229466,205061,0.6778246138485761,0.6057341529481616,910.0349462365591,良好
A-0077,橋本デジタル,保守サポート,開発部,2024-01,232413,87753,20943,62,True,revenue_cost_styleA_202401.csv,108696,144660,123717,0.6224264563514089,0.5323153179899576,3748.5967741935483,良好
A-0078,清水ソリューション,研修・教育,CS部,2024-02,258628,61261,13462,491,False,revenue_cost_styleA_202401.csv,74723,197367,183905,0.7631308288352383,0.7110792334936665,526.7372708757638,良好
A-0079,清水ソリューション,SaaS利用料,開発部,2024-02,352525,79631,11331,86,False,revenue_cost_styleA_202401.csv,90962,272894,261563,0.7741124742926033,0.7419700730444649,4099.127906976744,良好
A-0080,橋本デジタル,SaaS利用料,営業部,2024-01,367885,80649,20136,407,False,revenue_cost_styleA_202401.csv,100785,287236,267100,0.7807766013835845,0.7260421055492885,903.8943488943489,良好
A-0081,山口イノベ,コンサルティング,コンサル部,2024-02,840428,347706,86067,388,True,revenue_cost_styleA_202401.csv,433773,492722,406655,0.5862750884073353,0.4838665537083486,2166.0515463917527,良好
A-0082,鈴木物産,受託開発,営業部,2024-02,2512134,1217788,208513,11,False,revenue_cost_styleA_202401.csv,1426301,1294346,1085833,0.5152376425779835,0.4322353027346471,228375.81818181818,良好
A-0083,田中製造,コンサルティング,コンサル部,2024-02,804199,354966,103033,242,True,revenue_cost_styleA_202401.csv,457999,449233,346200,0.5586092497006337,0.43049046318137674,3323.1363636363635,良好
A-0084,山口イノベ,受託開発,CS部,2024-03,4066324,1923189,361871,86,False,revenue_cost_styleA_202401.csv,2285060,2143135,1781264,0.5270448198421965,0.4380526490264917,47282.83720930233,良好
A-0085,中村サービス,受託開発,開発部,2024-01,2921041,1571025,288446,165,False,revenue_cost_styleA_202401.csv,1859471,1350016,1061570,0.4621694799901816,0.3634218074994497,17703.27878787879,良好
A-0086,鈴木物産,保守サポート,コンサル部,2024-02,141797,60672,12674,319,False,revenue_cost_styleA_202401.csv,73346,81125,68451,0.5721207077723788,0.4827394091553418,444.5047021943574,良好
A-0087,山口イノベ,SaaS利用料,開発部,2024-01,60876,18257,3463,147,True,revenue_cost_styleA_202401.csv,21720,42619,39156,0.7000952756422892,0.6432091464616597,414.1224489795918,良好
A-0088,林テクノ,受託開発,コンサル部,2024-03,2022441,1313351,197057,426,False,revenue_cost_styleA_202401.csv,1510408,709090,512033,0.3506109696154301,0.2531757415914729,4747.514084507042,良好
A-0089,木村システム,SaaS利用料,コンサル部,2024-02,218326,51094,14040,178,False,revenue_cost_styleA_202401.csv,65134,167232,153192,0.7659738189679653,0.7016663155098339,1226.5505617977528,良好
A-0090,井上コーポ,コンサルティング,CS部,2024-03,276959,108281,31180,175,True,revenue_cost_styleA_202401.csv,139461,168678,137498,0.6090359944973804,0.496456154160002,1582.6228571428571,良好
A-0091,橋本デジタル,コンサルティング,開発部,2024-03,1066642,331555,128783,328,False,revenue_cost_styleA_202401.csv,460338,735087,606304,0.6891599993249844,0.5684231447852232,3251.9573170731705,良好
A-0092,吉田産業,コンサルティング,開発部,2024-01,474754,230509,55795,367,False,revenue_cost_styleA_202401.csv,286304,244245,188450,0.5144664394612789,0.3969424164935946,1293.607629427793,良好
A-0093,石川メディア,SaaS利用料,開発部,2024-03,422130,55584,21964,292,False,revenue_cost_styleA_202401.csv,77548,366546,344582,0.8683249236017341,0.8162935588562765,1445.650684931507,良好
A-0094,林テクノ,SaaS利用料,営業部,2024-01,389586,103796,19453,376,False,revenue_cost_styleA_202401.csv,123249,285790,266337,0.7335735883732989,0.6836410959326054,1036.1329787234042,良好
A-0095,清水ソリューション,研修・教育,CS部,2024-02,207785,60539,11591,107,True,revenue_cost_styleA_202401.csv,72130,147246,135655,0.7086459561566042,0.6528623336621989,1941.9158878504672,良好
A-0096,松本グループ,SaaS利用料,CS部,2024-02,190075,50200,7852,162,False,revenue_cost_styleA_202401.csv,58052,139875,132023,0.735893726160726,0.694583716953834,1173.3024691358025,良好
A-0097,清水ソリューション,受託開発,コンサル部,2024-03,3288708,1842937,334583,243,False,revenue_cost_styleA_202401.csv,2177520,1445771,1111188,0.43961671270298247,0.3378797996051945,13533.777777777777,良好
A-0098,井上コーポ,受託開発,営業部,2024-03,3945831,1810068,433205,371,False,revenue_cost_styleA_202401.csv,2243273,2135763,1702558,0.5412707741411125,0.4314827472337259,10635.66307277628,良好
A-0099,田中製造,コンサルティング,営業部,2024-02,1253380,618004,141982,61,False,revenue_cost_styleA_202401.csv,759986,635376,493394,0.5069300611147457,0.3936507683224561,20547.213114754097,良好
A-0100,渡辺フード,SaaS利用料,コンサル部,2024-01,393293,115624,12975,410,False,revenue_cost_styleA_202401.csv,128599,277669,264694,0.7060105315884087,0.6730198605111202,959.2512195121951,良好
A-0101,鈴木物産,保守サポート,コンサル部,2024-03,659543,215012,47926,377,False,revenue_cost_styleA_202401.csv,262938,444531,396605,0.6739985110902549,0.6013330442442721,1749.450928381963,良好
A-0102,鈴木物産,研修・教育,開発部,2024-03,410910,138427,25268,126,True,revenue_cost_styleA_202401.csv,163695,272483,247215,0.6631208780511547,0.6016280937431554,3261.190476190476,良好
A-0103,伊藤通信,コンサルティング,開発部,2024-03,548892,240853,74724,33,False,revenue_cost_styleA_202401.csv,315577,308039,233315,0.5612014749713969,0.4250654044875859,16633.090909090908,良好
A-0104,佐々木HD,SaaS利用料,CS部,2024-02,126320,18801,5871,359,True,revenue_cost_styleA_202401.csv,24672,107519,101648,0.8511637112096263,0.8046865104496517,351.86629526462394,良好
A-0105,石川メディア,受託開発,営業部,2024-01,2520226,1384948,260405,128,False,revenue_cost_styleA_202401.csv,1645353,1135278,874873,0.4504667438555114,0.3471406929378556,19689.265625,良好
A-0106,株式会社山田商事,保守サポート,コンサル部,2024-02,401603,154826,26633,236,False,revenue_cost_styleA_202401.csv,181459,246777,220144,0.614479971514157,0.5481632358324017,1701.707627118644,良好
A-0107,木村システム,研修・教育,CS部,2024-03,319513,117919,18521,206,False,revenue_cost_styleA_202401.csv,136440,201594,183073,0.6309414640405868,0.5729751215130526,1551.0339805825242,良好
A-0108,山口イノベ,SaaS利用料,営業部,2024-02,351366,55928,20369,21,False,revenue_cost_styleA_202401.csv,76297,295438,275069,0.8408269439843354,0.7828560532322422,16731.714285714286,良好
A-0109,田中製造,保守サポート,開発部,2024-03,620856,258628,59675,407,True,revenue_cost_styleA_202401.csv,318303,362228,302553,0.5834331954591725,0.4873158993389772,1525.4447174447175,良好
A-0110,小林商会,研修・教育,CS部,2024-01,211400,70935,16666,347,True,revenue_cost_styleA_202401.csv,87601,140465,123799,0.6644512771996216,0.5856149479659414,609.2219020172911,良好
A-0111,林テクノ,SaaS利用料,開発部,2024-02,353863,61208,12475,475,False,revenue_cost_styleA_202401.csv,73683,292655,280180,0.8270291044839387,0.7917753480866889,744.9747368421052,良好
A-0112,小林商会,保守サポート,コンサル部,2024-01,665610,283078,49677,266,False,revenue_cost_styleA_202401.csv,332755,382532,332855,0.5747089136281005,0.500075119063716,2502.2932330827066,良好
A-0113,山本企業,受託開発,CS部,2024-02,1466113,797076,121704,396,True,revenue_cost_styleA_202401.csv,918780,669037,547333,0.45633385694008577,0.3733225201604515,3702.3055555555557,良好
A-0114,井上コーポ,コンサルティング,CS部,2024-01,754609,307363,89188,354,False,revenue_cost_styleA_202401.csv,396551,447246,358058,0.5926857485134686,0.47449473833468725,2131.6638418079096,良好
A-0115,佐々木HD,研修・教育,コンサル部,2024-03,433808,107048,22124,462,False,revenue_cost_styleA_202401.csv,129172,326760,304636,0.753236454837163,0.7022369343119537,938.978354978355,良好
A-0116,鈴木物産,研修・教育,営業部,2024-03,556781,189425,42298,69,True,revenue_cost_styleA_202401.csv,231723,367356,325058,0.6597854452648348,0.5838166173055475,8069.289855072464,良好
A-0117,清水ソリューション,SaaS利用料,開発部,2024-02,100956,14836,5199,208,False,revenue_cost_styleA_202401.csv,20035,86120,80921,0.8530448908435359,0.8015472086849716,485.36538461538464,良好
A-0118,渡辺フード,保守サポート,コンサル部,2024-03,786735,212264,62603,218,False,revenue_cost_styleA_202401.csv,274867,574471,511868,0.7301963176927428,0.6506231450234196,3608.876146788991,良好
A-0119,林テクノ,SaaS利用料,CS部,2024-01,173791,47113,5904,361,False,revenue_cost_styleA_202401.csv,53017,126678,120774,0.728910012601343,0.6949381728628065,481.415512465374,良好
A-0120,井上コーポ,研修・教育,CS部,2024-01,179514,70664,15790,431,False,revenue_cost_styleA_202401.csv,86454,108850,93060,0.6063593925821942,0.5183996791336609,416.5058004640371,良好
A-0121,石川メディア,SaaS利用料,営業部,2024-03,76517,19692,3040,74,True,revenue_cost_styleA_202401.csv,22732,56825,53785,0.7426454251996288,0.7029156919377393,1034.0135135135135,良好
A-0122,小林商会,SaaS利用料,営業部,2024-03,222259,56647,13679,315,True,revenue_cost_styleA_202401.csv,70326,165612,151933,0.7451306808723156,0.6835853666218241,705.584126984127,良好
A-0123,橋本デジタル,保守サポート,営業部,2024-01,282973,76964,26785,77,True,revenue_cost_styleA_202401.csv,103749,206009,179224,0.7280164538666233,0.633360780003746,3674.974025974026,良好
A-0124,松本グループ,保守サポート,営業部,2024-03,282710,85681,18396,225,True,revenue_cost_styleA_202401.csv,104077,197029,178633,0.6969297159633546,0.6318595026705811,1256.4888888888888,良好
A-0125,佐々木HD,SaaS利用料,コンサル部,2024-02,361251,44004,18118,494,True,revenue_cost_styleA_202401.csv,62122,317247,299129,0.8781899565675942,0.8280364621828037,731.2773279352226,良好
A-0126,株式会社山田商事,研修・教育,CS部,2024-02,331124,122336,22202,65,False,revenue_cost_styleA_202401.csv,144538,208788,186586,0.6305432405986882,0.5634928304804242,5094.215384615384,良好
A-0127,松本グループ,コンサルティング,開発部,2024-01,511078,160037,56729,334,False,revenue_cost_styleA_202401.csv,216766,351041,294312,0.6868638446577626,0.5758651321324729,1530.1736526946108,良好
A-0128,池田ネットワーク,コンサルティング,CS部,2024-02,1102193,352520,141159,446,True,revenue_cost_styleA_202401.csv,493679,749673,608514,0.6801649075978526,0.5520938710371052,2471.284753363229,良好
A-0129,木村システム,コンサルティング,コンサル部,2024-01,1935223,756091,225723,58,False,revenue_cost_styleA_202401.csv,981814,1179132,953409,0.6093003235286063,0.49266105249885933,33365.91379310345,良好
A-0130,吉田産業,コンサルティング,CS部,2024-03,520107,227476,61877,56,True,revenue_cost_styleA_202401.csv,289353,292631,230754,0.5626361498691616,0.44366639941396674,9287.625,良好
A-0131,佐々木HD,SaaS利用料,コンサル部,2024-01,341698,38268,23326,297,False,revenue_cost_styleA_202401.csv,61594,303430,280104,0.8880063681964776,0.8197414090805331,1150.4983164983164,良好
A-0132,木村システム,SaaS利用料,コンサル部,2024-02,200800,44192,8848,305,True,revenue_cost_styleA_202401.csv,53040,156608,147760,0.7799203187250996,0.7358565737051793,658.360655737705,良好
A-0133,伊藤通信,受託開発,コンサル部,2024-01,3583325,1694830,326594,125,False,revenue_cost_styleA_202401.csv,2021424,1888495,1561901,0.5270230861002002,0.435880362512471,28666.6,良好
A-0134,吉田産業,研修・教育,開発部,2024-03,174589,44459,14053,481,False,revenue_cost_styleA_202401.csv,58512,130130,116077,0.7453505089094961,0.6648586107944945,362.970893970894,良好
A-0135,渡辺フード,保守サポート,開発部,2024-01,789275,260584,51835,334,True,revenue_cost_styleA_202401.csv,312419,528691,476856,0.6698438440340819,0.604169649361756,2363.0988023952095,良好
A-0136,木村システム,SaaS利用料,営業部,2024-02,228727,30073,9713,176,True,revenue_cost_styleA_202401.csv,39786,198654,188941,0.8685201134977506,0.8260546415595885,1299.5852272727273,良好
A-0137,石川メディア,SaaS利用料,営業部,2024-01,403353,46916,19249,227,False,revenue_cost_styleA_202401.csv,66165,356437,337188,0.8836850104003193,0.8359625439751285,1776.8854625550662,良好
A-0138,吉田産業,研修・教育,コンサル部,2024-02,475807,143916,30359,66,False,revenue_cost_styleA_202401.csv,174275,331891,301532,0.6975328231825089,0.633727540788597,7209.19696969697,良好
A-0139,山本企業,研修・教育,コンサル部,2024-03,195615,54586,14470,13,True,revenue_cost_styleA_202401.csv,69056,141029,126559,0.7209518697441403,0.6469800373182015,15047.307692307691,良好
A-0140,吉田産業,保守サポート,営業部,2024-01,444061,121671,35478,230,True,revenue_cost_styleA_202401.csv,157149,322390,286912,0.7260038598300684,0.646109430911519,1930.7,良好
A-0141,加藤工業,受託開発,コンサル部,2024-03,3470969,1611970,397323,31,False,revenue_cost_styleA_202401.csv,2009293,1858999,1461676,0.535585019629965,0.4211146800792516,111966.74193548386,良好
A-0142,松本グループ,SaaS利用料,コンサル部,2024-01,275068,59051,16058,223,False,revenue_cost_styleA_202401.csv,75109,216017,199959,0.7853221748803932,0.7269438829671209,1233.4887892376682,良好
A-0143,松本グループ,SaaS利用料,コンサル部,2024-01,470123,136111,22755,363,False,revenue_cost_styleA_202401.csv,158866,334012,311257,0.7104778962101408,0.6620756695588176,1295.1046831955923,良好
