請求日,請求ID,診療科,保険区分,患者数,診療報酷点数,請求金額,査定減額,支払状況
2024/01/18,CLM-0026,外科,国保,43,3966,39660,3950,支払済み
2024/01/18,CLM-0027,外科,後期高齢,29,3768,37680,2751,支払済み
2024/01/15,CLM-0028,皮膚科,国保,17,2530,25300,920,支払済み
2024/01/01,CLM-0029,皮膚科,後期高齢,24,2304,23040,29,支払済み
2024/01/02,CLM-0030,外科,社保,12,3206,32060,290,支払済み
2024/01/09,CLM-0031,小児科,社保,44,1583,15830,1481,審査中
2024/01/19,CLM-0032,皮膚科,国保,25,4374,43740,3334,支払済み
2024/01/04,CLM-0033,小児科,国保,37,3867,38670,1912,審査中
2024/01/02,CLM-0034,内科,社保,35,3279,32790,3279,審査中
2024/01/08,CLM-0035,外科,社保,44,4175,41750,1148,支払済み
2024/01/09,CLM-0036,小児科,社保,14,4130,41300,802,支払済み
2024/01/18,CLM-0037,内科,社保,25,1862,18620,832,支払済み
2024/01/07,CLM-0038,小児科,社保,20,3604,36040,8,返戈
2024/01/09,CLM-0039,小児科,国保,37,4486,44860,1268,支払済み
2024/01/07,CLM-0040,内科,後期高齢,44,999,9990,765,支払済み
2024/01/02,CLM-0041,皮膚科,国保,42,4850,48500,1289,支払済み
2024/01/17,CLM-0042,内科,社保,14,1056,10560,481,支払済み
2024/01/19,CLM-0043,外科,後期高齢,48,825,8250,634,支払済み
2024/01/19,CLM-0044,皮膚科,後期高齢,30,2636,26360,836,支払済み
2024/01/11,CLM-0045,外科,国保,35,1572,15720,1375,支払済み
2024/01/15,CLM-0046,整形外科,社保,10,4254,42540,819,支払済み
2024/01/07,CLM-0047,皮膚科,国保,18,3359,33590,281,審査中
2024/01/12,CLM-0048,整形外科,社保,38,4950,49500,2478,支払済み
2024/01/17,CLM-0049,内科,後期高齢,45,2952,29520,2717,支払済み
2024/01/05,CLM-0050,整形外科,社保,16,1773,17730,557,支払済み
2024/01/07,CLM-0051,整形外科,社保,50,2662,26620,2070,支払済み
2024/01/02,CLM-0052,内科,後期高齢,37,2766,27660,180,支払済み
2024/01/05,CLM-0053,整形外科,社保,38,4003,40030,2297,支払済み
2024/01/03,CLM-0054,外科,後期高齢,12,3524,35240,2385,支払済み
2024/01/14,CLM-0055,外科,社保,29,3487,34870,3260,返戈
2024/01/02,CLM-0056,整形外科,社保,25,1342,13420,724,審査中
2024/01/14,CLM-0057,皮膚科,後期高齢,19,2439,24390,665,返戈
2024/01/06,CLM-0058,小児科,社保,21,3221,32210,3204,審査中
2024/01/08,CLM-0059,整形外科,社保,16,3633,36330,3572,支払済み
2024/01/16,CLM-0060,外科,社保,39,3364,33640,1250,審査中
2024/01/08,CLM-0061,外科,社保,22,3764,37640,1344,支払済み
2024/01/03,CLM-0062,整形外科,国保,42,3774,37740,2783,返戈
2024/01/18,CLM-0063,整形外科,社保,17,2639,26390,731,支払済み
2024/01/09,CLM-0064,内科,社保,48,4059,40590,1415,支払済み
2024/01/11,CLM-0065,小児科,後期高齢,42,1447,14470,788,審査中
2024/01/07,CLM-0066,整形外科,社保,37,513,5130,201,支払済み
2024/01/03,CLM-0067,整形外科,後期高齢,30,1520,15200,1474,審査中
2024/01/17,CLM-0068,整形外科,後期高齢,36,3172,31720,1648,支払済み
2024/01/18,CLM-0069,外科,社保,36,3605,36050,2774,支払済み
2024/01/06,CLM-0070,皮膚科,後期高齢,29,3826,38260,2244,審査中
2024/01/10,CLM-0071,整形外科,社保,37,3139,31390,1904,支払済み
2024/01/07,CLM-0072,皮膚科,国保,20,1194,11940,581,支払済み
2024/01/20,CLM-0073,整形外科,社保,25,3042,30420,920,審査中
2024/01/05,CLM-0074,内科,社保,25,4392,43920,596,支払済み
2024/01/19,CLM-0075,外科,後期高齢,34,4549,45490,3273,支払済み
2024/01/01,CLM-0076,内科,国保,24,1940,19400,1646,返戈
2024/01/17,CLM-0077,小児科,社保,45,2541,25410,497,支払済み
2024/01/15,CLM-0078,皮膚科,後期高齢,48,3099,30990,3093,審査中
2024/01/20,CLM-0079,皮膚科,国保,45,4152,41520,1303,支払済み
2024/01/16,CLM-0080,小児科,国保,25,2771,27710,2135,支払済み
2024/01/08,CLM-0081,整形外科,国保,14,2840,28400,960,支払済み
2024/01/11,CLM-0082,皮膚科,社保,18,1735,17350,473,支払済み
2024/01/05,CLM-0083,外科,社保,36,3839,38390,1355,支払済み
2024/01/14,CLM-0084,内科,社保,36,3690,36900,3153,支払済み
2024/01/01,CLM-0085,皮膚科,国保,40,548,5480,360,支払済み
2024/01/13,CLM-0086,小児科,後期高齢,44,2306,23060,1999,支払済み
2024/01/14,CLM-0087,小児科,社保,34,3253,32530,2739,支払済み
2024/01/13,CLM-0088,外科,国保,18,4875,48750,220,審査中
2024/01/19,CLM-0089,皮膚科,後期高齢,11,1187,11870,877,支払済み
2024/01/15,CLM-0090,外科,社保,26,3605,36050,1340,支払済み
2024/01/11,CLM-0091,整形外科,国保,27,3953,39530,1033,審査中
2024/01/16,CLM-0092,内科,後期高齢,44,926,9260,358,支払済み
2024/01/03,CLM-0093,内科,社保,25,2133,21330,83,支払済み
2024/01/08,CLM-0094,外科,国保,17,2285,22850,1904,支払済み
2024/01/12,CLM-0095,外科,後期高齢,48,1438,14380,335,返戈
2024/01/04,CLM-0096,皮膚科,社保,29,3574,35740,1624,審査中
2024/01/07,CLM-0097,内科,後期高齢,50,2489,24890,417,支払済み
2024/01/10,CLM-0098,皮膚科,社保,46,836,8360,355,支払済み
2024/01/12,CLM-0099,内科,後期高齢,31,603,6030,430,審査中
2024/01/04,CLM-0100,小児科,国保,50,4266,42660,1253,支払済み
2024/01/17,CLM-0101,整形外科,後期高齢,44,4460,44600,3808,支払済み
2024/01/19,CLM-0102,整形外科,国保,25,1209,12090,571,審査中
2024/01/08,CLM-0103,小児科,後期高齢,49,3604,36040,1377,支払済み
2024/01/11,CLM-0104,外科,国保,23,3406,34060,3267,支払済み
2024/01/09,CLM-0105,皮膚科,後期高齢,27,583,5830,529,審査中
2024/01/03,CLM-0106,外科,後期高齢,36,4502,45020,1968,支払済み
2024/01/16,CLM-0107,小児科,社保,15,2910,29100,907,支払済み
2024/01/08,CLM-0108,整形外科,後期高齢,47,3523,35230,1938,支払済み
2024/01/12,CLM-0109,小児科,後期高齢,45,3209,32090,1441,支払済み
2024/01/09,CLM-0110,整形外科,国保,24,1488,14880,1477,支払済み
2024/01/04,CLM-0111,皮膚科,後期高齢,21,2069,20690,886,支払済み
2024/01/09,CLM-0112,皮膚科,後期高齢,48,2818,28180,411,審査中
2024/01/10,CLM-0113,外科,国保,21,2976,29760,57,支払済み
2024/01/05,CLM-0114,整形外科,社保,13,2893,28930,2856,審査中
2024/01/16,CLM-0115,内科,社保,46,2829,28290,1922,支払済み
2024/01/11,CLM-0116,外科,社保,26,4413,44130,934,審査中
2024/01/13,CLM-0117,小児科,社保,46,939,9390,155,支払済み
2024/01/19,CLM-0118,整形外科,社保,25,1470,14700,1142,審査中
2024/01/20,CLM-0119,皮膚科,後期高齢,24,4780,47800,3116,支払済み
2024/01/15,CLM-0120,整形外科,後期高齢,37,3001,30010,2329,支払済み
2024/01/20,CLM-0121,内科,社保,50,2228,22280,1083,支払済み
2024/01/06,CLM-0122,外科,社保,45,1114,11140,320,支払済み
2024/01/15,CLM-0123,皮膚科,国保,28,767,7670,237,支払済み
2024/01/10,CLM-0124,小児科,社保,24,2667,26670,2560,支払済み
2024/01/07,CLM-0125,小児科,社保,44,2341,23410,610,審査中
2024/01/05,CLM-0126,内科,社保,20,3019,30190,2437,支払済み
2024/01/19,CLM-0127,整形外科,国保,17,4339,43390,2491,支払済み
2024/01/09,CLM-0128,皮膚科,後期高齢,41,4086,40860,329,支払済み
2024/01/14,CLM-0129,整形外科,後期高齢,26,711,7110,93,支払済み
2024/01/19,CLM-0130,皮膚科,社保,27,829,8290,781,審査中
2024/01/16,CLM-0131,皮膚科,後期高齢,38,2778,27780,743,返戈
2024/01/14,CLM-0132,小児科,社保,40,3350,33500,1672,支払済み
2024/01/04,CLM-0133,外科,国保,36,4558,45580,2361,支払済み
2024/01/13,CLM-0134,皮膚科,社保,39,1221,12210,644,支払済み
2024/01/04,CLM-0135,小児科,後期高齢,10,4944,49440,3784,支払済み
2024/01/07,CLM-0136,皮膚科,国保,49,4583,45830,3621,審査中
2024/01/07,CLM-0137,整形外科,後期高齢,18,2859,28590,1794,審査中
2024/01/16,CLM-0138,内科,社保,50,2460,24600,648,支払済み
2024/01/01,CLM-0139,皮膚科,国保,15,2340,23400,464,支払済み
2024/01/04,CLM-0140,外科,国保,28,4668,46680,2239,支払済み
2024/01/16,CLM-0141,小児科,社保,39,1684,16840,785,支払済み
2024/01/20,CLM-0142,皮膚科,後期高齢,18,1071,10710,565,審査中
2024/01/14,CLM-0143,整形外科,後期高齢,27,521,5210,289,支払済み
2024/01/19,CLM-0144,皮膚科,後期高齢,41,1717,17170,914,支払済み
2024/01/12,CLM-0145,整形外科,後期高齢,44,3590,35900,1865,審査中
2024/01/07,CLM-0146,外科,後期高齢,34,2413,24130,1682,支払済み
2024/01/16,CLM-0147,小児科,国保,19,4557,45570,303,支払済み
2024/01/19,CLM-0148,整形外科,社保,38,1316,13160,1077,審査中
2024/01/01,CLM-0149,外科,国保,19,1112,11120,961,審査中
2024/01/09,CLM-0150,整形外科,後期高齢,35,1157,11570,672,審査中
2024/01/18,CLM-0151,小児科,国保,50,4497,44970,4432,支払済み
2024/01/03,CLM-0152,外科,後期高齢,28,2363,23630,370,支払済み
2024/01/04,CLM-0153,内科,国保,20,2953,29530,118,支払済み
2024/01/02,CLM-0154,整形外科,国保,33,4028,40280,596,支払済み
2024/01/14,CLM-0155,皮膚科,後期高齢,21,1892,18920,358,支払済み
2024/01/13,CLM-0156,皮膚科,後期高齢,25,4576,45760,1172,支払済み
2024/01/09,CLM-0157,小児科,国保,10,4311,43110,2356,支払済み
2024/01/06,CLM-0158,内科,国保,32,2950,29500,2617,返戈
2024/01/09,CLM-0159,小児科,国保,22,3651,36510,3495,支払済み
2024/01/08,CLM-0160,小児科,後期高齢,32,2923,29230,2864,支払済み
