ClaimDate,ClaimID,Department,InsuranceType,PatientCount,TotalPoints,ClaimAmount,ReductionAmount,PaymentStatus
2024-01-09,CLM-0199,内科,社保,27,3031,30310,1391,Paid
2024-01-06,CLM-0200,外科,後期高齢,35,1070,10700,290,Paid
2024-01-01,CLM-0201,内科,後期高齢,43,2262,22620,1540,Paid
2024-01-11,CLM-0202,外科,国保,29,3157,31570,2324,Paid
2024-01-02,CLM-0203,外科,社保,49,907,9070,690,Paid
2024-01-15,CLM-0204,小児科,国保,48,4121,41210,3392,Paid
2024-01-17,CLM-0205,内科,国保,37,1408,14080,580,Paid
2024-01-19,CLM-0206,小児科,後期高齢,29,872,8720,225,Paid
2024-01-20,CLM-0207,内科,社保,23,2969,29690,865,UnderReview
2024-01-09,CLM-0208,整形外科,国保,17,563,5630,509,Paid
2024-01-06,CLM-0209,外科,国保,44,2385,23850,2049,Paid
2024-01-12,CLM-0210,内科,国保,12,4073,40730,76,Paid
2024-01-03,CLM-0211,整形外科,後期高齢,37,3813,38130,2906,Paid
2024-01-10,CLM-0212,内科,国保,11,3160,31600,703,UnderReview
2024-01-20,CLM-0213,小児科,後期高齢,33,1221,12210,894,UnderReview
2024-01-08,CLM-0214,小児科,後期高齢,35,4792,47920,644,Paid
2024-01-10,CLM-0215,整形外科,社保,31,1877,18770,156,Paid
2024-01-04,CLM-0216,皮膚科,後期高齢,22,3362,33620,1438,Paid
2024-01-05,CLM-0217,外科,社保,19,2596,25960,808,Paid
2024-01-05,CLM-0218,内科,社保,50,4547,45470,3800,UnderReview
2024-01-19,CLM-0219,小児科,後期高齢,46,3147,31470,2569,Paid
2024-01-15,CLM-0220,内科,国保,38,2980,29800,1125,Paid
2024-01-12,CLM-0221,皮膚科,社保,29,4282,42820,3702,Paid
2024-01-12,CLM-0222,整形外科,社保,15,4653,46530,3149,Paid
2024-01-18,CLM-0223,内科,国保,46,2042,20420,658,Paid
2024-01-17,CLM-0224,外科,社保,38,1347,13470,703,Returned
2024-01-03,CLM-0225,皮膚科,後期高齢,21,820,8200,253,Paid
2024-01-15,CLM-0226,皮膚科,後期高齢,49,1800,18000,745,Paid
2024-01-10,CLM-0227,小児科,国保,31,928,9280,808,Paid
2024-01-11,CLM-0228,内科,国保,16,3666,36660,1163,Paid
2024-01-20,CLM-0229,外科,国保,15,1658,16580,716,Paid
2024-01-13,CLM-0230,外科,後期高齢,15,3036,30360,2289,Paid
2024-01-11,CLM-0231,外科,後期高齢,43,1265,12650,867,Paid
2024-01-01,CLM-0232,整形外科,国保,21,2254,22540,1399,UnderReview
2024-01-16,CLM-0233,外科,社保,18,1769,17690,158,Paid
2024-01-04,CLM-0234,皮膚科,後期高齢,43,809,8090,677,Paid
2024-01-20,CLM-0235,外科,後期高齢,34,1763,17630,332,Paid
2024-01-20,CLM-0236,外科,後期高齢,38,857,8570,420,Paid
2024-01-08,CLM-0237,小児科,後期高齢,28,4177,41770,1916,Paid
2024-01-10,CLM-0238,小児科,社保,33,4109,41090,3782,UnderReview
2024-01-13,CLM-0239,皮膚科,後期高齢,36,1827,18270,1672,Paid
2024-01-20,CLM-0240,外科,国保,13,4436,44360,3040,Paid
2024-01-04,CLM-0241,皮膚科,社保,28,1187,11870,328,Paid
2024-01-17,CLM-0242,外科,国保,15,2318,23180,1847,UnderReview
2024-01-01,CLM-0243,小児科,社保,35,4612,46120,3063,Paid
2024-01-03,CLM-0244,整形外科,社保,11,3110,31100,405,UnderReview
2024-01-11,CLM-0245,外科,社保,12,2850,28500,1935,Paid
2024-01-05,CLM-0246,小児科,国保,49,543,5430,81,Paid
2024-01-07,CLM-0247,外科,後期高齢,48,4823,48230,3467,Paid
2024-01-10,CLM-0248,外科,国保,17,891,8910,244,Paid
2024-01-20,CLM-0249,小児科,社保,17,4594,45940,4391,Paid
2024-01-17,CLM-0250,皮膚科,社保,19,2886,28860,1758,Paid
2024-01-12,CLM-0251,外科,後期高齢,36,2034,20340,1360,Paid
2024-01-17,CLM-0252,整形外科,社保,43,4957,49570,4156,UnderReview
2024-01-17,CLM-0253,皮膚科,社保,34,4351,43510,356,Paid
2024-01-12,CLM-0254,整形外科,後期高齢,11,3425,34250,3229,Paid
2024-01-08,CLM-0255,内科,後期高齢,31,1592,15920,90,Paid
2024-01-11,CLM-0256,外科,後期高齢,39,4420,44200,1493,UnderReview
2024-01-03,CLM-0257,小児科,社保,28,2151,21510,179,UnderReview
2024-01-02,CLM-0258,整形外科,国保,42,3762,37620,3339,Paid
2024-01-09,CLM-0259,内科,後期高齢,22,2843,28430,1462,UnderReview
2024-01-02,CLM-0260,整形外科,国保,17,3514,35140,1789,UnderReview
2024-01-15,CLM-0261,小児科,国保,21,4564,45640,4075,Paid
2024-01-17,CLM-0262,整形外科,社保,37,1146,11460,881,Paid
2024-01-06,CLM-0263,皮膚科,国保,30,1340,13400,163,Paid
2024-01-10,CLM-0264,整形外科,国保,48,3990,39900,682,Paid
2024-01-12,CLM-0265,小児科,社保,32,4063,40630,1124,Paid
2024-01-02,CLM-0266,内科,後期高齢,50,3827,38270,1488,Paid
2024-01-06,CLM-0267,内科,社保,48,4089,40890,142,Paid
2024-01-08,CLM-0268,整形外科,国保,34,765,7650,619,Paid
2024-01-15,CLM-0269,整形外科,国保,38,1129,11290,281,Paid
2024-01-13,CLM-0270,整形外科,後期高齢,27,2544,25440,464,Paid
2024-01-06,CLM-0271,小児科,後期高齢,34,1464,14640,536,UnderReview
2024-01-15,CLM-0272,外科,後期高齢,28,4523,45230,1639,Paid
2024-01-03,CLM-0273,小児科,社保,38,1219,12190,654,Paid
2024-01-03,CLM-0274,皮膚科,後期高齢,28,2957,29570,645,Paid
2024-01-06,CLM-0275,整形外科,後期高齢,24,1494,14940,411,UnderReview
2024-01-08,CLM-0276,小児科,社保,33,3522,35220,1914,UnderReview
2024-01-18,CLM-0277,外科,後期高齢,15,1038,10380,633,Paid
2024-01-16,CLM-0278,皮膚科,国保,36,1104,11040,256,Returned
2024-01-03,CLM-0279,小児科,国保,43,3322,33220,525,UnderReview
2024-01-18,CLM-0280,皮膚科,社保,18,4044,40440,2059,UnderReview
2024-01-02,CLM-0281,内科,後期高齢,19,2991,29910,674,Paid
2024-01-08,CLM-0282,整形外科,後期高齢,28,1146,11460,513,Paid
2024-01-18,CLM-0283,整形外科,社保,50,2980,29800,2516,Paid
2024-01-17,CLM-0284,外科,後期高齢,47,1763,17630,350,Paid
2024-01-20,CLM-0285,整形外科,後期高齢,12,732,7320,83,Paid
2024-01-19,CLM-0286,整形外科,後期高齢,23,3912,39120,2531,Paid
2024-01-16,CLM-0287,皮膚科,国保,29,4456,44560,2006,UnderReview
2024-01-13,CLM-0288,整形外科,国保,14,990,9900,161,Paid
2024-01-16,CLM-0289,小児科,社保,31,1676,16760,640,UnderReview
2024-01-11,CLM-0290,整形外科,国保,18,3535,35350,2109,Paid
2024-01-11,CLM-0291,外科,国保,17,2691,26910,1841,Paid
2024-01-04,CLM-0292,内科,国保,34,3925,39250,1016,Returned
2024-01-06,CLM-0293,整形外科,後期高齢,30,2055,20550,652,Paid
2024-01-17,CLM-0294,小児科,国保,29,4574,45740,189,Paid
2024-01-13,CLM-0295,皮膚科,国保,25,2262,22620,1445,Paid
2024-01-10,CLM-0296,小児科,後期高齢,40,2840,28400,2198,Paid
2024-01-04,CLM-0297,小児科,社保,26,3496,34960,3128,Paid
2024-01-02,CLM-0298,小児科,社保,46,2094,20940,1484,Paid
2024-01-03,CLM-0299,小児科,後期高齢,38,2791,27910,2552,Paid
2024-01-04,CLM-0300,外科,社保,35,3557,35570,3255,Returned
2024-01-18,CLM-0301,整形外科,社保,22,4670,46700,3288,Paid
2024-01-02,CLM-0302,内科,社保,31,4380,43800,4254,Paid
2024-01-20,CLM-0303,皮膚科,社保,30,3109,31090,665,Paid
2024-01-20,CLM-0304,整形外科,後期高齢,31,4655,46550,4175,Paid
2024-01-19,CLM-0305,整形外科,国保,11,3517,35170,1356,Paid
2024-01-14,CLM-0306,皮膚科,国保,50,718,7180,611,Paid
2024-01-19,CLM-0307,皮膚科,社保,13,4435,44350,1396,Paid
2024-01-20,CLM-0308,小児科,社保,25,758,7580,586,UnderReview
2024-01-04,CLM-0309,外科,社保,38,3069,30690,1715,Paid
2024-01-07,CLM-0310,小児科,後期高齢,49,4363,43630,510,Paid
2024-01-17,CLM-0311,外科,後期高齢,30,4418,44180,4304,Paid
2024-01-06,CLM-0312,小児科,後期高齢,31,4975,49750,2902,Paid
2024-01-09,CLM-0313,皮膚科,国保,22,2519,25190,1142,Paid
2024-01-08,CLM-0314,整形外科,国保,23,4505,45050,2597,Paid
2024-01-18,CLM-0315,整形外科,国保,17,4949,49490,3110,UnderReview
2024-01-13,CLM-0316,整形外科,社保,28,844,8440,294,Returned
2024-01-03,CLM-0317,整形外科,国保,26,4424,44240,1752,Paid
2024-01-18,CLM-0318,整形外科,後期高齢,27,1624,16240,223,Paid
2024-01-19,CLM-0319,外科,社保,13,4850,48500,1848,Paid
2024-01-02,CLM-0320,内科,国保,31,4369,43690,823,Paid
