日付,工程名,測定値
2024-01-04,溶接,10.0284
2024-01-04,溶接,10.1043
2024-01-04,溶接,9.9589
2024-01-04,溶接,9.9915
2024-01-04,溶接,9.9859
2024-01-04,溶接,9.8927
2024-01-05,溶接,10.0458
2024-01-05,溶接,10.0427
2024-01-05,溶接,10.0204
2024-01-05,溶接,9.9996
2024-01-05,溶接,9.8969
2024-01-05,溶接,9.9834
2024-01-05,溶接,9.9902
2024-01-05,溶接,9.9502
2024-01-05,溶接,10.006
2024-01-05,溶接,10.0552
2024-01-05,溶接,10.1841
2024-01-05,溶接,10.0352
2024-01-05,溶接,10.0424
2024-01-05,溶接,10.0135
2024-01-05,溶接,9.8531
2024-01-05,溶接,10.0177
2024-01-05,溶接,10.0252
2024-01-05,溶接,10.2343
2024-01-05,溶接,10.0033
2024-01-05,溶接,10.0462
2024-01-05,溶接,10.017
2024-01-05,溶接,9.9183
2024-01-05,溶接,10.1194
2024-01-05,溶接,10.0854
2024-01-06,溶接,10.0888
2024-01-06,溶接,9.9409
2024-01-06,溶接,10.142
2024-01-06,溶接,9.898
2024-01-06,溶接,10.0711
2024-01-06,溶接,10.2106
2024-01-06,溶接,9.9338
2024-01-06,溶接,9.9707
2024-01-06,溶接,10.0287
2024-01-06,溶接,9.9762
2024-01-06,溶接,9.8851
2024-01-06,溶接,10.026
2024-01-06,溶接,9.9276
2024-01-06,溶接,10.0612
2024-01-06,溶接,9.94
2024-01-06,溶接,10.1548
2024-01-06,溶接,9.9519
2024-01-06,溶接,9.992
2024-01-06,溶接,10.0908
2024-01-06,溶接,9.9129
2024-01-06,溶接,10.0398
2024-01-06,溶接,10.1337
2024-01-06,溶接,9.8801
2024-01-06,溶接,10.0361
2024-01-07,溶接,10.0426
2024-01-07,溶接,10.088
2024-01-07,溶接,9.9124
2024-01-07,溶接,9.9051
2024-01-07,溶接,10.0654
2024-01-07,溶接,10.0458
2024-01-07,溶接,10.0418
2024-01-07,溶接,10.0501
2024-01-07,溶接,9.9608
2024-01-07,溶接,10.0402
2024-01-07,溶接,10.0455
2024-01-07,溶接,9.9579
2024-01-07,溶接,10.1823
2024-01-07,溶接,10.0612
2024-01-07,溶接,9.9164
2024-01-07,溶接,10.0771
2024-01-07,溶接,9.9352
2024-01-07,溶接,10.0885
2024-01-07,溶接,10.1208
2024-01-07,溶接,9.9486
2024-01-07,溶接,10.1038
2024-01-07,溶接,10.0559
2024-01-07,溶接,10.0915
2024-01-07,溶接,10.185
2024-01-08,溶接,9.9987
2024-01-08,溶接,9.9544
2024-01-08,溶接,9.9426
2024-01-08,溶接,9.949
2024-01-08,溶接,10.0133
2024-01-08,溶接,10.0497
2024-01-08,溶接,10.0441
2024-01-08,溶接,10.092
2024-01-08,溶接,10.0211
2024-01-08,溶接,10.1465
2024-01-08,溶接,9.997
2024-01-08,溶接,10.2567
2024-01-08,溶接,10.0744
2024-01-08,溶接,9.9454
2024-01-08,溶接,9.9268
2024-01-08,溶接,10.062
2024-01-08,溶接,10.0006
2024-01-08,溶接,10.0821
2024-01-08,溶接,10.0612
2024-01-08,溶接,10.0137
2024-01-08,溶接,9.9463
2024-01-08,溶接,9.8882
2024-01-08,溶接,9.9812
2024-01-08,溶接,10.0945
2024-01-09,溶接,10.0386
2024-01-09,溶接,9.9116
2024-01-09,溶接,10.0351
2024-01-09,溶接,10.0535
2024-01-09,溶接,9.9431
2024-01-09,溶接,10.0334
2024-01-09,溶接,10.0251
2024-01-09,溶接,9.9206
2024-01-01,塗装,9.9229
2024-01-01,塗装,9.9473
2024-01-01,塗装,10.01
2024-01-01,塗装,10.0065
2024-01-01,塗装,9.7147
2024-01-01,塗装,9.7675
2024-01-01,塗装,9.9418
2024-01-01,塗装,9.9417
2024-01-01,塗装,9.9418
2024-01-01,塗装,10.3423
2024-01-01,塗装,9.9485
2024-01-01,塗装,10.0163
2024-01-01,塗装,9.9945
2024-01-01,塗装,9.9582
2024-01-01,塗装,9.8422
2024-01-01,塗装,9.9711
2024-01-01,塗装,9.7873
2024-01-01,塗装,9.8516
2024-01-01,塗装,9.8218
2024-01-01,塗装,9.8898
2024-01-01,塗装,10.1578
2024-01-01,塗装,9.6559
2024-01-01,塗装,9.9624
2024-01-01,塗装,9.6865
2024-01-02,塗装,9.8234
2024-01-02,塗装,10.0107
2024-01-02,塗装,9.8877
2024-01-02,塗装,9.7507
2024-01-02,塗装,9.7942
2024-01-02,塗装,9.9616
2024-01-02,塗装,9.7924
2024-01-02,塗装,9.906
2024-01-02,塗装,9.8855
2024-01-02,塗装,9.8018
2024-01-02,塗装,10.1373
2024-01-02,塗装,9.9561
2024-01-02,塗装,9.637
2024-01-02,塗装,9.9024
2024-01-02,塗装,9.8006
2024-01-02,塗装,9.9823
2024-01-02,塗装,9.7849
2024-01-02,塗装,9.8662
2024-01-02,塗装,9.9406
2024-01-02,塗装,9.9839
2024-01-02,塗装,9.736
2024-01-02,塗装,9.8399
2024-01-02,塗装,9.823
2024-01-02,塗装,9.8016
2024-01-03,塗装,10.0919
2024-01-03,塗装,9.9286
2024-01-03,塗装,9.7287
2024-01-03,塗装,9.9901
2024-01-03,塗装,10.1347
2024-01-03,塗装,10.0039
2024-01-03,塗装,9.6977
2024-01-03,塗装,9.8219
2024-01-03,塗装,10.032
2024-01-03,塗装,9.7951
2024-01-03,塗装,9.9333
2024-01-03,塗装,9.973
2024-01-03,塗装,9.7688
2024-01-03,塗装,9.8729
2024-01-03,塗装,9.491
2024-01-03,塗装,9.7571
2024-01-03,塗装,9.8497
2024-01-03,塗装,9.7303
2024-01-03,塗装,10.0759
2024-01-03,塗装,9.7084
2024-01-03,塗装,9.8272
2024-01-03,塗装,9.8957
2024-01-03,塗装,10.053
2024-01-03,塗装,9.7077
2024-01-04,塗装,10.0196
2024-01-04,塗装,9.8812
2024-01-04,塗装,9.7622
2024-01-04,塗装,9.9355
2024-01-04,塗装,9.9039
2024-01-04,塗装,9.808
2024-01-04,塗装,9.8884
2024-01-04,塗装,9.8338
2024-01-04,塗装,9.8936
2024-01-04,塗装,9.9595
2024-01-04,塗装,10.0703
2024-01-04,塗装,9.7315
2024-01-04,塗装,10.136
2024-01-04,塗装,9.6457
2024-01-04,塗装,9.8618
2024-01-04,塗装,9.9506
2024-01-04,塗装,9.9137
2024-01-04,塗装,9.8053
2024-01-04,塗装,9.855
2024-01-04,塗装,9.8208
2024-01-04,塗装,9.8093
2024-01-04,塗装,9.982
2024-01-04,塗装,9.9228
2024-01-04,塗装,9.7969
2024-01-05,塗装,9.988
2024-01-05,塗装,9.9169
2024-01-05,塗装,9.9775
2024-01-05,塗装,9.9556
2024-01-05,塗装,9.7805
2024-01-05,塗装,9.8128
2024-01-05,塗装,9.9697
2024-01-05,塗装,9.9532
2024-01-05,塗装,9.8775
2024-01-05,塗装,9.8941
2024-01-05,塗装,10.0333
2024-01-05,塗装,9.809
2024-01-05,塗装,9.9457
2024-01-05,塗装,9.8557
2024-01-05,塗装,9.8539
2024-01-05,塗装,10.0119
2024-01-05,塗装,9.979
2024-01-05,塗装,9.9776
2024-01-05,塗装,10.0367
2024-01-05,塗装,9.8825
2024-01-05,塗装,9.9618
2024-01-05,塗装,9.8428
2024-01-05,塗装,9.9189
2024-01-05,塗装,9.8644
2024-01-06,塗装,9.8916
2024-01-06,塗装,9.9514
2024-01-06,塗装,9.7818
2024-01-06,塗装,10.1311
2024-01-06,塗装,9.7593
2024-01-06,塗装,9.7343
2024-01-06,塗装,10.019
2024-01-06,塗装,9.975
2024-01-06,塗装,9.9549
2024-01-06,塗装,9.9554
2024-01-06,塗装,9.8785
2024-01-06,塗装,9.7723
2024-01-06,塗装,9.8891
2024-01-06,塗装,9.7987
2024-01-06,塗装,9.997
2024-01-06,塗装,9.8624
2024-01-06,塗装,9.7809
2024-01-06,塗装,9.8414
2024-01-06,塗装,9.9296
2024-01-06,塗装,9.8124
2024-01-06,塗装,9.7813
2024-01-06,塗装,9.9092
2024-01-06,塗装,9.9094
2024-01-06,塗装,9.8192
2024-01-07,塗装,9.8235
2024-01-07,塗装,9.9078
2024-01-07,塗装,9.7062
2024-01-07,塗装,9.7111
2024-01-07,塗装,9.7938
2024-01-07,塗装,9.8544
2024-01-07,塗装,9.9173
2024-01-07,塗装,10.057
2024-01-07,塗装,9.9829
2024-01-07,塗装,9.8608
2024-01-07,塗装,9.8777
2024-01-07,塗装,9.7597
2024-01-07,塗装,9.8778
2024-01-07,塗装,9.8454
2024-01-07,塗装,9.9187
2024-01-07,塗装,9.7807
2024-01-07,塗装,9.9423
2024-01-07,塗装,10.0639
2024-01-07,塗装,9.8669
2024-01-07,塗装,9.9282
2024-01-07,塗装,9.9628
2024-01-07,塗装,9.8319
2024-01-07,塗装,9.9069
2024-01-07,塗装,9.8815
2024-01-08,塗装,9.8917
2024-01-08,塗装,9.7872
2024-01-08,塗装,9.8829
2024-01-08,塗装,9.9398
2024-01-08,塗装,10.0541
2024-01-08,塗装,9.9951
2024-01-08,塗装,10.1384
2024-01-08,塗装,9.7879
2024-01-08,塗装,9.9847
2024-01-08,塗装,9.902
2024-01-08,塗装,10.1428
2024-01-08,塗装,9.783
2024-01-08,塗装,9.7792
2024-01-08,塗装,9.8081
2024-01-08,塗装,9.6251
2024-01-08,塗装,9.8169
2024-01-08,塗装,9.7889
2024-01-08,塗装,9.898
2024-01-08,塗装,9.921
2024-01-08,塗装,10.1051
2024-01-08,塗装,9.9941
2024-01-08,塗装,9.8108
2024-01-08,塗装,9.7722
2024-01-08,塗装,9.939
2024-01-09,塗装,9.7216
2024-01-09,塗装,10.0998
2024-01-09,塗装,10.0215
2024-01-09,塗装,9.8237
2024-01-09,塗装,9.6744
2024-01-09,塗装,10.0425
2024-01-09,塗装,9.8663
2024-01-09,塗装,10.0285
2024-01-01,組立,9.7608
2024-01-01,組立,9.9101
2024-01-01,組立,10.0008
2024-01-01,組立,10.007
2024-01-01,組立,9.9325
2024-01-01,組立,10.0934
2024-01-01,組立,9.8399
2024-01-01,組立,9.9786
2024-01-01,組立,10.018
2024-01-01,組立,10.0772
2024-01-01,組立,10.1067
2024-01-01,組立,9.8313
2024-01-01,組立,9.7699
2024-01-01,組立,10.1917
2024-01-01,組立,10.0498
2024-01-01,組立,9.8877
2024-01-01,組立,10.2327
2024-01-01,組立,10.0174
2024-01-01,組立,10.1769
2024-01-01,組立,10.0101
2024-01-01,組立,10.3091
2024-01-01,組立,10.2633
2024-01-01,組立,9.9627
2024-01-01,組立,10.1457
2024-01-02,組立,10.0968
2024-01-02,組立,10.2053
2024-01-02,組立,9.8553
2024-01-02,組立,10.1029
2024-01-02,組立,10.1588
2024-01-02,組立,9.7362
2024-01-02,組立,9.8225
2024-01-02,組立,9.6941
2024-01-02,組立,9.9596
2024-01-02,組立,10.1076
2024-01-02,組立,10.2254
2024-01-02,組立,10.0111
2024-01-02,組立,10.2443
2024-01-02,組立,9.793
2024-01-02,組立,9.7445
2024-01-02,組立,9.9917
2024-01-02,組立,10.0576
2024-01-02,組立,9.9951
2024-01-02,組立,9.6899
2024-01-02,組立,9.9866
2024-01-02,組立,9.8043
2024-01-02,組立,10.1005
2024-01-02,組立,10.055
2024-01-02,組立,9.859
2024-01-03,組立,9.9229
2024-01-03,組立,9.8411
2024-01-03,組立,9.9906
2024-01-03,組立,10.1433
2024-01-03,組立,9.8521
2024-01-03,組立,10.0756
2024-01-03,組立,9.9205
2024-01-03,組立,9.8811
2024-01-03,組立,9.9839
2024-01-03,組立,9.8447
2024-01-03,組立,9.917
2024-01-03,組立,9.8203
2024-01-03,組立,10.2947
2024-01-03,組立,10.0053
2024-01-03,組立,9.895
2024-01-03,組立,10.0321
2024-01-03,組立,9.9832
2024-01-03,組立,9.9669
2024-01-03,組立,10.0921
2024-01-03,組立,10.1136
2024-01-03,組立,9.9204
2024-01-03,組立,9.9136
2024-01-03,組立,9.9587
2024-01-03,組立,9.6547
2024-01-04,組立,9.7727
2024-01-04,組立,10.205
2024-01-04,組立,10.2467
2024-01-04,組立,9.9626
2024-01-04,組立,10.0865
2024-01-04,組立,10.0467
2024-01-04,組立,10.4618
2024-01-04,組立,10.1679
2024-01-04,組立,9.9808
2024-01-04,組立,9.8567
2024-01-04,組立,9.759
2024-01-04,組立,10.0305
2024-01-04,組立,9.8865
2024-01-04,組立,9.7867
2024-01-04,組立,9.903
2024-01-04,組立,9.8378
2024-01-04,組立,10.2531
2024-01-04,組立,10.1322
2024-01-04,組立,9.9988
2024-01-04,組立,10.222
2024-01-04,組立,10.0116
2024-01-04,組立,9.8708
2024-01-04,組立,10.2285
2024-01-04,組立,10.0808
2024-01-05,組立,9.8444
2024-01-05,組立,9.9714
2024-01-05,組立,9.8687
2024-01-05,組立,9.7926
2024-01-05,組立,10.1389
2024-01-05,組立,10.2864
2024-01-05,組立,9.7902
2024-01-05,組立,10.0844
2024-01-05,組立,9.9024
2024-01-05,組立,9.9269
2024-01-05,組立,9.9111
2024-01-05,組立,9.8704
2024-01-05,組立,10.0073
2024-01-05,組立,9.8754
2024-01-05,組立,10.0406
2024-01-05,組立,9.9925
2024-01-05,組立,9.9642
2024-01-05,組立,9.8639
2024-01-05,組立,9.9135
2024-01-05,組立,10.1133
2024-01-05,組立,10.0751
2024-01-05,組立,9.8534
2024-01-05,組立,10.0149
2024-01-05,組立,10.1127
2024-01-06,組立,9.7496
2024-01-06,組立,10.0815
2024-01-06,組立,9.9006
2024-01-06,組立,10.0856
2024-01-06,組立,9.8855
2024-01-06,組立,9.7293
2024-01-06,組立,9.7559
2024-01-06,組立,10.0072
2024-01-06,組立,10.039
2024-01-06,組立,9.8644
2024-01-06,組立,10.0958
2024-01-06,組立,9.7508
2024-01-06,組立,9.9901
2024-01-06,組立,9.8183
2024-01-06,組立,9.9022
2024-01-06,組立,10.0071
2024-01-06,組立,9.8709
2024-01-06,組立,9.9423
2024-01-06,組立,10.1509
2024-01-06,組立,9.9135
2024-01-06,組立,10.1254
2024-01-06,組立,9.8305
2024-01-06,組立,10.0795
2024-01-06,組立,10.2162
2024-01-07,組立,9.6293
2024-01-07,組立,9.8805
2024-01-07,組立,10.0866
2024-01-07,組立,9.9695
2024-01-07,組立,10.0557
2024-01-07,組立,9.9094
2024-01-07,組立,10.013
2024-01-07,組立,9.9766
2024-01-07,組立,10.1752
2024-01-07,組立,10.0382
2024-01-07,組立,10.0506
2024-01-07,組立,9.9382
2024-01-07,組立,9.9269
2024-01-07,組立,9.9351
2024-01-07,組立,10.0592
2024-01-07,組立,9.9369
2024-01-07,組立,10.0435
2024-01-07,組立,10.3113
2024-01-07,組立,10.1307
2024-01-07,組立,9.9511
2024-01-07,組立,10.1802
2024-01-07,組立,9.9388
2024-01-07,組立,9.6943
2024-01-07,組立,9.8488
2024-01-08,組立,9.7194
2024-01-08,組立,9.9473
2024-01-08,組立,10.0028
2024-01-08,組立,10.2515
2024-01-08,組立,10.049
2024-01-08,組立,9.9671
2024-01-08,組立,10.1244
2024-01-08,組立,9.6683
2024-01-08,組立,10.0353
2024-01-08,組立,10.1156
2024-01-08,組立,9.7782
2024-01-08,組立,10.1716
2024-01-08,組立,10.0508
2024-01-08,組立,9.9377
2024-01-08,組立,10.0949
2024-01-08,組立,10.3406
2024-01-08,組立,10.0273
2024-01-08,組立,10.0372
2024-01-08,組立,9.9311
2024-01-08,組立,9.8725
2024-01-08,組立,10.1246
2024-01-08,組立,9.8716
2024-01-08,組立,10.0107
2024-01-08,組立,9.9284
2024-01-09,組立,10.0718
2024-01-09,組立,10.05
2024-01-09,組立,10.1556
2024-01-09,組立,9.9235
2024-01-09,組立,9.9595
2024-01-09,組立,9.8532
2024-01-09,組立,9.9334
2024-01-09,組立,10.0566
