内見日,内見ID,物件タイプ,エリア,担当者ID,物件価格(万円),累計内見数,成約日数,成約フラグ
2024/01/17,VIS-0025,一戸建て,渋谷,STAFF-02,3840,2,,0
2024/01/19,VIS-0026,2LDK,新宿,STAFF-01,2581,1,7.0,1
2024/01/11,VIS-0027,1LDK,新宿,STAFF-03,7480,8,13.0,1
2024/01/19,VIS-0028,一戸建て,新宿,STAFF-04,5334,4,47.0,1
2024/01/14,VIS-0029,3LDK,池袋,STAFF-04,5825,1,,0
2024/01/04,VIS-0030,1LDK,池袋,STAFF-06,4779,2,17.0,1
2024/01/18,VIS-0031,一戸建て,新宿,STAFF-04,3503,5,,0
2024/01/03,VIS-0032,一戸建て,渋谷,STAFF-01,7342,9,,0
2024/01/03,VIS-0033,2LDK,新宿,STAFF-04,5978,8,30.0,1
2024/01/02,VIS-0034,2LDK,池袋,STAFF-01,5198,5,,0
2024/01/15,VIS-0035,3LDK,池袋,STAFF-06,7984,9,,0
2024/01/16,VIS-0036,2LDK,新宿,STAFF-03,3783,1,,0
2024/01/18,VIS-0037,1LDK,品川,STAFF-01,2410,10,,0
2024/01/17,VIS-0038,2LDK,渋谷,STAFF-05,2656,3,9.0,1
2024/01/08,VIS-0039,一戸建て,渋谷,STAFF-05,4016,10,,0
2024/01/20,VIS-0040,1LDK,池袋,STAFF-06,6781,10,,0
2024/01/09,VIS-0041,2LDK,品川,STAFF-02,4175,7,46.0,1
2024/01/10,VIS-0042,一戸建て,品川,STAFF-01,2076,8,,0
2024/01/19,VIS-0043,1LDK,渋谷,STAFF-05,3746,9,27.0,1
2024/01/03,VIS-0044,2LDK,品川,STAFF-03,3292,8,,0
2024/01/10,VIS-0045,1LDK,品川,STAFF-06,2848,3,11.0,1
2024/01/18,VIS-0046,2LDK,品川,STAFF-03,6954,4,,0
2024/01/07,VIS-0047,3LDK,池袋,STAFF-03,2416,2,,0
2024/01/09,VIS-0048,1LDK,渋谷,STAFF-03,3071,5,33.0,1
2024/01/18,VIS-0049,一戸建て,渋谷,STAFF-01,2616,3,,0
2024/01/12,VIS-0050,2LDK,池袋,STAFF-02,2342,5,,0
2024/01/02,VIS-0051,3LDK,新宿,STAFF-06,4044,2,,0
2024/01/18,VIS-0052,一戸建て,新宿,STAFF-02,3331,3,,0
2024/01/01,VIS-0053,2LDK,品川,STAFF-04,7487,4,55.0,1
2024/01/04,VIS-0054,一戸建て,渋谷,STAFF-04,3822,4,,0
2024/01/15,VIS-0055,3LDK,品川,STAFF-02,3826,1,,0
2024/01/13,VIS-0056,3LDK,品川,STAFF-01,4286,6,,0
2024/01/13,VIS-0057,3LDK,渋谷,STAFF-01,4139,3,,0
2024/01/09,VIS-0058,1LDK,渋谷,STAFF-05,5559,6,,0
2024/01/11,VIS-0059,一戸建て,渋谷,STAFF-04,6723,4,50.0,1
2024/01/14,VIS-0060,1LDK,新宿,STAFF-03,5533,2,,0
2024/01/11,VIS-0061,3LDK,渋谷,STAFF-06,4460,9,,0
2024/01/14,VIS-0062,3LDK,池袋,STAFF-06,4422,9,31.0,1
2024/01/13,VIS-0063,2LDK,品川,STAFF-04,6488,1,,0
2024/01/07,VIS-0064,一戸建て,品川,STAFF-04,5619,8,,0
2024/01/17,VIS-0065,一戸建て,新宿,STAFF-06,2694,5,,0
2024/01/20,VIS-0066,3LDK,渋谷,STAFF-02,7511,5,17.0,1
2024/01/05,VIS-0067,1LDK,渋谷,STAFF-02,5892,10,,0
2024/01/03,VIS-0068,一戸建て,池袋,STAFF-06,6715,4,,0
2024/01/13,VIS-0069,一戸建て,池袋,STAFF-02,3208,1,,0
2024/01/04,VIS-0070,一戸建て,新宿,STAFF-02,7700,9,,0
2024/01/18,VIS-0071,2LDK,渋谷,STAFF-04,3092,8,,0
2024/01/18,VIS-0072,3LDK,池袋,STAFF-05,7892,9,,0
2024/01/18,VIS-0073,一戸建て,新宿,STAFF-06,5888,8,20.0,1
2024/01/09,VIS-0074,一戸建て,新宿,STAFF-03,5603,2,,0
2024/01/08,VIS-0075,3LDK,品川,STAFF-03,6424,2,19.0,1
2024/01/13,VIS-0076,2LDK,新宿,STAFF-01,5398,7,,0
2024/01/15,VIS-0077,一戸建て,渋谷,STAFF-02,5441,7,,0
2024/01/19,VIS-0078,1LDK,池袋,STAFF-04,2048,6,29.0,1
2024/01/14,VIS-0079,2LDK,池袋,STAFF-02,4235,7,,0
2024/01/13,VIS-0080,3LDK,池袋,STAFF-06,3352,8,,0
2024/01/20,VIS-0081,1LDK,池袋,STAFF-05,6623,1,32.0,1
2024/01/05,VIS-0082,一戸建て,新宿,STAFF-01,4131,7,,0
2024/01/15,VIS-0083,3LDK,品川,STAFF-04,4279,7,10.0,1
2024/01/16,VIS-0084,1LDK,渋谷,STAFF-03,3836,2,,0
2024/01/02,VIS-0085,1LDK,新宿,STAFF-02,2166,10,13.0,1
2024/01/16,VIS-0086,1LDK,新宿,STAFF-04,7730,5,,0
2024/01/06,VIS-0087,1LDK,新宿,STAFF-03,2885,10,24.0,1
2024/01/19,VIS-0088,一戸建て,池袋,STAFF-06,3624,2,,0
2024/01/08,VIS-0089,1LDK,品川,STAFF-06,6918,2,,0
2024/01/19,VIS-0090,1LDK,品川,STAFF-05,5509,6,46.0,1
2024/01/11,VIS-0091,1LDK,池袋,STAFF-04,2864,7,,0
2024/01/15,VIS-0092,2LDK,池袋,STAFF-02,6274,5,,0
2024/01/18,VIS-0093,一戸建て,池袋,STAFF-04,7988,10,59.0,1
2024/01/08,VIS-0094,1LDK,品川,STAFF-04,3997,8,,0
2024/01/13,VIS-0095,3LDK,渋谷,STAFF-04,4662,3,,0
2024/01/12,VIS-0096,3LDK,品川,STAFF-03,6883,5,,0
2024/01/17,VIS-0097,2LDK,渋谷,STAFF-02,7898,7,,0
2024/01/08,VIS-0098,一戸建て,池袋,STAFF-04,2141,2,30.0,1
2024/01/08,VIS-0099,3LDK,品川,STAFF-04,6534,9,,0
2024/01/18,VIS-0100,3LDK,品川,STAFF-06,5717,5,,0
2024/01/08,VIS-0101,1LDK,新宿,STAFF-03,2979,9,,0
2024/01/06,VIS-0102,2LDK,新宿,STAFF-06,5966,5,,0
2024/01/17,VIS-0103,3LDK,渋谷,STAFF-02,4426,4,,0
2024/01/10,VIS-0104,1LDK,新宿,STAFF-03,2372,1,,0
2024/01/05,VIS-0105,一戸建て,渋谷,STAFF-01,6702,5,,0
2024/01/15,VIS-0106,3LDK,新宿,STAFF-01,4068,8,9.0,1
2024/01/13,VIS-0107,一戸建て,渋谷,STAFF-05,7156,1,56.0,1
2024/01/19,VIS-0108,3LDK,渋谷,STAFF-02,2970,9,,0
2024/01/20,VIS-0109,2LDK,池袋,STAFF-04,5626,5,,0
2024/01/14,VIS-0110,3LDK,渋谷,STAFF-05,2812,4,,0
2024/01/09,VIS-0111,1LDK,新宿,STAFF-02,3423,9,5.0,1
2024/01/14,VIS-0112,一戸建て,池袋,STAFF-03,2267,4,23.0,1
2024/01/15,VIS-0113,1LDK,新宿,STAFF-03,7120,10,,0
2024/01/07,VIS-0114,一戸建て,渋谷,STAFF-05,3841,3,,0
2024/01/05,VIS-0115,1LDK,渋谷,STAFF-02,4519,10,,0
2024/01/19,VIS-0116,3LDK,池袋,STAFF-01,5839,5,,0
2024/01/09,VIS-0117,一戸建て,池袋,STAFF-01,6899,1,,0
2024/01/11,VIS-0118,3LDK,渋谷,STAFF-01,3875,10,,0
2024/01/01,VIS-0119,3LDK,渋谷,STAFF-02,5854,9,,0
2024/01/09,VIS-0120,2LDK,池袋,STAFF-06,6028,2,,0
2024/01/14,VIS-0121,3LDK,品川,STAFF-06,2856,3,,0
2024/01/16,VIS-0122,3LDK,池袋,STAFF-05,2300,8,21.0,1
2024/01/11,VIS-0123,1LDK,池袋,STAFF-05,2009,9,,0
2024/01/02,VIS-0124,2LDK,品川,STAFF-05,6083,8,,0
2024/01/07,VIS-0125,3LDK,新宿,STAFF-03,5589,8,45.0,1
2024/01/20,VIS-0126,2LDK,新宿,STAFF-03,6512,1,,0
2024/01/03,VIS-0127,2LDK,渋谷,STAFF-04,2962,3,,0
2024/01/10,VIS-0128,3LDK,池袋,STAFF-04,5868,4,,0
2024/01/05,VIS-0129,一戸建て,新宿,STAFF-05,6163,3,,0
2024/01/09,VIS-0130,一戸建て,品川,STAFF-05,4188,1,24.0,1
2024/01/19,VIS-0131,一戸建て,新宿,STAFF-04,6412,8,,0
2024/01/18,VIS-0132,一戸建て,池袋,STAFF-03,3545,4,,0
2024/01/08,VIS-0133,一戸建て,渋谷,STAFF-03,5874,7,,0
2024/01/05,VIS-0134,一戸建て,渋谷,STAFF-02,6114,10,,0
2024/01/04,VIS-0135,一戸建て,渋谷,STAFF-05,5743,1,,0
2024/01/14,VIS-0136,2LDK,渋谷,STAFF-04,4171,6,,0
2024/01/13,VIS-0137,1LDK,品川,STAFF-06,6371,7,,0
2024/01/16,VIS-0138,1LDK,渋谷,STAFF-02,7170,5,,0
2024/01/03,VIS-0139,一戸建て,渋谷,STAFF-06,7766,2,,0
2024/01/10,VIS-0140,1LDK,渋谷,STAFF-03,2459,5,,0
2024/01/14,VIS-0141,2LDK,新宿,STAFF-05,5375,10,,0
2024/01/06,VIS-0142,2LDK,新宿,STAFF-01,6992,7,,0
2024/01/08,VIS-0143,一戸建て,新宿,STAFF-02,5777,5,,0
2024/01/01,VIS-0144,一戸建て,品川,STAFF-06,6477,3,27.0,1
2024/01/19,VIS-0145,3LDK,池袋,STAFF-06,4048,8,,0
2024/01/07,VIS-0146,一戸建て,池袋,STAFF-01,3943,7,,0
2024/01/19,VIS-0147,3LDK,品川,STAFF-01,7392,7,41.0,1
2024/01/02,VIS-0148,一戸建て,品川,STAFF-02,6973,6,17.0,1
2024/01/20,VIS-0149,3LDK,新宿,STAFF-06,2795,1,,0
2024/01/15,VIS-0150,1LDK,品川,STAFF-06,3076,2,,0
2024/01/11,VIS-0151,一戸建て,新宿,STAFF-02,3082,9,,0
2024/01/12,VIS-0152,3LDK,新宿,STAFF-03,5947,5,,0
2024/01/11,VIS-0153,1LDK,池袋,STAFF-01,3153,4,,0
2024/01/13,VIS-0154,3LDK,渋谷,STAFF-04,2114,5,,0
2024/01/15,VIS-0155,3LDK,品川,STAFF-05,5121,6,19.0,1
2024/01/16,VIS-0156,1LDK,品川,STAFF-05,3813,2,,0
2024/01/15,VIS-0157,3LDK,池袋,STAFF-01,3145,1,,0
2024/01/10,VIS-0158,一戸建て,渋谷,STAFF-01,3923,9,34.0,1
2024/01/12,VIS-0159,一戸建て,新宿,STAFF-04,7365,2,,0
2024/01/20,VIS-0160,一戸建て,品川,STAFF-01,7654,6,33.0,1
