VisitDate,VisitID,PropertyType,Area,StaffID,AskingPrice,VisitCountCumulative,DaysToContract,IsContracted
2024-01-06,VIS-0217,2LDK,新宿,STAFF-06,5585,1,,0
2024-01-08,VIS-0218,一戸建て,品川,STAFF-06,5677,4,,0
2024-01-10,VIS-0219,一戸建て,新宿,STAFF-03,7556,10,,0
2024-01-15,VIS-0220,3LDK,池袋,STAFF-05,6320,7,,0
2024-01-07,VIS-0221,2LDK,品川,STAFF-01,7252,8,,0
2024-01-18,VIS-0222,1LDK,渋谷,STAFF-03,2687,3,37.0,1
2024-01-05,VIS-0223,一戸建て,渋谷,STAFF-02,5695,6,,0
2024-01-14,VIS-0224,1LDK,池袋,STAFF-05,5063,4,,0
2024-01-03,VIS-0225,3LDK,新宿,STAFF-01,4610,2,,0
2024-01-11,VIS-0226,2LDK,新宿,STAFF-01,4350,8,,0
2024-01-05,VIS-0227,一戸建て,池袋,STAFF-05,2043,2,18.0,1
2024-01-05,VIS-0228,一戸建て,渋谷,STAFF-03,3946,5,20.0,1
2024-01-14,VIS-0229,一戸建て,渋谷,STAFF-01,6094,10,,0
2024-01-17,VIS-0230,2LDK,新宿,STAFF-03,5516,1,,0
2024-01-08,VIS-0231,一戸建て,新宿,STAFF-06,7474,2,,0
2024-01-12,VIS-0232,1LDK,渋谷,STAFF-04,5851,1,,0
2024-01-12,VIS-0233,3LDK,渋谷,STAFF-03,2553,6,47.0,1
2024-01-04,VIS-0234,3LDK,新宿,STAFF-01,4886,9,,0
2024-01-06,VIS-0235,一戸建て,池袋,STAFF-06,3493,3,54.0,1
2024-01-15,VIS-0236,1LDK,品川,STAFF-02,2358,4,,0
2024-01-11,VIS-0237,3LDK,池袋,STAFF-05,5878,5,46.0,1
2024-01-07,VIS-0238,3LDK,品川,STAFF-01,7371,6,56.0,1
2024-01-12,VIS-0239,一戸建て,池袋,STAFF-06,5602,7,,0
2024-01-06,VIS-0240,一戸建て,池袋,STAFF-03,6253,5,,0
2024-01-14,VIS-0241,1LDK,池袋,STAFF-05,3478,9,11.0,1
2024-01-03,VIS-0242,3LDK,品川,STAFF-03,5652,10,,0
2024-01-06,VIS-0243,一戸建て,品川,STAFF-04,2346,6,,0
2024-01-14,VIS-0244,3LDK,渋谷,STAFF-01,7498,7,,0
2024-01-06,VIS-0245,1LDK,新宿,STAFF-05,7554,8,9.0,1
2024-01-08,VIS-0246,3LDK,品川,STAFF-04,6646,1,,0
2024-01-15,VIS-0247,3LDK,品川,STAFF-04,2629,10,28.0,1
2024-01-13,VIS-0248,3LDK,品川,STAFF-02,2929,1,,0
2024-01-16,VIS-0249,一戸建て,渋谷,STAFF-03,4132,8,44.0,1
2024-01-10,VIS-0250,一戸建て,新宿,STAFF-01,3111,2,,0
2024-01-15,VIS-0251,1LDK,品川,STAFF-06,4846,2,,0
2024-01-10,VIS-0252,3LDK,新宿,STAFF-06,7812,3,,0
2024-01-17,VIS-0253,2LDK,渋谷,STAFF-02,3137,4,,0
2024-01-01,VIS-0254,3LDK,品川,STAFF-04,6519,3,,0
2024-01-03,VIS-0255,1LDK,品川,STAFF-04,7873,8,,0
2024-01-14,VIS-0256,1LDK,新宿,STAFF-03,7262,2,,0
2024-01-17,VIS-0257,3LDK,新宿,STAFF-05,7241,10,13.0,1
2024-01-14,VIS-0258,1LDK,渋谷,STAFF-05,3253,5,25.0,1
2024-01-08,VIS-0259,3LDK,品川,STAFF-01,4052,4,,0
2024-01-18,VIS-0260,3LDK,新宿,STAFF-06,4480,10,,0
2024-01-17,VIS-0261,2LDK,新宿,STAFF-02,7396,10,,0
2024-01-20,VIS-0262,3LDK,渋谷,STAFF-01,2665,1,,0
2024-01-19,VIS-0263,3LDK,新宿,STAFF-05,5412,10,,0
2024-01-16,VIS-0264,3LDK,品川,STAFF-04,4006,7,9.0,1
2024-01-02,VIS-0265,2LDK,池袋,STAFF-04,5966,8,43.0,1
2024-01-05,VIS-0266,3LDK,品川,STAFF-06,4829,7,28.0,1
2024-01-17,VIS-0267,1LDK,品川,STAFF-02,5821,2,20.0,1
2024-01-05,VIS-0268,1LDK,渋谷,STAFF-03,5146,10,,0
2024-01-06,VIS-0269,3LDK,品川,STAFF-02,3305,8,,0
2024-01-15,VIS-0270,一戸建て,品川,STAFF-04,2189,2,,0
2024-01-17,VIS-0271,一戸建て,新宿,STAFF-02,6778,6,23.0,1
2024-01-16,VIS-0272,一戸建て,品川,STAFF-05,2066,2,,0
2024-01-09,VIS-0273,3LDK,池袋,STAFF-03,2370,7,40.0,1
2024-01-07,VIS-0274,3LDK,品川,STAFF-01,5164,9,,0
2024-01-18,VIS-0275,3LDK,渋谷,STAFF-02,2792,7,,0
2024-01-11,VIS-0276,3LDK,新宿,STAFF-02,6935,9,,0
2024-01-02,VIS-0277,1LDK,渋谷,STAFF-02,7845,6,,0
2024-01-17,VIS-0278,一戸建て,新宿,STAFF-05,6223,3,,0
2024-01-20,VIS-0279,3LDK,新宿,STAFF-04,7050,5,,0
2024-01-17,VIS-0280,一戸建て,品川,STAFF-04,2136,6,,0
2024-01-04,VIS-0281,一戸建て,品川,STAFF-06,7636,1,,0
2024-01-09,VIS-0282,2LDK,渋谷,STAFF-05,5935,3,,0
2024-01-20,VIS-0283,一戸建て,新宿,STAFF-06,3984,1,,0
2024-01-04,VIS-0284,2LDK,渋谷,STAFF-04,4569,7,49.0,1
2024-01-07,VIS-0285,一戸建て,池袋,STAFF-06,7958,1,,0
2024-01-17,VIS-0286,2LDK,品川,STAFF-06,5918,9,,0
2024-01-06,VIS-0287,一戸建て,品川,STAFF-05,4902,5,,0
2024-01-07,VIS-0288,2LDK,品川,STAFF-05,4445,4,,0
2024-01-10,VIS-0289,3LDK,新宿,STAFF-06,7775,8,,0
2024-01-12,VIS-0290,3LDK,品川,STAFF-01,6697,9,,0
2024-01-13,VIS-0291,3LDK,新宿,STAFF-03,2344,5,,0
2024-01-03,VIS-0292,3LDK,池袋,STAFF-06,4100,8,57.0,1
2024-01-18,VIS-0293,3LDK,品川,STAFF-02,2894,10,,0
2024-01-08,VIS-0294,2LDK,渋谷,STAFF-06,6350,4,,0
2024-01-02,VIS-0295,1LDK,池袋,STAFF-03,7876,8,54.0,1
2024-01-05,VIS-0296,1LDK,新宿,STAFF-04,7348,8,,0
2024-01-07,VIS-0297,3LDK,品川,STAFF-03,7291,1,,0
2024-01-03,VIS-0298,2LDK,渋谷,STAFF-02,5423,3,,0
2024-01-02,VIS-0299,一戸建て,池袋,STAFF-02,4371,1,41.0,1
2024-01-20,VIS-0300,1LDK,品川,STAFF-03,5722,9,,0
2024-01-05,VIS-0301,一戸建て,品川,STAFF-02,2922,6,34.0,1
2024-01-09,VIS-0302,2LDK,渋谷,STAFF-06,4761,5,,0
2024-01-07,VIS-0303,2LDK,池袋,STAFF-04,6221,6,47.0,1
2024-01-04,VIS-0304,2LDK,新宿,STAFF-04,4650,4,29.0,1
2024-01-08,VIS-0305,一戸建て,品川,STAFF-03,4473,10,,0
2024-01-01,VIS-0306,3LDK,品川,STAFF-06,3935,1,,0
2024-01-15,VIS-0307,3LDK,新宿,STAFF-04,7620,9,,0
2024-01-10,VIS-0308,1LDK,品川,STAFF-03,7035,4,13.0,1
2024-01-16,VIS-0309,2LDK,池袋,STAFF-06,6962,6,,0
2024-01-18,VIS-0310,一戸建て,新宿,STAFF-02,7573,10,,0
2024-01-03,VIS-0311,一戸建て,品川,STAFF-01,6621,2,40.0,1
2024-01-17,VIS-0312,2LDK,新宿,STAFF-02,4687,9,,0
2024-01-07,VIS-0313,一戸建て,渋谷,STAFF-05,5649,1,,0
2024-01-17,VIS-0314,一戸建て,池袋,STAFF-05,2472,9,,0
2024-01-10,VIS-0315,1LDK,池袋,STAFF-03,2024,4,,0
2024-01-02,VIS-0316,一戸建て,品川,STAFF-06,2522,9,,0
2024-01-03,VIS-0317,一戸建て,渋谷,STAFF-03,5349,3,,0
2024-01-14,VIS-0318,3LDK,池袋,STAFF-04,5092,7,47.0,1
2024-01-18,VIS-0319,2LDK,品川,STAFF-01,3462,9,,0
2024-01-05,VIS-0320,2LDK,渋谷,STAFF-01,4444,8,,0
