見学日,見学番号,部屋タイプ,地域,担当ID,価格,見学累計回数,成約所要日,成約
2024/01/10,VIS-0444,3LDK,品川,STAFF-01,6530,8,17.0,1
2024/01/10,VIS-0445,3LDK,新宿,STAFF-04,5016,10,,0
2024/01/07,VIS-0446,2LDK,新宿,STAFF-01,5359,1,27.0,1
2024/01/01,VIS-0447,3LDK,渋谷,STAFF-06,5082,5,38.0,1
2024/01/08,VIS-0448,一戸建て,池袋,STAFF-01,3166,5,19.0,1
2024/01/17,VIS-0449,一戸建て,品川,STAFF-04,2695,10,13.0,1
2024/01/13,VIS-0450,1LDK,渋谷,STAFF-04,7426,3,21.0,1
2024/01/11,VIS-0451,一戸建て,品川,STAFF-03,5708,5,17.0,1
2024/01/05,VIS-0452,1LDK,新宿,STAFF-01,3346,8,,0
2024/01/14,VIS-0453,1LDK,品川,STAFF-02,5702,5,,0
2024/01/04,VIS-0454,1LDK,新宿,STAFF-06,4492,10,58.0,1
2024/01/11,VIS-0455,2LDK,渋谷,STAFF-06,4033,6,,0
2024/01/02,VIS-0456,3LDK,品川,STAFF-02,2254,7,,0
2024/01/18,VIS-0457,2LDK,渋谷,STAFF-04,2834,3,8.0,1
2024/01/08,VIS-0458,2LDK,新宿,STAFF-04,5049,2,,0
2024/01/09,VIS-0459,1LDK,渋谷,STAFF-01,3619,8,,0
2024/01/03,VIS-0460,3LDK,渋谷,STAFF-01,5776,1,41.0,1
2024/01/14,VIS-0461,一戸建て,池袋,STAFF-01,5135,7,18.0,1
2024/01/06,VIS-0462,3LDK,品川,STAFF-04,3217,1,,0
2024/01/20,VIS-0463,2LDK,品川,STAFF-04,5375,9,,0
2024/01/03,VIS-0464,3LDK,池袋,STAFF-02,5434,4,,0
2024/01/17,VIS-0465,2LDK,渋谷,STAFF-04,7843,6,,0
2024/01/16,VIS-0466,3LDK,品川,STAFF-04,4215,3,43.0,1
2024/01/08,VIS-0467,1LDK,品川,STAFF-01,5864,9,,0
2024/01/19,VIS-0468,2LDK,新宿,STAFF-01,4030,4,57.0,1
2024/01/02,VIS-0469,2LDK,池袋,STAFF-03,3423,3,25.0,1
2024/01/12,VIS-0470,1LDK,品川,STAFF-05,6617,3,,0
2024/01/07,VIS-0471,一戸建て,品川,STAFF-02,6017,1,19.0,1
2024/01/20,VIS-0472,2LDK,渋谷,STAFF-05,5915,1,,0
2024/01/20,VIS-0473,2LDK,新宿,STAFF-03,7873,3,,0
2024/01/11,VIS-0474,1LDK,渋谷,STAFF-02,6805,3,,0
2024/01/17,VIS-0475,3LDK,渋谷,STAFF-03,7771,7,,0
2024/01/11,VIS-0476,3LDK,品川,STAFF-02,3290,7,,0
2024/01/16,VIS-0477,3LDK,新宿,STAFF-06,6603,10,,0
2024/01/08,VIS-0478,2LDK,池袋,STAFF-03,7640,5,51.0,1
2024/01/01,VIS-0479,一戸建て,渋谷,STAFF-02,6934,6,,0
2024/01/20,VIS-0480,2LDK,渋谷,STAFF-04,3152,6,,0
