日付,従業員番号,エリア,業務種別,処理数,誤処理数,稼働時間,残業
2024/01/03,WRK-020,入荷,仕分け,158,4,6.2,1.0
2024/01/04,WRK-001,保管,仕分け,300,4,6.6,1.3
2024/01/04,WRK-002,検品,仕分け,52,1,6.3,2.6
2024/01/04,WRK-003,保管,仕分け,59,5,8.3,0.4
2024/01/04,WRK-004,保管,フォークリフト,128,5,9.6,2.4
2024/01/04,WRK-005,入荷,ピッキング,103,10,7.0,0.3
2024/01/04,WRK-006,検品,仕分け,241,2,9.7,0.7
2024/01/04,WRK-007,保管,フォークリフト,275,6,6.1,2.2
2024/01/04,WRK-008,出荷,ピッキング,255,10,9.5,2.4
2024/01/04,WRK-009,出荷,フォークリフト,251,1,7.5,0.1
2024/01/04,WRK-010,検品,フォークリフト,101,7,7.4,2.5
2024/01/04,WRK-011,保管,フォークリフト,56,10,6.8,1.0
2024/01/04,WRK-012,入荷,ピッキング,139,10,8.0,2.0
2024/01/04,WRK-013,出荷,フォークリフト,79,4,6.7,2.9
2024/01/04,WRK-014,出荷,フォークリフト,77,9,7.7,2.2
2024/01/04,WRK-015,出荷,ピッキング,205,8,6.5,2.7
2024/01/04,WRK-016,保管,ピッキング,61,6,6.0,2.8
2024/01/04,WRK-017,保管,ピッキング,160,1,9.8,2.8
2024/01/04,WRK-018,出荷,仕分け,267,1,8.9,0.9
2024/01/04,WRK-019,出荷,仕分け,154,5,7.6,0.9
2024/01/04,WRK-020,保管,フォークリフト,157,10,9.8,2.0
2024/01/05,WRK-001,保管,仕分け,195,4,7.6,2.5
2024/01/05,WRK-002,出荷,ピッキング,103,6,9.1,1.8
2024/01/05,WRK-003,出荷,ピッキング,163,7,8.7,1.5
2024/01/05,WRK-004,保管,仕分け,71,4,8.1,1.9
2024/01/05,WRK-005,出荷,フォークリフト,259,3,8.7,0.7
2024/01/05,WRK-006,保管,フォークリフト,56,0,7.0,1.4
2024/01/05,WRK-007,入荷,ピッキング,156,10,8.3,2.2
2024/01/05,WRK-008,検品,ピッキング,152,3,6.6,2.1
2024/01/05,WRK-009,入荷,ピッキング,106,2,9.2,2.1
2024/01/05,WRK-010,検品,フォークリフト,192,3,9.7,0.4
2024/01/05,WRK-011,保管,ピッキング,220,8,10.0,1.8
2024/01/05,WRK-012,検品,仕分け,258,8,7.7,2.7
2024/01/05,WRK-013,検品,フォークリフト,240,7,7.8,2.3
2024/01/05,WRK-014,出荷,仕分け,174,10,7.0,1.3
2024/01/05,WRK-015,出荷,フォークリフト,119,5,7.3,1.6
2024/01/05,WRK-016,保管,フォークリフト,109,6,8.8,2.1
2024/01/05,WRK-017,入荷,ピッキング,154,5,8.2,1.2
2024/01/05,WRK-018,保管,ピッキング,149,9,9.8,0.1
2024/01/05,WRK-019,検品,ピッキング,51,5,7.2,1.2
2024/01/05,WRK-020,検品,仕分け,241,8,9.2,2.7
2024/01/06,WRK-001,検品,フォークリフト,119,6,7.9,1.2
2024/01/06,WRK-002,検品,仕分け,92,7,9.7,2.9
2024/01/06,WRK-003,入荷,ピッキング,201,9,8.7,0.3
2024/01/06,WRK-004,検品,フォークリフト,271,7,6.7,0.8
2024/01/06,WRK-005,出荷,フォークリフト,166,5,7.4,2.6
2024/01/06,WRK-006,出荷,ピッキング,114,1,7.9,2.2
2024/01/06,WRK-007,入荷,ピッキング,107,10,6.3,2.9
2024/01/06,WRK-008,入荷,フォークリフト,293,3,6.8,0.1
2024/01/06,WRK-009,保管,フォークリフト,82,7,8.7,1.7
2024/01/06,WRK-010,保管,ピッキング,229,4,9.1,0.5
2024/01/06,WRK-011,入荷,フォークリフト,296,4,6.4,0.1
2024/01/06,WRK-012,出荷,仕分け,223,6,7.6,2.1
2024/01/06,WRK-013,入荷,仕分け,226,10,7.0,2.1
2024/01/06,WRK-014,出荷,仕分け,203,1,9.2,1.7
2024/01/06,WRK-015,入荷,ピッキング,186,6,8.6,0.2
2024/01/06,WRK-016,出荷,フォークリフト,267,6,9.3,0.3
2024/01/06,WRK-017,出荷,仕分け,278,7,8.8,1.3
2024/01/06,WRK-018,出荷,仕分け,256,8,9.1,1.4
2024/01/06,WRK-019,出荷,ピッキング,268,3,9.3,0.3
2024/01/06,WRK-020,検品,フォークリフト,242,7,8.3,2.0
2024/01/07,WRK-001,出荷,フォークリフト,176,5,6.7,0.6
2024/01/07,WRK-002,出荷,ピッキング,121,9,8.8,0.8
2024/01/07,WRK-003,入荷,仕分け,292,3,6.3,2.2
2024/01/07,WRK-004,検品,仕分け,244,3,8.8,1.9
2024/01/07,WRK-005,検品,ピッキング,252,0,6.4,0.7
2024/01/07,WRK-006,保管,ピッキング,219,9,7.5,1.7
2024/01/07,WRK-007,出荷,ピッキング,240,8,7.3,2.1
2024/01/07,WRK-008,出荷,ピッキング,114,3,6.5,0.6
2024/01/07,WRK-009,入荷,仕分け,187,2,6.8,2.2
2024/01/07,WRK-010,出荷,仕分け,200,8,8.4,2.9
2024/01/07,WRK-011,保管,ピッキング,108,5,6.7,0.0
2024/01/07,WRK-012,保管,ピッキング,61,0,8.2,2.1
2024/01/07,WRK-013,保管,仕分け,272,7,6.4,0.0
2024/01/07,WRK-014,出荷,ピッキング,172,7,7.4,2.9
2024/01/07,WRK-015,出荷,ピッキング,79,1,7.6,0.2
2024/01/07,WRK-016,入荷,フォークリフト,88,9,9.8,0.3
2024/01/07,WRK-017,保管,フォークリフト,192,6,8.4,2.4
2024/01/07,WRK-018,保管,仕分け,147,7,9.6,0.9
2024/01/07,WRK-019,検品,ピッキング,195,9,6.2,2.9
2024/01/07,WRK-020,入荷,フォークリフト,210,3,7.1,0.2
2024/01/08,WRK-001,保管,フォークリフト,191,1,6.6,1.2
2024/01/08,WRK-002,検品,ピッキング,58,3,7.2,0.8
2024/01/08,WRK-003,検品,フォークリフト,225,3,9.7,2.4
2024/01/08,WRK-004,保管,ピッキング,79,8,6.9,0.4
2024/01/08,WRK-005,出荷,フォークリフト,68,0,6.7,0.9
2024/01/08,WRK-006,出荷,ピッキング,81,7,8.8,2.1
2024/01/08,WRK-007,出荷,仕分け,188,7,7.8,1.8
2024/01/08,WRK-008,検品,仕分け,132,9,7.0,0.3
2024/01/08,WRK-009,入荷,仕分け,260,4,8.3,2.3
2024/01/08,WRK-010,保管,ピッキング,182,10,7.8,0.8
2024/01/08,WRK-011,検品,仕分け,258,7,9.9,1.4
2024/01/08,WRK-012,検品,ピッキング,132,10,6.4,0.5
2024/01/08,WRK-013,検品,仕分け,176,4,8.7,1.2
2024/01/08,WRK-014,入荷,ピッキング,72,5,7.0,0.3
2024/01/08,WRK-015,検品,仕分け,261,0,8.6,1.6
2024/01/08,WRK-016,検品,フォークリフト,98,8,7.4,2.3
2024/01/08,WRK-017,検品,フォークリフト,102,4,8.2,2.8
2024/01/08,WRK-018,検品,仕分け,174,1,6.1,1.9
2024/01/08,WRK-019,保管,仕分け,90,4,8.2,1.7
2024/01/08,WRK-020,入荷,フォークリフト,265,1,7.8,0.4
2024/01/09,WRK-001,保管,ピッキング,288,4,8.0,0.8
2024/01/09,WRK-002,検品,ピッキング,112,7,8.2,1.2
2024/01/09,WRK-003,保管,フォークリフト,120,6,7.4,2.4
2024/01/09,WRK-004,出荷,フォークリフト,122,4,9.3,1.7
2024/01/09,WRK-005,検品,フォークリフト,164,8,7.9,1.0
2024/01/09,WRK-006,検品,ピッキング,288,5,9.5,2.9
2024/01/09,WRK-007,保管,仕分け,148,3,9.4,1.2
2024/01/09,WRK-008,出荷,仕分け,171,6,7.5,2.0
2024/01/09,WRK-009,保管,ピッキング,296,0,6.5,2.9
2024/01/09,WRK-010,出荷,フォークリフト,273,7,6.4,2.7
2024/01/09,WRK-011,入荷,仕分け,86,6,9.5,2.9
2024/01/09,WRK-012,入荷,ピッキング,250,4,7.4,2.1
2024/01/09,WRK-013,入荷,ピッキング,268,10,9.4,1.1
2024/01/09,WRK-014,出荷,仕分け,233,7,9.5,0.1
2024/01/09,WRK-015,入荷,フォークリフト,211,10,9.7,3.0
2024/01/09,WRK-016,入荷,ピッキング,300,1,9.0,2.1
2024/01/09,WRK-017,入荷,ピッキング,92,4,9.6,0.1
2024/01/09,WRK-018,入荷,ピッキング,141,5,7.7,0.7
2024/01/09,WRK-019,検品,仕分け,224,2,6.7,0.2
2024/01/09,WRK-020,検品,仕分け,224,3,8.0,1.7
2024/01/10,WRK-001,保管,ピッキング,213,4,7.8,2.0
2024/01/10,WRK-002,検品,ピッキング,223,8,6.6,1.3
2024/01/10,WRK-003,出荷,仕分け,126,10,9.8,2.1
2024/01/10,WRK-004,検品,ピッキング,100,6,9.4,0.3
2024/01/10,WRK-005,検品,仕分け,141,9,7.2,2.1
2024/01/10,WRK-006,入荷,仕分け,151,4,6.0,2.6
2024/01/10,WRK-007,入荷,仕分け,240,7,9.3,2.7
2024/01/10,WRK-008,保管,仕分け,255,5,6.9,0.6
2024/01/10,WRK-009,出荷,仕分け,243,10,8.7,0.4
2024/01/10,WRK-010,入荷,仕分け,215,0,7.2,1.3
2024/01/10,WRK-011,出荷,仕分け,83,1,9.6,1.0
2024/01/10,WRK-012,検品,フォークリフト,101,2,9.1,2.6
2024/01/10,WRK-013,出荷,仕分け,178,4,9.3,0.8
2024/01/10,WRK-014,検品,ピッキング,241,5,9.2,1.4
2024/01/10,WRK-015,入荷,フォークリフト,243,3,9.4,2.2
2024/01/10,WRK-016,検品,仕分け,143,1,9.2,0.0
2024/01/10,WRK-017,入荷,ピッキング,144,10,9.0,0.8
2024/01/10,WRK-018,検品,仕分け,290,5,6.4,0.7
2024/01/10,WRK-019,入荷,仕分け,276,8,7.3,1.8
2024/01/10,WRK-020,入荷,仕分け,260,7,9.6,0.9
2024/01/11,WRK-001,検品,フォークリフト,85,0,9.8,0.9
2024/01/11,WRK-002,検品,フォークリフト,74,3,9.5,0.4
2024/01/11,WRK-003,検品,ピッキング,221,8,7.7,2.2
2024/01/11,WRK-004,保管,ピッキング,217,1,9.3,1.8
2024/01/11,WRK-005,出荷,フォークリフト,226,5,6.9,1.3
2024/01/11,WRK-006,保管,ピッキング,75,10,7.5,2.7
2024/01/11,WRK-007,出荷,フォークリフト,151,4,6.8,0.4
2024/01/11,WRK-008,検品,フォークリフト,219,3,8.6,1.8
2024/01/11,WRK-009,入荷,フォークリフト,251,5,7.0,0.4
2024/01/11,WRK-010,保管,フォークリフト,262,8,6.8,0.6
2024/01/11,WRK-011,保管,ピッキング,248,2,9.2,1.8
2024/01/11,WRK-012,出荷,フォークリフト,83,8,7.0,0.5
2024/01/11,WRK-013,入荷,フォークリフト,53,5,9.2,0.7
2024/01/11,WRK-014,出荷,フォークリフト,94,4,6.2,2.2
2024/01/11,WRK-015,入荷,仕分け,66,7,7.8,1.1
2024/01/11,WRK-016,入荷,ピッキング,178,3,9.8,0.1
2024/01/11,WRK-017,出荷,ピッキング,214,0,6.2,1.4
2024/01/11,WRK-018,検品,ピッキング,225,1,8.0,2.7
2024/01/11,WRK-019,入荷,フォークリフト,132,9,6.6,0.4
2024/01/11,WRK-020,出荷,ピッキング,202,8,7.2,1.5
2024/01/12,WRK-001,検品,フォークリフト,253,1,9.4,2.0
2024/01/12,WRK-002,保管,ピッキング,165,3,7.7,2.5
2024/01/12,WRK-003,検品,ピッキング,236,1,7.3,0.9
2024/01/12,WRK-004,出荷,ピッキング,294,2,8.7,1.4
2024/01/12,WRK-005,入荷,フォークリフト,73,6,6.4,2.2
2024/01/12,WRK-006,保管,仕分け,65,9,9.8,1.7
2024/01/12,WRK-007,入荷,ピッキング,140,10,9.8,1.3
2024/01/12,WRK-008,入荷,ピッキング,203,4,7.4,1.7
2024/01/12,WRK-009,保管,フォークリフト,218,7,6.9,0.3
2024/01/12,WRK-010,出荷,フォークリフト,245,4,8.3,2.4
2024/01/12,WRK-011,入荷,仕分け,287,10,9.3,0.8
2024/01/12,WRK-012,保管,ピッキング,229,4,9.7,1.1
2024/01/12,WRK-013,保管,フォークリフト,194,10,7.6,0.4
2024/01/12,WRK-014,入荷,フォークリフト,241,8,6.9,1.3
2024/01/12,WRK-015,出荷,フォークリフト,144,4,8.9,2.3
2024/01/12,WRK-016,入荷,フォークリフト,89,2,9.0,0.1
2024/01/12,WRK-017,入荷,ピッキング,163,10,7.7,1.8
2024/01/12,WRK-018,検品,ピッキング,105,8,6.5,1.3
2024/01/12,WRK-019,出荷,仕分け,223,9,7.9,2.0
2024/01/12,WRK-020,入荷,フォークリフト,151,9,6.2,0.6
2024/01/13,WRK-001,保管,フォークリフト,245,4,7.2,0.4
2024/01/13,WRK-002,検品,仕分け,160,2,6.5,1.6
2024/01/13,WRK-003,保管,仕分け,193,10,9.2,0.2
2024/01/13,WRK-004,入荷,ピッキング,54,7,9.7,2.6
2024/01/13,WRK-005,検品,仕分け,153,10,7.7,0.3
2024/01/13,WRK-006,入荷,ピッキング,93,9,7.8,2.1
2024/01/13,WRK-007,出荷,フォークリフト,161,1,7.0,1.8
2024/01/13,WRK-008,入荷,ピッキング,272,4,9.0,0.7
2024/01/13,WRK-009,保管,フォークリフト,180,10,6.5,1.5
2024/01/13,WRK-010,出荷,ピッキング,236,10,9.3,0.7
2024/01/13,WRK-011,保管,ピッキング,100,2,8.4,2.3
2024/01/13,WRK-012,入荷,フォークリフト,293,10,8.0,2.3
2024/01/13,WRK-013,検品,仕分け,286,9,8.6,3.0
2024/01/13,WRK-014,出荷,仕分け,130,2,7.8,1.4
2024/01/13,WRK-015,出荷,ピッキング,201,0,7.4,0.2
2024/01/13,WRK-016,検品,ピッキング,59,0,7.5,0.9
2024/01/13,WRK-017,入荷,仕分け,202,8,7.5,1.7
2024/01/13,WRK-018,入荷,ピッキング,282,9,8.6,1.0
2024/01/13,WRK-019,検品,仕分け,88,0,7.8,2.4
2024/01/13,WRK-020,出荷,仕分け,71,8,8.6,0.1
2024/01/14,WRK-001,検品,ピッキング,184,8,8.4,1.1
2024/01/14,WRK-002,出荷,ピッキング,154,5,8.7,0.2
2024/01/14,WRK-003,出荷,フォークリフト,134,1,8.2,1.2
2024/01/14,WRK-004,出荷,仕分け,268,10,9.9,1.8
2024/01/14,WRK-005,保管,ピッキング,70,9,8.7,2.8
2024/01/14,WRK-006,出荷,仕分け,228,10,7.6,1.8
2024/01/14,WRK-007,入荷,ピッキング,193,6,8.6,1.0
2024/01/14,WRK-008,保管,仕分け,229,10,9.6,0.3
2024/01/14,WRK-009,検品,仕分け,142,0,7.5,0.5
2024/01/14,WRK-010,保管,ピッキング,292,7,6.8,3.0
2024/01/14,WRK-011,保管,フォークリフト,125,1,8.0,1.6
2024/01/14,WRK-012,入荷,仕分け,136,9,6.5,1.1
2024/01/14,WRK-013,保管,フォークリフト,262,9,9.2,0.5
2024/01/14,WRK-014,検品,フォークリフト,155,5,8.7,0.7
2024/01/14,WRK-015,検品,仕分け,122,7,6.9,0.7
2024/01/14,WRK-016,検品,フォークリフト,144,10,9.8,3.0
2024/01/14,WRK-017,検品,ピッキング,249,6,8.0,1.3
2024/01/14,WRK-018,保管,フォークリフト,255,9,6.6,0.8
2024/01/14,WRK-019,検品,ピッキング,191,1,8.8,1.5
2024/01/14,WRK-020,入荷,ピッキング,71,2,7.1,2.7
2024/01/15,WRK-001,保管,ピッキング,73,3,9.3,2.7
2024/01/15,WRK-002,入荷,ピッキング,63,6,8.0,0.7
2024/01/15,WRK-003,入荷,ピッキング,107,0,7.3,0.3
2024/01/15,WRK-004,出荷,フォークリフト,85,0,7.1,2.5
2024/01/15,WRK-005,保管,仕分け,170,7,8.5,2.7
2024/01/15,WRK-006,入荷,ピッキング,105,2,8.2,2.2
2024/01/15,WRK-007,検品,フォークリフト,248,4,7.0,0.4
2024/01/15,WRK-008,保管,ピッキング,213,9,7.8,0.3
2024/01/15,WRK-009,検品,仕分け,187,0,8.5,1.7
2024/01/15,WRK-010,保管,ピッキング,159,0,8.5,0.7
2024/01/15,WRK-011,検品,フォークリフト,220,10,6.3,2.9
2024/01/15,WRK-012,入荷,仕分け,189,8,9.1,1.5
2024/01/15,WRK-013,入荷,ピッキング,273,7,6.2,1.2
2024/01/15,WRK-014,出荷,ピッキング,241,0,7.4,0.2
2024/01/15,WRK-015,保管,仕分け,218,10,6.4,1.7
2024/01/15,WRK-016,出荷,フォークリフト,61,5,8.2,2.4
2024/01/15,WRK-017,保管,仕分け,168,7,8.5,2.4
2024/01/15,WRK-018,入荷,仕分け,248,7,6.1,0.6
2024/01/15,WRK-019,保管,フォークリフト,130,4,8.1,3.0
2024/01/15,WRK-020,検品,ピッキング,59,10,6.8,1.1
2024/01/16,WRK-001,入荷,仕分け,134,4,6.5,1.1
2024/01/16,WRK-002,検品,仕分け,162,6,7.4,0.6
2024/01/16,WRK-003,検品,ピッキング,286,8,7.1,0.2
2024/01/16,WRK-004,検品,フォークリフト,160,9,10.0,0.5
2024/01/16,WRK-005,出荷,ピッキング,76,1,7.3,0.9
2024/01/16,WRK-006,検品,仕分け,233,6,6.7,1.3
2024/01/16,WRK-007,検品,フォークリフト,236,5,8.5,1.3
2024/01/16,WRK-008,入荷,フォークリフト,221,10,7.6,1.5
2024/01/16,WRK-009,保管,フォークリフト,86,9,8.7,1.3
2024/01/16,WRK-010,保管,フォークリフト,110,10,7.5,1.1
2024/01/16,WRK-011,入荷,仕分け,89,10,7.8,1.1
2024/01/16,WRK-012,検品,フォークリフト,196,2,8.1,1.2
2024/01/16,WRK-013,出荷,フォークリフト,295,1,6.1,0.6
2024/01/16,WRK-014,検品,仕分け,80,4,9.1,2.1
2024/01/16,WRK-015,保管,仕分け,123,7,6.8,0.4
2024/01/16,WRK-016,入荷,ピッキング,94,7,10.0,2.4
2024/01/16,WRK-017,出荷,仕分け,138,1,8.2,0.9
2024/01/16,WRK-018,出荷,フォークリフト,232,10,6.7,1.1
2024/01/16,WRK-019,保管,フォークリフト,101,2,6.9,1.5
2024/01/16,WRK-020,出荷,仕分け,196,5,7.9,2.9
2024/01/17,WRK-001,保管,仕分け,276,1,6.3,1.2
2024/01/17,WRK-002,検品,仕分け,155,6,9.3,0.2
2024/01/17,WRK-003,出荷,仕分け,68,7,7.9,1.6
2024/01/17,WRK-004,保管,仕分け,213,9,6.7,2.9
2024/01/17,WRK-005,検品,仕分け,283,0,9.3,1.6
2024/01/17,WRK-006,出荷,フォークリフト,91,5,9.7,0.7
2024/01/17,WRK-007,出荷,フォークリフト,114,3,8.5,1.7
2024/01/17,WRK-008,保管,仕分け,127,9,8.1,1.5
2024/01/17,WRK-009,保管,仕分け,291,9,6.6,2.0
2024/01/17,WRK-010,出荷,仕分け,60,0,6.3,2.8
2024/01/17,WRK-011,出荷,仕分け,103,9,7.7,1.9
2024/01/17,WRK-012,検品,仕分け,189,4,8.6,0.9
2024/01/17,WRK-013,保管,仕分け,153,4,7.8,2.1
2024/01/17,WRK-014,保管,ピッキング,156,7,7.9,1.0
2024/01/17,WRK-015,保管,ピッキング,270,5,8.9,2.6
2024/01/17,WRK-016,検品,フォークリフト,244,5,8.1,0.3
2024/01/17,WRK-017,保管,ピッキング,81,4,7.8,0.4
2024/01/17,WRK-018,入荷,ピッキング,292,6,9.5,1.3
2024/01/17,WRK-019,保管,ピッキング,289,9,8.9,0.6
2024/01/17,WRK-020,保管,ピッキング,181,7,8.0,0.9
2024/01/18,WRK-001,入荷,フォークリフト,291,6,8.0,2.9
2024/01/18,WRK-002,保管,仕分け,140,0,6.2,1.5
2024/01/18,WRK-003,検品,ピッキング,187,0,9.4,1.3
2024/01/18,WRK-004,出荷,仕分け,143,6,7.5,1.2
2024/01/18,WRK-005,保管,ピッキング,191,4,6.3,1.5
2024/01/18,WRK-006,出荷,仕分け,224,9,6.5,2.9
2024/01/18,WRK-007,検品,ピッキング,253,5,8.2,1.1
2024/01/18,WRK-008,保管,フォークリフト,204,8,7.6,0.1
2024/01/18,WRK-009,入荷,フォークリフト,232,5,9.2,1.6
2024/01/18,WRK-010,保管,仕分け,278,8,6.6,2.8
2024/01/18,WRK-011,出荷,フォークリフト,150,9,9.0,0.9
2024/01/18,WRK-012,出荷,仕分け,262,8,8.1,2.1
2024/01/18,WRK-013,出荷,ピッキング,258,0,7.5,2.0
2024/01/18,WRK-014,検品,仕分け,128,10,6.1,1.4
2024/01/18,WRK-015,保管,仕分け,63,9,7.9,1.6
2024/01/18,WRK-016,検品,フォークリフト,260,10,7.0,1.7
2024/01/18,WRK-017,入荷,フォークリフト,54,7,7.3,0.5
2024/01/18,WRK-018,保管,ピッキング,178,9,9.7,2.6
2024/01/18,WRK-019,入荷,仕分け,85,8,6.8,1.0
2024/01/18,WRK-020,検品,仕分け,146,5,9.8,1.4
2024/01/19,WRK-001,出荷,仕分け,140,10,9.1,2.2
2024/01/19,WRK-002,出荷,仕分け,173,3,9.8,0.8
2024/01/19,WRK-003,出荷,フォークリフト,291,4,9.1,2.1
2024/01/19,WRK-004,検品,ピッキング,172,5,8.2,2.8
2024/01/19,WRK-005,出荷,ピッキング,81,9,8.7,1.1
2024/01/19,WRK-006,検品,ピッキング,294,2,7.2,0.9
2024/01/19,WRK-007,入荷,ピッキング,286,7,8.6,2.2
2024/01/19,WRK-008,保管,フォークリフト,261,8,7.1,1.7
2024/01/19,WRK-009,出荷,フォークリフト,77,9,9.0,0.7
2024/01/19,WRK-010,入荷,仕分け,281,8,6.9,0.7
2024/01/19,WRK-011,入荷,ピッキング,134,7,6.4,2.3
2024/01/19,WRK-012,入荷,仕分け,300,2,7.6,2.8
2024/01/19,WRK-013,検品,ピッキング,216,3,9.0,0.9
2024/01/19,WRK-014,出荷,仕分け,65,1,8.6,0.7
2024/01/19,WRK-015,入荷,フォークリフト,156,2,9.7,0.1
2024/01/19,WRK-016,検品,ピッキング,97,4,9.5,0.0
2024/01/19,WRK-017,入荷,ピッキング,122,7,10.0,1.6
2024/01/19,WRK-018,検品,フォークリフト,267,8,7.9,0.6
2024/01/19,WRK-019,入荷,ピッキング,91,7,8.6,2.2
2024/01/19,WRK-020,入荷,仕分け,136,4,8.3,2.3
2024/01/20,WRK-001,保管,仕分け,269,10,9.6,2.5
2024/01/20,WRK-002,出荷,フォークリフト,152,10,6.4,2.9
2024/01/20,WRK-003,検品,ピッキング,289,3,6.0,1.2
2024/01/20,WRK-004,検品,ピッキング,294,5,7.2,2.2
2024/01/20,WRK-005,入荷,ピッキング,217,5,8.8,0.2
2024/01/20,WRK-006,入荷,ピッキング,128,2,7.6,1.5
2024/01/20,WRK-007,出荷,仕分け,80,10,9.7,0.9
2024/01/20,WRK-008,保管,フォークリフト,295,2,7.9,1.4
2024/01/20,WRK-009,出荷,ピッキング,229,8,9.7,2.3
2024/01/20,WRK-010,保管,フォークリフト,224,9,9.5,0.2
2024/01/20,WRK-011,検品,仕分け,230,5,6.3,1.7
2024/01/20,WRK-012,入荷,仕分け,281,8,6.8,1.6
2024/01/20,WRK-013,保管,ピッキング,268,8,7.8,2.0
2024/01/20,WRK-014,検品,フォークリフト,280,8,7.8,0.2
2024/01/20,WRK-015,保管,仕分け,156,7,8.3,1.7
2024/01/20,WRK-016,出荷,仕分け,55,6,7.0,0.0
2024/01/20,WRK-017,保管,仕分け,68,0,7.7,2.1
2024/01/20,WRK-018,入荷,フォークリフト,289,7,6.1,1.2
2024/01/20,WRK-019,保管,仕分け,300,10,9.9,1.1
2024/01/20,WRK-020,検品,ピッキング,272,6,7.5,2.0
