WorkDate,SiteID,SiteName,Process,WorkerID,PlannedHours,ActualHours,ProgressPct,DefectCount
2024-01-11,SITE-A,現場A,基礎,WRK-002,7.7,4.4,60,2
2024-01-12,SITE-D,現場D,躯体,WRK-002,7.1,8.3,90,1
2024-01-13,SITE-D,現場D,設備,WRK-002,6.4,4.6,85,2
2024-01-14,SITE-D,現場D,設備,WRK-002,6.9,8.4,42,0
2024-01-15,SITE-D,現場D,内装,WRK-002,7.6,4.7,54,1
2024-01-16,SITE-E,現場E,設備,WRK-002,6.3,5.1,89,1
2024-01-17,SITE-A,現場A,設備,WRK-002,7.6,9.1,42,0
2024-01-18,SITE-E,現場E,基礎,WRK-002,7.9,9.6,60,1
2024-01-19,SITE-D,現場D,設備,WRK-002,7.0,9.2,37,1
2024-01-20,SITE-D,現場D,基礎,WRK-002,8.0,5.6,88,2
2024-01-01,SITE-D,現場D,設備,WRK-003,6.3,5.8,37,4
2024-01-02,SITE-E,現場E,基礎,WRK-003,7.5,4.3,91,4
2024-01-03,SITE-E,現場E,躯体,WRK-003,6.1,7.0,53,0
2024-01-04,SITE-E,現場E,基礎,WRK-003,7.4,5.4,45,4
2024-01-05,SITE-B,現場B,基礎,WRK-003,7.2,6.5,96,2
2024-01-06,SITE-C,現場C,躯体,WRK-003,7.3,5.9,63,3
2024-01-07,SITE-B,現場B,内装,WRK-003,6.9,9.6,39,0
2024-01-08,SITE-D,現場D,基礎,WRK-003,6.1,5.3,63,1
2024-01-09,SITE-C,現場C,基礎,WRK-003,7.8,6.2,50,3
2024-01-10,SITE-E,現場E,内装,WRK-003,7.2,9.9,97,0
2024-01-11,SITE-E,現場E,内装,WRK-003,7.9,4.6,47,2
2024-01-12,SITE-A,現場A,基礎,WRK-003,7.5,4.9,66,4
2024-01-13,SITE-B,現場B,内装,WRK-003,6.4,7.8,63,4
2024-01-14,SITE-D,現場D,内装,WRK-003,7.8,9.1,41,5
2024-01-15,SITE-D,現場D,内装,WRK-003,6.1,6.0,46,5
2024-01-16,SITE-C,現場C,躯体,WRK-003,7.5,7.3,84,4
2024-01-17,SITE-A,現場A,基礎,WRK-003,6.2,9.3,49,4
2024-01-18,SITE-A,現場A,内装,WRK-003,7.2,4.9,46,0
2024-01-19,SITE-C,現場C,内装,WRK-003,7.8,8.8,35,2
2024-01-20,SITE-B,現場B,躯体,WRK-003,7.3,6.1,82,4
2024-01-01,SITE-B,現場B,躯体,WRK-004,7.7,9.9,52,3
2024-01-02,SITE-A,現場A,躯体,WRK-004,7.5,6.0,82,5
2024-01-03,SITE-B,現場B,内装,WRK-004,6.3,8.2,78,0
2024-01-04,SITE-D,現場D,躯体,WRK-004,6.4,9.5,74,2
2024-01-05,SITE-B,現場B,躯体,WRK-004,6.0,5.2,72,2
2024-01-06,SITE-A,現場A,内装,WRK-004,6.7,7.1,98,2
2024-01-07,SITE-A,現場A,基礎,WRK-004,7.8,5.6,63,0
2024-01-08,SITE-A,現場A,設備,WRK-004,6.7,8.7,85,4
2024-01-09,SITE-E,現場E,基礎,WRK-004,6.8,7.5,62,0
2024-01-10,SITE-D,現場D,基礎,WRK-004,7.0,8.8,55,2
2024-01-11,SITE-D,現場D,基礎,WRK-004,7.9,9.5,70,5
2024-01-12,SITE-A,現場A,内装,WRK-004,7.0,8.0,71,3
2024-01-13,SITE-C,現場C,躯体,WRK-004,6.4,8.0,78,5
2024-01-14,SITE-B,現場B,内装,WRK-004,6.8,9.0,68,2
2024-01-15,SITE-B,現場B,設備,WRK-004,7.6,7.6,71,3
2024-01-16,SITE-D,現場D,設備,WRK-004,7.4,7.1,51,5
2024-01-17,SITE-A,現場A,内装,WRK-004,7.0,7.8,72,0
2024-01-18,SITE-B,現場B,内装,WRK-004,6.4,5.2,33,0
2024-01-19,SITE-B,現場B,設備,WRK-004,7.2,8.6,88,3
2024-01-20,SITE-E,現場E,躯体,WRK-004,7.4,6.3,81,1
2024-01-01,SITE-B,現場B,基礎,WRK-005,7.8,9.2,43,3
2024-01-02,SITE-B,現場B,躯体,WRK-005,7.6,8.2,89,0
2024-01-03,SITE-E,現場E,躯体,WRK-005,7.8,4.7,47,3
2024-01-04,SITE-E,現場E,内装,WRK-005,7.9,9.3,94,3
2024-01-05,SITE-E,現場E,設備,WRK-005,7.8,8.5,90,3
2024-01-06,SITE-C,現場C,躯体,WRK-005,7.7,5.7,96,3
2024-01-07,SITE-B,現場B,内装,WRK-005,6.9,8.3,60,2
2024-01-08,SITE-C,現場C,内装,WRK-005,7.8,4.5,49,1
2024-01-09,SITE-D,現場D,躯体,WRK-005,7.4,4.4,82,2
2024-01-10,SITE-E,現場E,設備,WRK-005,6.8,5.2,83,3
2024-01-11,SITE-E,現場E,基礎,WRK-005,7.7,8.6,78,3
2024-01-12,SITE-A,現場A,内装,WRK-005,6.6,6.3,83,4
2024-01-13,SITE-E,現場E,躯体,WRK-005,7.0,5.6,92,0
2024-01-14,SITE-D,現場D,内装,WRK-005,7.3,8.8,51,3
2024-01-15,SITE-B,現場B,基礎,WRK-005,7.8,7.6,33,0
2024-01-16,SITE-D,現場D,躯体,WRK-005,7.7,5.1,63,3
2024-01-17,SITE-C,現場C,躯体,WRK-005,6.9,6.0,78,2
2024-01-18,SITE-D,現場D,内装,WRK-005,7.7,6.8,99,0
2024-01-19,SITE-C,現場C,躯体,WRK-005,7.3,8.7,35,0
2024-01-20,SITE-B,現場B,躯体,WRK-005,7.7,7.7,60,1
2024-01-01,SITE-D,現場D,基礎,WRK-006,7.1,5.3,62,2
2024-01-02,SITE-B,現場B,基礎,WRK-006,7.6,5.0,69,0
2024-01-03,SITE-E,現場E,基礎,WRK-006,7.9,7.5,78,3
2024-01-04,SITE-B,現場B,基礎,WRK-006,7.2,9.0,61,0
2024-01-05,SITE-C,現場C,基礎,WRK-006,7.6,7.4,35,2
2024-01-06,SITE-E,現場E,設備,WRK-006,7.3,4.4,73,0
2024-01-07,SITE-D,現場D,設備,WRK-006,6.2,9.8,88,5
2024-01-08,SITE-B,現場B,設備,WRK-006,6.4,7.1,64,4
2024-01-09,SITE-E,現場E,設備,WRK-006,6.9,9.0,64,2
2024-01-10,SITE-B,現場B,基礎,WRK-006,6.6,6.7,89,4
2024-01-11,SITE-E,現場E,設備,WRK-006,6.7,7.0,71,1
2024-01-12,SITE-D,現場D,躯体,WRK-006,6.7,5.6,65,4
2024-01-13,SITE-C,現場C,基礎,WRK-006,7.0,5.1,60,5
2024-01-14,SITE-D,現場D,設備,WRK-006,7.1,5.4,90,5
2024-01-15,SITE-D,現場D,設備,WRK-006,7.6,4.6,58,3
2024-01-16,SITE-B,現場B,内装,WRK-006,7.3,6.2,100,4
2024-01-17,SITE-C,現場C,設備,WRK-006,8.0,7.3,75,5
2024-01-18,SITE-D,現場D,内装,WRK-006,6.6,5.4,54,2
2024-01-19,SITE-A,現場A,躯体,WRK-006,6.4,8.4,65,5
2024-01-20,SITE-E,現場E,内装,WRK-006,8.0,9.0,67,1
2024-01-01,SITE-C,現場C,躯体,WRK-007,6.6,8.2,46,2
2024-01-02,SITE-A,現場A,基礎,WRK-007,7.1,8.2,46,5
2024-01-03,SITE-D,現場D,基礎,WRK-007,7.7,7.4,90,3
2024-01-04,SITE-D,現場D,内装,WRK-007,6.4,4.3,91,0
2024-01-05,SITE-A,現場A,設備,WRK-007,7.0,7.5,36,1
2024-01-06,SITE-B,現場B,内装,WRK-007,6.2,5.5,83,4
2024-01-07,SITE-E,現場E,躯体,WRK-007,7.6,6.3,86,2
2024-01-08,SITE-E,現場E,設備,WRK-007,6.6,7.7,42,1
2024-01-09,SITE-B,現場B,内装,WRK-007,7.3,4.9,52,4
2024-01-10,SITE-A,現場A,躯体,WRK-007,6.0,6.7,90,2
2024-01-11,SITE-A,現場A,躯体,WRK-007,6.6,5.7,88,0
2024-01-12,SITE-B,現場B,内装,WRK-007,7.6,7.8,55,3
2024-01-13,SITE-A,現場A,躯体,WRK-007,7.3,9.5,48,0
2024-01-14,SITE-A,現場A,躯体,WRK-007,7.6,7.6,66,3
2024-01-15,SITE-A,現場A,設備,WRK-007,7.4,8.2,64,4
2024-01-16,SITE-E,現場E,設備,WRK-007,6.9,7.6,85,5
2024-01-17,SITE-C,現場C,内装,WRK-007,6.1,5.4,32,5
2024-01-18,SITE-C,現場C,基礎,WRK-007,7.5,5.1,96,5
2024-01-19,SITE-D,現場D,内装,WRK-007,6.4,7.5,92,0
2024-01-20,SITE-D,現場D,内装,WRK-007,6.8,5.9,43,1
2024-01-01,SITE-C,現場C,設備,WRK-008,7.4,5.7,81,4
2024-01-02,SITE-A,現場A,設備,WRK-008,6.2,5.5,44,3
2024-01-03,SITE-E,現場E,基礎,WRK-008,7.3,7.3,82,0
2024-01-04,SITE-B,現場B,内装,WRK-008,7.2,7.0,86,0
2024-01-05,SITE-B,現場B,内装,WRK-008,7.1,9.6,86,5
2024-01-06,SITE-D,現場D,基礎,WRK-008,6.1,7.8,60,5
2024-01-07,SITE-B,現場B,内装,WRK-008,7.1,7.3,41,1
2024-01-08,SITE-A,現場A,設備,WRK-008,7.9,7.9,49,3
2024-01-09,SITE-C,現場C,内装,WRK-008,6.8,6.9,90,1
2024-01-10,SITE-D,現場D,躯体,WRK-008,6.8,9.5,95,5
2024-01-11,SITE-B,現場B,基礎,WRK-008,6.6,8.7,83,2
2024-01-12,SITE-E,現場E,内装,WRK-008,7.6,5.7,68,4
2024-01-13,SITE-E,現場E,設備,WRK-008,7.7,6.7,91,2
2024-01-14,SITE-C,現場C,設備,WRK-008,6.9,5.9,54,5
2024-01-15,SITE-B,現場B,設備,WRK-008,6.5,8.7,35,2
2024-01-16,SITE-D,現場D,設備,WRK-008,6.8,8.0,49,3
2024-01-17,SITE-A,現場A,躯体,WRK-008,7.0,7.5,42,3
2024-01-18,SITE-A,現場A,設備,WRK-008,6.0,4.9,49,0
2024-01-19,SITE-D,現場D,内装,WRK-008,6.7,8.2,40,2
2024-01-20,SITE-E,現場E,設備,WRK-008,7.9,7.8,92,4
2024-01-01,SITE-A,現場A,基礎,WRK-009,6.5,8.1,66,1
2024-01-02,SITE-A,現場A,設備,WRK-009,8.0,8.6,42,3
2024-01-03,SITE-B,現場B,内装,WRK-009,7.8,4.3,37,2
2024-01-04,SITE-C,現場C,内装,WRK-009,6.9,5.5,82,4
2024-01-05,SITE-B,現場B,躯体,WRK-009,6.4,7.7,78,4
2024-01-06,SITE-B,現場B,設備,WRK-009,7.8,4.9,89,5
2024-01-07,SITE-C,現場C,設備,WRK-009,6.5,4.1,89,2
2024-01-08,SITE-E,現場E,躯体,WRK-009,6.1,9.7,68,5
2024-01-09,SITE-D,現場D,内装,WRK-009,6.9,5.8,79,3
2024-01-10,SITE-A,現場A,躯体,WRK-009,6.8,6.2,67,5
2024-01-11,SITE-C,現場C,基礎,WRK-009,8.0,7.9,65,0
2024-01-12,SITE-E,現場E,基礎,WRK-009,7.8,8.5,66,1
2024-01-13,SITE-E,現場E,内装,WRK-009,6.4,5.1,62,5
2024-01-14,SITE-B,現場B,基礎,WRK-009,7.8,7.9,69,3
2024-01-15,SITE-A,現場A,内装,WRK-009,7.5,4.5,67,2
2024-01-16,SITE-D,現場D,躯体,WRK-009,6.4,8.7,76,4
2024-01-17,SITE-E,現場E,内装,WRK-009,7.7,5.5,91,2
2024-01-18,SITE-C,現場C,基礎,WRK-009,6.9,4.5,58,5
2024-01-19,SITE-D,現場D,内装,WRK-009,6.2,6.4,63,4
2024-01-20,SITE-A,現場A,設備,WRK-009,6.7,8.5,63,4
2024-01-01,SITE-D,現場D,内装,WRK-010,6.2,5.4,33,4
2024-01-02,SITE-E,現場E,内装,WRK-010,7.8,5.3,38,5
2024-01-03,SITE-D,現場D,内装,WRK-010,7.3,4.7,35,0
2024-01-04,SITE-C,現場C,設備,WRK-010,6.2,5.4,98,1
2024-01-05,SITE-D,現場D,設備,WRK-010,6.7,9.7,99,3
2024-01-06,SITE-E,現場E,躯体,WRK-010,7.8,7.9,92,4
2024-01-07,SITE-D,現場D,内装,WRK-010,6.1,6.2,86,3
2024-01-08,SITE-B,現場B,内装,WRK-010,6.2,8.1,99,5
2024-01-09,SITE-C,現場C,基礎,WRK-010,6.8,5.1,45,3
2024-01-10,SITE-A,現場A,躯体,WRK-010,7.3,7.6,32,0
2024-01-11,SITE-C,現場C,躯体,WRK-010,8.0,8.7,56,0
2024-01-12,SITE-E,現場E,躯体,WRK-010,7.2,8.9,59,2
2024-01-13,SITE-B,現場B,基礎,WRK-010,6.6,9.9,46,4
2024-01-14,SITE-C,現場C,躯体,WRK-010,6.2,9.2,46,0
2024-01-15,SITE-C,現場C,躯体,WRK-010,7.2,4.1,63,0
2024-01-16,SITE-B,現場B,設備,WRK-010,7.1,8.5,90,3
2024-01-17,SITE-C,現場C,基礎,WRK-010,6.9,5.3,35,5
2024-01-18,SITE-E,現場E,内装,WRK-010,6.9,9.8,37,3
2024-01-19,SITE-D,現場D,設備,WRK-010,7.4,6.9,86,0
2024-01-20,SITE-A,現場A,内装,WRK-010,7.2,4.4,65,4
2024-01-01,SITE-E,現場E,内装,WRK-011,6.8,7.6,67,3
2024-01-02,SITE-E,現場E,設備,WRK-011,6.2,8.2,100,5
2024-01-03,SITE-B,現場B,設備,WRK-011,6.9,5.4,73,3
2024-01-04,SITE-D,現場D,設備,WRK-011,7.5,5.9,70,5
2024-01-05,SITE-C,現場C,内装,WRK-011,7.9,8.1,90,0
2024-01-06,SITE-A,現場A,基礎,WRK-011,6.2,4.6,77,1
2024-01-07,SITE-E,現場E,基礎,WRK-011,7.2,7.4,72,5
2024-01-08,SITE-A,現場A,設備,WRK-011,6.7,8.0,84,5
2024-01-09,SITE-A,現場A,内装,WRK-011,7.2,6.1,94,1
2024-01-10,SITE-B,現場B,設備,WRK-011,6.4,4.6,77,0
2024-01-11,SITE-C,現場C,躯体,WRK-011,7.6,9.1,33,4
2024-01-12,SITE-C,現場C,基礎,WRK-011,6.4,8.2,69,2
2024-01-13,SITE-C,現場C,基礎,WRK-011,6.4,4.9,81,0
2024-01-14,SITE-B,現場B,基礎,WRK-011,6.2,7.2,78,3
2024-01-15,SITE-D,現場D,内装,WRK-011,6.3,5.9,71,4
2024-01-16,SITE-E,現場E,基礎,WRK-011,7.8,4.9,36,5
2024-01-17,SITE-A,現場A,内装,WRK-011,6.9,6.5,86,3
2024-01-18,SITE-C,現場C,躯体,WRK-011,7.5,4.7,85,0
2024-01-19,SITE-C,現場C,設備,WRK-011,7.1,5.9,58,3
2024-01-20,SITE-E,現場E,基礎,WRK-011,6.0,5.8,57,1
2024-01-01,SITE-C,現場C,内装,WRK-012,6.7,4.0,85,1
2024-01-02,SITE-B,現場B,設備,WRK-012,7.1,5.4,75,0
2024-01-03,SITE-D,現場D,基礎,WRK-012,6.9,6.8,39,2
2024-01-04,SITE-E,現場E,設備,WRK-012,7.1,8.3,83,2
2024-01-05,SITE-A,現場A,設備,WRK-012,6.0,5.9,88,5
2024-01-06,SITE-C,現場C,基礎,WRK-012,6.9,4.6,85,4
2024-01-07,SITE-D,現場D,基礎,WRK-012,6.8,5.9,73,1
2024-01-08,SITE-C,現場C,躯体,WRK-012,6.2,7.8,97,4
2024-01-09,SITE-B,現場B,内装,WRK-012,6.7,9.7,48,1
2024-01-10,SITE-A,現場A,躯体,WRK-012,6.5,5.0,49,5
2024-01-11,SITE-A,現場A,躯体,WRK-012,7.9,7.8,89,4
2024-01-12,SITE-E,現場E,設備,WRK-012,7.4,9.3,71,5
2024-01-13,SITE-C,現場C,躯体,WRK-012,6.9,6.8,68,2
2024-01-14,SITE-E,現場E,基礎,WRK-012,6.7,4.4,89,3
2024-01-15,SITE-A,現場A,基礎,WRK-012,6.7,5.7,41,4
2024-01-16,SITE-E,現場E,設備,WRK-012,6.9,7.3,35,3
2024-01-17,SITE-E,現場E,躯体,WRK-012,6.6,6.9,49,0
2024-01-18,SITE-D,現場D,基礎,WRK-012,7.6,9.0,40,4
2024-01-19,SITE-B,現場B,基礎,WRK-012,6.5,6.6,86,4
2024-01-20,SITE-E,現場E,躯体,WRK-012,6.7,9.5,79,3
2024-01-01,SITE-C,現場C,基礎,WRK-013,7.6,7.9,38,2
2024-01-02,SITE-A,現場A,設備,WRK-013,6.6,8.3,49,2
2024-01-03,SITE-A,現場A,躯体,WRK-013,7.8,5.9,80,1
2024-01-04,SITE-E,現場E,基礎,WRK-013,6.6,6.3,72,1
2024-01-05,SITE-E,現場E,基礎,WRK-013,7.3,6.5,76,0
2024-01-06,SITE-C,現場C,内装,WRK-013,6.4,5.3,92,1
2024-01-07,SITE-B,現場B,躯体,WRK-013,6.3,5.8,42,4
2024-01-08,SITE-E,現場E,基礎,WRK-013,7.3,9.3,46,4
2024-01-09,SITE-D,現場D,躯体,WRK-013,6.3,9.0,51,5
2024-01-10,SITE-D,現場D,基礎,WRK-013,6.8,8.1,60,3
2024-01-11,SITE-E,現場E,内装,WRK-013,7.5,8.7,59,4
2024-01-12,SITE-B,現場B,内装,WRK-013,7.9,8.7,54,2
2024-01-13,SITE-E,現場E,設備,WRK-013,6.9,5.7,78,4
2024-01-14,SITE-E,現場E,設備,WRK-013,7.9,8.9,47,2
2024-01-15,SITE-A,現場A,設備,WRK-013,7.7,7.3,43,5
2024-01-16,SITE-E,現場E,基礎,WRK-013,6.6,8.6,64,3
2024-01-17,SITE-E,現場E,躯体,WRK-013,7.7,4.6,58,3
2024-01-18,SITE-C,現場C,基礎,WRK-013,6.8,6.4,77,1
2024-01-19,SITE-D,現場D,基礎,WRK-013,6.7,4.2,42,5
2024-01-20,SITE-C,現場C,躯体,WRK-013,6.3,5.7,90,5
2024-01-01,SITE-B,現場B,設備,WRK-014,6.9,4.0,40,0
2024-01-02,SITE-C,現場C,躯体,WRK-014,7.7,7.3,97,3
2024-01-03,SITE-A,現場A,内装,WRK-014,6.5,4.7,60,3
2024-01-04,SITE-E,現場E,設備,WRK-014,6.1,9.0,93,4
2024-01-05,SITE-E,現場E,基礎,WRK-014,7.3,7.5,48,2
2024-01-06,SITE-D,現場D,基礎,WRK-014,7.2,5.4,83,1
2024-01-07,SITE-A,現場A,内装,WRK-014,6.1,7.2,94,4
2024-01-08,SITE-E,現場E,基礎,WRK-014,6.8,6.8,79,2
2024-01-09,SITE-C,現場C,基礎,WRK-014,6.7,4.4,60,5
2024-01-10,SITE-A,現場A,内装,WRK-014,6.3,6.1,73,5
2024-01-11,SITE-B,現場B,設備,WRK-014,8.0,6.9,53,1
2024-01-12,SITE-A,現場A,設備,WRK-014,6.1,5.2,55,0
2024-01-13,SITE-C,現場C,内装,WRK-014,7.0,9.9,99,3
2024-01-14,SITE-C,現場C,基礎,WRK-014,7.5,5.1,75,0
2024-01-15,SITE-C,現場C,内装,WRK-014,6.2,6.2,81,5
2024-01-16,SITE-D,現場D,設備,WRK-014,6.7,5.1,93,2
2024-01-17,SITE-E,現場E,内装,WRK-014,7.6,8.4,40,3
2024-01-18,SITE-E,現場E,躯体,WRK-014,7.1,5.9,40,2
2024-01-19,SITE-C,現場C,内装,WRK-014,6.9,8.3,51,5
2024-01-20,SITE-D,現場D,内装,WRK-014,6.9,8.4,75,4
2024-01-01,SITE-D,現場D,内装,WRK-015,7.3,8.7,37,0
2024-01-02,SITE-D,現場D,内装,WRK-015,7.0,8.5,50,0
2024-01-03,SITE-B,現場B,設備,WRK-015,6.1,4.4,76,2
2024-01-04,SITE-D,現場D,基礎,WRK-015,7.2,8.1,77,2
2024-01-05,SITE-D,現場D,基礎,WRK-015,7.1,7.2,80,2
2024-01-06,SITE-C,現場C,躯体,WRK-015,7.9,4.2,53,3
2024-01-07,SITE-E,現場E,設備,WRK-015,7.8,4.7,63,5
2024-01-08,SITE-D,現場D,躯体,WRK-015,8.0,5.7,92,1
2024-01-09,SITE-A,現場A,躯体,WRK-015,7.7,6.7,86,0
2024-01-10,SITE-C,現場C,内装,WRK-015,7.4,7.3,67,2
2024-01-11,SITE-B,現場B,躯体,WRK-015,7.6,7.1,45,1
2024-01-12,SITE-B,現場B,躯体,WRK-015,7.6,4.2,100,4
2024-01-13,SITE-C,現場C,設備,WRK-015,7.6,7.3,41,0
2024-01-14,SITE-C,現場C,設備,WRK-015,8.0,8.3,97,3
2024-01-15,SITE-D,現場D,基礎,WRK-015,6.3,5.9,39,3
2024-01-16,SITE-D,現場D,内装,WRK-015,6.3,9.0,100,5
2024-01-17,SITE-E,現場E,躯体,WRK-015,7.5,4.8,94,0
2024-01-18,SITE-A,現場A,躯体,WRK-015,6.6,5.0,58,2
2024-01-19,SITE-E,現場E,内装,WRK-015,7.7,5.5,100,2
2024-01-20,SITE-B,現場B,内装,WRK-015,7.2,4.6,51,4
2024-01-01,SITE-E,現場E,躯体,WRK-016,6.3,7.7,73,4
2024-01-02,SITE-A,現場A,基礎,WRK-016,6.2,9.7,63,5
2024-01-03,SITE-B,現場B,設備,WRK-016,7.2,4.2,99,2
2024-01-04,SITE-C,現場C,設備,WRK-016,6.5,8.8,81,2
2024-01-05,SITE-D,現場D,基礎,WRK-016,7.4,4.9,83,3
2024-01-06,SITE-D,現場D,躯体,WRK-016,6.7,4.9,70,5
2024-01-07,SITE-C,現場C,設備,WRK-016,6.3,6.2,43,2
2024-01-08,SITE-B,現場B,設備,WRK-016,6.2,6.7,48,0
2024-01-09,SITE-A,現場A,内装,WRK-016,7.9,9.2,83,1
2024-01-10,SITE-B,現場B,内装,WRK-016,7.9,8.3,54,1
2024-01-11,SITE-D,現場D,設備,WRK-016,7.0,5.9,32,0
2024-01-12,SITE-D,現場D,設備,WRK-016,7.9,5.3,75,0
2024-01-13,SITE-A,現場A,内装,WRK-016,7.0,9.3,90,2
2024-01-14,SITE-E,現場E,基礎,WRK-016,7.7,6.6,63,5
2024-01-15,SITE-C,現場C,設備,WRK-016,6.7,6.4,54,2
2024-01-16,SITE-E,現場E,内装,WRK-016,6.1,7.0,100,2
2024-01-17,SITE-E,現場E,基礎,WRK-016,6.3,4.6,77,2
2024-01-18,SITE-E,現場E,内装,WRK-016,7.5,5.2,95,3
2024-01-19,SITE-E,現場E,基礎,WRK-016,6.1,4.8,72,3
2024-01-20,SITE-E,現場E,設備,WRK-016,6.3,9.4,47,2
2024-01-01,SITE-E,現場E,内装,WRK-017,6.3,9.9,68,4
2024-01-02,SITE-C,現場C,設備,WRK-017,7.4,5.8,32,2
2024-01-03,SITE-C,現場C,基礎,WRK-017,8.0,7.5,33,4
2024-01-04,SITE-D,現場D,内装,WRK-017,7.9,8.7,59,5
2024-01-05,SITE-A,現場A,設備,WRK-017,6.3,7.8,78,1
2024-01-06,SITE-B,現場B,基礎,WRK-017,7.1,8.2,54,0
2024-01-07,SITE-D,現場D,内装,WRK-017,6.8,6.5,56,3
2024-01-08,SITE-E,現場E,設備,WRK-017,7.7,8.4,37,5
2024-01-09,SITE-B,現場B,躯体,WRK-017,7.1,10.0,91,4
2024-01-10,SITE-D,現場D,内装,WRK-017,7.9,6.8,98,2
2024-01-11,SITE-E,現場E,内装,WRK-017,7.4,9.2,63,4
2024-01-12,SITE-D,現場D,躯体,WRK-017,7.9,5.7,68,1
2024-01-13,SITE-C,現場C,内装,WRK-017,7.4,8.1,92,2
2024-01-14,SITE-D,現場D,内装,WRK-017,7.1,9.6,65,2
2024-01-15,SITE-A,現場A,設備,WRK-017,7.8,6.4,74,1
2024-01-16,SITE-C,現場C,基礎,WRK-017,6.6,8.3,74,3
2024-01-17,SITE-C,現場C,設備,WRK-017,6.4,9.0,64,4
2024-01-18,SITE-C,現場C,躯体,WRK-017,6.2,8.4,60,1
2024-01-19,SITE-A,現場A,躯体,WRK-017,7.3,4.3,82,2
2024-01-20,SITE-D,現場D,基礎,WRK-017,7.4,4.8,100,1
2024-01-01,SITE-D,現場D,設備,WRK-018,7.0,5.2,66,2
2024-01-02,SITE-C,現場C,基礎,WRK-018,7.8,4.5,59,4
2024-01-03,SITE-A,現場A,躯体,WRK-018,6.8,9.0,34,3
2024-01-04,SITE-D,現場D,躯体,WRK-018,7.9,9.8,67,0
2024-01-05,SITE-A,現場A,内装,WRK-018,7.1,4.6,72,2
2024-01-06,SITE-D,現場D,設備,WRK-018,7.8,4.8,94,3
2024-01-07,SITE-C,現場C,躯体,WRK-018,7.6,6.0,88,5
2024-01-08,SITE-C,現場C,躯体,WRK-018,6.0,6.0,67,4
2024-01-09,SITE-B,現場B,躯体,WRK-018,7.2,7.8,81,3
2024-01-10,SITE-E,現場E,内装,WRK-018,6.2,8.0,53,1
2024-01-11,SITE-D,現場D,内装,WRK-018,7.9,4.0,79,1
2024-01-12,SITE-D,現場D,内装,WRK-018,7.9,5.8,31,2
2024-01-13,SITE-C,現場C,躯体,WRK-018,6.1,4.7,69,1
2024-01-14,SITE-D,現場D,内装,WRK-018,7.4,7.8,67,2
2024-01-15,SITE-E,現場E,躯体,WRK-018,6.4,4.8,49,3
2024-01-16,SITE-E,現場E,内装,WRK-018,6.8,7.3,90,4
2024-01-17,SITE-B,現場B,躯体,WRK-018,7.4,7.6,40,4
2024-01-18,SITE-D,現場D,内装,WRK-018,6.2,7.4,37,4
2024-01-19,SITE-E,現場E,躯体,WRK-018,7.1,4.9,71,4
2024-01-20,SITE-D,現場D,基礎,WRK-018,7.4,8.3,92,0
2024-01-01,SITE-E,現場E,設備,WRK-019,7.6,6.7,95,3
