受付日,受付番号,区分,受付チャネル,対応者,処理時間,解決,再連絡,CS評価
2024/01/11,INQ-0360,新規契約,来店,OP-01,115,1,1,2
2024/01/07,INQ-0361,新規契約,来店,OP-08,57,1,0,4
2024/01/16,INQ-0362,給付請求,TEL,OP-01,106,1,0,3
2024/01/08,INQ-0363,契約変更,Mail,OP-03,104,1,0,4
2024/01/18,INQ-0364,契約変更,TEL,OP-02,39,1,0,3
2024/01/18,INQ-0365,契約照会,来店,OP-08,74,1,0,2
2024/01/10,INQ-0366,契約照会,Mail,OP-05,49,0,1,1
2024/01/08,INQ-0367,給付請求,来店,OP-06,115,1,0,2
2024/01/20,INQ-0368,給付請求,TEL,OP-04,108,1,0,3
2024/01/20,INQ-0369,契約変更,TEL,OP-06,95,1,0,5
2024/01/04,INQ-0370,給付請求,Mail,OP-01,40,0,1,2
2024/01/08,INQ-0371,給付請求,来店,OP-06,111,1,0,4
2024/01/16,INQ-0372,給付請求,来店,OP-05,85,1,0,1
2024/01/13,INQ-0373,契約変更,来店,OP-05,93,0,0,4
2024/01/11,INQ-0374,契約変更,TEL,OP-02,98,0,0,3
2024/01/03,INQ-0375,契約変更,Mail,OP-04,59,1,0,3
2024/01/10,INQ-0376,解約,来店,OP-03,77,0,0,1
2024/01/02,INQ-0377,契約照会,来店,OP-08,7,1,0,4
2024/01/15,INQ-0378,契約照会,Mail,OP-04,93,0,0,3
2024/01/06,INQ-0379,解約,TEL,OP-06,37,1,0,2
2024/01/02,INQ-0380,新規契約,来店,OP-05,97,1,0,1
2024/01/04,INQ-0381,契約照会,TEL,OP-08,14,1,0,4
2024/01/01,INQ-0382,契約照会,来店,OP-06,109,1,0,2
2024/01/16,INQ-0383,契約照会,TEL,OP-07,16,1,1,3
2024/01/12,INQ-0384,解約,TEL,OP-07,104,1,0,2
2024/01/03,INQ-0385,契約変更,来店,OP-01,83,1,0,2
2024/01/05,INQ-0386,新規契約,来店,OP-08,115,1,0,2
2024/01/04,INQ-0387,契約変更,来店,OP-07,49,0,0,2
2024/01/08,INQ-0388,解約,来店,OP-02,36,1,0,5
2024/01/10,INQ-0389,契約照会,来店,OP-05,31,1,0,4
2024/01/10,INQ-0390,契約照会,TEL,OP-08,54,1,0,5
2024/01/03,INQ-0391,契約変更,TEL,OP-06,45,1,0,5
2024/01/14,INQ-0392,解約,来店,OP-03,102,1,0,1
2024/01/01,INQ-0393,契約変更,TEL,OP-01,38,1,0,4
2024/01/17,INQ-0394,解約,来店,OP-07,59,1,1,5
2024/01/18,INQ-0395,契約変更,TEL,OP-05,15,1,0,2
2024/01/05,INQ-0396,契約変更,Mail,OP-07,80,1,0,1
2024/01/10,INQ-0397,新規契約,来店,OP-04,12,1,0,1
2024/01/15,INQ-0398,契約変更,来店,OP-01,44,1,0,2
2024/01/04,INQ-0399,契約照会,来店,OP-03,94,1,0,3
2024/01/17,INQ-0400,契約変更,来店,OP-05,26,1,0,3
2024/01/04,INQ-0401,契約照会,Mail,OP-07,39,1,0,5
2024/01/03,INQ-0402,新規契約,Mail,OP-06,12,1,0,3
2024/01/06,INQ-0403,解約,TEL,OP-02,34,1,1,1
2024/01/08,INQ-0404,契約照会,Mail,OP-06,54,0,0,1
2024/01/18,INQ-0405,新規契約,TEL,OP-06,36,1,0,3
2024/01/03,INQ-0406,契約変更,Mail,OP-02,69,1,1,2
2024/01/17,INQ-0407,契約照会,Mail,OP-02,117,1,0,3
2024/01/11,INQ-0408,契約照会,来店,OP-08,6,1,0,3
2024/01/20,INQ-0409,給付請求,Mail,OP-06,80,0,0,2
2024/01/18,INQ-0410,給付請求,TEL,OP-01,57,1,0,1
2024/01/11,INQ-0411,契約照会,来店,OP-07,113,1,0,2
2024/01/17,INQ-0412,給付請求,Mail,OP-08,12,0,1,3
2024/01/03,INQ-0413,契約照会,TEL,OP-07,94,0,0,1
2024/01/19,INQ-0414,契約照会,来店,OP-03,86,1,1,5
2024/01/02,INQ-0415,新規契約,来店,OP-03,35,1,0,4
2024/01/11,INQ-0416,解約,Mail,OP-05,34,1,0,5
2024/01/04,INQ-0417,給付請求,TEL,OP-03,62,1,0,5
2024/01/12,INQ-0418,給付請求,Mail,OP-05,64,1,1,2
2024/01/10,INQ-0419,契約変更,TEL,OP-04,111,0,1,2
2024/01/12,INQ-0420,新規契約,来店,OP-01,91,1,0,2
2024/01/01,INQ-0421,新規契約,Mail,OP-04,17,1,0,2
2024/01/04,INQ-0422,契約照会,TEL,OP-04,21,1,0,1
2024/01/19,INQ-0423,契約変更,Mail,OP-02,7,0,0,4
2024/01/05,INQ-0424,契約照会,Mail,OP-02,10,0,1,5
2024/01/14,INQ-0425,新規契約,Mail,OP-01,53,1,0,2
2024/01/06,INQ-0426,解約,Mail,OP-08,118,1,0,5
2024/01/08,INQ-0427,解約,Mail,OP-07,117,1,1,3
2024/01/13,INQ-0428,給付請求,Mail,OP-04,87,0,0,5
2024/01/01,INQ-0429,新規契約,来店,OP-06,66,1,0,5
2024/01/17,INQ-0430,解約,Mail,OP-05,28,1,0,1
2024/01/09,INQ-0431,契約照会,Mail,OP-06,103,1,0,2
2024/01/04,INQ-0432,給付請求,来店,OP-04,39,1,0,1
2024/01/08,INQ-0433,契約変更,Mail,OP-06,112,0,0,2
2024/01/19,INQ-0434,解約,来店,OP-06,80,1,0,5
2024/01/19,INQ-0435,給付請求,来店,OP-04,112,0,0,4
2024/01/18,INQ-0436,解約,TEL,OP-08,9,1,0,2
2024/01/01,INQ-0437,契約変更,Mail,OP-01,47,0,0,2
2024/01/11,INQ-0438,給付請求,Mail,OP-01,7,1,0,2
2024/01/04,INQ-0439,契約変更,Mail,OP-02,52,1,0,5
2024/01/04,INQ-0440,解約,Mail,OP-06,22,0,0,4
2024/01/16,INQ-0441,解約,TEL,OP-06,33,1,0,4
2024/01/10,INQ-0442,解約,TEL,OP-03,98,1,0,5
2024/01/13,INQ-0443,契約変更,TEL,OP-03,82,1,0,5
2024/01/08,INQ-0444,契約変更,TEL,OP-08,23,1,1,3
2024/01/11,INQ-0445,給付請求,来店,OP-02,110,1,0,3
2024/01/15,INQ-0446,契約照会,Mail,OP-04,36,1,0,1
2024/01/01,INQ-0447,契約照会,Mail,OP-08,98,1,0,4
2024/01/16,INQ-0448,新規契約,Mail,OP-07,17,1,0,5
2024/01/08,INQ-0449,給付請求,Mail,OP-02,107,1,0,3
2024/01/09,INQ-0450,契約照会,TEL,OP-06,26,0,0,1
2024/01/18,INQ-0451,契約照会,Mail,OP-08,95,1,0,2
2024/01/20,INQ-0452,新規契約,TEL,OP-01,17,1,0,4
2024/01/18,INQ-0453,契約変更,Mail,OP-05,43,1,1,5
2024/01/18,INQ-0454,新規契約,TEL,OP-01,51,1,1,5
2024/01/16,INQ-0455,給付請求,TEL,OP-01,31,1,0,1
2024/01/16,INQ-0456,契約照会,Mail,OP-07,65,1,0,1
2024/01/18,INQ-0457,新規契約,TEL,OP-06,118,1,0,1
2024/01/09,INQ-0458,新規契約,Mail,OP-05,33,1,0,2
2024/01/04,INQ-0459,契約照会,来店,OP-06,108,1,0,5
2024/01/08,INQ-0460,契約変更,TEL,OP-07,109,1,0,4
2024/01/19,INQ-0461,給付請求,Mail,OP-05,15,1,0,1
2024/01/17,INQ-0462,契約変更,来店,OP-03,20,0,0,2
2024/01/07,INQ-0463,給付請求,TEL,OP-01,59,1,0,2
2024/01/05,INQ-0464,契約変更,Mail,OP-06,98,0,1,4
2024/01/18,INQ-0465,新規契約,来店,OP-06,114,1,0,1
2024/01/20,INQ-0466,契約変更,来店,OP-07,19,1,1,5
2024/01/19,INQ-0467,契約照会,TEL,OP-02,105,1,0,3
2024/01/14,INQ-0468,解約,Mail,OP-08,78,1,1,3
2024/01/13,INQ-0469,給付請求,来店,OP-07,9,1,0,2
2024/01/02,INQ-0470,新規契約,Mail,OP-06,7,1,0,3
2024/01/09,INQ-0471,新規契約,来店,OP-02,116,1,0,4
2024/01/11,INQ-0472,解約,来店,OP-07,82,1,0,2
2024/01/14,INQ-0473,新規契約,来店,OP-06,110,1,0,1
2024/01/10,INQ-0474,契約変更,Mail,OP-03,104,0,0,1
2024/01/06,INQ-0475,給付請求,TEL,OP-01,36,1,1,3
2024/01/07,INQ-0476,解約,Mail,OP-08,69,1,0,1
2024/01/08,INQ-0477,解約,Mail,OP-08,27,0,0,5
2024/01/12,INQ-0478,解約,TEL,OP-05,100,1,1,1
2024/01/13,INQ-0479,契約照会,TEL,OP-04,114,1,0,2
2024/01/09,INQ-0480,新規契約,来店,OP-01,115,1,0,1
