InquiryDate,InquiryID,InquiryType,Channel,OperatorID,HandlingMinutes,IsResolved,RecontactFlag,Satisfaction
2024-01-03,INQ-0239,ContractConfirm,Counter,OP-05,88,1,0,5
2024-01-01,INQ-0240,NewEnrollment,Counter,OP-05,87,0,0,4
2024-01-10,INQ-0241,NewEnrollment,Phone,OP-01,25,1,0,2
2024-01-11,INQ-0242,ChangeRequest,Phone,OP-06,115,1,0,3
2024-01-13,INQ-0243,ClaimRequest,Email,OP-02,45,1,1,4
2024-01-08,INQ-0244,ClaimRequest,Phone,OP-01,42,0,0,4
2024-01-08,INQ-0245,ClaimRequest,Email,OP-06,29,1,0,5
2024-01-15,INQ-0246,NewEnrollment,Email,OP-08,7,1,0,4
2024-01-08,INQ-0247,ClaimRequest,Counter,OP-06,11,1,0,4
2024-01-10,INQ-0248,ChangeRequest,Phone,OP-02,60,1,0,3
2024-01-13,INQ-0249,Cancellation,Phone,OP-07,11,1,0,5
2024-01-10,INQ-0250,ContractConfirm,Email,OP-08,102,1,0,5
2024-01-20,INQ-0251,ContractConfirm,Phone,OP-02,55,1,0,5
2024-01-12,INQ-0252,ClaimRequest,Phone,OP-07,69,1,1,3
2024-01-16,INQ-0253,ChangeRequest,Email,OP-03,82,0,1,5
2024-01-11,INQ-0254,ClaimRequest,Email,OP-05,80,1,0,5
2024-01-16,INQ-0255,ChangeRequest,Email,OP-08,109,1,0,1
2024-01-14,INQ-0256,ChangeRequest,Email,OP-01,81,1,0,5
2024-01-19,INQ-0257,ClaimRequest,Counter,OP-01,79,1,0,5
2024-01-13,INQ-0258,ClaimRequest,Counter,OP-04,9,1,0,2
2024-01-01,INQ-0259,NewEnrollment,Email,OP-07,24,1,0,5
2024-01-20,INQ-0260,NewEnrollment,Counter,OP-01,95,1,0,3
2024-01-16,INQ-0261,ChangeRequest,Email,OP-06,27,1,0,5
2024-01-12,INQ-0262,Cancellation,Counter,OP-08,29,0,0,3
2024-01-08,INQ-0263,Cancellation,Email,OP-04,93,1,0,3
2024-01-18,INQ-0264,Cancellation,Email,OP-02,78,1,0,4
2024-01-12,INQ-0265,ClaimRequest,Email,OP-01,41,0,1,4
2024-01-09,INQ-0266,NewEnrollment,Phone,OP-04,110,1,0,3
2024-01-05,INQ-0267,ContractConfirm,Counter,OP-04,36,1,0,2
2024-01-08,INQ-0268,ContractConfirm,Phone,OP-07,47,1,1,2
2024-01-01,INQ-0269,ChangeRequest,Phone,OP-07,88,0,0,4
2024-01-07,INQ-0270,Cancellation,Email,OP-05,87,1,0,5
2024-01-08,INQ-0271,ChangeRequest,Counter,OP-01,27,1,0,1
2024-01-13,INQ-0272,NewEnrollment,Phone,OP-05,117,1,0,5
2024-01-04,INQ-0273,Cancellation,Email,OP-08,87,1,0,2
2024-01-17,INQ-0274,NewEnrollment,Email,OP-04,108,1,0,4
2024-01-09,INQ-0275,ClaimRequest,Phone,OP-06,106,1,0,2
2024-01-06,INQ-0276,ChangeRequest,Counter,OP-07,110,1,0,4
2024-01-04,INQ-0277,ClaimRequest,Phone,OP-08,46,0,1,4
2024-01-08,INQ-0278,NewEnrollment,Email,OP-06,43,1,0,3
2024-01-12,INQ-0279,ClaimRequest,Phone,OP-02,64,1,0,5
2024-01-10,INQ-0280,ContractConfirm,Counter,OP-05,52,1,0,2
2024-01-16,INQ-0281,ClaimRequest,Email,OP-06,58,1,0,5
2024-01-07,INQ-0282,ClaimRequest,Counter,OP-02,72,1,0,1
2024-01-19,INQ-0283,ContractConfirm,Phone,OP-04,78,1,0,5
2024-01-15,INQ-0284,ContractConfirm,Counter,OP-04,96,1,1,5
2024-01-15,INQ-0285,ContractConfirm,Email,OP-03,70,1,0,5
2024-01-15,INQ-0286,Cancellation,Counter,OP-01,55,1,1,2
2024-01-19,INQ-0287,ContractConfirm,Phone,OP-07,49,1,0,1
2024-01-03,INQ-0288,NewEnrollment,Phone,OP-05,57,1,1,4
2024-01-12,INQ-0289,NewEnrollment,Email,OP-07,53,1,0,5
2024-01-05,INQ-0290,Cancellation,Phone,OP-03,73,1,1,2
2024-01-01,INQ-0291,ContractConfirm,Email,OP-08,91,1,0,4
2024-01-08,INQ-0292,ClaimRequest,Email,OP-06,24,1,0,1
2024-01-02,INQ-0293,NewEnrollment,Counter,OP-01,35,1,1,1
2024-01-15,INQ-0294,ChangeRequest,Counter,OP-01,36,1,0,2
2024-01-18,INQ-0295,ClaimRequest,Phone,OP-03,69,0,0,5
2024-01-11,INQ-0296,ChangeRequest,Counter,OP-06,35,1,1,5
2024-01-08,INQ-0297,NewEnrollment,Email,OP-05,12,1,0,2
2024-01-14,INQ-0298,ChangeRequest,Email,OP-01,49,0,0,5
2024-01-11,INQ-0299,NewEnrollment,Email,OP-03,43,1,0,4
2024-01-08,INQ-0300,ClaimRequest,Email,OP-03,108,1,1,4
2024-01-14,INQ-0301,ChangeRequest,Counter,OP-03,54,1,0,1
2024-01-15,INQ-0302,Cancellation,Phone,OP-04,11,1,0,5
2024-01-02,INQ-0303,ContractConfirm,Phone,OP-04,66,1,0,3
2024-01-01,INQ-0304,ClaimRequest,Phone,OP-02,100,0,0,2
2024-01-20,INQ-0305,ClaimRequest,Email,OP-04,75,1,0,4
2024-01-18,INQ-0306,Cancellation,Email,OP-05,51,1,0,1
2024-01-16,INQ-0307,Cancellation,Phone,OP-06,45,1,0,2
2024-01-05,INQ-0308,ContractConfirm,Email,OP-07,42,1,0,4
2024-01-19,INQ-0309,ClaimRequest,Email,OP-06,37,1,0,4
2024-01-15,INQ-0310,ClaimRequest,Counter,OP-06,26,1,0,2
2024-01-18,INQ-0311,ContractConfirm,Counter,OP-01,112,1,0,1
2024-01-01,INQ-0312,NewEnrollment,Phone,OP-04,13,1,1,5
2024-01-15,INQ-0313,Cancellation,Phone,OP-08,89,1,1,5
2024-01-14,INQ-0314,ContractConfirm,Phone,OP-05,73,0,1,4
2024-01-06,INQ-0315,ContractConfirm,Phone,OP-03,35,1,0,3
2024-01-09,INQ-0316,NewEnrollment,Phone,OP-06,56,1,0,2
2024-01-10,INQ-0317,ContractConfirm,Counter,OP-01,16,1,0,4
2024-01-02,INQ-0318,ContractConfirm,Counter,OP-03,15,1,0,3
2024-01-19,INQ-0319,ContractConfirm,Counter,OP-01,34,1,0,5
2024-01-16,INQ-0320,Cancellation,Phone,OP-02,92,0,0,5
