問い合わせ日,問い合わせID,問い合わせ区分,チャネル,担当者ID,対応時間(分),解決フラグ,再問い合わせフラグ,満足度
2024/01/14,INQ-0065,保険金請求,電話,OP-08,11,1,0,1
2024/01/15,INQ-0066,保険金請求,メール,OP-06,101,0,0,5
2024/01/14,INQ-0067,変更手続き,メール,OP-03,100,0,0,2
2024/01/09,INQ-0068,変更手続き,メール,OP-04,40,1,0,2
2024/01/09,INQ-0069,解約手続き,メール,OP-02,22,1,0,2
2024/01/07,INQ-0070,契約内容確認,メール,OP-07,47,1,0,2
2024/01/14,INQ-0071,新規加入,窓口,OP-01,114,0,0,4
2024/01/01,INQ-0072,解約手続き,メール,OP-07,114,0,0,5
2024/01/18,INQ-0073,変更手続き,電話,OP-08,33,1,0,4
2024/01/11,INQ-0074,新規加入,窓口,OP-03,112,1,1,5
2024/01/18,INQ-0075,契約内容確認,メール,OP-01,15,1,1,4
2024/01/06,INQ-0076,契約内容確認,メール,OP-07,46,1,0,4
2024/01/09,INQ-0077,新規加入,メール,OP-02,65,1,0,3
2024/01/08,INQ-0078,契約内容確認,窓口,OP-01,101,1,0,1
2024/01/20,INQ-0079,保険金請求,電話,OP-03,65,1,0,2
2024/01/15,INQ-0080,解約手続き,メール,OP-03,82,1,0,1
2024/01/06,INQ-0081,解約手続き,電話,OP-01,44,1,0,4
2024/01/13,INQ-0082,保険金請求,電話,OP-04,18,1,0,5
2024/01/04,INQ-0083,変更手続き,電話,OP-06,73,1,0,5
2024/01/11,INQ-0084,契約内容確認,メール,OP-08,18,1,0,4
2024/01/05,INQ-0085,新規加入,電話,OP-05,83,1,0,4
2024/01/15,INQ-0086,新規加入,窓口,OP-05,46,0,0,1
2024/01/09,INQ-0087,新規加入,電話,OP-08,77,1,0,1
2024/01/16,INQ-0088,解約手続き,電話,OP-08,32,1,0,3
2024/01/20,INQ-0089,解約手続き,窓口,OP-01,71,0,1,4
2024/01/16,INQ-0090,変更手続き,電話,OP-08,87,1,0,1
2024/01/03,INQ-0091,解約手続き,電話,OP-07,93,1,0,3
2024/01/16,INQ-0092,変更手続き,窓口,OP-06,59,0,0,3
2024/01/15,INQ-0093,解約手続き,メール,OP-05,34,1,0,1
2024/01/18,INQ-0094,保険金請求,電話,OP-04,99,1,0,5
2024/01/20,INQ-0095,解約手続き,電話,OP-04,42,1,0,1
2024/01/18,INQ-0096,保険金請求,メール,OP-01,11,1,0,2
2024/01/16,INQ-0097,契約内容確認,電話,OP-05,65,1,0,1
2024/01/09,INQ-0098,新規加入,電話,OP-02,56,1,0,1
2024/01/05,INQ-0099,保険金請求,窓口,OP-05,15,0,1,4
2024/01/20,INQ-0100,変更手続き,窓口,OP-04,104,1,0,4
2024/01/10,INQ-0101,変更手続き,メール,OP-05,77,1,0,1
2024/01/07,INQ-0102,保険金請求,メール,OP-02,25,1,0,2
2024/01/01,INQ-0103,新規加入,メール,OP-08,42,1,0,3
2024/01/15,INQ-0104,契約内容確認,窓口,OP-04,38,1,0,2
2024/01/14,INQ-0105,契約内容確認,窓口,OP-04,87,1,0,2
2024/01/03,INQ-0106,契約内容確認,電話,OP-05,81,1,0,3
2024/01/15,INQ-0107,契約内容確認,メール,OP-05,94,1,0,5
2024/01/16,INQ-0108,新規加入,電話,OP-01,118,1,0,3
2024/01/01,INQ-0109,契約内容確認,電話,OP-01,102,1,0,1
2024/01/06,INQ-0110,新規加入,窓口,OP-08,40,1,0,4
2024/01/03,INQ-0111,新規加入,メール,OP-07,47,1,1,2
2024/01/11,INQ-0112,新規加入,窓口,OP-08,41,1,0,5
2024/01/02,INQ-0113,新規加入,電話,OP-06,37,1,0,4
2024/01/17,INQ-0114,契約内容確認,窓口,OP-08,57,1,0,5
2024/01/16,INQ-0115,新規加入,電話,OP-04,39,1,0,4
2024/01/16,INQ-0116,契約内容確認,電話,OP-04,95,1,0,5
2024/01/14,INQ-0117,契約内容確認,電話,OP-02,64,0,0,2
2024/01/16,INQ-0118,解約手続き,窓口,OP-05,58,1,0,2
2024/01/15,INQ-0119,変更手続き,電話,OP-07,29,0,0,2
2024/01/03,INQ-0120,解約手続き,メール,OP-06,105,1,0,3
2024/01/10,INQ-0121,変更手続き,窓口,OP-08,115,1,0,3
2024/01/11,INQ-0122,変更手続き,窓口,OP-07,63,0,0,2
2024/01/19,INQ-0123,新規加入,電話,OP-07,10,1,0,4
2024/01/13,INQ-0124,保険金請求,メール,OP-01,21,1,0,1
2024/01/15,INQ-0125,契約内容確認,窓口,OP-08,6,1,0,2
2024/01/03,INQ-0126,新規加入,メール,OP-06,84,1,0,3
2024/01/18,INQ-0127,新規加入,メール,OP-08,116,1,0,2
2024/01/10,INQ-0128,保険金請求,窓口,OP-02,60,0,0,1
2024/01/15,INQ-0129,保険金請求,窓口,OP-05,120,1,0,1
2024/01/10,INQ-0130,解約手続き,メール,OP-07,23,1,0,2
2024/01/06,INQ-0131,保険金請求,電話,OP-07,84,1,0,5
2024/01/05,INQ-0132,保険金請求,メール,OP-05,63,1,1,4
2024/01/10,INQ-0133,変更手続き,電話,OP-02,61,0,0,3
2024/01/14,INQ-0134,解約手続き,メール,OP-05,30,0,0,1
2024/01/08,INQ-0135,新規加入,窓口,OP-06,78,1,0,1
2024/01/13,INQ-0136,解約手続き,電話,OP-01,82,1,0,3
2024/01/08,INQ-0137,変更手続き,メール,OP-04,86,1,0,2
2024/01/04,INQ-0138,契約内容確認,メール,OP-08,9,1,0,1
2024/01/10,INQ-0139,解約手続き,窓口,OP-07,27,1,0,3
2024/01/17,INQ-0140,変更手続き,メール,OP-03,37,0,0,3
2024/01/11,INQ-0141,契約内容確認,メール,OP-02,23,1,0,4
2024/01/18,INQ-0142,解約手続き,電話,OP-07,6,1,1,3
2024/01/09,INQ-0143,変更手続き,メール,OP-06,18,1,0,5
2024/01/18,INQ-0144,解約手続き,窓口,OP-04,87,1,0,3
2024/01/14,INQ-0145,契約内容確認,電話,OP-01,9,1,0,1
2024/01/08,INQ-0146,変更手続き,電話,OP-07,63,1,0,5
2024/01/14,INQ-0147,変更手続き,窓口,OP-03,118,1,1,4
2024/01/20,INQ-0148,新規加入,メール,OP-01,93,1,0,2
2024/01/12,INQ-0149,契約内容確認,窓口,OP-06,74,0,0,1
2024/01/13,INQ-0150,解約手続き,電話,OP-02,113,1,1,2
2024/01/20,INQ-0151,契約内容確認,電話,OP-06,36,0,0,2
2024/01/03,INQ-0152,変更手続き,電話,OP-04,109,0,0,2
2024/01/20,INQ-0153,契約内容確認,メール,OP-03,21,1,0,1
2024/01/01,INQ-0154,保険金請求,電話,OP-06,106,1,0,1
2024/01/06,INQ-0155,解約手続き,電話,OP-03,99,1,1,1
2024/01/16,INQ-0156,新規加入,メール,OP-02,62,1,0,1
2024/01/17,INQ-0157,解約手続き,メール,OP-01,12,0,0,4
2024/01/04,INQ-0158,新規加入,窓口,OP-08,14,0,0,2
2024/01/03,INQ-0159,保険金請求,メール,OP-06,53,0,0,4
2024/01/17,INQ-0160,変更手続き,メール,OP-02,106,1,0,5
