応募日,応募番号,採用チャネル,職種,採用コスト,選考フェーズ,採用可否,内定承諾
2024/01/10,131,SNS採用,事務,41759,二次面接,0,
2024/01/23,132,合同説明会,営業,85954,書類選考,0,
2024/01/18,133,リファラル,営業,42170,書類選考,0,
2024/01/19,134,リファラル,マーケ,41373,最終面接,0,
2024/01/09,135,エージェント,エンジニア,317129,最終面接,0,
2024/03/21,136,求人サイト,営業,119555,内定,1,0.0
2024/01/08,137,求人サイト,デザイン,154548,内定,1,1.0
2024/03/08,138,合同説明会,マーケ,109049,最終面接,0,
2024/03/14,139,リファラル,デザイン,13947,内定,1,0.0
2024/01/25,140,SNS採用,営業,47343,書類選考,0,
