日付,管理番号,チャネル,職種区分,コスト,フェーズ,採否,承諾
2024/02/05,358,SNS採用,エンジニア,67523,書類選考,0,
2024/01/01,359,エージェント,事務,409780,一次面接,0,
2024/02/23,360,SNS採用,マーケ,62887,内定,1,0.0
2024/03/24,361,求人サイト,営業,167984,一次面接,0,
2024/03/11,362,エージェント,デザイン,398782,二次面接,0,
2024/01/15,363,合同説明会,事務,121601,二次面接,0,
2024/03/25,364,リファラル,デザイン,41731,一次面接,0,
2024/01/09,365,合同説明会,事務,79473,二次面接,0,
2024/02/23,366,SNS採用,マーケ,50777,最終面接,0,
2024/03/09,367,リファラル,エンジニア,47583,内定,1,1.0
2024/02/27,368,リファラル,営業,29035,書類選考,0,
2024/02/23,369,求人サイト,事務,157983,二次面接,0,
2024/03/16,370,SNS採用,営業,65296,二次面接,0,
2024/03/23,371,リファラル,営業,17158,内定,1,1.0
2024/01/08,372,求人サイト,デザイン,129579,一次面接,0,
2024/01/04,373,エージェント,事務,488051,最終面接,1,1.0
2024/01/18,374,SNS採用,マーケ,72787,最終面接,0,
2024/01/25,375,リファラル,事務,28704,書類選考,0,
2024/01/21,376,合同説明会,営業,120143,書類選考,0,
2024/01/14,377,SNS採用,エンジニア,56017,最終面接,1,1.0
2024/02/02,378,求人サイト,事務,174443,内定,1,1.0
2024/02/10,379,エージェント,デザイン,437446,最終面接,0,
2024/01/28,380,合同説明会,マーケ,85761,一次面接,0,
2024/01/11,381,SNS採用,マーケ,72486,二次面接,0,
2024/03/06,382,求人サイト,事務,138669,内定,1,1.0
2024/01/06,383,合同説明会,マーケ,106059,内定,1,1.0
2024/02/22,384,求人サイト,営業,118430,最終面接,0,
2024/01/01,385,リファラル,マーケ,25435,最終面接,0,
2024/02/10,386,合同説明会,デザイン,51498,二次面接,0,
2024/03/12,387,SNS採用,エンジニア,73764,書類選考,0,
2024/02/10,388,SNS採用,マーケ,74962,内定,1,0.0
2024/03/25,389,リファラル,エンジニア,29335,二次面接,0,
2024/03/08,390,SNS採用,営業,61338,一次面接,0,
2024/02/24,391,合同説明会,事務,104505,内定,1,0.0
2024/03/26,392,SNS採用,営業,74586,内定,1,0.0
2024/01/17,393,エージェント,デザイン,484488,二次面接,0,
2024/01/19,394,求人サイト,エンジニア,171781,内定,1,1.0
2024/03/05,395,SNS採用,事務,64101,最終面接,1,1.0
2024/03/16,396,求人サイト,デザイン,158390,書類選考,0,
2024/02/05,397,合同説明会,マーケ,109873,内定,1,1.0
2024/02/22,398,リファラル,エンジニア,35948,二次面接,0,
2024/01/24,399,SNS採用,デザイン,34786,書類選考,0,
2024/02/12,400,求人サイト,デザイン,107897,書類選考,0,
2024/02/02,401,リファラル,マーケ,21795,一次面接,0,
2024/03/24,402,エージェント,事務,400264,最終面接,0,
2024/02/13,403,求人サイト,デザイン,117431,二次面接,0,
2024/01/06,404,合同説明会,マーケ,119316,一次面接,0,
2024/03/08,405,求人サイト,エンジニア,139107,最終面接,0,
2024/03/14,406,合同説明会,マーケ,80102,一次面接,0,
2024/02/12,407,SNS採用,事務,42352,書類選考,0,
2024/01/26,408,エージェント,デザイン,304101,一次面接,0,
2024/01/03,409,求人サイト,デザイン,104400,最終面接,0,
2024/03/28,410,求人サイト,営業,197064,書類選考,0,
2024/02/15,411,SNS採用,デザイン,44238,書類選考,0,
2024/01/17,412,リファラル,営業,47755,二次面接,0,
2024/03/20,413,リファラル,営業,29776,一次面接,0,
2024/03/17,414,SNS採用,マーケ,49693,二次面接,0,
2024/01/18,415,合同説明会,営業,132050,最終面接,0,
2024/01/12,416,エージェント,デザイン,383554,最終面接,0,
2024/02/13,417,SNS採用,デザイン,61032,一次面接,0,
2024/01/10,418,SNS採用,マーケ,33776,内定,1,1.0
2024/02/18,419,合同説明会,営業,100910,一次面接,0,
2024/02/07,420,リファラル,エンジニア,39477,二次面接,0,
