product_id,product_name,production_date,line_id,planned_qty,actual_qty,planned_material,actual_material,planned_labor,actual_labor,planned_overhead,actual_overhead,source_file,material_variance,labor_variance,overhead_variance,planned_total_cost,actual_total_cost,total_variance,variance_ratio,qty_variance,variance_flag
P004,部品D,2024-01-01,ライン2,73,78,74947.0,71980.0,49138.0,40463.0,18550.0,17652.0,production_cost_styleA_202401.csv,-2967.0,-8675.0,-898.0,142635.0,130095.0,-12540.0,-0.08791671048480387,5,正常
P005,部品E,2024-01-01,ライン2,149,157,118251.0,141685.0,45380.0,46393.0,48293.0,52512.0,production_cost_styleA_202401.csv,23434.0,1013.0,4219.0,211924.0,240590.0,28666.0,0.13526547252788734,8,超過
P006,ユニットX,2024-01-01,ライン2,89,83,58772.0,54391.0,64144.0,52602.0,12438.0,12323.0,production_cost_styleA_202401.csv,-4381.0,-11542.0,-115.0,135354.0,119316.0,-16038.0,-0.11848929473824195,-6,節約
P007,ユニットY,2024-01-01,ライン2,185,202,62017.0,66363.0,31149.0,27850.0,33801.0,28662.0,production_cost_styleA_202401.csv,4346.0,-3299.0,-5139.0,126967.0,122875.0,-4092.0,-0.032228846865721014,17,正常
P008,ユニットZ,2024-01-01,ライン2,195,198,142907.0,144210.0,45153.0,53005.0,33347.0,29402.0,production_cost_styleA_202401.csv,1303.0,7852.0,-3945.0,221407.0,226617.0,5210.0,0.023531324664531835,3,正常
P009,製品P,2024-01-01,ライン2,130,127,150754.0,165941.0,38000.0,31503.0,22647.0,22269.0,production_cost_styleA_202401.csv,15187.0,-6497.0,-378.0,211401.0,219713.0,8312.0,0.039318640876817045,-3,正常
P010,製品Q,2024-01-01,ライン2,194,177,81973.0,94461.0,35912.0,41360.0,47330.0,44860.0,production_cost_styleA_202401.csv,12488.0,5448.0,-2470.0,165215.0,180681.0,15466.0,0.09361135490118935,-17,正常
P011,PartA,2024-01-01,ライン2,90,90,95378.0,96482.0,79031.0,84338.0,42284.0,43208.0,production_cost_styleA_202401.csv,1104.0,5307.0,924.0,216693.0,224028.0,7335.0,0.03384973210948208,0,正常
P012,PartB,2024-01-01,ライン2,76,70,67314.0,61185.0,26422.0,27530.0,32129.0,34926.0,production_cost_styleA_202401.csv,-6129.0,1108.0,2797.0,125865.0,123641.0,-2224.0,-0.01766972549954316,-6,正常
P013,PartC,2024-01-01,ライン2,102,109,125811.0,103206.0,35067.0,36951.0,46326.0,52429.0,production_cost_styleA_202401.csv,-22605.0,1884.0,6103.0,207204.0,192586.0,-14618.0,-0.07054883110364665,7,正常
P014,SubAsmX,2024-01-01,ライン2,61,54,145567.0,148576.0,35717.0,34684.0,39649.0,31873.0,production_cost_styleA_202401.csv,3009.0,-1033.0,-7776.0,220933.0,215133.0,-5800.0,-0.02625230273431312,-7,正常
P015,SubAsmY,2024-01-01,ライン2,69,71,72358.0,73878.0,22162.0,21539.0,24769.0,20229.0,production_cost_styleA_202401.csv,1520.0,-623.0,-4540.0,119289.0,115646.0,-3643.0,-0.030539278558794188,2,正常
P016,FinGoodA,2024-01-01,ライン2,143,151,179105.0,161161.0,73935.0,62188.0,18403.0,20465.0,production_cost_styleA_202401.csv,-17944.0,-11747.0,2062.0,271443.0,243814.0,-27629.0,-0.10178564192113998,8,節約
P017,FinGoodB,2024-01-01,ライン2,154,161,188865.0,211520.0,34204.0,29786.0,16500.0,15921.0,production_cost_styleA_202401.csv,22655.0,-4418.0,-579.0,239569.0,257227.0,17658.0,0.07370736614503547,7,正常
P018,FinGoodC,2024-01-01,ライン2,95,91,189622.0,213192.0,68134.0,61779.0,44563.0,49685.0,production_cost_styleA_202401.csv,23570.0,-6355.0,5122.0,302319.0,324656.0,22337.0,0.07388553150810899,-4,正常
P019,FinGoodD,2024-01-01,ライン2,77,69,120604.0,113351.0,31974.0,36074.0,46738.0,53680.0,production_cost_styleA_202401.csv,-7253.0,4100.0,6942.0,199316.0,203105.0,3789.0,0.01901001424873066,-8,正常
P020,FinGoodE,2024-01-01,ライン2,107,80,99239.0,90472.0,71861.0,75928.0,48676.0,46722.0,production_cost_styleA_202401.csv,-8767.0,4067.0,-1954.0,219776.0,213122.0,-6654.0,-0.030276281304601048,-27,正常
P001,部品A,2024-01-01,ライン3,187,169,181556.0,216672.0,35673.0,29084.0,33224.0,34507.0,production_cost_styleA_202401.csv,35116.0,-6589.0,1283.0,250453.0,280263.0,29810.0,0.11902432791781292,-18,超過
P002,部品B,2024-01-01,ライン3,138,132,140931.0,145249.0,50685.0,45713.0,25408.0,27530.0,production_cost_styleA_202401.csv,4318.0,-4972.0,2122.0,217024.0,218492.0,1468.0,0.006764228841049838,-6,正常
P003,部品C,2024-01-01,ライン3,50,53,153029.0,134484.0,76416.0,74316.0,39482.0,46570.0,production_cost_styleA_202401.csv,-18545.0,-2100.0,7088.0,268927.0,255370.0,-13557.0,-0.05041144994738349,3,正常
P004,部品D,2024-01-01,ライン3,134,138,68694.0,73280.0,74003.0,68858.0,30285.0,32674.0,production_cost_styleA_202401.csv,4586.0,-5145.0,2389.0,172982.0,174812.0,1830.0,0.010579135401371242,4,正常
P005,部品E,2024-01-01,ライン3,191,187,191055.0,199882.0,60639.0,55811.0,46112.0,46996.0,production_cost_styleA_202401.csv,8827.0,-4828.0,884.0,297806.0,302689.0,4883.0,0.01639658032410361,-4,正常
P006,ユニットX,2024-01-01,ライン3,50,47,167864.0,163955.0,56400.0,60362.0,22890.0,22992.0,production_cost_styleA_202401.csv,-3909.0,3962.0,102.0,247154.0,247309.0,155.0,0.0006271393544106104,-3,正常
P007,ユニットY,2024-01-01,ライン3,93,88,149578.0,176622.0,57156.0,51094.0,13735.0,12694.0,production_cost_styleA_202401.csv,27044.0,-6062.0,-1041.0,220469.0,240410.0,19941.0,0.0904480902076936,-5,正常
P008,ユニットZ,2024-01-01,ライン3,100,90,197590.0,194067.0,56676.0,65430.0,40740.0,41973.0,production_cost_styleA_202401.csv,-3523.0,8754.0,1233.0,295006.0,301470.0,6464.0,0.02191141875080507,-10,正常
P009,製品P,2024-01-01,ライン3,148,140,148409.0,164440.0,20333.0,17133.0,40039.0,38840.0,production_cost_styleA_202401.csv,16031.0,-3200.0,-1199.0,208781.0,220413.0,11632.0,0.05571388201033619,-8,正常
P010,製品Q,2024-01-01,ライン3,95,98,119682.0,101556.0,53444.0,45606.0,46699.0,46038.0,production_cost_styleA_202401.csv,-18126.0,-7838.0,-661.0,219825.0,193200.0,-26625.0,-0.12111907198908223,3,節約
P011,PartA,2024-01-01,ライン3,185,188,192506.0,209391.0,73486.0,73626.0,34506.0,39069.0,production_cost_styleA_202401.csv,16885.0,140.0,4563.0,300498.0,322086.0,21588.0,0.07184074436435517,3,正常
P012,PartB,2024-01-01,ライン3,190,177,179224.0,203589.0,47004.0,42817.0,40071.0,44522.0,production_cost_styleA_202401.csv,24365.0,-4187.0,4451.0,266299.0,290928.0,24629.0,0.0924862654384733,-13,正常
P013,PartC,2024-01-01,ライン3,174,166,61623.0,57179.0,37144.0,37740.0,20869.0,17850.0,production_cost_styleA_202401.csv,-4444.0,596.0,-3019.0,119636.0,112769.0,-6867.0,-0.057399110635594636,-8,正常
P014,SubAsmX,2024-01-01,ライン3,109,101,82093.0,80974.0,44892.0,37032.0,23235.0,26329.0,production_cost_styleA_202401.csv,-1119.0,-7860.0,3094.0,150220.0,144335.0,-5885.0,-0.03917587538277193,-8,正常
P015,SubAsmY,2024-01-01,ライン3,149,151,154328.0,146944.0,71404.0,57292.0,40624.0,38215.0,production_cost_styleA_202401.csv,-7384.0,-14112.0,-2409.0,266356.0,242451.0,-23905.0,-0.08974830677739566,2,正常
P016,FinGoodA,2024-01-01,ライン3,149,162,112853.0,117514.0,64851.0,57602.0,31845.0,28271.0,production_cost_styleA_202401.csv,4661.0,-7249.0,-3574.0,209549.0,203387.0,-6162.0,-0.029406010050155335,13,正常
P017,FinGoodB,2024-01-01,ライン3,161,157,150331.0,170806.0,67889.0,79281.0,38967.0,46460.0,production_cost_styleA_202401.csv,20475.0,11392.0,7493.0,257187.0,296547.0,39360.0,0.15304039473223763,-4,超過
P018,FinGoodC,2024-01-01,ライン3,186,148,134659.0,115036.0,21626.0,21295.0,35710.0,29286.0,production_cost_styleA_202401.csv,-19623.0,-331.0,-6424.0,191995.0,165617.0,-26378.0,-0.13738899450506523,-38,節約
P019,FinGoodD,2024-01-01,ライン3,147,145,100625.0,118786.0,72778.0,70495.0,21130.0,23961.0,production_cost_styleA_202401.csv,18161.0,-2283.0,2831.0,194533.0,213242.0,18709.0,0.09617391393748105,-2,正常
P020,FinGoodE,2024-01-01,ライン3,170,141,199986.0,222483.0,40998.0,43486.0,36006.0,39667.0,production_cost_styleA_202401.csv,22497.0,2488.0,3661.0,276990.0,305636.0,28646.0,0.10341889598902487,-29,超過
P001,部品A,2024-01-02,ライン1,113,102,72857.0,74722.0,27573.0,24463.0,36778.0,39713.0,production_cost_styleA_202401.csv,1865.0,-3110.0,2935.0,137208.0,138898.0,1690.0,0.01231706606028803,-11,正常
P002,部品B,2024-01-02,ライン1,144,147,162189.0,192338.0,26872.0,22660.0,42772.0,34657.0,production_cost_styleA_202401.csv,30149.0,-4212.0,-8115.0,231833.0,249655.0,17822.0,0.07687430176031886,3,正常
P003,部品C,2024-01-02,ライン1,129,139,106296.0,110212.0,76488.0,86602.0,17933.0,16089.0,production_cost_styleA_202401.csv,3916.0,10114.0,-1844.0,200717.0,212903.0,12186.0,0.06071234623873414,10,正常
P004,部品D,2024-01-02,ライン1,127,129,68158.0,63993.0,79031.0,76767.0,41305.0,39167.0,production_cost_styleA_202401.csv,-4165.0,-2264.0,-2138.0,188494.0,179927.0,-8567.0,-0.0454497225375874,2,正常
P005,部品E,2024-01-02,ライン1,179,161,113009.0,106779.0,49412.0,57152.0,27341.0,26901.0,production_cost_styleA_202401.csv,-6230.0,7740.0,-440.0,189762.0,190832.0,1070.0,0.0056386420885108715,-18,正常
P006,ユニットX,2024-01-02,ライン1,89,93,194821.0,197796.0,36205.0,35966.0,42328.0,41237.0,production_cost_styleA_202401.csv,2975.0,-239.0,-1091.0,273354.0,274999.0,1645.0,0.006017837675687936,4,正常
P007,ユニットY,2024-01-02,ライン1,118,111,190193.0,209249.0,36736.0,37762.0,28032.0,29918.0,production_cost_styleA_202401.csv,19056.0,1026.0,1886.0,254961.0,276929.0,21968.0,0.086162197355674,-7,正常
P008,ユニットZ,2024-01-02,ライン1,136,124,77276.0,72341.0,32727.0,37706.0,41913.0,45286.0,production_cost_styleA_202401.csv,-4935.0,4979.0,3373.0,151916.0,155333.0,3417.0,0.022492693330524765,-12,正常
P009,製品P,2024-01-02,ライン1,120,120,78658.0,80394.0,34481.0,30900.0,26257.0,26006.0,production_cost_styleA_202401.csv,1736.0,-3581.0,-251.0,139396.0,137300.0,-2096.0,-0.015036299463399237,0,正常
P010,製品Q,2024-01-02,ライン1,175,158,94135.0,100309.0,44264.0,41945.0,19732.0,20154.0,production_cost_styleA_202401.csv,6174.0,-2319.0,422.0,158131.0,162408.0,4277.0,0.027047195047144455,-17,正常
P011,PartA,2024-01-02,ライン1,138,144,99619.0,89713.0,62171.0,52738.0,20837.0,18274.0,production_cost_styleA_202401.csv,-9906.0,-9433.0,-2563.0,182627.0,160725.0,-21902.0,-0.11992750250510603,6,節約
P012,PartB,2024-01-02,ライン1,80,87,153525.0,139799.0,31492.0,32621.0,39544.0,43660.0,production_cost_styleA_202401.csv,-13726.0,1129.0,4116.0,224561.0,216080.0,-8481.0,-0.037767020987615835,7,正常
P013,PartC,2024-01-02,ライン1,122,130,94437.0,102295.0,41653.0,35431.0,22091.0,18075.0,production_cost_styleA_202401.csv,7858.0,-6222.0,-4016.0,158181.0,155801.0,-2380.0,-0.015046054835915817,8,正常
P014,SubAsmX,2024-01-02,ライン1,63,65,68942.0,79220.0,72108.0,74244.0,29635.0,29272.0,production_cost_styleA_202401.csv,10278.0,2136.0,-363.0,170685.0,182736.0,12051.0,0.07060374373846559,2,正常
P015,SubAsmY,2024-01-02,ライン1,162,177,87872.0,72594.0,71703.0,71467.0,14563.0,15012.0,production_cost_styleA_202401.csv,-15278.0,-236.0,449.0,174138.0,159073.0,-15065.0,-0.08651184692600122,15,正常
P016,FinGoodA,2024-01-02,ライン1,63,66,192369.0,196837.0,25111.0,24269.0,19928.0,20694.0,production_cost_styleA_202401.csv,4468.0,-842.0,766.0,237408.0,241800.0,4392.0,0.018499797816417307,3,正常
P017,FinGoodB,2024-01-02,ライン1,107,104,186276.0,180973.0,37841.0,38880.0,33541.0,27641.0,production_cost_styleA_202401.csv,-5303.0,1039.0,-5900.0,257658.0,247494.0,-10164.0,-0.039447639894744195,-3,正常
P018,FinGoodC,2024-01-02,ライン1,75,70,81654.0,71000.0,59626.0,49491.0,16282.0,13043.0,production_cost_styleA_202401.csv,-10654.0,-10135.0,-3239.0,157562.0,133534.0,-24028.0,-0.15249869892486767,-5,節約
P019,FinGoodD,2024-01-02,ライン1,165,164,54896.0,62792.0,37286.0,30891.0,21309.0,19037.0,production_cost_styleA_202401.csv,7896.0,-6395.0,-2272.0,113491.0,112720.0,-771.0,-0.006793490232705677,-1,正常
P020,FinGoodE,2024-01-02,ライン1,117,119,149177.0,151837.0,76020.0,80509.0,27006.0,31417.0,production_cost_styleA_202401.csv,2660.0,4489.0,4411.0,252203.0,263763.0,11560.0,0.04583609235417501,2,正常
P001,部品A,2024-01-02,ライン2,86,63,96142.0,88012.0,64937.0,55180.0,32768.0,35241.0,production_cost_styleA_202401.csv,-8130.0,-9757.0,2473.0,193847.0,178433.0,-15414.0,-0.07951631957162092,-23,正常
P002,部品B,2024-01-02,ライン2,153,153,124069.0,120696.0,24827.0,23062.0,11594.0,10437.0,production_cost_styleA_202401.csv,-3373.0,-1765.0,-1157.0,160490.0,154195.0,-6295.0,-0.03922362764035142,0,正常
P003,部品C,2024-01-02,ライン2,73,75,179078.0,198043.0,55227.0,62328.0,10830.0,11160.0,production_cost_styleA_202401.csv,18965.0,7101.0,330.0,245135.0,271531.0,26396.0,0.10767944194015543,2,超過
P004,部品D,2024-01-02,ライン2,94,96,187411.0,197515.0,30889.0,30787.0,33413.0,27950.0,production_cost_styleA_202401.csv,10104.0,-102.0,-5463.0,251713.0,256252.0,4539.0,0.018032441709407144,2,正常
P005,部品E,2024-01-02,ライン2,139,134,65690.0,65571.0,29649.0,31578.0,26466.0,25412.0,production_cost_styleA_202401.csv,-119.0,1929.0,-1054.0,121805.0,122561.0,756.0,0.006206641763474406,-5,正常
P006,ユニットX,2024-01-02,ライン2,190,137,87860.0,100684.0,26955.0,30459.0,40902.0,32740.0,production_cost_styleA_202401.csv,12824.0,3504.0,-8162.0,155717.0,163883.0,8166.0,0.05244128772067276,-53,正常
P007,ユニットY,2024-01-02,ライン2,188,171,127766.0,124804.0,57358.0,47071.0,29940.0,27150.0,production_cost_styleA_202401.csv,-2962.0,-10287.0,-2790.0,215064.0,199025.0,-16039.0,-0.0745778000967154,-17,正常
P008,ユニットZ,2024-01-02,ライン2,83,81,154738.0,161476.0,27286.0,24440.0,48926.0,42240.0,production_cost_styleA_202401.csv,6738.0,-2846.0,-6686.0,230950.0,228156.0,-2794.0,-0.012097856678934834,-2,正常
P009,製品P,2024-01-02,ライン2,191,153,83705.0,98674.0,70484.0,74649.0,14538.0,12526.0,production_cost_styleA_202401.csv,14969.0,4165.0,-2012.0,168727.0,185849.0,17122.0,0.10147753471584275,-38,超過
P010,製品Q,2024-01-02,ライン2,124,118,175209.0,178801.0,78815.0,75145.0,19749.0,23082.0,production_cost_styleA_202401.csv,3592.0,-3670.0,3333.0,273773.0,277028.0,3255.0,0.011889412031135284,-6,正常
P011,PartA,2024-01-02,ライン2,180,166,60472.0,56598.0,66361.0,73998.0,44176.0,40062.0,production_cost_styleA_202401.csv,-3874.0,7637.0,-4114.0,171009.0,170658.0,-351.0,-0.002052523551392032,-14,正常
P012,PartB,2024-01-02,ライン2,50,47,138041.0,118637.0,79934.0,81168.0,29586.0,27753.0,production_cost_styleA_202401.csv,-19404.0,1234.0,-1833.0,247561.0,227558.0,-20003.0,-0.080800287605883,-3,正常
P013,PartC,2024-01-02,ライン2,191,186,189928.0,170085.0,72176.0,68797.0,49231.0,56242.0,production_cost_styleA_202401.csv,-19843.0,-3379.0,7011.0,311335.0,295124.0,-16211.0,-0.05206931440409848,-5,正常
P014,SubAsmX,2024-01-02,ライン2,155,137,155784.0,165984.0,68685.0,77497.0,25443.0,30337.0,production_cost_styleA_202401.csv,10200.0,8812.0,4894.0,249912.0,273818.0,23906.0,0.09565767150036814,-18,正常
P015,SubAsmY,2024-01-02,ライン2,176,162,194803.0,221689.0,39920.0,33528.0,14015.0,16315.0,production_cost_styleA_202401.csv,26886.0,-6392.0,2300.0,248738.0,271532.0,22794.0,0.09163859161044954,-14,正常
P016,FinGoodA,2024-01-02,ライン2,53,52,148217.0,176035.0,29262.0,27372.0,28780.0,30998.0,production_cost_styleA_202401.csv,27818.0,-1890.0,2218.0,206259.0,234405.0,28146.0,0.13645949994909312,-1,超過
P017,FinGoodB,2024-01-02,ライン2,70,74,178901.0,194553.0,42801.0,47242.0,22666.0,26043.0,production_cost_styleA_202401.csv,15652.0,4441.0,3377.0,244368.0,267838.0,23470.0,0.09604367183919335,4,正常
P018,FinGoodC,2024-01-02,ライン2,59,55,152660.0,127647.0,37243.0,44369.0,19099.0,21089.0,production_cost_styleA_202401.csv,-25013.0,7126.0,1990.0,209002.0,193105.0,-15897.0,-0.07606147309595124,-4,正常
P019,FinGoodD,2024-01-02,ライン2,75,77,185514.0,170180.0,22759.0,21620.0,41846.0,35913.0,production_cost_styleA_202401.csv,-15334.0,-1139.0,-5933.0,250119.0,227713.0,-22406.0,-0.08958135927298606,2,正常
P020,FinGoodE,2024-01-02,ライン2,185,191,77009.0,73390.0,30504.0,32739.0,34380.0,34348.0,production_cost_styleA_202401.csv,-3619.0,2235.0,-32.0,141893.0,140477.0,-1416.0,-0.009979350637452165,6,正常
P001,部品A,2024-01-02,ライン3,199,197,88097.0,98831.0,35320.0,40988.0,10376.0,11113.0,production_cost_styleA_202401.csv,10734.0,5668.0,737.0,133793.0,150932.0,17139.0,0.12810087224294245,-2,超過
P002,部品B,2024-01-02,ライン3,90,84,198148.0,213232.0,37949.0,37294.0,48481.0,44644.0,production_cost_styleA_202401.csv,15084.0,-655.0,-3837.0,284578.0,295170.0,10592.0,0.03722002403558954,-6,正常
P003,部品C,2024-01-02,ライン3,148,136,107205.0,115750.0,41538.0,33595.0,21835.0,24717.0,production_cost_styleA_202401.csv,8545.0,-7943.0,2882.0,170578.0,174062.0,3484.0,0.020424673756287447,-12,正常
P004,部品D,2024-01-02,ライン3,151,152,152870.0,159376.0,64680.0,64595.0,11962.0,13896.0,production_cost_styleA_202401.csv,6506.0,-85.0,1934.0,229512.0,237867.0,8355.0,0.03640332531632333,1,正常
P005,部品E,2024-01-02,ライン3,123,116,170290.0,153304.0,33140.0,36528.0,17605.0,19489.0,production_cost_styleA_202401.csv,-16986.0,3388.0,1884.0,221035.0,209321.0,-11714.0,-0.05299613183432488,-7,正常
P006,ユニットX,2024-01-02,ライン3,85,91,146951.0,151628.0,38536.0,42118.0,27633.0,23103.0,production_cost_styleA_202401.csv,4677.0,3582.0,-4530.0,213120.0,216849.0,3729.0,0.017497184684684686,6,正常
P007,ユニットY,2024-01-02,ライン3,125,122,80119.0,75820.0,67191.0,67239.0,45058.0,40959.0,production_cost_styleA_202401.csv,-4299.0,48.0,-4099.0,192368.0,184018.0,-8350.0,-0.04340638775679947,-3,正常
P008,ユニットZ,2024-01-02,ライン3,92,97,122277.0,114389.0,68389.0,57862.0,39862.0,47243.0,production_cost_styleA_202401.csv,-7888.0,-10527.0,7381.0,230528.0,219494.0,-11034.0,-0.04786403387007218,5,正常
P009,製品P,2024-01-02,ライン3,86,81,151449.0,172394.0,60464.0,61851.0,25896.0,21653.0,production_cost_styleA_202401.csv,20945.0,1387.0,-4243.0,237809.0,255898.0,18089.0,0.07606524563830637,-5,正常
P010,製品Q,2024-01-02,ライン3,151,125,118218.0,122217.0,60370.0,68155.0,36894.0,43391.0,production_cost_styleA_202401.csv,3999.0,7785.0,6497.0,215482.0,233763.0,18281.0,0.08483771266277462,-26,正常
P011,PartA,2024-01-02,ライン3,77,76,142932.0,149226.0,76590.0,81114.0,23120.0,24372.0,production_cost_styleA_202401.csv,6294.0,4524.0,1252.0,242642.0,254712.0,12070.0,0.04974406739146561,-1,正常
P012,PartB,2024-01-02,ライン3,168,161,111244.0,102539.0,28387.0,28303.0,47850.0,40141.0,production_cost_styleA_202401.csv,-8705.0,-84.0,-7709.0,187481.0,170983.0,-16498.0,-0.08799825048938292,-7,正常
P013,PartC,2024-01-02,ライン3,187,185,150573.0,145702.0,64588.0,70848.0,47839.0,41228.0,production_cost_styleA_202401.csv,-4871.0,6260.0,-6611.0,263000.0,257778.0,-5222.0,-0.019855513307984792,-2,正常
P014,SubAsmX,2024-01-02,ライン3,156,166,142348.0,153182.0,76343.0,67709.0,21190.0,20721.0,production_cost_styleA_202401.csv,10834.0,-8634.0,-469.0,239881.0,241612.0,1731.0,0.007216077971994447,10,正常
P015,SubAsmY,2024-01-02,ライン3,110,101,152852.0,144211.0,52668.0,50522.0,49114.0,43020.0,production_cost_styleA_202401.csv,-8641.0,-2146.0,-6094.0,254634.0,237753.0,-16881.0,-0.0662951530431914,-9,正常
P016,FinGoodA,2024-01-02,ライン3,81,86,63751.0,75764.0,32726.0,26843.0,35580.0,33210.0,production_cost_styleA_202401.csv,12013.0,-5883.0,-2370.0,132057.0,135817.0,3760.0,0.02847255351855638,5,正常
P017,FinGoodB,2024-01-02,ライン3,82,77,174473.0,196320.0,53252.0,47565.0,33455.0,37127.0,production_cost_styleA_202401.csv,21847.0,-5687.0,3672.0,261180.0,281012.0,19832.0,0.0759323072210736,-5,正常
P018,FinGoodC,2024-01-02,ライン3,50,54,198129.0,167215.0,52413.0,60096.0,41941.0,35764.0,production_cost_styleA_202401.csv,-30914.0,7683.0,-6177.0,292483.0,263075.0,-29408.0,-0.10054601464016712,4,節約
