伝票番号,集計日,路線,車両種別,走行距離,燃費費用,道路料金,人件費,荷重,件数,状態
C-0146,2024-01-31,R01_東京-横浜,4tトラック,129.4,5020,1639,26214,3130.6,15,完了
C-0147,2024-01-28,R02_東京-埼玉,4tトラック,134.7,4614,0,22705,3098.8,22,完了
C-0148,2024-01-05,R04_大阪-京都,10tトラック,123.1,5125,1697,35532,4975.8,12,完了
C-0149,2024-01-08,R04_大阪-京都,2tトラック,103.6,2855,2124,22924,1299.1,13,完了
C-0150,2024-01-11,R05_名古屋-豊田,4tトラック,57.5,1854,1021,26329,2293.4,14,完了
C-0151,2024-01-11,R02_東京-埼玉,4tトラック,112.9,2954,0,24890,2459.9,19,完了
C-0152,2024-01-21,R04_大阪-京都,2tトラック,45.9,1353,772,23141,1657.0,13,完了
C-0153,2024-01-18,R01_東京-横浜,2tトラック,49.6,975,2387,23098,1635.6,22,完了
C-0154,2024-01-31,R04_大阪-京都,10tトラック,142.3,7283,2694,26796,8560.4,22,完了
C-0155,2024-01-18,R03_大阪-神戸,軽バン,59.5,719,1776,16781,433.6,2,完了
C-0156,2024-01-21,R01_東京-横浜,2tトラック,93.3,2598,2653,23657,852.9,23,完了
C-0157,2024-01-27,R04_大阪-京都,10tトラック,110.9,5643,934,24225,6888.0,27,遅延
C-0158,2024-01-14,R02_東京-埼玉,軽バン,24.4,344,529,15187,114.8,29,完了
C-0159,2024-01-06,R01_東京-横浜,4tトラック,55.1,2044,0,28723,3086.2,30,完了
C-0160,2024-01-08,R05_名古屋-豊田,軽バン,31.2,429,1064,13398,53.3,16,遅延
C-0161,2024-01-23,R04_大阪-京都,10tトラック,189.0,10283,595,29732,5580.1,19,完了
C-0162,2024-01-29,R02_東京-埼玉,2tトラック,95.7,2327,0,22506,919.1,17,完了
C-0163,2024-01-20,R02_東京-埼玉,2tトラック,72.5,1950,0,15781,1450.5,26,完了
C-0164,2024-01-26,R03_大阪-神戸,2tトラック,78.2,1418,2765,20740,997.3,12,キャンセル
C-0165,2024-01-06,R03_大阪-神戸,10tトラック,75.1,4309,1260,34560,4823.1,21,完了
C-0166,2024-01-20,R03_大阪-神戸,2tトラック,102.8,2621,706,20056,1777.2,9,完了
C-0167,2024-01-06,R03_大阪-神戸,10tトラック,178.7,7211,937,31468,4057.9,15,完了
C-0168,2024-01-27,R02_東京-埼玉,10tトラック,122.7,7360,0,27486,3590.8,5,完了
C-0169,2024-01-12,R04_大阪-京都,4tトラック,122.8,3831,2152,26712,1501.8,19,完了
C-0170,2024-01-08,R03_大阪-神戸,2tトラック,98.0,1900,1497,18014,1619.2,25,遅延
C-0171,2024-01-11,R04_大阪-京都,軽バン,33.7,304,0,10095,467.3,15,完了
C-0172,2024-01-09,R01_東京-横浜,2tトラック,112.6,2888,0,19318,1877.1,28,完了
C-0173,2024-01-11,R01_東京-横浜,10tトラック,88.3,4822,2188,25869,7703.2,25,完了
C-0174,2024-01-12,R03_大阪-神戸,4tトラック,100.2,3516,0,18144,1293.1,4,完了
C-0175,2024-01-21,R03_大阪-神戸,4tトラック,67.7,1727,642,25130,3681.9,7,キャンセル
C-0176,2024-01-23,R01_東京-横浜,2tトラック,37.8,955,2410,21479,1704.8,6,遅延
C-0177,2024-01-25,R03_大阪-神戸,4tトラック,72.4,2527,1634,29943,3308.1,23,遅延
C-0178,2024-01-27,R03_大阪-神戸,10tトラック,74.3,3109,0,28125,5328.6,2,完了
C-0179,2024-01-18,R02_東京-埼玉,10tトラック,116.1,6071,0,31765,4249.1,16,完了
C-0180,2024-01-15,R02_東京-埼玉,軽バン,40.7,356,1147,10279,81.7,24,完了
C-0181,2024-01-13,R04_大阪-京都,2tトラック,43.4,1115,0,21646,899.7,23,完了
C-0182,2024-01-01,R05_名古屋-豊田,2tトラック,93.7,2554,1510,22278,1718.4,3,完了
C-0183,2024-01-31,R04_大阪-京都,軽バン,16.1,189,0,12668,186.3,2,完了
C-0184,2024-01-31,R03_大阪-神戸,2tトラック,78.1,2306,1649,22665,1471.7,6,完了
C-0185,2024-01-05,R02_東京-埼玉,軽バン,24.9,267,2222,13892,448.3,15,完了
C-0186,2024-01-27,R02_東京-埼玉,2tトラック,32.3,968,1472,22927,1465.1,16,完了
C-0187,2024-01-17,R01_東京-横浜,軽バン,11.9,100,0,10343,103.2,26,完了
C-0188,2024-01-30,R05_名古屋-豊田,軽バン,17.4,210,0,10295,113.7,21,完了
C-0189,2024-01-27,R02_東京-埼玉,2tトラック,93.1,1822,625,18073,1690.5,15,完了
C-0190,2024-01-22,R01_東京-横浜,2tトラック,40.3,1013,658,17026,1006.0,27,キャンセル
C-0191,2024-01-11,R03_大阪-神戸,軽バン,16.0,205,1304,17718,146.0,2,完了
C-0192,2024-01-04,R01_東京-横浜,2tトラック,54.7,1482,1425,16650,865.5,19,完了
C-0193,2024-01-23,R02_東京-埼玉,軽バン,10.8,123,949,10713,343.3,29,完了
C-0194,2024-01-23,R02_東京-埼玉,軽バン,20.3,253,1530,17505,324.7,2,完了
C-0195,2024-01-17,R05_名古屋-豊田,軽バン,57.5,712,0,12783,52.1,8,完了
C-0196,2024-01-04,R05_名古屋-豊田,2tトラック,62.6,1699,1048,22703,1489.0,9,完了
C-0197,2024-01-11,R04_大阪-京都,4tトラック,94.7,2594,0,18648,2092.6,7,完了
C-0198,2024-01-24,R01_東京-横浜,軽バン,15.2,127,895,10233,281.7,3,遅延
C-0199,2024-01-04,R05_名古屋-豊田,軽バン,39.0,426,0,17187,153.5,4,完了
C-0200,2024-01-20,R04_大阪-京都,4tトラック,135.7,4157,1677,23813,3671.5,5,完了
