ReceiptDate,CaseNo,StoreName,Category,ClaimType,ReturnAmount,ResponseDays,ResolvedFlag
2024-01-22,B-0126,銀座店,食料品,サイズ不一致,3641,20,1
2024-01-12,B-0127,銀座店,雑貨,品質不良,30373,12,1
2024-01-12,B-0128,銀座店,食料品,サイズ不一致,26614,12,1
2024-01-09,B-0129,新宿店,食料品,品質不良,36863,21,1
2024-01-30,B-0130,上野店,食料品,破損,38816,13,1
2024-01-20,B-0131,池袋店,家電,サイズ不一致,6395,7,1
2024-01-06,B-0132,銀座店,食料品,破損,33492,43,0
2024-01-18,B-0133,池袋店,衣料品,サイズ不一致,35677,18,1
2024-01-06,B-0134,池袋店,雑貨,サイズ不一致,6332,55,0
2024-01-08,B-0135,銀座店,食料品,破損,27835,5,1
2024-01-18,B-0136,新宿店,雑貨,品質不良,3568,26,1
2024-01-24,B-0137,銀座店,雑貨,その他,38527,23,1
2024-01-05,B-0138,池袋店,食料品,その他,23452,3,1
2024-01-29,B-0139,上野店,雑貨,サイズ不一致,38459,5,1
2024-01-30,B-0140,渋谷店,食料品,サイズ不一致,15415,17,1
