受付日,案件番号,店舗名,商品カテゴリ,クレーム区分,返品金額,対応日数,解決フラグ
2024/01/16,A-0072,新宿店,食料品,破損,25918,17,1
2024/01/03,A-0073,新宿店,衣料品,サイズ不一致,40386,11,1
2024/01/08,A-0074,銀座店,雑貨,品質不良,22934,2,1
2024/01/07,A-0075,銀座店,家電,その他,12426,51,0
2024/01/29,A-0076,渋谷店,家電,サイズ不一致,9042,1,1
2024/01/15,A-0077,渋谷店,雑貨,サイズ不一致,45898,48,0
2024/01/26,A-0078,銀座店,雑貨,破損,47517,5,1
2024/01/27,A-0079,上野店,家電,その他,44891,54,0
2024/01/15,A-0080,池袋店,日用品,破損,38361,16,1
2024/01/08,A-0081,池袋店,家電,品質不良,35763,21,1
2024/01/11,A-0082,上野店,食料品,サイズ不一致,7796,11,1
2024/01/23,A-0083,新宿店,食料品,その他,20558,5,1
2024/01/02,A-0084,新宿店,家電,その他,45270,14,1
2024/01/01,A-0085,上野店,家電,その他,593,23,1
2024/01/13,A-0086,銀座店,雑貨,サイズ不一致,24565,25,1
2024/01/01,A-0087,銀座店,衣料品,その他,36292,16,1
2024/01/05,A-0088,上野店,雑貨,品質不良,45374,30,1
2024/01/01,A-0089,渋谷店,家電,サイズ不一致,43383,22,1
2024/01/13,A-0090,池袋店,日用品,その他,16544,9,1
2024/01/09,A-0091,銀座店,衣料品,品質不良,23674,13,1
2024/01/31,A-0092,池袋店,日用品,品質不良,39127,2,1
2024/01/01,A-0093,新宿店,日用品,品質不良,31180,25,1
2024/01/22,A-0094,渋谷店,雑貨,サイズ不一致,23412,16,1
2024/01/06,A-0095,上野店,雑貨,品質不良,38956,12,1
2024/01/04,A-0096,上野店,食料品,破損,28917,10,1
2024/01/13,A-0097,新宿店,食料品,サイズ不一致,5364,39,0
2024/01/22,A-0098,上野店,食料品,品質不良,17556,28,1
2024/01/03,A-0099,上野店,衣料品,品質不良,42524,12,1
2024/01/14,A-0100,池袋店,家電,サイズ不一致,21944,4,1
2024/01/09,A-0101,上野店,雑貨,その他,23404,21,1
2024/01/09,A-0102,池袋店,日用品,品質不良,14163,19,1
2024/01/15,A-0103,上野店,雑貨,その他,17019,25,1
2024/01/06,A-0104,銀座店,日用品,破損,39952,11,1
2024/01/20,A-0105,池袋店,雑貨,品質不良,25976,29,1
2024/01/24,A-0106,銀座店,家電,サイズ不一致,34623,8,1
2024/01/15,A-0107,渋谷店,食料品,破損,11313,16,1
2024/01/22,A-0108,上野店,衣料品,その他,27808,10,1
2024/01/18,A-0109,池袋店,衣料品,その他,13765,24,1
2024/01/24,A-0110,新宿店,衣料品,品質不良,37221,4,1
2024/01/06,A-0111,新宿店,日用品,その他,14042,59,0
2024/01/17,A-0112,上野店,衣料品,品質不良,41682,25,1
2024/01/06,A-0113,池袋店,食料品,サイズ不一致,13933,12,1
2024/01/10,A-0114,新宿店,家電,品質不良,43674,50,0
2024/01/16,A-0115,銀座店,衣料品,サイズ不一致,48285,16,1
2024/01/16,A-0116,渋谷店,食料品,その他,24740,28,1
2024/01/02,A-0117,新宿店,日用品,破損,4533,22,1
2024/01/25,A-0118,銀座店,雑貨,サイズ不一致,38852,18,1
2024/01/15,A-0119,池袋店,雑貨,その他,15477,30,1
2024/01/31,A-0120,渋谷店,日用品,サイズ不一致,13453,20,1
2024/01/06,A-0121,上野店,食料品,サイズ不一致,433,8,1
2024/01/16,A-0122,池袋店,食料品,サイズ不一致,14619,20,1
2024/01/15,A-0123,渋谷店,日用品,破損,39455,28,1
2024/01/26,A-0124,新宿店,家電,品質不良,27365,22,1
2024/01/09,A-0125,新宿店,食料品,品質不良,8546,30,1
2024/01/27,A-0126,上野店,衣料品,その他,6480,24,1
2024/01/13,A-0127,池袋店,雑貨,その他,22057,23,1
2024/01/14,A-0128,池袋店,雑貨,破損,1585,29,1
2024/01/27,A-0129,上野店,雑貨,品質不良,49979,22,1
2024/01/19,A-0130,渋谷店,日用品,その他,26093,9,1
2024/01/06,A-0131,上野店,家電,その他,48462,9,1
2024/01/11,A-0132,池袋店,食料品,サイズ不一致,16691,14,1
2024/01/22,A-0133,銀座店,雑貨,品質不良,22905,10,1
2024/01/04,A-0134,銀座店,雑貨,品質不良,32986,11,1
2024/01/02,A-0135,新宿店,雑貨,破損,31245,14,1
2024/01/25,A-0136,渋谷店,日用品,破損,27596,15,1
2024/01/29,A-0137,銀座店,食料品,品質不良,48665,43,0
2024/01/23,A-0138,新宿店,衣料品,品質不良,27747,8,1
2024/01/30,A-0139,渋谷店,家電,品質不良,32491,27,1
2024/01/23,A-0140,池袋店,雑貨,破損,20950,30,1
