PurchaseDate,MaterialCode,MaterialName,Category,Supplier,Quantity,UnitPrice,PrevMonthPrice
2024-01-19,MAT-008,亜鉛地金,非鉄金属,SUP-C,36.53,434844.0,396961.0
2024-01-10,MAT-003,ステンレス板,鉄鋼,SUP-C,44.61,159498.0,187554.0
2024-01-15,MAT-009,ニッケル板,非鉄金属,SUP-C,34.96,2129128.0,2122935.0
2024-01-05,MAT-018,エタノール,化学品,SUP-A,1.2,79072.0,111009.0
2024-01-17,MAT-005,鋼管,鉄鋼,SUP-B,44.97,100949.0,99508.0
2024-01-03,MAT-005,鋼管,鉄鋼,SUP-B,14.39,76117.0,100712.0
2024-01-15,MAT-014,PET樹脂,樹脂,SUP-D,41.98,182997.0,239116.0
2024-01-18,MAT-018,エタノール,化学品,SUP-D,13.43,123700.0,121106.0
2024-01-18,MAT-002,冷延鋼板,鉄鋼,SUP-B,34.2,101786.0,99132.0
2024-01-31,MAT-013,ナイロン66,樹脂,SUP-E,49.19,369250.0,367109.0
2024-01-17,MAT-001,熱延鋼板,鉄鋼,SUP-E,40.01,71901.0,74649.0
2024-01-16,MAT-016,硫酸,化学品,SUP-A,44.59,33605.0,31318.0
2024-01-18,MAT-010,チタン棒,非鉄金属,SUP-D,48.12,2241507.0,2547698.0
2024-01-26,MAT-018,エタノール,化学品,SUP-E,45.72,132140.0,133756.0
2024-01-10,MAT-008,亜鉛地金,非鉄金属,SUP-D,44.04,453523.0,450456.0
2024-01-22,MAT-009,ニッケル板,非鉄金属,SUP-D,36.83,1676174.0,1630561.0
2024-01-15,MAT-001,熱延鋼板,鉄鋼,SUP-D,45.29,83715.0,74796.0
2024-01-19,MAT-013,ナイロン66,樹脂,SUP-B,11.02,398008.0,491820.0
2024-01-24,MAT-005,鋼管,鉄鋼,SUP-E,19.48,107377.0,92965.0
2024-01-25,MAT-001,熱延鋼板,鉄鋼,SUP-D,16.64,85362.0,82683.0
2024-01-03,MAT-019,アセトン,化学品,SUP-A,30.49,85239.0,86357.0
2024-01-19,MAT-014,PET樹脂,樹脂,SUP-B,19.48,164739.0,193255.0
2024-01-11,MAT-006,アルミ板,非鉄金属,SUP-A,34.54,349133.0,295385.0
2024-01-09,MAT-013,ナイロン66,樹脂,SUP-C,5.85,462553.0,401377.0
2024-01-15,MAT-015,ポリカーボネート,樹脂,SUP-C,10.9,509616.0,505168.0
2024-01-18,MAT-013,ナイロン66,樹脂,SUP-C,13.71,604318.0,449675.0
2024-01-22,MAT-009,ニッケル板,非鉄金属,SUP-A,25.28,1564182.0,1736100.0
2024-01-02,MAT-001,熱延鋼板,鉄鋼,SUP-E,38.48,112997.0,97356.0
2024-01-29,MAT-012,ポリプロピレン,樹脂,SUP-B,49.14,146258.0,176485.0
2024-01-01,MAT-003,ステンレス板,鉄鋼,SUP-A,15.92,194419.0,231785.0
2024-01-01,MAT-008,亜鉛地金,非鉄金属,SUP-B,31.22,336844.0,388910.0
2024-01-10,MAT-020,塩酸,化学品,SUP-B,8.86,30985.0,29975.0
2024-01-30,MAT-005,鋼管,鉄鋼,SUP-D,15.51,99549.0,103488.0
2024-01-09,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,38.85,81331.0,69123.0
2024-01-16,MAT-015,ポリカーボネート,樹脂,SUP-C,44.91,509984.0,563011.0
2024-01-26,MAT-006,アルミ板,非鉄金属,SUP-E,9.8,289617.0,295545.0
2024-01-12,MAT-004,形鋼(H鋼),鉄鋼,SUP-B,35.8,85363.0,74240.0
2024-01-01,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,27.01,62920.0,70073.0
2024-01-30,MAT-010,チタン棒,非鉄金属,SUP-E,47.06,2568708.0,2312186.0
2024-01-31,MAT-013,ナイロン66,樹脂,SUP-D,25.04,427725.0,421559.0
2024-01-25,MAT-007,銅線,非鉄金属,SUP-A,7.46,1151043.0,974717.0
2024-01-31,MAT-008,亜鉛地金,非鉄金属,SUP-A,47.71,391512.0,383172.0
2024-01-04,MAT-010,チタン棒,非鉄金属,SUP-E,13.41,2911607.0,2176858.0
2024-01-16,MAT-019,アセトン,化学品,SUP-A,30.8,92090.0,95909.0
2024-01-30,MAT-018,エタノール,化学品,SUP-D,10.17,151130.0,134061.0
2024-01-23,MAT-012,ポリプロピレン,樹脂,SUP-A,23.97,220309.0,188578.0
2024-01-18,MAT-011,ABS樹脂,樹脂,SUP-A,3.46,283938.0,254019.0
2024-01-18,MAT-016,硫酸,化学品,SUP-A,37.79,34905.0,39450.0
2024-01-31,MAT-012,ポリプロピレン,樹脂,SUP-D,22.46,182055.0,227306.0
2024-01-08,MAT-005,鋼管,鉄鋼,SUP-D,14.76,104849.0,85987.0
2024-01-26,MAT-017,水酸化ナトリウム,化学品,SUP-C,31.98,53056.0,45396.0
2024-01-19,MAT-018,エタノール,化学品,SUP-D,36.58,136976.0,128739.0
2024-01-11,MAT-014,PET樹脂,樹脂,SUP-E,24.17,181965.0,194182.0
2024-01-03,MAT-011,ABS樹脂,樹脂,SUP-B,34.23,196924.0,241298.0
2024-01-10,MAT-009,ニッケル板,非鉄金属,SUP-D,44.73,2234803.0,1867435.0
2024-01-26,MAT-015,ポリカーボネート,樹脂,SUP-E,33.34,577185.0,489549.0
2024-01-01,MAT-013,ナイロン66,樹脂,SUP-C,37.19,469686.0,458352.0
2024-01-08,MAT-016,硫酸,化学品,SUP-C,25.94,35364.0,36544.0
2024-01-16,MAT-016,硫酸,化学品,SUP-B,17.78,30326.0,31071.0
2024-01-11,MAT-009,ニッケル板,非鉄金属,SUP-C,5.49,2061123.0,1940415.0
2024-01-24,MAT-020,塩酸,化学品,SUP-C,1.97,26669.0,30336.0
2024-01-09,MAT-001,熱延鋼板,鉄鋼,SUP-E,43.17,80621.0,75549.0
2024-01-18,MAT-003,ステンレス板,鉄鋼,SUP-B,14.48,201871.0,221008.0
2024-01-10,MAT-016,硫酸,化学品,SUP-E,45.61,37740.0,37115.0
2024-01-19,MAT-016,硫酸,化学品,SUP-D,47.69,32760.0,36318.0
2024-01-12,MAT-001,熱延鋼板,鉄鋼,SUP-A,16.7,86127.0,89728.0
2024-01-31,MAT-008,亜鉛地金,非鉄金属,SUP-D,2.14,498991.0,433889.0
2024-01-30,MAT-008,亜鉛地金,非鉄金属,SUP-C,22.75,453897.0,397599.0
2024-01-22,MAT-019,アセトン,化学品,SUP-C,27.68,95046.0,90272.0
2024-01-16,MAT-018,エタノール,化学品,SUP-E,12.97,161252.0,137875.0
2024-01-15,MAT-014,PET樹脂,樹脂,SUP-E,48.93,256491.0,231937.0
2024-01-11,MAT-012,ポリプロピレン,樹脂,SUP-D,24.55,185134.0,206602.0
2024-01-10,MAT-010,チタン棒,非鉄金属,SUP-C,15.18,2314837.0,2237888.0
2024-01-15,MAT-004,形鋼(H鋼),鉄鋼,SUP-B,11.72,80352.0,70224.0
2024-01-31,MAT-004,形鋼(H鋼),鉄鋼,SUP-E,1.37,96164.0,85937.0
2024-01-09,MAT-006,アルミ板,非鉄金属,SUP-B,7.78,261878.0,309446.0
2024-01-25,MAT-016,硫酸,化学品,SUP-C,49.93,29457.0,34189.0
2024-01-12,MAT-017,水酸化ナトリウム,化学品,SUP-E,31.36,49843.0,41803.0
2024-01-12,MAT-004,形鋼(H鋼),鉄鋼,SUP-B,7.76,79023.0,87005.0
2024-01-08,MAT-008,亜鉛地金,非鉄金属,SUP-C,33.51,429662.0,379221.0
2024-01-31,MAT-010,チタン棒,非鉄金属,SUP-A,21.75,2429196.0,2428452.0
2024-01-11,MAT-018,エタノール,化学品,SUP-B,32.98,150711.0,125617.0
2024-01-24,MAT-002,冷延鋼板,鉄鋼,SUP-A,5.66,103571.0,86986.0
2024-01-29,MAT-010,チタン棒,非鉄金属,SUP-B,23.6,1984840.0,2418862.0
2024-01-01,MAT-016,硫酸,化学品,SUP-A,18.31,43471.0,38373.0
2024-01-22,MAT-019,アセトン,化学品,SUP-C,21.42,113900.0,103590.0
2024-01-15,MAT-016,硫酸,化学品,SUP-D,25.07,33428.0,38980.0
2024-01-11,MAT-006,アルミ板,非鉄金属,SUP-A,5.71,282252.0,278482.0
2024-01-03,MAT-016,硫酸,化学品,SUP-A,3.59,39638.0,30116.0
2024-01-03,MAT-013,ナイロン66,樹脂,SUP-D,32.96,333391.0,384445.0
2024-01-05,MAT-019,アセトン,化学品,SUP-A,43.18,105718.0,104097.0
2024-01-12,MAT-005,鋼管,鉄鋼,SUP-E,5.55,97482.0,89015.0
2024-01-04,MAT-003,ステンレス板,鉄鋼,SUP-B,37.86,228575.0,207775.0
2024-01-26,MAT-018,エタノール,化学品,SUP-D,19.03,118750.0,134431.0
2024-01-10,MAT-020,塩酸,化学品,SUP-E,6.83,37665.0,30714.0
2024-01-19,MAT-017,水酸化ナトリウム,化学品,SUP-D,20.53,42925.0,50211.0
2024-01-25,MAT-015,ポリカーボネート,樹脂,SUP-C,22.99,670201.0,582766.0
2024-01-25,MAT-014,PET樹脂,樹脂,SUP-C,43.77,199931.0,225067.0
2024-01-26,MAT-020,塩酸,化学品,SUP-A,15.17,29183.0,28428.0
2024-01-29,MAT-004,形鋼(H鋼),鉄鋼,SUP-B,41.6,54683.0,67457.0
2024-01-30,MAT-007,銅線,非鉄金属,SUP-C,30.48,864371.0,956085.0
2024-01-10,MAT-003,ステンレス板,鉄鋼,SUP-B,38.14,207744.0,202778.0
2024-01-03,MAT-006,アルミ板,非鉄金属,SUP-E,14.26,301985.0,326153.0
2024-01-18,MAT-006,アルミ板,非鉄金属,SUP-A,34.16,440843.0,357873.0
2024-01-22,MAT-015,ポリカーボネート,樹脂,SUP-E,32.67,584299.0,505403.0
2024-01-10,MAT-010,チタン棒,非鉄金属,SUP-A,24.33,1732830.0,2103473.0
