店舗ID,店舗名,年月,売上予算,売上実績,原価予算,原価実績,人件費予算,人件費実績,その他費用予算,その他費用実績
S004,横浜店,2024-W11,2800000,2984594,1344090,1267188,500045,485404,181392,161110
S005,大宮店,2024-W11,2200000,2147495,1196880,1260548,469032,485286,143104,145162
S001,渋谷店,2024-W12,3500000,2975426,1675420,1640180,667096,698057,256373,251924
S002,新宿店,2024-W12,4000000,3656442,1989274,2228692,822887,741345,216959,217965
S003,池袋店,2024-W12,3000000,3119647,1450556,1589123,607739,639243,183696,167115
S004,横浜店,2024-W12,2800000,2400517,1328556,1318646,586549,511382,198022,205731
S005,大宮店,2024-W12,2200000,1998327,1143198,1141270,367574,384783,110610,118938
S001,渋谷店,2024-W13,3500000,3783548,1612306,1576100,568092,646142,265643,229799
S002,新宿店,2024-W13,4000000,3699038,2139335,2111392,824397,865842,397578,408963
S003,池袋店,2024-W13,3000000,3405036,1617428,1672090,601048,601910,274585,278528
S004,横浜店,2024-W13,2800000,3133655,1468224,1457069,470802,435102,229273,247556
S005,大宮店,2024-W13,2200000,2214058,1127885,1051617,341932,319952,139889,132323
S001,渋谷店,2024-W14,3500000,3542160,1623431,1492547,695018,738058,186240,181077
S002,新宿店,2024-W14,4000000,4051133,1966310,1793374,717640,804798,316816,335399
S003,池袋店,2024-W14,3000000,3321059,1579678,1522990,451238,431170,263021,290910
S004,横浜店,2024-W14,2800000,3180881,1377326,1479599,527042,543368,170875,156492
S005,大宮店,2024-W14,2200000,2157652,996385,947402,434588,422113,128155,126901
S001,渋谷店,2024-W15,3500000,3109009,1792790,1538375,621535,633542,179743,187440
S002,新宿店,2024-W15,4000000,3562839,1984679,1716917,706149,645066,265369,286166
S003,池袋店,2024-W15,3000000,2891214,1575603,1732497,502977,439890,152907,154715
S004,横浜店,2024-W15,2800000,3219923,1357989,1419157,573122,599214,245593,278719
S005,大宮店,2024-W15,2200000,2001578,994484,890774,349438,367203,172037,157481
S001,渋谷店,2024-W16,3500000,3709438,1843414,1659693,673776,723890,195043,213726
S002,新宿店,2024-W16,4000000,4557665,1843239,1580953,687348,723918,391635,379493
S003,池袋店,2024-W16,3000000,3193513,1372799,1451302,581721,512246,265872,293812
S004,横浜店,2024-W16,2800000,2884346,1293895,1481708,573397,547113,199973,192208
S005,大宮店,2024-W16,2200000,2203934,1065071,1176768,456639,402601,215687,224460
S001,渋谷店,2024-W17,3500000,3845143,1822558,1787284,704780,803197,222264,242814
S002,新宿店,2024-W17,4000000,4045807,1993399,1954871,804687,748776,370343,407088
S003,池袋店,2024-W17,3000000,2627997,1614489,1490430,547589,565714,206848,177602
S004,横浜店,2024-W17,2800000,3094800,1310915,1197699,576375,548768,263245,279133
S005,大宮店,2024-W17,2200000,2052337,992233,1125608,343184,365842,163744,176426
S001,渋谷店,2024-W18,3500000,3700140,1801066,1796107,719269,631458,213779,226079
S002,新宿店,2024-W18,4000000,3767447,2032622,2016317,748658,731926,349187,331461
S003,池袋店,2024-W18,3000000,3182569,1431275,2470370,475338,683654,167933,295925
S004,横浜店,2024-W18,2800000,2786727,1462884,1672050,522829,488793,154074,139935
S005,大宮店,2024-W18,2200000,2020139,1029477,879425,412257,384344,217172,220648
S001,渋谷店,2024-W19,3500000,3707288,1619198,1798181,645265,717416,275461,272932
S002,新宿店,2024-W19,4000000,3928563,1873745,1621563,863498,857729,364423,353568
S003,池袋店,2024-W19,3000000,2616674,1538834,1332758,481331,490405,195575,224554
S004,横浜店,2024-W19,2800000,2479499,1474044,1521059,574985,527667,213160,209995
S005,大宮店,2024-W19,2200000,2162196,1179237,1352596,377029,390718,177059,189812
S001,渋谷店,2024-W20,3500000,3969970,1647726,1504881,686805,616145,205417,179230
S002,新宿店,2024-W20,4000000,3403211,1980201,2035931,681553,626649,341391,362180
S003,池袋店,2024-W20,3000000,2958628,1556215,1754124,615444,638534,249177,281595
S004,横浜店,2024-W20,2800000,2737117,1412477,1475036,598049,656651,149997,134964
S005,大宮店,2024-W20,2200000,2073024,1154771,1178746,374446,332248,185755,196885
S001,渋谷店,2024-W21,3500000,3964810,1750165,1746907,544708,469516,250605,237247
S002,新宿店,2024-W21,4000000,3700441,1836531,2091025,834068,852884,390157,448631
S003,池袋店,2024-W21,3000000,3155053,1430853,1233495,608816,603428,247726,278648
S004,横浜店,2024-W21,2800000,2532451,1423892,1481468,516378,453056,188715,179278
S005,大宮店,2024-W21,2200000,2312288,1178701,1118518,436826,409072,213971,234099
S001,渋谷店,2024-W22,3500000,3552601,1734189,1637690,604202,689428,245731,246807
S002,新宿店,2024-W22,4000000,4585743,2063064,2089426,715709,648629,272356,293309
S003,池袋店,2024-W22,3000000,3112868,1577997,1437662,565336,637870,215717,228547
S004,横浜店,2024-W22,2800000,2481998,1532481,1760533,466902,693422,217117,334513
S005,大宮店,2024-W22,2200000,2174556,1015843,1117065,406750,433181,165976,154694
S001,渋谷店,2024-W23,3500000,3851460,1918086,1770622,660060,637008,336327,337158
S002,新宿店,2024-W23,4000000,4455192,2145611,2001585,821202,800247,386850,387748
S003,池袋店,2024-W23,3000000,3288495,1434852,1348139,573257,659057,223446,199890
S004,横浜店,2024-W23,2800000,2832408,1356635,1377765,526512,519459,185049,167765
S005,大宮店,2024-W23,2200000,2330349,1115795,1026608,449434,387904,191918,203734
S001,渋谷店,2024-W24,3500000,3826979,1710128,1794107,726083,830817,261683,225337
S002,新宿店,2024-W24,4000000,4002749,2036072,2261893,844773,829645,305190,301246
S003,池袋店,2024-W24,3000000,3200199,1472994,1541392,482416,478001,295381,281075
S004,横浜店,2024-W24,2800000,2961872,1441954,1594123,587059,650346,193201,182575
S005,大宮店,2024-W24,2200000,2344354,1157068,1286330,335528,292086,179428,202086
S001,渋谷店,2024-W25,3500000,4022297,1836368,3094756,549119,1095167,327701,332883
S002,新宿店,2024-W25,4000000,4355372,1917347,1845355,640760,646751,313186,340670
S003,池袋店,2024-W25,3000000,2702985,1373691,1526517,580139,535033,286924,256205
S004,横浜店,2024-W25,2800000,2767366,1331114,1233408,421842,460394,266169,280351
S005,大宮店,2024-W25,2200000,1974264,1087181,1036812,420486,438013,156674,144928
S001,渋谷店,2024-W26,3500000,3862569,1644726,1587832,643386,592663,275086,281260
S002,新宿店,2024-W26,4000000,4591230,1918092,2193114,784304,731241,313186,330643
S003,池袋店,2024-W26,3000000,3220202,1364713,1408277,554313,621522,192929,210227
S004,横浜店,2024-W26,2800000,2889935,1358650,1414335,541695,570583,240930,252435
S005,大宮店,2024-W26,2200000,2423302,1128215,1264753,429536,404915,158491,162275
S001,渋谷店,2024-W27,3500000,3743978,1606547,1507798,708133,639226,198128,200470
S002,新宿店,2024-W27,4000000,4565787,2012341,2261964,832532,771833,364938,362951
S003,池袋店,2024-W27,3000000,3275840,1573968,1497811,474186,540035,171114,195061
S004,横浜店,2024-W27,2800000,3102518,1462781,1673396,609585,665287,191209,207883
S005,大宮店,2024-W27,2200000,1879186,1108046,1093016,433616,456035,174302,191161
S001,渋谷店,2024-W28,3500000,3962306,1612921,1484124,531131,592355,273246,307286
S002,新宿店,2024-W28,4000000,3665641,1825287,2002626,854629,803913,281659,251221
S003,池袋店,2024-W28,3000000,3401635,1441309,1438120,470410,525061,170350,167981
S004,横浜店,2024-W28,2800000,2943208,1468079,1664497,502149,538646,161633,157506
S005,大宮店,2024-W28,2200000,1935354,1097656,1067399,476534,409731,150758,148197
