注文日,顧客コード,商品カテゴリ,購入金額,店舗名
2024/02/19,CUST-017,衣料品,11089,池袋店
2024/01/29,CUST-071,家電,37259,渋谷店
2024/01/08,CUST-010,日用品,36255,渋谷店
2024/02/23,CUST-048,雑貨,36710,渋谷店
2024/01/28,CUST-017,食料品,20702,新宿店
2024/02/27,CUST-006,衣料品,14267,池袋店
2024/01/16,CUST-086,食料品,23678,池袋店
2024/02/26,CUST-053,雑貨,49617,渋谷店
2024/01/16,CUST-021,日用品,27520,渋谷店
2024/01/12,CUST-095,衣料品,27482,池袋店
2024/02/25,CUST-095,日用品,17985,渋谷店
2024/02/20,CUST-090,食料品,25570,渋谷店
2024/02/24,CUST-061,日用品,13579,新宿店
2024/01/23,CUST-040,日用品,15109,渋谷店
2024/02/12,CUST-025,家電,22012,新宿店
2024/02/25,CUST-009,衣料品,23512,池袋店
2024/02/02,CUST-052,雑貨,22202,渋谷店
2024/01/08,CUST-034,日用品,38549,新宿店
2024/01/03,CUST-014,雑貨,28979,新宿店
2024/02/16,CUST-041,家電,40228,池袋店
2024/01/08,CUST-050,雑貨,12957,新宿店
2024/01/03,CUST-091,家電,610,池袋店
2024/02/21,CUST-069,日用品,24369,新宿店
2024/01/05,CUST-086,衣料品,41339,新宿店
2024/02/12,CUST-016,衣料品,33734,新宿店
2024/02/12,CUST-053,衣料品,26871,池袋店
2024/01/19,CUST-071,日用品,13072,新宿店
2024/02/12,CUST-049,日用品,40838,池袋店
2024/01/20,CUST-052,雑貨,526,新宿店
2024/01/19,CUST-027,家電,38509,池袋店
2024/02/11,CUST-042,家電,29452,新宿店
2024/02/13,CUST-028,雑貨,31510,池袋店
2024/01/11,CUST-085,食料品,19098,池袋店
2024/02/12,CUST-082,雑貨,22466,渋谷店
2024/02/22,CUST-097,日用品,44592,新宿店
2024/01/15,CUST-026,日用品,2100,渋谷店
2024/01/16,CUST-061,雑貨,5272,新宿店
2024/01/27,CUST-081,雑貨,13242,池袋店
2024/02/14,CUST-050,家電,26691,渋谷店
2024/01/10,CUST-084,食料品,49715,渋谷店
2024/02/19,CUST-055,日用品,12026,池袋店
2024/02/03,CUST-060,食料品,37030,渋谷店
2024/02/28,CUST-016,家電,9238,新宿店
2024/02/12,CUST-068,雑貨,39523,新宿店
2024/02/18,CUST-057,雑貨,47638,池袋店
2024/01/28,CUST-071,家電,10930,池袋店
2024/02/25,CUST-061,家電,17486,渋谷店
2024/02/23,CUST-082,衣料品,34663,新宿店
2024/02/10,CUST-031,衣料品,29327,渋谷店
2024/02/15,CUST-037,日用品,18307,新宿店
2024/01/21,CUST-070,食料品,9568,渋谷店
2024/01/15,CUST-050,日用品,46795,渋谷店
2024/01/05,CUST-054,家電,22184,池袋店
2024/01/30,CUST-054,食料品,14055,新宿店
2024/01/25,CUST-099,雑貨,46081,渋谷店
2024/02/24,CUST-098,雑貨,25428,新宿店
2024/01/01,CUST-046,衣料品,49879,新宿店
2024/02/24,CUST-054,雑貨,49489,池袋店
2024/02/04,CUST-078,日用品,32496,渋谷店
2024/01/18,CUST-056,家電,2402,新宿店
2024/01/22,CUST-086,家電,47959,渋谷店
