購買日,会員番号,品目区分,売上金額,店名
2024/02/02,CUST-068,家電,11120,渋谷店
2024/02/21,CUST-078,日用品,16884,渋谷店
2024/02/11,CUST-062,衣料品,36842,渋谷店
2024/02/15,CUST-067,食料品,19181,渋谷店
2024/02/18,CUST-021,衣料品,29946,池袋店
2024/01/10,CUST-056,食料品,15051,新宿店
2024/02/26,CUST-045,食料品,27690,渋谷店
2024/01/26,CUST-065,衣料品,15951,新宿店
2024/01/06,CUST-048,日用品,2347,新宿店
2024/01/07,CUST-092,衣料品,10071,渋谷店
2024/01/03,CUST-037,家電,46117,渋谷店
2024/02/18,CUST-091,家電,29899,池袋店
2024/01/01,CUST-011,食料品,17272,渋谷店
2024/02/23,CUST-020,雑貨,48160,池袋店
2024/02/03,CUST-055,食料品,19381,渋谷店
2024/01/20,CUST-016,食料品,16126,新宿店
2024/02/10,CUST-080,家電,4616,渋谷店
2024/02/23,CUST-064,雑貨,35630,渋谷店
2024/02/10,CUST-066,雑貨,16355,池袋店
2024/01/10,CUST-038,家電,602,池袋店
2024/01/23,CUST-031,雑貨,27800,渋谷店
2024/02/12,CUST-086,食料品,34807,新宿店
2024/01/05,CUST-068,雑貨,33748,池袋店
2024/02/05,CUST-003,家電,31310,渋谷店
2024/02/10,CUST-050,衣料品,17123,池袋店
2024/01/02,CUST-046,食料品,23096,渋谷店
2024/02/16,CUST-085,食料品,38635,池袋店
2024/02/18,CUST-043,日用品,3405,新宿店
2024/02/04,CUST-044,日用品,45371,新宿店
2024/02/14,CUST-062,日用品,9337,渋谷店
2024/02/15,CUST-100,家電,2923,新宿店
2024/01/13,CUST-006,日用品,3246,新宿店
2024/01/20,CUST-066,家電,36088,新宿店
2024/01/17,CUST-005,日用品,19250,新宿店
2024/02/25,CUST-100,食料品,43474,新宿店
2024/01/18,CUST-016,衣料品,29136,新宿店
2024/02/17,CUST-057,家電,22719,渋谷店
2024/02/01,CUST-089,家電,24574,池袋店
2024/01/18,CUST-011,家電,5672,新宿店
2024/02/08,CUST-024,雑貨,19752,新宿店
2024/01/07,CUST-011,衣料品,43814,新宿店
2024/01/20,CUST-058,雑貨,47532,新宿店
2024/01/11,CUST-089,家電,23538,新宿店
