OrderDate,CustomerCode,Category,Amount,StoreName
2024-01-06,CUST-079,家電,41113,池袋店
2024-01-16,CUST-064,雑貨,9879,渋谷店
2024-01-30,CUST-082,衣料品,30618,新宿店
2024-02-12,CUST-002,家電,19350,池袋店
2024-02-04,CUST-021,食料品,29449,新宿店
2024-02-07,CUST-039,家電,45740,新宿店
2024-01-30,CUST-039,日用品,25711,新宿店
2024-01-07,CUST-031,家電,37981,新宿店
2024-02-06,CUST-038,衣料品,1937,池袋店
2024-01-26,CUST-036,食料品,37588,池袋店
2024-02-19,CUST-096,食料品,40241,池袋店
2024-02-01,CUST-037,日用品,40284,新宿店
2024-01-15,CUST-082,日用品,41190,新宿店
2024-02-13,CUST-097,日用品,41672,渋谷店
2024-02-27,CUST-081,食料品,20746,新宿店
2024-01-03,CUST-075,衣料品,48495,渋谷店
2024-01-06,CUST-038,衣料品,49486,新宿店
2024-01-12,CUST-026,日用品,35850,新宿店
2024-02-03,CUST-065,衣料品,11283,新宿店
2024-02-28,CUST-062,衣料品,49426,新宿店
2024-02-21,CUST-015,家電,5434,渋谷店
2024-02-18,CUST-029,家電,37024,新宿店
2024-01-06,CUST-051,食料品,17831,池袋店
2024-01-08,CUST-059,衣料品,44594,池袋店
2024-02-13,CUST-034,雑貨,25470,池袋店
2024-01-24,CUST-014,日用品,31398,渋谷店
2024-02-09,CUST-072,衣料品,40482,渋谷店
2024-02-11,CUST-009,家電,46445,新宿店
2024-02-11,CUST-053,食料品,9660,渋谷店
2024-01-03,CUST-039,家電,8110,渋谷店
2024-01-16,CUST-069,日用品,25970,新宿店
2024-01-24,CUST-086,雑貨,27967,池袋店
2024-02-17,CUST-094,日用品,27689,池袋店
2024-01-07,CUST-063,雑貨,27246,新宿店
2024-01-03,CUST-089,衣料品,14738,新宿店
2024-01-29,CUST-031,衣料品,7011,池袋店
